# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.048640e+03 -1.367495e+04 -6.208720e-18)	(3.045003e+03 -1.367467e+04 -6.208512e-18)	(3.637332e+00 -2.792273e-01 -2.085748e-22)
0.0002       	(-4.275960e+02 1.943325e+03 3.794852e-19)	(-4.309641e+02 1.943580e+03 3.796584e-19)	(3.368105e+00 -2.549074e-01 -1.731779e-22)
0.0003       	(3.124914e+00 -1.001944e+00 -1.241408e-19)	(1.371583e-01 -7.763311e-01 -1.239679e-19)	(2.987756e+00 -2.256127e-01 -1.729184e-22)
0.0004       	(2.826427e+00 -6.773688e-01 -1.220079e-19)	(-1.373757e-02 -4.641084e-01 -1.217975e-19)	(2.840165e+00 -2.132603e-01 -2.104088e-22)
0.0005       	(2.728741e+00 -6.091948e-01 -1.207513e-19)	(-6.241517e-03 -4.044719e-01 -1.205066e-19)	(2.734983e+00 -2.047229e-01 -2.446334e-22)
0.0006       	(1.983266e+00 -4.328917e+00 -1.233842e-19)	(-6.379973e-01 -4.134600e+00 -1.231068e-19)	(2.621263e+00 -1.943165e-01 -2.773742e-22)
0.0007       	(2.418899e+00 -1.276975e+00 -1.263667e-19)	(-1.058373e-01 -1.090306e+00 -1.260624e-19)	(2.524736e+00 -1.866685e-01 -3.043078e-22)
0.0008       	(2.718504e+00 -6.025205e-01 -1.278515e-19)	(2.645978e-01 -4.237497e-01 -1.275227e-19)	(2.453906e+00 -1.787708e-01 -3.288229e-22)
0.0009       	(3.182592e+00 -2.053512e+00 -1.331552e-19)	(7.912492e-01 -1.881586e+00 -1.328255e-19)	(2.391343e+00 -1.719268e-01 -3.296060e-22)
0.001        	(3.758207e+00 -2.486651e+00 -1.347305e-19)	(1.425974e+00 -2.322330e+00 -1.344244e-19)	(2.332233e+00 -1.643210e-01 -3.060679e-22)
0.0011       	(3.867200e+00 -3.223642e+00 -1.281741e-19)	(1.594678e+00 -3.067551e+00 -1.279047e-19)	(2.272522e+00 -1.560902e-01 -2.694132e-22)
0.0012       	(3.574660e+00 -2.803660e+00 -1.250018e-19)	(1.357410e+00 -2.655315e+00 -1.247583e-19)	(2.217250e+00 -1.483453e-01 -2.434221e-22)
0.0013       	(3.500021e+00 -4.919924e+00 -1.311584e-19)	(1.330491e+00 -4.779462e+00 -1.309300e-19)	(2.169530e+00 -1.404623e-01 -2.284464e-22)
