# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.594177e+03 2.147157e+04 3.140798e-18)	(2.590580e+03 2.147115e+04 3.141204e-18)	(3.597173e+00 4.199618e-01 -4.051037e-22)
0.0002       	(-3.015753e+02 -3.216478e+03 -4.739586e-19)	(-3.048984e+02 -3.216849e+03 -4.736101e-19)	(3.323177e+00 3.708574e-01 -3.484930e-22)
0.0003       	(3.990104e+00 -5.763791e+00 -9.356351e-20)	(1.086732e+00 -6.086282e+00 -9.324963e-20)	(2.903373e+00 3.224907e-01 -3.138784e-22)
0.0004       	(3.087184e+00 -9.497033e-01 -1.195900e-19)	(3.375116e-01 -1.251696e+00 -1.193020e-19)	(2.749672e+00 3.019922e-01 -2.879441e-22)
0.0005       	(3.459565e+00 -4.608032e+00 -1.185251e-19)	(8.198662e-01 -4.896701e+00 -1.182482e-19)	(2.639699e+00 2.886692e-01 -2.768872e-22)
0.0006       	(3.214707e+00 -3.303973e+00 -1.188103e-19)	(6.959902e-01 -3.578617e+00 -1.185522e-19)	(2.518717e+00 2.746437e-01 -2.581052e-22)
0.0007       	(3.616263e+00 -7.604857e+00 -1.158299e-19)	(1.199282e+00 -7.866691e+00 -1.155959e-19)	(2.416981e+00 2.618340e-01 -2.339996e-22)
0.0008       	(3.514457e+00 -6.163845e+00 -1.139531e-19)	(1.169398e+00 -6.414776e+00 -1.137340e-19)	(2.345059e+00 2.509304e-01 -2.191022e-22)
0.0009       	(3.050699e+00 8.254670e-01 -1.167613e-19)	(7.688668e-01 5.858349e-01 -1.165519e-19)	(2.281832e+00 2.396320e-01 -2.093919e-22)
0.001        	(3.800766e+00 1.413647e+00 -1.158605e-19)	(1.582203e+00 1.186775e+00 -1.156719e-19)	(2.218562e+00 2.268726e-01 -1.885426e-22)
0.0011       	(4.083969e+00 1.765560e+00 -1.155466e-19)	(1.926271e+00 1.552303e+00 -1.153840e-19)	(2.157698e+00 2.132577e-01 -1.625736e-22)
0.0012       	(3.889581e+00 2.701886e+00 -1.184358e-19)	(1.785178e+00 2.501079e+00 -1.182882e-19)	(2.104404e+00 2.008073e-01 -1.476247e-22)
0.0013       	(4.268843e+00 2.432725e+00 -1.231525e-19)	(2.213175e+00 2.242999e+00 -1.230162e-19)	(2.055668e+00 1.897256e-01 -1.362605e-22)
0.0014       	(4.660440e+00 1.548483e+00 -1.247498e-19)	(2.650248e+00 1.368479e+00 -1.246258e-19)	(2.010192e+00 1.800039e-01 -1.240644e-22)
0.0015       	(6.013587e+00 2.605640e+00 -1.129816e-19)	(4.045904e+00 2.435809e+00 -1.128697e-19)	(1.967684e+00 1.698312e-01 -1.118925e-22)
0.0016       	(6.970506e+00 3.513312e+00 -1.085887e-19)	(5.043305e+00 3.352456e+00 -1.084849e-19)	(1.927200e+00 1.608555e-01 -1.038089e-22)
0.0017       	(6.454531e+00 4.152413e+00 -1.079230e-19)	(4.567005e+00 4.000918e+00 -1.078220e-19)	(1.887526e+00 1.514954e-01 -1.010731e-22)
0.0018       	(5.738018e+00 3.321938e+00 -1.082048e-19)	(3.887230e+00 3.178992e+00 -1.081147e-19)	(1.850788e+00 1.429458e-01 -9.014691e-23)
0.0019       	(6.993974e+00 3.802295e+00 -1.031908e-19)	(5.176078e+00 3.665973e+00 -1.031095e-19)	(1.817896e+00 1.363220e-01 -8.131801e-23)
0.002        	(6.231243e+00 2.910266e+00 -1.069149e-19)	(4.444696e+00 2.779246e+00 -1.068349e-19)	(1.786547e+00 1.310200e-01 -7.999998e-23)
0.0021       	(6.058529e+00 3.215348e+00 -1.054949e-19)	(4.301334e+00 3.089677e+00 -1.054109e-19)	(1.757196e+00 1.256710e-01 -8.406504e-23)
0.0022       	(7.149638e+00 3.955231e+00 -9.958458e-20)	(5.418874e+00 3.833218e+00 -9.950568e-20)	(1.730763e+00 1.220125e-01 -7.889419e-23)
0.0023       	(9.488135e+00 6.378302e+00 -9.426934e-20)	(7.782784e+00 6.258403e+00 -9.419553e-20)	(1.705351e+00 1.198989e-01 -7.380983e-23)
0.0024       	(7.167190e+00 4.455787e+00 -9.998303e-20)	(5.486087e+00 4.337396e+00 -9.991724e-20)	(1.681103e+00 1.183909e-01 -6.578515e-23)
0.0025       	(8.043411e+00 4.961212e+00 -9.076885e-20)	(6.384789e+00 4.843563e+00 -9.070837e-20)	(1.658622e+00 1.176486e-01 -6.047903e-23)
0.0026       	(7.977060e+00 5.069337e+00 -9.513010e-20)	(6.338670e+00 4.952515e+00 -9.507301e-20)	(1.638390e+00 1.168226e-01 -5.708602e-23)
0.0027       	(7.805928e+00 5.849389e+00 -9.675861e-20)	(6.187454e+00 5.733434e+00 -9.670356e-20)	(1.618474e+00 1.159543e-01 -5.504895e-23)
0.0028       	(8.599555e+00 6.702890e+00 -8.934283e-20)	(7.001432e+00 6.588163e+00 -8.928360e-20)	(1.598123e+00 1.147268e-01 -5.922503e-23)
0.0029       	(1.001358e+01 8.399387e+00 -8.227270e-20)	(8.435494e+00 8.286418e+00 -8.221074e-20)	(1.578090e+00 1.129691e-01 -6.195683e-23)
0.003        	(8.330099e+00 6.205833e+00 -8.703080e-20)	(6.771996e+00 6.094819e+00 -8.696356e-20)	(1.558103e+00 1.110136e-01 -6.724089e-23)
0.0031       	(1.140461e+01 7.966341e+00 -7.370155e-20)	(9.862301e+00 7.855501e+00 -7.362861e-20)	(1.542310e+00 1.108398e-01 -7.294001e-23)
0.0032       	(1.178005e+01 9.010797e+00 -7.357618e-20)	(1.025232e+01 8.899742e+00 -7.350478e-20)	(1.527733e+00 1.110558e-01 -7.139566e-23)
0.0033       	(1.074478e+01 9.269505e+00 -7.915397e-20)	(9.231333e+00 9.158250e+00 -7.908513e-20)	(1.513445e+00 1.112556e-01 -6.884158e-23)
0.0034       	(6.817696e+00 5.231515e+00 -1.029602e-19)	(5.320905e+00 5.120699e+00 -1.028880e-19)	(1.496791e+00 1.108158e-01 -7.215400e-23)
0.0035       	(6.462483e+00 4.264748e+00 -1.038222e-19)	(4.985094e+00 4.154318e+00 -1.037474e-19)	(1.477389e+00 1.104299e-01 -7.484369e-23)
0.0036       	(7.342557e+00 5.051393e+00 -9.671386e-20)	(5.882167e+00 4.941495e+00 -9.663385e-20)	(1.460389e+00 1.098987e-01 -8.000675e-23)
0.0037       	(9.834164e+00 7.475524e+00 -8.585601e-20)	(8.385741e+00 7.365618e+00 -8.576449e-20)	(1.448424e+00 1.099053e-01 -9.151859e-23)
0.0038       	(1.148062e+01 6.735340e+00 -1.071468e-19)	(1.004396e+01 6.625921e+00 -1.070373e-19)	(1.436664e+00 1.094186e-01 -1.094570e-22)
0.0039       	(1.197414e+01 7.517820e+00 -9.196594e-20)	(1.054899e+01 7.408618e+00 -9.183868e-20)	(1.425147e+00 1.092014e-01 -1.272526e-22)
0.004        	(1.059327e+01 7.308719e+00 -9.452201e-20)	(9.179796e+00 7.200070e+00 -9.437984e-20)	(1.413474e+00 1.086482e-01 -1.421688e-22)
0.0041       	(1.081182e+01 8.083926e+00 -9.316947e-20)	(9.409986e+00 7.976047e+00 -9.301974e-20)	(1.401833e+00 1.078791e-01 -1.497306e-22)
0.0042       	(1.100139e+01 9.752555e+00 -7.107045e-20)	(9.610621e+00 9.645296e+00 -7.094020e-20)	(1.390766e+00 1.072589e-01 -1.302580e-22)
0.0043       	(1.022880e+01 8.056956e+00 -8.207349e-20)	(8.850089e+00 7.950703e+00 -8.195099e-20)	(1.378708e+00 1.062531e-01 -1.224959e-22)
0.0044       	(9.490418e+00 7.250006e+00 -8.493691e-20)	(8.123229e+00 7.144433e+00 -8.481837e-20)	(1.367189e+00 1.055734e-01 -1.185400e-22)
0.0045       	(7.998536e+00 5.223699e+00 -9.373260e-20)	(6.642312e+00 5.119264e+00 -9.361930e-20)	(1.356224e+00 1.044349e-01 -1.132959e-22)
0.0046       	(9.508067e+00 5.543719e+00 -9.848410e-20)	(8.162335e+00 5.440295e+00 -9.837518e-20)	(1.345732e+00 1.034241e-01 -1.089239e-22)
0.0047       	(1.101240e+01 7.002356e+00 -9.077803e-20)	(9.677070e+00 6.899770e+00 -9.066834e-20)	(1.335331e+00 1.025856e-01 -1.096846e-22)
0.0048       	(1.382968e+01 9.096270e+00 -8.615723e-20)	(1.250236e+01 8.994463e+00 -8.604367e-20)	(1.327322e+00 1.018069e-01 -1.135652e-22)
0.0049       	(1.253895e+01 7.717635e+00 -9.206232e-20)	(1.121902e+01 7.616001e+00 -9.194661e-20)	(1.319927e+00 1.016338e-01 -1.157107e-22)
