# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.299104e+03 -7.381100e+03 -2.891865e-18)	(3.295456e+03 -7.380932e+03 -2.891618e-18)	(3.647562e+00 -1.675970e-01 -2.461713e-22)
0.0002       	(-3.378589e+01 1.894542e+02 -2.159819e-19)	(-3.714821e+01 1.896079e+02 -2.157914e-19)	(3.362323e+00 -1.537010e-01 -1.905168e-22)
0.0003       	(3.671135e+00 -2.736157e+00 -1.214976e-19)	(5.662542e-01 -2.592826e+00 -1.212993e-19)	(3.104881e+00 -1.433308e-01 -1.983591e-22)
0.0004       	(3.987275e+00 -1.441355e+00 -1.290276e-19)	(1.024124e+00 -1.305718e+00 -1.288241e-19)	(2.963152e+00 -1.356371e-01 -2.034710e-22)
0.0005       	(4.355694e+00 -2.028165e+00 -1.355860e-19)	(1.512953e+00 -1.899454e+00 -1.353752e-19)	(2.842741e+00 -1.287108e-01 -2.107925e-22)
0.0006       	(4.030712e+00 -1.927708e+00 -1.333462e-19)	(1.290693e+00 -1.805505e+00 -1.331371e-19)	(2.740020e+00 -1.222033e-01 -2.090288e-22)
0.0007       	(4.025789e+00 -3.127638e+00 -1.293105e-19)	(1.369414e+00 -3.010763e+00 -1.291001e-19)	(2.656375e+00 -1.168757e-01 -2.103995e-22)
0.0008       	(3.890462e+00 -7.061407e+00 -1.396906e-19)	(1.308715e+00 -6.949464e+00 -1.394807e-19)	(2.581747e+00 -1.119439e-01 -2.098265e-22)
0.0009       	(5.094489e+00 -4.821361e+00 -1.380970e-19)	(2.579817e+00 -4.713873e+00 -1.378931e-19)	(2.514672e+00 -1.074881e-01 -2.039226e-22)
0.001        	(6.112517e+00 -2.833361e+00 -1.428437e-19)	(3.659151e+00 -2.730233e+00 -1.426473e-19)	(2.453366e+00 -1.031277e-01 -1.963165e-22)
0.0011       	(9.810019e+00 -5.210166e+00 -1.687082e-19)	(7.415623e+00 -5.111877e+00 -1.685260e-19)	(2.394396e+00 -9.828955e-02 -1.822433e-22)
0.0012       	(8.866740e+00 -2.965050e+00 -1.681792e-19)	(6.526595e+00 -2.871006e+00 -1.679915e-19)	(2.340145e+00 -9.404396e-02 -1.876404e-22)
0.0013       	(7.148814e+00 -1.964410e+00 -1.489526e-19)	(4.859510e+00 -1.874159e+00 -1.487603e-19)	(2.289304e+00 -9.025109e-02 -1.923315e-22)
0.0014       	(7.273832e+00 -1.856378e+00 -1.471966e-19)	(5.029587e+00 -1.769628e+00 -1.469993e-19)	(2.244245e+00 -8.674965e-02 -1.973639e-22)
0.0015       	(8.075185e+00 -2.508184e+00 -1.639948e-19)	(5.872414e+00 -2.424695e+00 -1.637965e-19)	(2.202771e+00 -8.348967e-02 -1.983672e-22)
0.0016       	(1.128099e+01 -3.709758e+00 -1.897492e-19)	(9.117576e+00 -3.629972e+00 -1.895619e-19)	(2.163418e+00 -7.978661e-02 -1.872934e-22)
