# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.209436e+03 2.882852e+04 4.389657e-18)	(2.205878e+03 2.882797e+04 4.390111e-18)	(3.557838e+00 5.545987e-01 -4.542326e-22)
0.0002       	(-2.147047e+02 -4.318825e+03 -5.027102e-19)	(-2.179734e+02 -4.319309e+03 -5.023188e-19)	(3.268653e+00 4.840335e-01 -3.914209e-22)
0.0003       	(2.766910e+00 1.837709e+00 -1.102373e-19)	(-4.563336e-02 1.423766e+00 -1.099099e-19)	(2.812544e+00 4.139425e-01 -3.273249e-22)
0.0004       	(2.850115e+00 3.042351e-01 -1.184038e-19)	(2.019979e-01 -7.831750e-02 -1.181383e-19)	(2.648117e+00 3.825526e-01 -2.654345e-22)
0.0005       	(2.823400e+00 -1.989479e-01 -1.183557e-19)	(2.922673e-01 -5.592416e-01 -1.181339e-19)	(2.531133e+00 3.602936e-01 -2.218023e-22)
0.0006       	(2.796561e+00 -3.605235e-01 -1.190443e-19)	(3.961849e-01 -6.967874e-01 -1.188512e-19)	(2.400377e+00 3.362638e-01 -1.931004e-22)
0.0007       	(3.249270e+00 -3.149266e+00 -1.315531e-19)	(9.605333e-01 -3.465534e+00 -1.313671e-19)	(2.288737e+00 3.162676e-01 -1.859955e-22)
0.0008       	(3.165217e+00 -2.588992e+00 -1.312928e-19)	(9.508609e-01 -2.889609e+00 -1.311170e-19)	(2.214356e+00 3.006173e-01 -1.758944e-22)
0.0009       	(3.461188e+00 -2.069780e+00 -1.219893e-19)	(1.309929e+00 -2.354269e+00 -1.218348e-19)	(2.151260e+00 2.844888e-01 -1.544995e-22)
0.001        	(4.037834e+00 -5.345466e-02 -1.171831e-19)	(1.946213e+00 -3.215356e-01 -1.170601e-19)	(2.091621e+00 2.680810e-01 -1.230141e-22)
0.0011       	(3.709410e+00 2.175851e+00 -1.144440e-19)	(1.675750e+00 1.924827e+00 -1.143474e-19)	(2.033659e+00 2.510243e-01 -9.664268e-23)
0.0012       	(3.839833e+00 1.977451e+00 -1.157395e-19)	(1.860336e+00 1.742955e+00 -1.156638e-19)	(1.979497e+00 2.344961e-01 -7.576160e-23)
0.0013       	(3.766488e+00 1.849416e+00 -1.177650e-19)	(1.834760e+00 1.629604e+00 -1.177045e-19)	(1.931728e+00 2.198121e-01 -6.044867e-23)
0.0014       	(4.123820e+00 1.675843e-01 -1.149091e-19)	(2.234633e+00 -3.953136e-02 -1.148475e-19)	(1.889187e+00 2.071156e-01 -6.159346e-23)
0.0015       	(5.147565e+00 1.400849e+00 -1.118702e-19)	(3.296891e+00 1.203935e+00 -1.118080e-19)	(1.850674e+00 1.969141e-01 -6.221490e-23)
0.0016       	(6.524603e+00 3.785326e+00 -1.127614e-19)	(4.709344e+00 3.597398e+00 -1.127060e-19)	(1.815259e+00 1.879289e-01 -5.534273e-23)
