# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.343912e+03 6.721466e+03 -4.133009e-19)	(3.340268e+03 6.721315e+03 -4.129747e-19)	(3.644281e+00 1.503869e-01 -3.261437e-22)
0.0002       	(-3.761221e+01 -1.665285e+02 -9.855199e-20)	(-4.097330e+01 -1.666656e+02 -9.828095e-20)	(3.361096e+00 1.371610e-01 -2.710384e-22)
0.0003       	(4.197025e+00 -2.877507e+00 -1.123513e-19)	(1.092053e+00 -3.005182e+00 -1.120961e-19)	(3.104972e+00 1.276751e-01 -2.551896e-22)
0.0004       	(3.830707e+00 8.430271e-03 -1.182898e-19)	(8.634394e-01 -1.134834e-01 -1.180326e-19)	(2.967267e+00 1.219137e-01 -2.571505e-22)
0.0005       	(3.748423e+00 2.030325e-01 -1.210620e-19)	(8.991170e-01 8.550277e-02 -1.207962e-19)	(2.849306e+00 1.175297e-01 -2.658389e-22)
0.0006       	(4.142368e+00 6.199053e-01 -1.272371e-19)	(1.396102e+00 5.064418e-01 -1.269700e-19)	(2.746266e+00 1.134635e-01 -2.670501e-22)
0.0007       	(4.932727e+00 1.076367e+00 -1.226935e-19)	(2.270936e+00 9.670407e-01 -1.224341e-19)	(2.661791e+00 1.093261e-01 -2.594696e-22)
0.0008       	(4.694134e+00 1.449193e+00 -1.200947e-19)	(2.105950e+00 1.344002e+00 -1.198443e-19)	(2.588184e+00 1.051905e-01 -2.504444e-22)
0.0009       	(6.149951e+00 2.573131e+00 -1.066442e-19)	(3.626828e+00 2.471908e+00 -1.064079e-19)	(2.523124e+00 1.012224e-01 -2.362645e-22)
0.001        	(8.155859e+00 2.596074e+00 -1.060916e-19)	(5.691990e+00 2.497927e+00 -1.058570e-19)	(2.463869e+00 9.814749e-02 -2.345655e-22)
0.0011       	(6.856856e+00 1.153974e-01 -1.144278e-19)	(4.450017e+00 2.046920e-02 -1.141980e-19)	(2.406839e+00 9.492817e-02 -2.298494e-22)
0.0012       	(6.778834e+00 -2.169422e+00 -1.166616e-19)	(4.426018e+00 -2.261407e+00 -1.164469e-19)	(2.352816e+00 9.198493e-02 -2.146687e-22)
0.0013       	(7.015570e+00 3.142951e-01 -1.109542e-19)	(4.712434e+00 2.253726e-01 -1.107520e-19)	(2.303136e+00 8.892256e-02 -2.022678e-22)
0.0014       	(1.083253e+01 1.019811e+00 -1.362082e-19)	(8.574230e+00 9.338121e-01 -1.360193e-19)	(2.258296e+00 8.599871e-02 -1.889029e-22)
0.0015       	(1.016546e+01 1.146944e+00 -1.519894e-19)	(7.948514e+00 1.064391e+00 -1.518105e-19)	(2.216949e+00 8.255299e-02 -1.788412e-22)
0.0016       	(1.012340e+01 1.579958e+00 -1.252000e-19)	(7.948440e+00 1.500889e+00 -1.250282e-19)	(2.174963e+00 7.906911e-02 -1.718082e-22)
0.0017       	(1.051536e+01 1.837364e+00 -1.221556e-19)	(8.382031e+00 1.761424e+00 -1.219926e-19)	(2.133327e+00 7.594024e-02 -1.629726e-22)
0.0018       	(9.834200e+00 1.672544e+00 -1.267261e-19)	(7.741344e+00 1.600094e+00 -1.265721e-19)	(2.092856e+00 7.244951e-02 -1.540178e-22)
0.0019       	(9.299149e+00 1.229376e+00 -1.358872e-19)	(7.244865e+00 1.160641e+00 -1.357435e-19)	(2.054285e+00 6.873496e-02 -1.437362e-22)
0.002        	(8.514665e+00 1.120141e+00 -1.286919e-19)	(6.498616e+00 1.053939e+00 -1.285552e-19)	(2.016049e+00 6.620155e-02 -1.366656e-22)
0.0021       	(8.143145e+00 1.584111e+00 -1.252399e-19)	(6.164556e+00 1.520786e+00 -1.251075e-19)	(1.978589e+00 6.332486e-02 -1.323378e-22)
0.0022       	(8.493504e+00 1.678459e+00 -1.246713e-19)	(6.552921e+00 1.618152e+00 -1.245417e-19)	(1.940583e+00 6.030684e-02 -1.295922e-22)
0.0023       	(1.023799e+01 1.685382e+00 -1.325177e-19)	(8.335066e+00 1.628232e+00 -1.323900e-19)	(1.902921e+00 5.715028e-02 -1.276912e-22)
0.0024       	(1.141771e+01 1.703895e+00 -1.374859e-19)	(9.550885e+00 1.649494e+00 -1.373606e-19)	(1.866827e+00 5.440177e-02 -1.253590e-22)
0.0025       	(8.480864e+00 1.537721e+00 -1.283735e-19)	(6.649812e+00 1.485206e+00 -1.282487e-19)	(1.831052e+00 5.251447e-02 -1.248237e-22)
0.0026       	(9.141537e+00 1.968682e+00 -1.266687e-19)	(7.345496e+00 1.917713e+00 -1.265450e-19)	(1.796042e+00 5.096946e-02 -1.236626e-22)
0.0027       	(9.815871e+00 2.062150e+00 -1.279364e-19)	(8.054988e+00 2.012558e+00 -1.278119e-19)	(1.760883e+00 4.959113e-02 -1.245747e-22)
0.0028       	(1.014034e+01 2.289804e+00 -1.234521e-19)	(8.411004e+00 2.241386e+00 -1.233274e-19)	(1.729333e+00 4.841854e-02 -1.246450e-22)
0.0029       	(1.118665e+01 2.282086e+00 -1.285518e-19)	(9.487340e+00 2.234704e+00 -1.284268e-19)	(1.699314e+00 4.738217e-02 -1.249955e-22)
0.003        	(9.978906e+00 2.317048e+00 -1.281719e-19)	(8.307072e+00 2.270615e+00 -1.280460e-19)	(1.671834e+00 4.643221e-02 -1.259408e-22)
0.0031       	(9.293475e+00 3.708831e+00 -1.415516e-19)	(7.648367e+00 3.664120e+00 -1.414188e-19)	(1.645108e+00 4.471143e-02 -1.328193e-22)
0.0032       	(1.048677e+01 2.687248e+00 -1.316806e-19)	(8.869184e+00 2.644243e+00 -1.315483e-19)	(1.617583e+00 4.300570e-02 -1.323788e-22)
0.0033       	(1.113964e+01 3.502532e+00 -1.232615e-19)	(9.549380e+00 3.461404e+00 -1.231314e-19)	(1.590262e+00 4.112805e-02 -1.300448e-22)
0.0034       	(1.231810e+01 3.284581e+00 -1.291614e-19)	(1.075122e+01 3.245026e+00 -1.290373e-19)	(1.566873e+00 3.955549e-02 -1.241815e-22)
