# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.897697e+03 -1.618253e+04 -7.457537e-18)	(2.894068e+03 -1.618221e+04 -7.457343e-18)	(3.629191e+00 -3.251921e-01 -1.936424e-22)
0.0002       	(-3.920777e+02 2.312859e+03 5.866387e-19)	(-3.954353e+02 2.313153e+03 5.868258e-19)	(3.357524e+00 -2.940889e-01 -1.871055e-22)
0.0003       	(3.321722e+00 1.514799e-01 -1.204698e-19)	(3.574562e-01 4.103237e-01 -1.202806e-19)	(2.964266e+00 -2.588439e-01 -1.891477e-22)
0.0004       	(2.717649e+00 -1.407589e+00 -1.168337e-19)	(-9.556631e-02 -1.164830e+00 -1.166148e-19)	(2.813215e+00 -2.427585e-01 -2.188951e-22)
0.0005       	(2.569344e+00 -1.907536e+00 -1.194447e-19)	(-1.361150e-01 -1.676411e+00 -1.192115e-19)	(2.705459e+00 -2.311253e-01 -2.332243e-22)
0.0006       	(2.552509e+00 -6.673312e-01 -1.224759e-19)	(-3.512621e-02 -4.478616e-01 -1.222309e-19)	(2.587635e+00 -2.194696e-01 -2.449950e-22)
0.0007       	(2.637108e+00 -7.071978e-01 -1.277117e-19)	(1.494375e-01 -4.980498e-01 -1.274512e-19)	(2.487670e+00 -2.091479e-01 -2.604296e-22)
0.0008       	(2.743889e+00 -1.192482e+00 -1.362332e-19)	(3.290548e-01 -9.931055e-01 -1.359332e-19)	(2.414835e+00 -1.993762e-01 -2.999381e-22)
0.0009       	(3.089446e+00 -2.740514e+00 -1.366432e-19)	(7.382187e-01 -2.549759e+00 -1.363325e-19)	(2.351227e+00 -1.907546e-01 -3.106246e-22)
0.001        	(3.636275e+00 -2.611728e+00 -1.341771e-19)	(1.346192e+00 -2.430083e+00 -1.338774e-19)	(2.290083e+00 -1.816455e-01 -2.996437e-22)
0.0011       	(3.663953e+00 -2.270649e+00 -1.315178e-19)	(1.436424e+00 -2.098421e+00 -1.312392e-19)	(2.227529e+00 -1.722279e-01 -2.786551e-22)
0.0012       	(3.891333e+00 -9.922985e-01 -1.247574e-19)	(1.719208e+00 -8.295329e-01 -1.244969e-19)	(2.172125e+00 -1.627656e-01 -2.604352e-22)
0.0013       	(4.583077e+00 6.029639e-02 -1.283254e-19)	(2.458775e+00 2.150010e-01 -1.280863e-19)	(2.124302e+00 -1.547046e-01 -2.390817e-22)
0.0014       	(4.425166e+00 -1.312917e+00 -1.378086e-19)	(2.344890e+00 -1.165707e+00 -1.375788e-19)	(2.080276e+00 -1.472097e-01 -2.298479e-22)
0.0015       	(5.426877e+00 -1.907783e+00 -1.562982e-19)	(3.389268e+00 -1.767898e+00 -1.560710e-19)	(2.037609e+00 -1.398846e-01 -2.272221e-22)
0.0016       	(5.595199e+00 -3.003844e+00 -1.701811e-19)	(3.597112e+00 -2.870265e+00 -1.699458e-19)	(1.998087e+00 -1.335795e-01 -2.353075e-22)
0.0017       	(6.869679e+00 -3.684426e+00 -1.835402e-19)	(4.907660e+00 -3.556616e+00 -1.832966e-19)	(1.962019e+00 -1.278106e-01 -2.436215e-22)
0.0018       	(8.764003e+00 -4.011411e+00 -2.002359e-19)	(6.834574e+00 -3.888795e+00 -2.000013e-19)	(1.929429e+00 -1.226158e-01 -2.346601e-22)
0.0019       	(5.026898e+00 -1.878322e+00 -1.549913e-19)	(3.130302e+00 -1.760401e+00 -1.547612e-19)	(1.896597e+00 -1.179211e-01 -2.301062e-22)
0.002        	(5.708618e+00 -2.328740e+00 -1.625407e-19)	(3.843742e+00 -2.215874e+00 -1.623156e-19)	(1.864875e+00 -1.128661e-01 -2.251255e-22)
0.0021       	(8.193490e+00 -3.332965e+00 -1.886000e-19)	(6.358559e+00 -3.225181e+00 -1.883765e-19)	(1.834931e+00 -1.077843e-01 -2.235573e-22)
0.0022       	(7.528584e+00 -3.417575e+00 -1.750812e-19)	(5.721786e+00 -3.313865e+00 -1.748605e-19)	(1.806798e+00 -1.037096e-01 -2.206183e-22)
0.0023       	(7.476263e+00 -4.026589e+00 -1.854640e-19)	(5.696838e+00 -3.924866e+00 -1.852580e-19)	(1.779425e+00 -1.017226e-01 -2.059685e-22)
0.0024       	(7.459531e+00 -2.523407e+00 -1.563661e-19)	(5.710107e+00 -2.424206e+00 -1.561752e-19)	(1.749423e+00 -9.920056e-02 -1.909191e-22)
0.0025       	(9.609352e+00 -3.052120e+00 -1.650909e-19)	(7.886332e+00 -2.954935e+00 -1.649126e-19)	(1.723020e+00 -9.718473e-02 -1.782616e-22)
0.0026       	(9.564905e+00 -4.452123e+00 -2.003442e-19)	(7.864483e+00 -4.356045e+00 -2.001799e-19)	(1.700422e+00 -9.607767e-02 -1.643022e-22)
