# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.841223e+03 1.654610e+04 2.197392e-18)	(2.837607e+03 1.654576e+04 2.197776e-18)	(3.616092e+00 3.343474e-01 -3.832619e-22)
0.0002       	(-3.812142e+02 -2.481048e+03 -2.382410e-19)	(-3.845581e+02 -2.481346e+03 -2.379202e-19)	(3.343810e+00 2.976501e-01 -3.208082e-22)
0.0003       	(2.611458e+00 3.823756e+00 -1.238196e-19)	(-3.372458e-01 3.561836e+00 -1.235318e-19)	(2.948704e+00 2.619204e-01 -2.877370e-22)
0.0004       	(2.814532e+00 4.259797e-01 -1.198620e-19)	(1.595459e-02 1.776086e-01 -1.195916e-19)	(2.798578e+00 2.483711e-01 -2.703925e-22)
0.0005       	(2.547442e+00 1.161938e+00 -1.282299e-19)	(-1.444026e-01 9.215711e-01 -1.279743e-19)	(2.691845e+00 2.403671e-01 -2.556941e-22)
0.0006       	(2.531994e+00 1.659204e+00 -1.255994e-19)	(-4.955466e-02 1.428384e+00 -1.253561e-19)	(2.581549e+00 2.308203e-01 -2.432780e-22)
0.0007       	(2.681243e+00 1.947785e-01 -1.222898e-19)	(1.945236e-01 -2.775273e-02 -1.220587e-19)	(2.486719e+00 2.225313e-01 -2.310941e-22)
0.0008       	(2.784407e+00 1.680888e+00 -1.190158e-19)	(3.693266e-01 1.466747e+00 -1.188013e-19)	(2.415081e+00 2.141410e-01 -2.145748e-22)
0.0009       	(3.453357e+00 2.172896e+00 -1.137906e-19)	(1.100703e+00 1.967579e+00 -1.136038e-19)	(2.352654e+00 2.053166e-01 -1.867704e-22)
0.001        	(3.545094e+00 2.580022e+00 -1.103601e-19)	(1.255061e+00 2.384629e+00 -1.101966e-19)	(2.290034e+00 1.953935e-01 -1.635680e-22)
0.0011       	(3.527878e+00 1.652114e+00 -1.123510e-19)	(1.297872e+00 1.466080e+00 -1.121977e-19)	(2.230006e+00 1.860340e-01 -1.532996e-22)
0.0012       	(3.843173e+00 -2.015324e-01 -1.149485e-19)	(1.665825e+00 -3.783778e-01 -1.147997e-19)	(2.177348e+00 1.768454e-01 -1.487104e-22)
0.0013       	(3.660813e+00 2.533288e+00 -1.160906e-19)	(1.531188e+00 2.366164e+00 -1.159480e-19)	(2.129625e+00 1.671241e-01 -1.426157e-22)
0.0014       	(4.176254e+00 2.416674e+00 -1.194733e-19)	(2.092660e+00 2.258208e+00 -1.193402e-19)	(2.083594e+00 1.584658e-01 -1.330397e-22)
0.0015       	(5.252877e+00 3.004726e+00 -1.122955e-19)	(3.212940e+00 2.854384e+00 -1.121714e-19)	(2.039937e+00 1.503420e-01 -1.241278e-22)
0.0016       	(9.299137e+00 4.326840e+00 -9.158988e-20)	(7.300714e+00 4.183678e+00 -9.147036e-20)	(1.998423e+00 1.431615e-01 -1.195180e-22)
0.0017       	(6.142303e+00 4.808561e+00 -1.066842e-19)	(4.182843e+00 4.672467e+00 -1.065667e-19)	(1.959460e+00 1.360935e-01 -1.174715e-22)
0.0018       	(5.213932e+00 3.847470e+00 -1.084755e-19)	(3.291636e+00 3.717764e+00 -1.083686e-19)	(1.922296e+00 1.297055e-01 -1.069337e-22)
0.0019       	(5.978232e+00 4.258772e+00 -1.060869e-19)	(4.091066e+00 4.134484e+00 -1.059940e-19)	(1.887166e+00 1.242875e-01 -9.281992e-23)
0.002        	(5.932436e+00 4.685519e+00 -1.080342e-19)	(4.078323e+00 4.565750e+00 -1.079570e-19)	(1.854113e+00 1.197694e-01 -7.725744e-23)
0.0021       	(5.759791e+00 3.770123e+00 -1.068497e-19)	(3.936452e+00 3.654372e+00 -1.067790e-19)	(1.823340e+00 1.157512e-01 -7.078435e-23)
0.0022       	(7.365439e+00 3.996505e+00 -9.743477e-20)	(5.570338e+00 3.885153e+00 -9.737147e-20)	(1.795101e+00 1.113524e-01 -6.329324e-23)
0.0023       	(8.223215e+00 4.895524e+00 -9.573041e-20)	(6.456390e+00 4.787648e+00 -9.567792e-20)	(1.766825e+00 1.078757e-01 -5.248950e-23)
0.0024       	(6.718010e+00 4.356443e+00 -1.029750e-19)	(4.978960e+00 4.251739e+00 -1.029329e-19)	(1.739050e+00 1.047047e-01 -4.211331e-23)
0.0025       	(7.186300e+00 4.306010e+00 -9.977781e-20)	(5.475461e+00 4.204235e+00 -9.973818e-20)	(1.710839e+00 1.017747e-01 -3.963026e-23)
0.0026       	(8.415332e+00 5.239304e+00 -9.676756e-20)	(6.730636e+00 5.139234e+00 -9.672233e-20)	(1.684696e+00 1.000702e-01 -4.522261e-23)
0.0027       	(6.383112e+00 4.200148e+00 -1.050195e-19)	(4.722540e+00 4.101230e+00 -1.049683e-19)	(1.660572e+00 9.891750e-02 -5.115564e-23)
0.0028       	(7.441171e+00 4.863548e+00 -1.007430e-19)	(5.803535e+00 4.765636e+00 -1.006846e-19)	(1.637636e+00 9.791250e-02 -5.836312e-23)
0.0029       	(1.088155e+01 8.523659e+00 -8.565730e-20)	(9.266723e+00 8.426867e+00 -8.559323e-20)	(1.614827e+00 9.679199e-02 -6.407452e-23)
0.003        	(1.029448e+01 7.327498e+00 -9.563561e-20)	(8.702146e+00 7.231655e+00 -9.556338e-20)	(1.592329e+00 9.584310e-02 -7.222973e-23)
0.0031       	(1.215531e+01 3.959081e+00 -1.557763e-19)	(1.058471e+01 3.864033e+00 -1.556842e-19)	(1.570607e+00 9.504857e-02 -9.213131e-23)
0.0032       	(1.252577e+01 5.385830e+00 -1.095253e-19)	(1.097576e+01 5.291422e+00 -1.094167e-19)	(1.550017e+00 9.440721e-02 -1.086328e-22)
0.0033       	(1.186889e+01 6.651997e+00 -9.118982e-20)	(1.033787e+01 6.557929e+00 -9.106682e-20)	(1.531016e+00 9.406775e-02 -1.230066e-22)
0.0034       	(9.101045e+00 5.349400e+00 -1.043753e-19)	(7.587875e+00 5.256148e+00 -1.042416e-19)	(1.513170e+00 9.325261e-02 -1.337008e-22)
0.0035       	(7.457856e+00 6.528427e+00 -8.151050e-20)	(5.964291e+00 6.436967e+00 -8.138898e-20)	(1.493565e+00 9.145996e-02 -1.215164e-22)
0.0036       	(6.849660e+00 4.270950e+00 -9.769446e-20)	(5.375153e+00 4.181303e+00 -9.758101e-20)	(1.474507e+00 8.964710e-02 -1.134433e-22)
0.0037       	(7.254820e+00 4.548152e+00 -9.787763e-20)	(5.797396e+00 4.459876e+00 -9.777079e-20)	(1.457423e+00 8.827590e-02 -1.068336e-22)
0.0038       	(8.043179e+00 4.666547e+00 -1.003287e-19)	(6.600378e+00 4.579651e+00 -1.002274e-19)	(1.442801e+00 8.689591e-02 -1.013332e-22)
0.0039       	(1.036407e+01 6.212375e+00 -9.173884e-20)	(8.934433e+00 6.126556e+00 -9.163907e-20)	(1.429633e+00 8.581884e-02 -9.977156e-23)
0.004        	(1.022732e+01 5.039238e+00 -1.050844e-19)	(8.810803e+00 4.954519e+00 -1.049801e-19)	(1.416514e+00 8.471834e-02 -1.043505e-22)
0.0041       	(1.204855e+01 6.350927e+00 -1.028634e-19)	(1.064431e+01 6.266280e+00 -1.027561e-19)	(1.404234e+00 8.464660e-02 -1.073535e-22)
0.0042       	(1.077050e+01 6.182036e+00 -9.842029e-20)	(9.378930e+00 6.097388e+00 -9.831275e-20)	(1.391571e+00 8.464739e-02 -1.075337e-22)
0.0043       	(1.061566e+01 6.759623e+00 -9.493633e-20)	(9.236218e+00 6.675280e+00 -9.483043e-20)	(1.379442e+00 8.434241e-02 -1.058980e-22)
0.0044       	(1.058175e+01 6.766269e+00 -9.891830e-20)	(9.216012e+00 6.682380e+00 -9.881396e-20)	(1.365735e+00 8.388954e-02 -1.043412e-22)
0.0045       	(1.118896e+01 7.272752e+00 -1.012591e-19)	(9.837418e+00 7.189079e+00 -1.011595e-19)	(1.351544e+00 8.367246e-02 -9.962610e-23)
0.0046       	(1.114540e+01 9.554606e+00 -8.695987e-20)	(9.805758e+00 9.470500e+00 -8.685598e-20)	(1.339638e+00 8.410638e-02 -1.038897e-22)
0.0047       	(9.788046e+00 5.606365e+00 -9.997527e-20)	(8.456279e+00 5.523193e+00 -9.987631e-20)	(1.331767e+00 8.317179e-02 -9.895284e-23)
0.0048       	(9.771495e+00 5.226311e+00 -1.030104e-19)	(8.447449e+00 5.144041e+00 -1.029157e-19)	(1.324046e+00 8.226966e-02 -9.472081e-23)
0.0049       	(1.114597e+01 5.332492e+00 -1.099725e-19)	(9.829241e+00 5.250769e+00 -1.098803e-19)	(1.316734e+00 8.172276e-02 -9.220607e-23)
0.005        	(1.411524e+01 7.614466e+00 -9.917932e-20)	(1.280507e+01 7.533015e+00 -9.908866e-20)	(1.310165e+00 8.145057e-02 -9.066341e-23)
0.0051       	(1.379833e+01 7.172821e+00 -1.001405e-19)	(1.249554e+01 7.091334e+00 -1.000477e-19)	(1.302799e+00 8.148680e-02 -9.286817e-23)
0.0052       	(1.016320e+01 5.447066e+00 -9.943628e-20)	(8.869308e+00 5.365643e+00 -9.934462e-20)	(1.293892e+00 8.142314e-02 -9.166064e-23)
0.0053       	(9.640618e+00 5.300199e+00 -9.850629e-20)	(8.358985e+00 5.218070e+00 -9.841019e-20)	(1.281633e+00 8.212823e-02 -9.610197e-23)
0.0054       	(1.049257e+01 6.181169e+00 -9.678310e-20)	(9.222829e+00 6.098847e+00 -9.668661e-20)	(1.269741e+00 8.232158e-02 -9.649008e-23)
0.0055       	(1.098445e+01 5.816315e+00 -1.033741e-19)	(9.721222e+00 5.734021e+00 -1.032798e-19)	(1.263225e+00 8.229315e-02 -9.430816e-23)
0.0056       	(1.237986e+01 7.418290e+00 -9.404170e-20)	(1.112342e+01 7.335732e+00 -9.395042e-20)	(1.256435e+00 8.255814e-02 -9.128115e-23)
0.0057       	(1.086540e+01 5.635701e+00 -1.023629e-19)	(9.617196e+00 5.552939e+00 -1.022763e-19)	(1.248208e+00 8.276192e-02 -8.661832e-23)
0.0058       	(1.334294e+01 8.024730e+00 -1.021332e-19)	(1.210231e+01 7.942179e+00 -1.020537e-19)	(1.240628e+00 8.255086e-02 -7.949041e-23)
0.0059       	(1.530441e+01 1.127141e+01 -9.715363e-20)	(1.406928e+01 1.118961e+01 -9.707922e-20)	(1.235136e+00 8.180123e-02 -7.441043e-23)
0.006        	(1.166764e+01 6.993306e+00 -1.013545e-19)	(1.043848e+01 6.912201e+00 -1.012849e-19)	(1.229163e+00 8.110474e-02 -6.961632e-23)
0.0061       	(1.142300e+01 7.529338e+00 -9.795817e-20)	(1.020271e+01 7.448385e+00 -9.789391e-20)	(1.220292e+00 8.095261e-02 -6.425763e-23)
0.0062       	(1.194968e+01 8.432990e+00 -9.418428e-20)	(1.073923e+01 8.351866e+00 -9.412223e-20)	(1.210454e+00 8.112486e-02 -6.205203e-23)
0.0063       	(1.042943e+01 7.537790e+00 -9.942097e-20)	(9.228026e+00 7.456611e+00 -9.935740e-20)	(1.201404e+00 8.117842e-02 -6.357072e-23)
0.0064       	(1.135221e+01 1.091685e+01 -1.090554e-19)	(1.016065e+01 1.083577e+01 -1.089861e-19)	(1.191563e+00 8.107461e-02 -6.933052e-23)
0.0065       	(1.309117e+01 1.056971e+01 -1.058205e-19)	(1.190733e+01 1.048822e+01 -1.057472e-19)	(1.183836e+00 8.149674e-02 -7.334417e-23)
0.0066       	(1.260181e+01 9.143521e+00 -1.059403e-19)	(1.142272e+01 9.061669e+00 -1.058650e-19)	(1.179081e+00 8.185236e-02 -7.529056e-23)
0.0067       	(1.220739e+01 8.438984e+00 -9.767518e-20)	(1.103007e+01 8.357382e+00 -9.759750e-20)	(1.177322e+00 8.160191e-02 -7.768169e-23)
0.0068       	(1.285366e+01 8.162959e+00 -9.862375e-20)	(1.167881e+01 8.081572e+00 -9.854379e-20)	(1.174852e+00 8.138672e-02 -7.996425e-23)
0.0069       	(1.194821e+01 7.665178e+00 -1.030606e-19)	(1.077560e+01 7.583824e+00 -1.029793e-19)	(1.172602e+00 8.135333e-02 -8.128028e-23)
0.007        	(1.224894e+01 9.895205e+00 -1.006831e-19)	(1.107666e+01 9.813490e+00 -1.006025e-19)	(1.172272e+00 8.171486e-02 -8.059323e-23)
0.0071       	(1.036281e+01 6.252634e+00 -1.050183e-19)	(9.190984e+00 6.170719e+00 -1.049391e-19)	(1.171822e+00 8.191471e-02 -7.917840e-23)
0.0072       	(1.139196e+01 7.317595e+00 -1.011273e-19)	(1.021754e+01 7.235819e+00 -1.010506e-19)	(1.174418e+00 8.177610e-02 -7.671720e-23)
0.0073       	(1.067847e+01 6.292170e+00 -1.049817e-19)	(9.503955e+00 6.210614e+00 -1.049068e-19)	(1.174511e+00 8.155588e-02 -7.490639e-23)
0.0074       	(9.980573e+00 5.416483e+00 -1.076346e-19)	(8.807359e+00 5.335057e+00 -1.075616e-19)	(1.173214e+00 8.142516e-02 -7.308398e-23)
0.0075       	(1.069479e+01 6.388338e+00 -1.068974e-19)	(9.523691e+00 6.306878e+00 -1.068270e-19)	(1.171104e+00 8.146044e-02 -7.033740e-23)
0.0076       	(1.118125e+01 7.577075e+00 -1.034153e-19)	(1.001069e+01 7.495695e+00 -1.033487e-19)	(1.170562e+00 8.137986e-02 -6.663919e-23)
0.0077       	(1.124972e+01 8.254541e+00 -1.020663e-19)	(1.008265e+01 8.173081e+00 -1.020006e-19)	(1.167073e+00 8.146083e-02 -6.571274e-23)
0.0078       	(1.127931e+01 6.852190e+00 -1.040683e-19)	(1.011662e+01 6.770861e+00 -1.040025e-19)	(1.162695e+00 8.132954e-02 -6.574945e-23)
0.0079       	(1.247698e+01 7.156300e+00 -1.087015e-19)	(1.131005e+01 7.075418e+00 -1.086360e-19)	(1.166929e+00 8.088238e-02 -6.550339e-23)
0.008        	(1.290130e+01 7.667374e+00 -1.070509e-19)	(1.172979e+01 7.586765e+00 -1.069858e-19)	(1.171512e+00 8.060823e-02 -6.509494e-23)
0.0081       	(1.481848e+01 1.058091e+01 -9.938498e-20)	(1.364318e+01 1.049963e+01 -9.932243e-20)	(1.175292e+00 8.127168e-02 -6.255016e-23)
0.0082       	(1.329774e+01 9.237389e+00 -1.004597e-19)	(1.211833e+01 9.155070e+00 -1.003995e-19)	(1.179409e+00 8.231876e-02 -6.024688e-23)
0.0083       	(1.375134e+01 1.053860e+01 -9.776496e-20)	(1.256692e+01 1.045509e+01 -9.770950e-20)	(1.184416e+00 8.351611e-02 -5.545992e-23)
