# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.419866e+03 3.824123e+03 -7.888854e-19)	(3.416217e+03 3.824035e+03 -7.885693e-19)	(3.649159e+00 8.860745e-02 -3.161088e-22)
0.0002       	(1.991358e+01 -4.450168e+01 -1.476435e-19)	(1.655244e+01 -4.458305e+01 -1.473597e-19)	(3.361135e+00 8.137575e-02 -2.838279e-22)
0.0003       	(1.751321e+01 2.759006e+00 -1.463097e-19)	(1.436701e+01 2.681526e+00 -1.460400e-19)	(3.146197e+00 7.748016e-02 -2.696869e-22)
0.0004       	(1.735596e+01 5.801986e+00 -1.442063e-19)	(1.435080e+01 5.727722e+00 -1.439432e-19)	(3.005163e+00 7.426440e-02 -2.631085e-22)
0.0005       	(1.832580e+01 2.512499e+00 -1.414563e-19)	(1.543451e+01 2.441828e+00 -1.411849e-19)	(2.891284e+00 7.067111e-02 -2.713850e-22)
0.0006       	(1.811260e+01 4.357921e+00 -1.438447e-19)	(1.531380e+01 4.289811e+00 -1.435704e-19)	(2.798800e+00 6.811027e-02 -2.742891e-22)
0.0007       	(1.799548e+01 -2.315620e+00 -1.490564e-19)	(1.527560e+01 -2.382415e+00 -1.487828e-19)	(2.719881e+00 6.679528e-02 -2.736133e-22)
0.0008       	(1.858559e+01 -4.287083e-01 -1.454914e-19)	(1.593486e+01 -4.939103e-01 -1.452186e-19)	(2.650727e+00 6.520201e-02 -2.727729e-22)
0.0009       	(1.915301e+01 5.317351e+00 -1.405399e-19)	(1.656225e+01 5.253777e+00 -1.402632e-19)	(2.590761e+00 6.357367e-02 -2.766754e-22)
0.001        	(1.849063e+01 3.518193e+00 -1.459917e-19)	(1.595289e+01 3.456123e+00 -1.457176e-19)	(2.537737e+00 6.206977e-02 -2.741915e-22)
0.0011       	(1.763928e+01 9.802883e+00 -1.526281e-19)	(1.514897e+01 9.742855e+00 -1.523677e-19)	(2.490306e+00 6.002801e-02 -2.603574e-22)
0.0012       	(1.864366e+01 3.549729e-01 -1.421189e-19)	(1.619756e+01 2.965943e-01 -1.418710e-19)	(2.446109e+00 5.837862e-02 -2.479028e-22)
0.0013       	(1.907820e+01 8.009840e-01 -1.392001e-19)	(1.667286e+01 7.440255e-01 -1.389621e-19)	(2.405333e+00 5.695843e-02 -2.379806e-22)
0.0014       	(1.947072e+01 2.222579e+00 -1.377680e-19)	(1.710191e+01 2.167101e+00 -1.375412e-19)	(2.368803e+00 5.547820e-02 -2.268425e-22)
0.0015       	(1.901336e+01 2.089515e+00 -1.396104e-19)	(1.667689e+01 2.035047e+00 -1.393925e-19)	(2.336473e+00 5.446842e-02 -2.178622e-22)
0.0016       	(1.881108e+01 1.493907e+00 -1.385533e-19)	(1.650418e+01 1.440208e+00 -1.383407e-19)	(2.306907e+00 5.369993e-02 -2.125916e-22)
0.0017       	(1.999770e+01 3.347937e+00 -1.355439e-19)	(1.771691e+01 3.295015e+00 -1.353377e-19)	(2.280790e+00 5.292210e-02 -2.061753e-22)
0.0018       	(1.967024e+01 4.013177e+00 -1.319778e-19)	(1.741536e+01 3.961190e+00 -1.317792e-19)	(2.254886e+00 5.198691e-02 -1.986306e-22)
0.0019       	(2.017886e+01 4.422522e+00 -1.316510e-19)	(1.794868e+01 4.371494e+00 -1.314589e-19)	(2.230173e+00 5.102786e-02 -1.920220e-22)
0.002        	(1.986457e+01 4.893554e+00 -1.337995e-19)	(1.765787e+01 4.844058e+00 -1.336141e-19)	(2.206701e+00 4.949567e-02 -1.853257e-22)
0.0021       	(2.073575e+01 9.392727e+00 -1.382988e-19)	(1.854986e+01 9.343682e+00 -1.381181e-19)	(2.185889e+00 4.904486e-02 -1.807275e-22)
0.0022       	(2.369055e+01 8.425423e+00 -1.563977e-19)	(2.152404e+01 8.376544e+00 -1.562177e-19)	(2.166506e+00 4.887940e-02 -1.800273e-22)
0.0023       	(2.207754e+01 1.693629e+01 -1.446509e-19)	(1.993011e+01 1.688747e+01 -1.444789e-19)	(2.147427e+00 4.882827e-02 -1.719965e-22)
0.0024       	(2.321626e+01 3.632414e+01 -1.415279e-19)	(2.108793e+01 3.627726e+01 -1.413788e-19)	(2.128334e+00 4.687657e-02 -1.490296e-22)
0.0025       	(2.316339e+01 1.041324e+01 -1.423587e-19)	(2.105248e+01 1.036633e+01 -1.422297e-19)	(2.110912e+00 4.690228e-02 -1.289560e-22)
0.0026       	(2.143414e+01 5.286540e+00 -1.419581e-19)	(1.934014e+01 5.240211e+00 -1.418372e-19)	(2.094008e+00 4.632888e-02 -1.209440e-22)
0.0027       	(2.369200e+01 7.775164e+00 -1.460186e-19)	(2.161440e+01 7.729189e+00 -1.459009e-19)	(2.077600e+00 4.597460e-02 -1.177147e-22)
0.0028       	(2.235284e+01 9.548300e+00 -1.455380e-19)	(2.029187e+01 9.502061e+00 -1.454199e-19)	(2.060969e+00 4.623914e-02 -1.181071e-22)
