# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.431551e+03 -3.767398e+03 -1.932781e-18)	(3.427898e+03 -3.767308e+03 -1.932492e-18)	(3.653067e+00 -9.010779e-02 -2.892225e-22)
0.0002       	(1.640481e+01 2.130267e+01 -1.877863e-19)	(1.304057e+01 2.138564e+01 -1.875523e-19)	(3.364231e+00 -8.297301e-02 -2.340637e-22)
0.0003       	(1.744139e+01 -1.260998e+01 -1.834791e-19)	(1.429392e+01 -1.253228e+01 -1.832711e-19)	(3.147478e+00 -7.769774e-02 -2.079785e-22)
0.0004       	(1.713721e+01 -7.709480e+00 -1.828416e-19)	(1.413370e+01 -7.636316e+00 -1.826435e-19)	(3.003509e+00 -7.316449e-02 -1.981591e-22)
0.0005       	(1.701533e+01 -9.702518e+00 -1.873785e-19)	(1.412776e+01 -9.633295e+00 -1.871773e-19)	(2.887567e+00 -6.922311e-02 -2.012092e-22)
0.0006       	(1.824167e+01 -8.670725e+00 -1.885477e-19)	(1.544898e+01 -8.604666e+00 -1.883350e-19)	(2.792683e+00 -6.605958e-02 -2.126547e-22)
0.0007       	(1.699361e+01 -1.722557e+01 -1.936570e-19)	(1.428200e+01 -1.716226e+01 -1.934198e-19)	(2.711611e+00 -6.331563e-02 -2.371248e-22)
0.0008       	(1.788119e+01 -1.023741e+01 -1.921664e-19)	(1.524178e+01 -1.017579e+01 -1.919144e-19)	(2.639405e+00 -6.161194e-02 -2.520012e-22)
0.0009       	(1.751079e+01 -6.699510e+00 -1.867602e-19)	(1.493600e+01 -6.638878e+00 -1.865037e-19)	(2.574792e+00 -6.063260e-02 -2.564953e-22)
0.001        	(1.756331e+01 -1.081231e+01 -1.893953e-19)	(1.504667e+01 -1.075284e+01 -1.891377e-19)	(2.516642e+00 -5.946382e-02 -2.576679e-22)
0.0011       	(1.879084e+01 -6.721465e+00 -1.913888e-19)	(1.632761e+01 -6.662941e+00 -1.911357e-19)	(2.463232e+00 -5.852383e-02 -2.530961e-22)
0.0012       	(1.858946e+01 -8.489162e+00 -1.921486e-19)	(1.617417e+01 -8.431920e+00 -1.918993e-19)	(2.415293e+00 -5.724187e-02 -2.492570e-22)
0.0013       	(1.827129e+01 -8.082161e+00 -1.914365e-19)	(1.589789e+01 -8.025804e+00 -1.911940e-19)	(2.373403e+00 -5.635724e-02 -2.425429e-22)
0.0014       	(1.877409e+01 -1.257021e+01 -1.989125e-19)	(1.643943e+01 -1.251557e+01 -1.986837e-19)	(2.334663e+00 -5.464017e-02 -2.287936e-22)
0.0015       	(1.804661e+01 -1.503028e+01 -1.955209e-19)	(1.574839e+01 -1.497735e+01 -1.953054e-19)	(2.298221e+00 -5.292734e-02 -2.154335e-22)
0.0016       	(1.793395e+01 -1.752357e+01 -1.939087e-19)	(1.566851e+01 -1.747152e+01 -1.937038e-19)	(2.265443e+00 -5.204817e-02 -2.048994e-22)
0.0017       	(2.109864e+01 -1.231590e+01 -1.834817e-19)	(1.886357e+01 -1.226539e+01 -1.832842e-19)	(2.235070e+00 -5.050772e-02 -1.975431e-22)
0.0018       	(2.027051e+01 -1.238493e+01 -1.919684e-19)	(1.806506e+01 -1.233525e+01 -1.917757e-19)	(2.205457e+00 -4.968258e-02 -1.926963e-22)
0.0019       	(1.909259e+01 -1.852970e+01 -2.025045e-19)	(1.691641e+01 -1.848166e+01 -2.023151e-19)	(2.176177e+00 -4.804479e-02 -1.893689e-22)
0.002        	(1.947135e+01 -1.727384e+01 -1.998712e-19)	(1.732236e+01 -1.722686e+01 -1.996823e-19)	(2.148990e+00 -4.698137e-02 -1.888612e-22)
0.0021       	(2.056623e+01 -1.162295e+01 -1.940690e-19)	(1.844360e+01 -1.157597e+01 -1.938769e-19)	(2.122622e+00 -4.697171e-02 -1.920944e-22)
0.0022       	(2.103607e+01 -1.373952e+01 -1.920202e-19)	(1.893821e+01 -1.369288e+01 -1.918202e-19)	(2.097855e+00 -4.664598e-02 -2.000142e-22)
