# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.116860e+03 -1.174207e+04 -5.217691e-18)	(3.113220e+03 -1.174182e+04 -5.217483e-18)	(3.639855e+00 -2.481399e-01 -2.087945e-22)
0.0002       	(-4.511123e+02 1.694730e+03 2.102043e-19)	(-4.544826e+02 1.694959e+03 2.103921e-19)	(3.370239e+00 -2.287072e-01 -1.878165e-22)
0.0003       	(3.427936e+00 1.764176e+00 -1.181962e-19)	(4.285176e-01 1.967003e+00 -1.180081e-19)	(2.999418e+00 -2.028262e-01 -1.880740e-22)
0.0004       	(2.894847e+00 -5.138470e-01 -1.199219e-19)	(4.145934e-02 -3.214125e-01 -1.197006e-19)	(2.853387e+00 -1.924345e-01 -2.212995e-22)
0.0005       	(2.895977e+00 6.855426e-01 -1.210928e-19)	(1.464876e-01 8.704972e-01 -1.208400e-19)	(2.749490e+00 -1.849546e-01 -2.527697e-22)
0.0006       	(2.555449e+00 -1.622674e+00 -1.203558e-19)	(-8.390602e-02 -1.447154e+00 -1.200753e-19)	(2.639355e+00 -1.755201e-01 -2.805098e-22)
0.0007       	(2.392649e+00 -5.486903e-01 -1.213335e-19)	(-1.526193e-01 -3.794307e-01 -1.210346e-19)	(2.545268e+00 -1.692596e-01 -2.989120e-22)
0.0008       	(2.630180e+00 5.434321e-01 -1.229158e-19)	(1.540970e-01 7.070946e-01 -1.225945e-19)	(2.476083e+00 -1.636625e-01 -3.213210e-22)
0.0009       	(2.997683e+00 -1.822704e+00 -1.284878e-19)	(5.829954e-01 -1.664903e+00 -1.281602e-19)	(2.414687e+00 -1.578007e-01 -3.275497e-22)
0.001        	(3.499497e+00 -3.066816e+00 -1.294168e-19)	(1.144122e+00 -2.916046e+00 -1.291028e-19)	(2.355375e+00 -1.507700e-01 -3.139082e-22)
0.0011       	(3.899408e+00 -3.006920e+00 -1.261022e-19)	(1.603045e+00 -2.863076e+00 -1.258206e-19)	(2.296363e+00 -1.438437e-01 -2.816363e-22)
0.0012       	(3.838393e+00 -2.673869e+00 -1.243928e-19)	(1.597223e+00 -2.537288e+00 -1.241426e-19)	(2.241170e+00 -1.365808e-01 -2.501630e-22)
0.0013       	(4.096043e+00 -6.929991e-01 -1.343415e-19)	(1.903596e+00 -5.630650e-01 -1.341092e-19)	(2.192448e+00 -1.299341e-01 -2.322927e-22)
0.0014       	(4.602816e+00 -5.025036e-01 -1.341506e-19)	(2.452571e+00 -3.777764e-01 -1.339381e-19)	(2.150245e+00 -1.247272e-01 -2.125293e-22)
0.0015       	(6.255891e+00 -1.174302e+00 -1.625944e-19)	(4.144476e+00 -1.054206e+00 -1.623945e-19)	(2.111415e+00 -1.200963e-01 -1.999587e-22)
0.0016       	(4.494082e+00 -2.417599e+00 -1.484344e-19)	(2.420183e+00 -2.301861e+00 -1.482352e-19)	(2.073899e+00 -1.157372e-01 -1.991166e-22)
0.0017       	(5.349746e+00 -2.700373e+00 -1.572886e-19)	(3.311957e+00 -2.588297e+00 -1.570890e-19)	(2.037790e+00 -1.120763e-01 -1.996121e-22)
0.0018       	(9.125109e+00 -3.029169e+00 -2.051554e-19)	(7.120015e+00 -2.920172e+00 -2.049616e-19)	(2.005094e+00 -1.089972e-01 -1.937763e-22)
0.0019       	(6.294067e+00 -4.427771e-01 -1.605549e-19)	(4.321023e+00 -3.373004e-01 -1.603729e-19)	(1.973045e+00 -1.054766e-01 -1.820162e-22)
0.002        	(5.676627e+00 -2.428308e+00 -1.439207e-19)	(3.736191e+00 -2.326505e+00 -1.437522e-19)	(1.940435e+00 -1.018030e-01 -1.684721e-22)
0.0021       	(1.025957e+01 -2.096372e+00 -1.480877e-19)	(8.353547e+00 -1.998622e+00 -1.479333e-19)	(1.906019e+00 -9.775059e-02 -1.544344e-22)
0.0022       	(1.024209e+01 -3.450459e+00 -1.691637e-19)	(8.366542e+00 -3.356994e+00 -1.690105e-19)	(1.875550e+00 -9.346495e-02 -1.532530e-22)
0.0023       	(7.234480e+00 -3.739018e+00 -1.577026e-19)	(5.386907e+00 -3.647854e+00 -1.575534e-19)	(1.847573e+00 -9.116397e-02 -1.491734e-22)
0.0024       	(6.878245e+00 -4.466692e+00 -1.674143e-19)	(5.057416e+00 -4.377547e+00 -1.672695e-19)	(1.820829e+00 -8.914461e-02 -1.448937e-22)
0.0025       	(6.618864e+00 -3.981569e+00 -1.612764e-19)	(4.825133e+00 -3.894251e+00 -1.611316e-19)	(1.793731e+00 -8.731753e-02 -1.447499e-22)
0.0026       	(7.573703e+00 -3.946963e+00 -1.625332e-19)	(5.806315e+00 -3.861330e+00 -1.623873e-19)	(1.767388e+00 -8.563325e-02 -1.458567e-22)
0.0027       	(9.316675e+00 -5.591751e+00 -1.778772e-19)	(7.574557e+00 -5.507616e+00 -1.777299e-19)	(1.742118e+00 -8.413507e-02 -1.473619e-22)
0.0028       	(7.683392e+00 -6.773108e+00 -1.698935e-19)	(5.966816e+00 -6.690222e+00 -1.697520e-19)	(1.716575e+00 -8.288549e-02 -1.415020e-22)
0.0029       	(8.149700e+00 -4.644206e+00 -1.707320e-19)	(6.456129e+00 -4.562745e+00 -1.705915e-19)	(1.693571e+00 -8.146112e-02 -1.405003e-22)
0.003        	(8.213000e+00 -4.774327e+00 -1.751843e-19)	(6.540785e+00 -4.694084e+00 -1.750447e-19)	(1.672215e+00 -8.024293e-02 -1.396228e-22)
0.0031       	(6.492983e+00 -3.997004e+00 -1.562865e-19)	(4.840916e+00 -3.919417e+00 -1.561520e-19)	(1.652066e+00 -7.758668e-02 -1.344587e-22)
0.0032       	(8.524871e+00 -4.638766e+00 -1.702365e-19)	(6.891164e+00 -4.563366e+00 -1.701065e-19)	(1.633707e+00 -7.539957e-02 -1.300041e-22)
0.0033       	(8.372088e+00 -6.247394e+00 -1.670425e-19)	(6.755049e+00 -6.173112e+00 -1.669159e-19)	(1.617040e+00 -7.428207e-02 -1.266343e-22)
0.0034       	(9.601915e+00 -5.159893e+00 -1.724627e-19)	(8.000465e+00 -5.085953e+00 -1.723432e-19)	(1.601450e+00 -7.393999e-02 -1.195707e-22)
0.0035       	(1.099930e+01 -5.667064e+00 -1.814801e-19)	(9.415492e+00 -5.594033e+00 -1.813574e-19)	(1.583804e+00 -7.303144e-02 -1.226496e-22)
0.0036       	(1.221152e+01 -5.382820e+00 -1.838991e-19)	(1.064603e+01 -5.310197e+00 -1.837700e-19)	(1.565482e+00 -7.262276e-02 -1.291303e-22)
0.0037       	(1.163379e+01 -8.869218e+00 -1.632442e-19)	(1.008579e+01 -8.797336e+00 -1.631141e-19)	(1.548002e+00 -7.188167e-02 -1.300547e-22)
0.0038       	(1.114852e+01 -5.710643e+00 -1.727374e-19)	(9.616073e+00 -5.639715e+00 -1.726076e-19)	(1.532450e+00 -7.092809e-02 -1.298420e-22)
0.0039       	(9.078795e+00 -5.229073e+00 -1.613893e-19)	(7.560468e+00 -5.159291e+00 -1.612551e-19)	(1.518326e+00 -6.978261e-02 -1.341699e-22)
0.004        	(9.132539e+00 -5.500760e+00 -1.599473e-19)	(7.629639e+00 -5.432180e+00 -1.598134e-19)	(1.502901e+00 -6.857959e-02 -1.339304e-22)
0.0041       	(1.071807e+01 -6.183455e+00 -1.715923e-19)	(9.229828e+00 -6.116391e+00 -1.714631e-19)	(1.488240e+00 -6.706420e-02 -1.291545e-22)
0.0042       	(1.221987e+01 -6.739406e+00 -1.935578e-19)	(1.074666e+01 -6.672985e+00 -1.934298e-19)	(1.473214e+00 -6.642083e-02 -1.279953e-22)
