# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.148357e+03 -2.873111e+04 -1.315609e-17)	(2.144792e+03 -2.873055e+04 -1.315591e-17)	(3.564193e+00 -5.673390e-01 -1.790685e-22)
0.0002       	(-1.822915e+02 4.177601e+03 1.587581e-18)	(-1.855675e+02 4.178099e+03 1.587729e-18)	(3.275992e+00 -4.977934e-01 -1.477534e-22)
0.0003       	(1.999484e+00 -4.874293e+00 -1.137025e-19)	(-8.262331e-01 -4.445626e+00 -1.135644e-19)	(2.825717e+00 -4.286666e-01 -1.381478e-22)
0.0004       	(2.881836e+00 -5.017615e-01 -1.213473e-19)	(2.252343e-01 -1.047456e-01 -1.212166e-19)	(2.656602e+00 -3.970159e-01 -1.306670e-22)
0.0005       	(2.664089e+00 -8.787270e-01 -1.158397e-19)	(1.294614e-01 -5.072385e-01 -1.157229e-19)	(2.534628e+00 -3.714885e-01 -1.167844e-22)
0.0006       	(2.468917e+00 -1.578145e+00 -1.154998e-19)	(6.162269e-02 -1.232579e+00 -1.153976e-19)	(2.407295e+00 -3.455664e-01 -1.022483e-22)
0.0007       	(2.359570e+00 -2.099395e+00 -1.231388e-19)	(6.826327e-02 -1.778094e+00 -1.230527e-19)	(2.291306e+00 -3.213001e-01 -8.611927e-23)
0.0008       	(2.635750e+00 -1.703141e+00 -1.284342e-19)	(4.329579e-01 -1.403732e+00 -1.283674e-19)	(2.202792e+00 -2.994095e-01 -6.680665e-23)
0.0009       	(3.135500e+00 4.909393e-01 -1.367038e-19)	(1.008960e+00 7.703576e-01 -1.366343e-19)	(2.126540e+00 -2.794182e-01 -6.944985e-23)
0.001        	(3.783241e+00 1.520012e+00 -1.534223e-19)	(1.730521e+00 1.779767e+00 -1.533385e-19)	(2.052720e+00 -2.597557e-01 -8.371001e-23)
0.0011       	(3.770117e+00 -9.388039e-01 -1.574661e-19)	(1.784282e+00 -6.981229e-01 -1.573664e-19)	(1.985834e+00 -2.406810e-01 -9.965913e-23)
0.0012       	(3.477523e+00 -1.911271e+00 -1.480759e-19)	(1.549724e+00 -1.687704e+00 -1.479650e-19)	(1.927798e+00 -2.235678e-01 -1.109473e-22)
0.0013       	(3.138969e+00 -3.182694e+00 -1.456025e-19)	(1.257745e+00 -2.973026e+00 -1.454879e-19)	(1.881224e+00 -2.096682e-01 -1.146041e-22)
0.0014       	(3.308739e+00 -3.614765e+00 -1.557291e-19)	(1.470083e+00 -3.416615e+00 -1.556033e-19)	(1.838656e+00 -1.981501e-01 -1.257884e-22)
0.0015       	(4.084528e+00 -4.229541e+00 -1.820966e-19)	(2.282665e+00 -4.041258e+00 -1.819549e-19)	(1.801863e+00 -1.882830e-01 -1.416693e-22)
0.0016       	(4.242350e+00 -4.069253e+00 -1.748874e-19)	(2.474056e+00 -3.889283e+00 -1.747479e-19)	(1.768294e+00 -1.799704e-01 -1.395174e-22)
0.0017       	(7.997421e+00 -5.382118e+00 -1.965015e-19)	(6.260242e+00 -5.209277e+00 -1.963755e-19)	(1.737179e+00 -1.728418e-01 -1.259680e-22)
0.0018       	(6.632317e+00 -4.900391e+00 -1.976577e-19)	(4.924900e+00 -4.733017e+00 -1.975310e-19)	(1.707417e+00 -1.673742e-01 -1.266863e-22)
0.0019       	(5.594876e+00 -4.704663e+00 -1.836655e-19)	(3.914746e+00 -4.541896e+00 -1.835343e-19)	(1.680130e+00 -1.627666e-01 -1.311113e-22)
0.002        	(6.435797e+00 -4.624312e+00 -1.823392e-19)	(4.781187e+00 -4.465533e+00 -1.822025e-19)	(1.654611e+00 -1.587798e-01 -1.366345e-22)
0.0021       	(1.019521e+01 -6.191098e+00 -2.078649e-19)	(8.566238e+00 -6.036680e+00 -2.077731e-19)	(1.628977e+00 -1.544185e-01 -9.183002e-23)
0.0022       	(8.381240e+00 -6.562894e+00 -1.975026e-19)	(6.775285e+00 -6.412344e+00 -1.974088e-19)	(1.605955e+00 -1.505507e-01 -9.378563e-23)
0.0023       	(9.536125e+00 -8.088288e+00 -2.024138e-19)	(7.952109e+00 -7.941289e+00 -2.023067e-19)	(1.584016e+00 -1.469997e-01 -1.071284e-22)
0.0024       	(8.182095e+00 -8.380544e+00 -2.087080e-19)	(6.622915e+00 -8.237864e+00 -2.086059e-19)	(1.559179e+00 -1.426794e-01 -1.021162e-22)
0.0025       	(7.884642e+00 -7.583194e+00 -2.081242e-19)	(6.349265e+00 -7.444762e+00 -2.080360e-19)	(1.535377e+00 -1.384318e-01 -8.822881e-23)
0.0026       	(5.337104e+00 -5.234564e+00 -1.716308e-19)	(3.823799e+00 -5.100374e+00 -1.715484e-19)	(1.513306e+00 -1.341900e-01 -8.233368e-23)
0.0027       	(6.521032e+00 -5.597420e+00 -1.797698e-19)	(5.028030e+00 -5.466915e+00 -1.796868e-19)	(1.493001e+00 -1.305044e-01 -8.298351e-23)
0.0028       	(7.444990e+00 -7.137048e+00 -1.866184e-19)	(5.970101e+00 -7.008627e+00 -1.865359e-19)	(1.474889e+00 -1.284204e-01 -8.253785e-23)
0.0029       	(8.778924e+00 -7.679258e+00 -2.072176e-19)	(7.318629e+00 -7.550827e+00 -2.071304e-19)	(1.460295e+00 -1.284307e-01 -8.720626e-23)
0.003        	(1.089603e+01 -1.214295e+01 -2.064472e-19)	(9.448990e+00 -1.201399e+01 -2.063557e-19)	(1.447041e+00 -1.289588e-01 -9.154612e-23)
0.0031       	(1.146133e+01 -1.105023e+01 -2.106614e-19)	(1.002568e+01 -1.092167e+01 -2.105583e-19)	(1.435648e+00 -1.285597e-01 -1.030476e-22)
0.0032       	(9.482875e+00 -9.167027e+00 -1.988440e-19)	(8.057897e+00 -9.039012e+00 -1.987361e-19)	(1.424978e+00 -1.280156e-01 -1.078890e-22)
0.0033       	(9.912100e+00 -1.068971e+01 -1.930801e-19)	(8.497496e+00 -1.056207e+01 -1.929736e-19)	(1.414604e+00 -1.276374e-01 -1.065151e-22)
0.0034       	(9.985459e+00 -1.191210e+01 -2.017401e-19)	(8.581784e+00 -1.178543e+01 -2.016422e-19)	(1.403675e+00 -1.266702e-01 -9.788613e-23)
0.0035       	(1.033766e+01 -1.144746e+01 -2.000926e-19)	(8.944772e+00 -1.132197e+01 -1.999971e-19)	(1.392892e+00 -1.254912e-01 -9.549450e-23)
0.0036       	(9.033554e+00 -1.016957e+01 -1.766731e-19)	(7.650753e+00 -1.004500e+01 -1.765806e-19)	(1.382801e+00 -1.245734e-01 -9.246400e-23)
0.0037       	(1.009648e+01 -9.936053e+00 -2.045338e-19)	(8.723138e+00 -9.812263e+00 -2.044399e-19)	(1.373340e+00 -1.237901e-01 -9.386934e-23)
0.0038       	(1.236953e+01 -1.262280e+01 -2.126891e-19)	(1.100426e+01 -1.249931e+01 -2.125901e-19)	(1.365276e+00 -1.234929e-01 -9.894229e-23)
0.0039       	(9.332133e+00 -8.953051e+00 -1.936137e-19)	(7.974919e+00 -8.829777e+00 -1.935123e-19)	(1.357214e+00 -1.232741e-01 -1.014365e-22)
0.004        	(9.865022e+00 -9.765982e+00 -1.983798e-19)	(8.515948e+00 -9.641887e+00 -1.982726e-19)	(1.349074e+00 -1.240954e-01 -1.071698e-22)
0.0041       	(9.470800e+00 -9.593164e+00 -1.917961e-19)	(8.130889e+00 -9.468671e+00 -1.916844e-19)	(1.339911e+00 -1.244925e-01 -1.116101e-22)
0.0042       	(8.864982e+00 -8.855476e+00 -1.816245e-19)	(7.532430e+00 -8.730964e+00 -1.815096e-19)	(1.332552e+00 -1.245127e-01 -1.149543e-22)
0.0043       	(1.170547e+01 -1.218778e+01 -2.073345e-19)	(1.037865e+01 -1.206337e+01 -2.072163e-19)	(1.326822e+00 -1.244075e-01 -1.182416e-22)
0.0044       	(1.019837e+01 -9.428858e+00 -2.048346e-19)	(8.877004e+00 -9.304722e+00 -2.047128e-19)	(1.321371e+00 -1.241354e-01 -1.217423e-22)
