# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.396761e+03 -4.175256e+03 -2.010705e-18)	(3.393110e+03 -4.175155e+03 -2.010422e-18)	(3.651141e+00 -1.004600e-01 -2.822749e-22)
0.0002       	(-4.553298e+01 1.584363e+02 -1.823380e-19)	(-4.889777e+01 1.585284e+02 -1.821205e-19)	(3.364793e+00 -9.208439e-02 -2.174800e-22)
0.0003       	(3.659651e+00 -4.888015e+00 -1.223310e-19)	(5.536753e-01 -4.802728e+00 -1.221151e-19)	(3.105975e+00 -8.528736e-02 -2.159469e-22)
0.0004       	(3.374706e+00 -3.019654e+00 -1.255861e-19)	(4.087012e-01 -2.938649e+00 -1.253634e-19)	(2.966005e+00 -8.100535e-02 -2.226675e-22)
0.0005       	(3.414831e+00 -5.359421e+00 -1.291106e-19)	(5.680384e-01 -5.283836e+00 -1.288700e-19)	(2.846792e+00 -7.558489e-02 -2.406051e-22)
0.0006       	(3.900607e+00 -3.126785e+00 -1.300750e-19)	(1.156386e+00 -3.055298e+00 -1.298268e-19)	(2.744221e+00 -7.148657e-02 -2.482317e-22)
0.0007       	(4.160133e+00 -1.498670e+00 -1.288105e-19)	(1.500881e+00 -1.430767e+00 -1.285622e-19)	(2.659252e+00 -6.790289e-02 -2.483096e-22)
0.0008       	(3.889786e+00 -2.101833e+00 -1.278843e-19)	(1.305224e+00 -2.036116e+00 -1.276386e-19)	(2.584562e+00 -6.571705e-02 -2.456848e-22)
0.0009       	(4.194362e+00 -1.439024e+00 -1.258192e-19)	(1.676579e+00 -1.375324e+00 -1.255806e-19)	(2.517784e+00 -6.369965e-02 -2.386767e-22)
0.001        	(6.447904e+00 -2.703516e+00 -1.335243e-19)	(3.991675e+00 -2.642053e+00 -1.333063e-19)	(2.456229e+00 -6.146263e-02 -2.179159e-22)
0.0011       	(8.625477e+00 -3.138165e+00 -1.362062e-19)	(6.226972e+00 -3.079580e+00 -1.359943e-19)	(2.398505e+00 -5.858513e-02 -2.118958e-22)
0.0012       	(8.341084e+00 -4.149915e+00 -1.381675e-19)	(5.995226e+00 -4.094232e+00 -1.379489e-19)	(2.345857e+00 -5.568355e-02 -2.185568e-22)
0.0013       	(7.870586e+00 -1.992515e+00 -1.671728e-19)	(5.573162e+00 -1.938812e+00 -1.669565e-19)	(2.297425e+00 -5.370301e-02 -2.163783e-22)
0.0014       	(8.539902e+00 -2.054080e+00 -1.668477e-19)	(6.287684e+00 -2.001475e+00 -1.666320e-19)	(2.252218e+00 -5.260504e-02 -2.156620e-22)
0.0015       	(9.442271e+00 4.946231e-01 -1.498681e-19)	(7.232435e+00 5.458475e-01 -1.496491e-19)	(2.209836e+00 -5.122443e-02 -2.190159e-22)
0.0016       	(8.261565e+00 6.183338e-02 -1.449400e-19)	(6.092743e+00 1.110001e-01 -1.447237e-19)	(2.168822e+00 -4.916674e-02 -2.163038e-22)
0.0017       	(9.216203e+00 -3.578186e+00 -1.727593e-19)	(7.088215e+00 -3.531389e+00 -1.725561e-19)	(2.127988e+00 -4.679729e-02 -2.031814e-22)
0.0018       	(1.309072e+01 -3.761464e+00 -1.837018e-19)	(1.100287e+01 -3.717498e+00 -1.835068e-19)	(2.087856e+00 -4.396606e-02 -1.950289e-22)
0.0019       	(1.096090e+01 -3.109689e+00 -1.739120e-19)	(8.913850e+00 -3.067659e+00 -1.737263e-19)	(2.047052e+00 -4.203005e-02 -1.856981e-22)
0.002        	(8.995218e+00 -3.912616e-01 -1.457954e-19)	(6.988116e+00 -3.509636e-01 -1.456155e-19)	(2.007102e+00 -4.029805e-02 -1.798438e-22)
0.0021       	(8.170239e+00 -7.038865e-01 -1.431248e-19)	(6.200778e+00 -6.650211e-01 -1.429451e-19)	(1.969461e+00 -3.886535e-02 -1.796443e-22)
0.0022       	(1.011912e+01 -1.263392e+00 -1.558128e-19)	(8.185902e+00 -1.226301e+00 -1.556308e-19)	(1.933216e+00 -3.709156e-02 -1.819922e-22)
0.0023       	(9.357365e+00 -1.320806e+00 -1.546683e-19)	(7.459642e+00 -1.285174e+00 -1.544859e-19)	(1.897722e+00 -3.563177e-02 -1.823829e-22)
