# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.490188e+03 -1.181359e+03 -1.584554e-18)	(3.486533e+03 -1.181329e+03 -1.584256e-18)	(3.654982e+00 -2.956111e-02 -2.975644e-22)
0.0002       	(2.101414e+01 2.488774e+01 -1.676150e-19)	(1.764781e+01 2.491451e+01 -1.673706e-19)	(3.366325e+00 -2.677066e-02 -2.444674e-22)
0.0003       	(2.004128e+01 -8.859978e+00 -1.719706e-19)	(1.688403e+01 -8.835655e+00 -1.717576e-19)	(3.157244e+00 -2.432284e-02 -2.129487e-22)
0.0004       	(2.027015e+01 -4.526903e+00 -1.758464e-19)	(1.725916e+01 -4.505073e+00 -1.756416e-19)	(3.010989e+00 -2.182983e-02 -2.047977e-22)
0.0005       	(2.028118e+01 -4.438483e+00 -1.758661e-19)	(1.738418e+01 -4.417666e+00 -1.756596e-19)	(2.896998e+00 -2.081704e-02 -2.065615e-22)
0.0006       	(2.110882e+01 -4.803286e+00 -1.702549e-19)	(1.830507e+01 -4.783120e+00 -1.700409e-19)	(2.803744e+00 -2.016631e-02 -2.139838e-22)
0.0007       	(2.141129e+01 -5.927353e+00 -1.693404e-19)	(1.868775e+01 -5.907339e+00 -1.691269e-19)	(2.723531e+00 -2.001436e-02 -2.135114e-22)
0.0008       	(2.255862e+01 -7.734033e+00 -1.679975e-19)	(1.990546e+01 -7.713323e+00 -1.677908e-19)	(2.653154e+00 -2.071072e-02 -2.067317e-22)
0.0009       	(2.129449e+01 -7.063322e+00 -1.685814e-19)	(1.870300e+01 -7.042771e+00 -1.683811e-19)	(2.591483e+00 -2.055045e-02 -2.003479e-22)
0.001        	(2.215197e+01 -4.469540e+00 -1.712228e-19)	(1.961465e+01 -4.449024e+00 -1.710215e-19)	(2.537316e+00 -2.051606e-02 -2.012330e-22)
0.0011       	(2.217240e+01 -1.479926e+01 -1.675343e-19)	(1.968416e+01 -1.477903e+01 -1.673335e-19)	(2.488249e+00 -2.023127e-02 -2.007669e-22)
0.0012       	(2.271134e+01 -7.844911e+00 -1.704164e-19)	(2.026774e+01 -7.824489e+00 -1.702193e-19)	(2.443601e+00 -2.042231e-02 -1.971734e-22)
0.0013       	(2.313090e+01 -7.297246e+00 -1.706143e-19)	(2.072693e+01 -7.275944e+00 -1.704171e-19)	(2.403973e+00 -2.130278e-02 -1.972524e-22)
0.0014       	(2.295051e+01 -9.173745e+00 -1.700469e-19)	(2.058200e+01 -9.151461e+00 -1.698421e-19)	(2.368509e+00 -2.228355e-02 -2.047809e-22)
0.0015       	(2.360124e+01 -1.101137e+01 -1.685816e-19)	(2.126530e+01 -1.098830e+01 -1.683742e-19)	(2.335934e+00 -2.307167e-02 -2.073961e-22)
0.0016       	(2.462016e+01 -1.628000e+01 -1.657818e-19)	(2.231458e+01 -1.625658e+01 -1.655799e-19)	(2.305578e+00 -2.342366e-02 -2.019815e-22)
0.0017       	(2.496738e+01 -1.797371e+01 -1.689062e-19)	(2.268903e+01 -1.794970e+01 -1.687163e-19)	(2.278349e+00 -2.400533e-02 -1.898393e-22)
0.0018       	(2.519784e+01 -2.861255e+01 -1.745267e-19)	(2.294219e+01 -2.858857e+01 -1.743410e-19)	(2.255643e+00 -2.397976e-02 -1.856791e-22)
0.0019       	(2.340510e+01 -3.369691e+01 -1.747754e-19)	(2.117027e+01 -3.367256e+01 -1.746023e-19)	(2.234834e+00 -2.434668e-02 -1.731500e-22)
0.002        	(2.380233e+01 -3.263180e+01 -1.785068e-19)	(2.158746e+01 -3.260817e+01 -1.783475e-19)	(2.214869e+00 -2.362651e-02 -1.592615e-22)
0.0021       	(2.660143e+01 -3.786766e+01 -1.818931e-19)	(2.440263e+01 -3.784426e+01 -1.817442e-19)	(2.198805e+00 -2.339990e-02 -1.489253e-22)
0.0022       	(2.582584e+01 -7.704629e+01 -1.770691e-19)	(2.363960e+01 -7.702272e+01 -1.769277e-19)	(2.186235e+00 -2.357496e-02 -1.413985e-22)
0.0023       	(2.580629e+01 -2.939699e+01 -1.832936e-19)	(2.363090e+01 -2.937392e+01 -1.831579e-19)	(2.175387e+00 -2.307152e-02 -1.356587e-22)
0.0024       	(3.369487e+01 -4.617770e+01 -1.953960e-19)	(3.152834e+01 -4.615517e+01 -1.952764e-19)	(2.166525e+00 -2.252751e-02 -1.196554e-22)
