# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.902427e+03 -1.532563e+04 -7.042683e-18)	(2.898799e+03 -1.532531e+04 -7.042481e-18)	(3.628620e+00 -3.138483e-01 -2.022974e-22)
0.0002       	(-3.870889e+02 2.226064e+03 5.370270e-19)	(-3.904459e+02 2.226349e+03 5.372078e-19)	(3.356938e+00 -2.846739e-01 -1.808013e-22)
0.0003       	(3.222473e+00 -5.522463e-01 -1.230583e-19)	(2.524862e-01 -3.011428e-01 -1.228685e-19)	(2.969987e+00 -2.511035e-01 -1.897423e-22)
0.0004       	(2.620617e+00 -2.033890e+00 -1.173768e-19)	(-1.996178e-01 -1.797695e+00 -1.171505e-19)	(2.820235e+00 -2.361955e-01 -2.263356e-22)
0.0005       	(2.389964e+00 -2.822384e+00 -1.196033e-19)	(-3.227199e-01 -2.597457e+00 -1.193598e-19)	(2.712684e+00 -2.249273e-01 -2.434573e-22)
0.0006       	(2.547061e+00 -8.260848e-01 -1.211281e-19)	(-4.892285e-02 -6.128516e-01 -1.208697e-19)	(2.595984e+00 -2.132331e-01 -2.584501e-22)
0.0007       	(2.355626e+00 -2.078586e+00 -1.297808e-19)	(-1.413701e-01 -1.875800e+00 -1.294999e-19)	(2.496996e+00 -2.027861e-01 -2.808698e-22)
0.0008       	(2.774766e+00 -1.882222e+00 -1.346014e-19)	(3.505458e-01 -1.688117e+00 -1.342973e-19)	(2.424221e+00 -1.941050e-01 -3.041409e-22)
0.0009       	(2.963541e+00 -3.580506e+00 -1.343018e-19)	(6.040386e-01 -3.395203e+00 -1.339853e-19)	(2.359502e+00 -1.853026e-01 -3.165336e-22)
0.001        	(3.450075e+00 -3.293792e+00 -1.335315e-19)	(1.152667e+00 -3.116827e+00 -1.332286e-19)	(2.297408e+00 -1.769648e-01 -3.029141e-22)
0.0011       	(3.621138e+00 -2.987182e+00 -1.316347e-19)	(1.387191e+00 -2.818797e+00 -1.313582e-19)	(2.233947e+00 -1.683852e-01 -2.765381e-22)
0.0012       	(3.460552e+00 -4.101355e+00 -1.249504e-19)	(1.282366e+00 -3.941933e+00 -1.246932e-19)	(2.178185e+00 -1.594218e-01 -2.572237e-22)
0.0013       	(4.122136e+00 -2.773185e+00 -1.273342e-19)	(1.990859e+00 -2.621075e+00 -1.270969e-19)	(2.131277e+00 -1.521106e-01 -2.373327e-22)
0.0014       	(4.463937e+00 -2.424461e+00 -1.380097e-19)	(2.376008e+00 -2.279246e+00 -1.377819e-19)	(2.087929e+00 -1.452155e-01 -2.278149e-22)
0.0015       	(5.521833e+00 -3.109687e+00 -1.588967e-19)	(3.475624e+00 -2.971129e+00 -1.586723e-19)	(2.046209e+00 -1.385583e-01 -2.243628e-22)
0.0016       	(5.255307e+00 -3.509972e+00 -1.661978e-19)	(3.248975e+00 -3.377362e+00 -1.659678e-19)	(2.006332e+00 -1.326102e-01 -2.300071e-22)
0.0017       	(6.863554e+00 -4.317428e+00 -1.854019e-19)	(4.894338e+00 -4.190221e+00 -1.851685e-19)	(1.969217e+00 -1.272070e-01 -2.334403e-22)
0.0018       	(8.713761e+00 -4.749043e+00 -1.988403e-19)	(6.777343e+00 -4.626979e+00 -1.986156e-19)	(1.936418e+00 -1.220640e-01 -2.247602e-22)
0.0019       	(4.849501e+00 -2.756135e+00 -1.551773e-19)	(2.945832e+00 -2.638483e+00 -1.549569e-19)	(1.903670e+00 -1.176523e-01 -2.203301e-22)
0.002        	(5.696030e+00 -2.789852e+00 -1.639480e-19)	(3.824415e+00 -2.676925e+00 -1.637339e-19)	(1.871615e+00 -1.129274e-01 -2.141513e-22)
0.0021       	(7.588744e+00 -3.562541e+00 -1.832957e-19)	(5.747494e+00 -3.454423e+00 -1.830846e-19)	(1.841250e+00 -1.081179e-01 -2.111097e-22)
0.0022       	(7.595411e+00 -3.910463e+00 -1.737365e-19)	(5.783666e+00 -3.806297e+00 -1.735277e-19)	(1.811745e+00 -1.041662e-01 -2.088458e-22)
0.0023       	(8.191118e+00 -4.516047e+00 -1.812793e-19)	(6.406842e+00 -4.414106e+00 -1.810837e-19)	(1.784276e+00 -1.019407e-01 -1.956395e-22)
0.0024       	(8.386540e+00 -2.791106e+00 -1.510640e-19)	(6.631474e+00 -2.691613e+00 -1.508852e-19)	(1.755066e+00 -9.949301e-02 -1.787772e-22)
0.0025       	(8.635089e+00 -3.809776e+00 -1.704287e-19)	(6.907862e+00 -3.712731e+00 -1.702542e-19)	(1.727227e+00 -9.704579e-02 -1.744583e-22)
0.0026       	(8.655069e+00 -4.530333e+00 -1.884271e-19)	(6.953356e+00 -4.434956e+00 -1.882641e-19)	(1.701713e+00 -9.537688e-02 -1.630296e-22)
0.0027       	(7.479349e+00 -4.368842e+00 -1.782619e-19)	(5.801173e+00 -4.274428e+00 -1.781097e-19)	(1.678176e+00 -9.441390e-02 -1.521415e-22)
