# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.656274e+03 -2.020942e+04 -9.390277e-18)	(2.652661e+03 -2.020902e+04 -9.390083e-18)	(3.612826e+00 -3.985424e-01 -1.942002e-22)
0.0002       	(-3.239070e+02 2.874038e+03 8.564694e-19)	(-3.272433e+02 2.874394e+03 8.566358e-19)	(3.336362e+00 -3.563918e-01 -1.663991e-22)
0.0003       	(3.434263e+00 1.690055e+00 -1.193825e-19)	(5.101414e-01 2.002404e+00 -1.192214e-19)	(2.924121e+00 -3.123487e-01 -1.611502e-22)
0.0004       	(2.925889e+00 -2.294304e-01 -1.198719e-19)	(1.598500e-01 6.408059e-02 -1.196890e-19)	(2.766039e+00 -2.935110e-01 -1.828924e-22)
0.0005       	(2.850145e+00 -2.409055e-01 -1.211386e-19)	(1.954361e-01 3.900767e-02 -1.209340e-19)	(2.654709e+00 -2.799132e-01 -2.046195e-22)
0.0006       	(2.820746e+00 -2.159577e-01 -1.185976e-19)	(2.859684e-01 4.785592e-02 -1.183694e-19)	(2.534778e+00 -2.638136e-01 -2.281370e-22)
0.0007       	(2.756679e+00 -7.891550e-01 -1.243841e-19)	(3.287720e-01 -5.405855e-01 -1.241400e-19)	(2.427907e+00 -2.485695e-01 -2.440484e-22)
0.0008       	(3.053478e+00 -2.522360e-01 -1.316670e-19)	(7.036464e-01 -1.751937e-02 -1.314085e-19)	(2.349831e+00 -2.347166e-01 -2.584995e-22)
0.0009       	(3.309434e+00 -5.260292e-01 -1.381504e-19)	(1.026308e+00 -3.043785e-01 -1.378857e-19)	(2.283125e+00 -2.216506e-01 -2.646974e-22)
0.001        	(3.369922e+00 -2.541378e+00 -1.386253e-19)	(1.153193e+00 -2.333714e+00 -1.383611e-19)	(2.216730e+00 -2.076648e-01 -2.641672e-22)
0.0011       	(3.673097e+00 -2.974247e+00 -1.380912e-19)	(1.523669e+00 -2.780367e+00 -1.378408e-19)	(2.149428e+00 -1.938800e-01 -2.503310e-22)
0.0012       	(3.707548e+00 -2.477147e+00 -1.441276e-19)	(1.615749e+00 -2.295189e+00 -1.438813e-19)	(2.091799e+00 -1.819578e-01 -2.462116e-22)
0.0013       	(3.583834e+00 -1.231077e+00 -1.409186e-19)	(1.541752e+00 -1.059195e+00 -1.406673e-19)	(2.042082e+00 -1.718816e-01 -2.513120e-22)
0.0014       	(4.346126e+00 -2.745959e+00 -1.417226e-19)	(2.349556e+00 -2.583263e+00 -1.414777e-19)	(1.996570e+00 -1.626961e-01 -2.449107e-22)
0.0015       	(7.764663e+00 -4.870063e+00 -1.766254e-19)	(5.810841e+00 -4.715825e+00 -1.763974e-19)	(1.953821e+00 -1.542373e-01 -2.280547e-22)
0.0016       	(6.099412e+00 -3.517361e+00 -1.815136e-19)	(4.184027e+00 -3.370448e+00 -1.812769e-19)	(1.915384e+00 -1.469127e-01 -2.366936e-22)
0.0017       	(6.568332e+00 -3.419689e+00 -1.869424e-19)	(4.687504e+00 -3.279744e+00 -1.867054e-19)	(1.880827e+00 -1.399455e-01 -2.370440e-22)
0.0018       	(8.233022e+00 -3.504289e+00 -1.845520e-19)	(6.383424e+00 -3.370538e+00 -1.843239e-19)	(1.849598e+00 -1.337512e-01 -2.280665e-22)
0.0019       	(5.381154e+00 -2.589425e+00 -1.622019e-19)	(3.561346e+00 -2.460638e+00 -1.619827e-19)	(1.819808e+00 -1.287875e-01 -2.192422e-22)
0.002        	(6.309214e+00 -1.696166e+00 -1.811407e-19)	(4.517685e+00 -1.571581e+00 -1.809365e-19)	(1.791529e+00 -1.245852e-01 -2.042435e-22)
0.0021       	(6.826520e+00 -2.993026e+00 -1.861011e-19)	(5.063101e+00 -2.872750e+00 -1.859110e-19)	(1.763419e+00 -1.202761e-01 -1.901203e-22)
0.0022       	(7.883577e+00 -3.803760e+00 -1.884132e-19)	(6.145740e+00 -3.687379e+00 -1.882327e-19)	(1.737837e+00 -1.163810e-01 -1.804061e-22)
0.0023       	(6.541129e+00 -3.491194e+00 -1.714146e-19)	(4.828079e+00 -3.377767e+00 -1.712383e-19)	(1.713051e+00 -1.134270e-01 -1.763063e-22)
0.0024       	(5.971119e+00 -3.503626e+00 -1.615985e-19)	(4.282405e+00 -3.392361e+00 -1.614255e-19)	(1.688713e+00 -1.112646e-01 -1.730415e-22)
0.0025       	(7.434535e+00 -4.211405e+00 -1.793549e-19)	(5.768551e+00 -4.102075e+00 -1.791907e-19)	(1.665984e+00 -1.093304e-01 -1.642144e-22)
0.0026       	(8.825393e+00 -5.275621e+00 -2.106709e-19)	(7.179918e+00 -5.167481e+00 -2.105246e-19)	(1.645475e+00 -1.081401e-01 -1.463059e-22)
0.0027       	(6.296833e+00 -4.091814e+00 -1.615197e-19)	(4.671745e+00 -3.984977e+00 -1.613900e-19)	(1.625088e+00 -1.068364e-01 -1.296413e-22)
0.0028       	(6.293433e+00 -4.001783e+00 -1.532820e-19)	(4.688203e+00 -3.895932e+00 -1.531738e-19)	(1.605230e+00 -1.058510e-01 -1.082664e-22)
0.0029       	(8.250715e+00 -3.353080e+00 -1.625621e-19)	(6.664097e+00 -3.248166e+00 -1.624686e-19)	(1.586618e+00 -1.049142e-01 -9.352029e-23)
0.003        	(9.411437e+00 -4.779977e+00 -1.793103e-19)	(7.841767e+00 -4.675859e+00 -1.792210e-19)	(1.569670e+00 -1.041182e-01 -8.931596e-23)
0.0031       	(1.414537e+01 -1.122026e+01 -2.375134e-19)	(1.259215e+01 -1.111726e+01 -2.373985e-19)	(1.553217e+00 -1.029985e-01 -1.148833e-22)
0.0032       	(9.654150e+00 -6.461551e+00 -1.966875e-19)	(8.114814e+00 -6.359405e+00 -1.965682e-19)	(1.539336e+00 -1.021455e-01 -1.193164e-22)
0.0033       	(1.055739e+01 -7.129736e+00 -1.982901e-19)	(9.032889e+00 -7.027528e+00 -1.981651e-19)	(1.524501e+00 -1.022076e-01 -1.250107e-22)
