# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.407937e+03 -2.489751e+04 -1.146421e-17)	(2.404345e+03 -2.489703e+04 -1.146403e-17)	(3.592100e+00 -4.840234e-01 -1.776142e-22)
0.0002       	(-2.407890e+02 3.628502e+03 1.228469e-18)	(-2.440994e+02 3.628931e+03 1.228606e-18)	(3.310477e+00 -4.285785e-01 -1.372871e-22)
0.0003       	(1.803163e+00 -7.145990e+00 -1.234417e-19)	(-1.073934e+00 -6.773468e+00 -1.233096e-19)	(2.877097e+00 -3.725217e-01 -1.321381e-22)
0.0004       	(2.956396e+00 1.836218e-01 -1.199336e-19)	(2.430078e-01 5.313999e-01 -1.197878e-19)	(2.713388e+00 -3.477780e-01 -1.458036e-22)
0.0005       	(2.925081e+00 7.465165e-01 -1.203656e-19)	(3.297038e-01 1.074454e+00 -1.202106e-19)	(2.595378e+00 -3.279377e-01 -1.549777e-22)
0.0006       	(2.502072e+00 -1.751966e+00 -1.216001e-19)	(3.234836e-02 -1.444403e+00 -1.214367e-19)	(2.469724e+00 -3.075634e-01 -1.633948e-22)
0.0007       	(2.590495e+00 -1.356823e+00 -1.205458e-19)	(2.331689e-01 -1.068776e+00 -1.203892e-19)	(2.357326e+00 -2.880472e-01 -1.565106e-22)
0.0008       	(2.795764e+00 -1.337714e-01 -1.185518e-19)	(5.219068e-01 1.372945e-01 -1.184031e-19)	(2.273857e+00 -2.710660e-01 -1.487256e-22)
0.0009       	(3.141583e+00 3.745677e-01 -1.247487e-19)	(9.376113e-01 6.298352e-01 -1.246000e-19)	(2.203971e+00 -2.552675e-01 -1.487314e-22)
0.001        	(3.405321e+00 -1.212870e+00 -1.413940e-19)	(1.270473e+00 -9.737814e-01 -1.412377e-19)	(2.134848e+00 -2.390885e-01 -1.562463e-22)
0.0011       	(3.403915e+00 -3.138647e+00 -1.494099e-19)	(1.338771e+00 -2.916178e+00 -1.492482e-19)	(2.065144e+00 -2.224692e-01 -1.616903e-22)
0.0012       	(3.475005e+00 -3.321010e+00 -1.467942e-19)	(1.471980e+00 -3.113869e+00 -1.466280e-19)	(2.003024e+00 -2.071406e-01 -1.662167e-22)
0.0013       	(3.275787e+00 -3.312877e+00 -1.429481e-19)	(1.324354e+00 -3.118466e+00 -1.427787e-19)	(1.951433e+00 -1.944112e-01 -1.694223e-22)
0.0014       	(3.359200e+00 -3.804017e+00 -1.517099e-19)	(1.453600e+00 -3.620747e+00 -1.515321e-19)	(1.905600e+00 -1.832699e-01 -1.778233e-22)
0.0015       	(4.211451e+00 -3.904532e+00 -1.760433e-19)	(2.348285e+00 -3.730272e+00 -1.758457e-19)	(1.863166e+00 -1.742601e-01 -1.975443e-22)
0.0016       	(5.266140e+00 -4.916312e+00 -1.959312e-19)	(3.441815e+00 -4.749840e+00 -1.957130e-19)	(1.824325e+00 -1.664724e-01 -2.182145e-22)
0.0017       	(6.948345e+00 -4.418476e+00 -1.786190e-19)	(5.158589e+00 -4.258971e+00 -1.784023e-19)	(1.789755e+00 -1.595045e-01 -2.166261e-22)
0.0018       	(9.989268e+00 -5.197410e+00 -1.686498e-19)	(8.231608e+00 -5.045516e+00 -1.684774e-19)	(1.757660e+00 -1.518945e-01 -1.724280e-22)
0.0019       	(7.834350e+00 -4.583986e+00 -1.873313e-19)	(6.105930e+00 -4.439181e+00 -1.871784e-19)	(1.728420e+00 -1.448053e-01 -1.528755e-22)
0.002        	(6.375277e+00 -4.551119e+00 -1.836094e-19)	(4.672676e+00 -4.411684e+00 -1.834707e-19)	(1.702601e+00 -1.394348e-01 -1.387584e-22)
0.0021       	(6.212118e+00 -4.510647e+00 -1.738385e-19)	(4.532252e+00 -4.375631e+00 -1.737167e-19)	(1.679866e+00 -1.350165e-01 -1.217462e-22)
0.0022       	(7.192684e+00 -5.180480e+00 -1.773349e-19)	(5.533511e+00 -5.049571e+00 -1.772246e-19)	(1.659173e+00 -1.309096e-01 -1.102779e-22)
0.0023       	(7.119555e+00 -4.947395e+00 -1.713254e-19)	(5.480092e+00 -4.820999e+00 -1.712210e-19)	(1.639463e+00 -1.263967e-01 -1.044089e-22)
0.0024       	(7.241931e+00 -5.695587e+00 -1.756928e-19)	(5.622161e+00 -5.572449e+00 -1.756081e-19)	(1.619770e+00 -1.231374e-01 -8.473839e-23)
0.0025       	(1.071054e+01 -9.085717e+00 -2.360686e-19)	(9.110550e+00 -8.965658e+00 -2.359886e-19)	(1.599990e+00 -1.200588e-01 -8.006833e-23)
0.0026       	(9.430293e+00 -9.498709e+00 -2.205584e-19)	(7.848822e+00 -9.380909e+00 -2.204579e-19)	(1.581471e+00 -1.178005e-01 -1.004959e-22)
0.0027       	(6.062177e+00 -4.710244e+00 -1.727635e-19)	(4.497802e+00 -4.592596e+00 -1.726607e-19)	(1.564376e+00 -1.176474e-01 -1.027870e-22)
