# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.754339e+03 1.861255e+04 2.537080e-18)	(2.750728e+03 1.861218e+04 2.537468e-18)	(3.610756e+00 3.680581e-01 -3.874317e-22)
0.0002       	(-3.502277e+02 -2.795779e+03 -2.935274e-19)	(-3.535647e+02 -2.796106e+03 -2.931925e-19)	(3.336930e+00 3.272617e-01 -3.348625e-22)
0.0003       	(2.335203e+00 5.206115e+00 -1.373396e-19)	(-5.937453e-01 4.919389e+00 -1.370341e-19)	(2.928948e+00 2.867259e-01 -3.054951e-22)
0.0004       	(2.743657e+00 7.928694e-01 -1.282835e-19)	(-3.425856e-02 5.219287e-01 -1.280021e-19)	(2.777916e+00 2.709407e-01 -2.813942e-22)
0.0005       	(2.839724e+00 -5.769740e-01 -1.239699e-19)	(1.705087e-01 -8.374830e-01 -1.237077e-19)	(2.669216e+00 2.605090e-01 -2.622472e-22)
0.0006       	(2.737476e+00 -1.588095e-01 -1.223812e-19)	(1.835263e-01 -4.069382e-01 -1.221365e-19)	(2.553950e+00 2.481287e-01 -2.447518e-22)
0.0007       	(2.619573e+00 5.869700e-01 -1.237008e-19)	(1.631677e-01 3.495103e-01 -1.234715e-19)	(2.456405e+00 2.374596e-01 -2.293486e-22)
0.0008       	(2.757645e+00 1.324236e-01 -1.219452e-19)	(3.747019e-01 -9.672454e-02 -1.217277e-19)	(2.382943e+00 2.291481e-01 -2.175582e-22)
0.0009       	(3.253786e+00 -4.088725e-01 -1.192377e-19)	(9.339832e-01 -6.292722e-01 -1.190327e-19)	(2.319803e+00 2.203997e-01 -2.050717e-22)
0.001        	(3.974557e+00 1.290149e+00 -1.164958e-19)	(1.718570e+00 1.080402e+00 -1.163163e-19)	(2.255987e+00 2.097467e-01 -1.794785e-22)
0.0011       	(3.617231e+00 2.600086e+00 -1.147484e-19)	(1.423850e+00 2.401946e+00 -1.145819e-19)	(2.193381e+00 1.981397e-01 -1.664370e-22)
0.0012       	(3.700698e+00 2.843452e+00 -1.167537e-19)	(1.560447e+00 2.657116e+00 -1.166011e-19)	(2.140251e+00 1.863355e-01 -1.526209e-22)
0.0013       	(3.986899e+00 3.059082e+00 -1.194725e-19)	(1.894012e+00 2.883258e+00 -1.193318e-19)	(2.092887e+00 1.758246e-01 -1.407336e-22)
0.0014       	(4.312407e+00 2.895645e+00 -1.195848e-19)	(2.263890e+00 2.729155e+00 -1.194571e-19)	(2.048517e+00 1.664903e-01 -1.277199e-22)
0.0015       	(5.453261e+00 3.080887e+00 -1.098058e-19)	(3.447389e+00 2.923506e+00 -1.096884e-19)	(2.005871e+00 1.573808e-01 -1.173547e-22)
0.0016       	(8.607573e+00 4.386222e+00 -9.597427e-20)	(6.640935e+00 4.236975e+00 -9.586475e-20)	(1.966637e+00 1.492469e-01 -1.095171e-22)
0.0017       	(6.086746e+00 2.681358e+00 -1.086472e-19)	(4.158318e+00 2.539449e+00 -1.085416e-19)	(1.928428e+00 1.419086e-01 -1.055945e-22)
0.0018       	(5.003443e+00 2.934868e+00 -1.105578e-19)	(3.112340e+00 2.800493e+00 -1.104629e-19)	(1.891104e+00 1.343746e-01 -9.487019e-23)
0.0019       	(6.338164e+00 3.187888e+00 -1.036508e-19)	(4.480302e+00 3.059317e+00 -1.035716e-19)	(1.857862e+00 1.285710e-01 -7.918243e-23)
0.002        	(5.862686e+00 3.173348e+00 -1.084206e-19)	(4.036643e+00 3.048970e+00 -1.083536e-19)	(1.826043e+00 1.243780e-01 -6.696302e-23)
0.0021       	(6.609246e+00 3.154868e+00 -1.054185e-19)	(4.813030e+00 3.034801e+00 -1.053510e-19)	(1.796216e+00 1.200669e-01 -6.746429e-23)
0.0022       	(7.046208e+00 3.337009e+00 -1.003052e-19)	(5.277473e+00 3.220971e+00 -1.002434e-19)	(1.768736e+00 1.160386e-01 -6.171504e-23)
