# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.469082e+03 -3.091024e+03 -1.830699e-18)	(3.465428e+03 -3.090951e+03 -1.830415e-18)	(3.653969e+00 -7.381562e-02 -2.840355e-22)
0.0002       	(2.601152e+01 6.601697e+01 -1.699355e-19)	(2.264497e+01 6.608474e+01 -1.696927e-19)	(3.366548e+00 -6.777055e-02 -2.428064e-22)
0.0003       	(1.768195e+01 -2.409592e+01 -1.857379e-19)	(1.452908e+01 -2.403209e+01 -1.855062e-19)	(3.152868e+00 -6.383282e-02 -2.317045e-22)
0.0004       	(1.904372e+01 -5.097080e+00 -1.801584e-19)	(1.604178e+01 -5.038197e+00 -1.799134e-19)	(3.001941e+00 -5.888285e-02 -2.450664e-22)
0.0005       	(1.944232e+01 -6.072323e+00 -1.838250e-19)	(1.655578e+01 -6.016656e+00 -1.835615e-19)	(2.886540e+00 -5.566712e-02 -2.635014e-22)
0.0006       	(1.974158e+01 -6.282224e+00 -1.823941e-19)	(1.695081e+01 -6.229322e+00 -1.821246e-19)	(2.790773e+00 -5.290263e-02 -2.694754e-22)
0.0007       	(1.947466e+01 -6.905071e+00 -1.860544e-19)	(1.676589e+01 -6.854162e+00 -1.857887e-19)	(2.708769e+00 -5.090939e-02 -2.657233e-22)
0.0008       	(1.949298e+01 -7.668020e+00 -1.874938e-19)	(1.685621e+01 -7.617640e+00 -1.872496e-19)	(2.636771e+00 -5.038074e-02 -2.441837e-22)
0.0009       	(2.017204e+01 -5.794910e+00 -1.835406e-19)	(1.759801e+01 -5.745539e+00 -1.833119e-19)	(2.574023e+00 -4.937037e-02 -2.286973e-22)
0.001        	(2.044337e+01 -4.568047e+00 -1.754902e-19)	(1.792529e+01 -4.519770e+00 -1.752724e-19)	(2.518086e+00 -4.827704e-02 -2.177917e-22)
0.0011       	(2.010577e+01 -5.409622e+00 -1.837332e-19)	(1.763894e+01 -5.362292e+00 -1.835234e-19)	(2.466828e+00 -4.732992e-02 -2.097816e-22)
0.0012       	(2.014803e+01 -6.553430e+00 -1.859461e-19)	(1.772878e+01 -6.506831e+00 -1.857434e-19)	(2.419243e+00 -4.659831e-02 -2.027285e-22)
0.0013       	(2.012688e+01 -7.623273e+00 -1.867815e-19)	(1.775020e+01 -7.577183e+00 -1.865783e-19)	(2.376682e+00 -4.608973e-02 -2.032058e-22)
0.0014       	(1.978664e+01 -7.664800e+00 -1.875893e-19)	(1.744831e+01 -7.618241e+00 -1.873887e-19)	(2.338332e+00 -4.655880e-02 -2.006336e-22)
0.0015       	(1.995686e+01 -8.042491e+00 -1.877124e-19)	(1.765501e+01 -7.996060e+00 -1.875106e-19)	(2.301841e+00 -4.643059e-02 -2.017885e-22)
0.0016       	(2.001091e+01 -1.492576e+01 -1.909610e-19)	(1.774456e+01 -1.488045e+01 -1.907516e-19)	(2.266347e+00 -4.531455e-02 -2.094580e-22)
0.0017       	(2.095385e+01 -1.042675e+01 -1.880533e-19)	(1.872008e+01 -1.038184e+01 -1.878455e-19)	(2.233762e+00 -4.491380e-02 -2.078552e-22)
0.0018       	(2.150630e+01 -8.659776e+00 -1.848681e-19)	(1.930275e+01 -8.615036e+00 -1.846648e-19)	(2.203549e+00 -4.474065e-02 -2.032275e-22)
0.0019       	(2.163819e+01 -8.594341e+00 -1.853047e-19)	(1.946385e+01 -8.549602e+00 -1.851035e-19)	(2.174340e+00 -4.473888e-02 -2.012257e-22)
0.002        	(2.186926e+01 -9.691465e+00 -1.873297e-19)	(1.972321e+01 -9.645399e+00 -1.871321e-19)	(2.146048e+00 -4.606682e-02 -1.975432e-22)
0.0021       	(2.290004e+01 -1.170021e+01 -1.886977e-19)	(2.077875e+01 -1.165286e+01 -1.885094e-19)	(2.121292e+00 -4.735641e-02 -1.882730e-22)
0.0022       	(2.211137e+01 -1.285199e+01 -1.874740e-19)	(2.001200e+01 -1.280391e+01 -1.872972e-19)	(2.099370e+00 -4.808089e-02 -1.767597e-22)
0.0023       	(2.218329e+01 -3.156353e+01 -2.014103e-19)	(2.010504e+01 -3.151489e+01 -2.012550e-19)	(2.078246e+00 -4.863516e-02 -1.553619e-22)
0.0024       	(2.125666e+01 -4.199865e+01 -1.984806e-19)	(1.919874e+01 -4.194975e+01 -1.983358e-19)	(2.057925e+00 -4.889825e-02 -1.448532e-22)
0.0025       	(2.332325e+01 -3.075782e+01 -1.950027e-19)	(2.128568e+01 -3.070885e+01 -1.948609e-19)	(2.037571e+00 -4.897152e-02 -1.418181e-22)
0.0026       	(2.633079e+01 -2.363230e+01 -1.967634e-19)	(2.431420e+01 -2.358302e+01 -1.966295e-19)	(2.016599e+00 -4.928164e-02 -1.339136e-22)
0.0027       	(2.808885e+01 -4.283835e+01 -2.159888e-19)	(2.609300e+01 -4.278930e+01 -2.158654e-19)	(1.995855e+00 -4.904826e-02 -1.234220e-22)
0.0028       	(2.567201e+01 -3.034856e+01 -2.062385e-19)	(2.369548e+01 -3.029994e+01 -2.061144e-19)	(1.976530e+00 -4.861355e-02 -1.241165e-22)
0.0029       	(3.396886e+01 -2.797892e+01 -1.896934e-19)	(3.200869e+01 -2.793080e+01 -1.895568e-19)	(1.960173e+00 -4.812462e-02 -1.365500e-22)
0.003        	(2.993449e+01 -4.292803e+01 -2.033277e-19)	(2.798934e+01 -4.288042e+01 -2.031849e-19)	(1.945146e+00 -4.760347e-02 -1.428098e-22)
0.0031       	(3.119797e+01 -4.531944e+01 -2.127096e-19)	(2.926472e+01 -4.527180e+01 -2.125603e-19)	(1.933253e+00 -4.764080e-02 -1.493736e-22)
0.0032       	(2.655146e+01 -3.563102e+01 -2.014536e-19)	(2.462724e+01 -3.558286e+01 -2.012956e-19)	(1.924222e+00 -4.816369e-02 -1.579940e-22)
0.0033       	(3.253816e+01 -5.280651e+01 -2.213307e-19)	(3.062052e+01 -5.275740e+01 -2.211775e-19)	(1.917638e+00 -4.911006e-02 -1.531916e-22)
0.0034       	(4.567787e+01 -8.815605e+01 -2.712949e-19)	(4.376563e+01 -8.810641e+01 -2.711737e-19)	(1.912239e+00 -4.963631e-02 -1.211666e-22)
