# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.485189e+03 2.100429e+03 -1.048467e-18)	(3.481536e+03 2.100381e+03 -1.048173e-18)	(3.653306e+00 4.832321e-02 -2.944239e-22)
0.0002       	(1.788265e+01 -2.396187e+01 -1.653591e-19)	(1.451861e+01 -2.400521e+01 -1.651236e-19)	(3.364034e+00 4.333791e-02 -2.354577e-22)
0.0003       	(1.831194e+01 -1.978827e+00 -1.573537e-19)	(1.515928e+01 -2.020395e+00 -1.571345e-19)	(3.152655e+00 4.156760e-02 -2.192199e-22)
0.0004       	(1.766150e+01 -6.114005e+00 -1.600045e-19)	(1.464877e+01 -6.153624e+00 -1.597838e-19)	(3.012734e+00 3.961873e-02 -2.206672e-22)
0.0005       	(1.794337e+01 -6.655534e+00 -1.617404e-19)	(1.504355e+01 -6.694918e+00 -1.615104e-19)	(2.899820e+00 3.938393e-02 -2.300303e-22)
0.0006       	(1.914746e+01 -5.236201e+00 -1.575305e-19)	(1.633896e+01 -5.274684e+00 -1.573025e-19)	(2.808497e+00 3.848308e-02 -2.280160e-22)
0.0007       	(1.850865e+01 -7.635514e-01 -1.590210e-19)	(1.577842e+01 -8.000950e-01 -1.587918e-19)	(2.730230e+00 3.654367e-02 -2.292033e-22)
0.0008       	(1.862692e+01 -8.127040e-01 -1.546630e-19)	(1.596536e+01 -8.471985e-01 -1.544356e-19)	(2.661559e+00 3.449454e-02 -2.273974e-22)
0.0009       	(1.900004e+01 2.292759e+00 -1.526719e-19)	(1.639837e+01 2.259420e+00 -1.524511e-19)	(2.601670e+00 3.333875e-02 -2.207699e-22)
0.001        	(2.018573e+01 3.719240e+00 -1.525509e-19)	(1.763589e+01 3.686953e+00 -1.523207e-19)	(2.549837e+00 3.228699e-02 -2.301479e-22)
0.0011       	(2.225611e+01 -2.337418e+00 -1.686949e-19)	(1.975438e+01 -2.369057e+00 -1.684574e-19)	(2.501725e+00 3.163978e-02 -2.375626e-22)
0.0012       	(2.450075e+01 -9.668562e+00 -1.783114e-19)	(2.204243e+01 -9.698736e+00 -1.780603e-19)	(2.458319e+00 3.017396e-02 -2.510568e-22)
