# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.414053e+03 -2.919141e+03 -1.837929e-18)	(3.410402e+03 -2.919070e+03 -1.837643e-18)	(3.651447e+00 -7.144353e-02 -2.854363e-22)
0.0002       	(1.379906e+01 4.171454e+01 -1.740707e-19)	(1.043756e+01 4.177857e+01 -1.738381e-19)	(3.361498e+00 -6.403284e-02 -2.326688e-22)
0.0003       	(1.605152e+01 -8.502926e+00 -1.703145e-19)	(1.291105e+01 -8.443715e+00 -1.700964e-19)	(3.140466e+00 -5.921170e-02 -2.180905e-22)
0.0004       	(1.548070e+01 6.833172e-02 -1.658920e-19)	(1.248645e+01 1.246251e-01 -1.656578e-19)	(2.994249e+00 -5.629340e-02 -2.342287e-22)
0.0005       	(1.566089e+01 -2.114424e+00 -1.719058e-19)	(1.278434e+01 -2.061700e+00 -1.716570e-19)	(2.876548e+00 -5.272434e-02 -2.487980e-22)
0.0006       	(1.539911e+01 -2.135388e+00 -1.721704e-19)	(1.262019e+01 -2.085199e+00 -1.719087e-19)	(2.778915e+00 -5.018887e-02 -2.616050e-22)
0.0007       	(1.648573e+01 -2.258369e+00 -1.781219e-19)	(1.379033e+01 -2.210308e+00 -1.778488e-19)	(2.695403e+00 -4.806125e-02 -2.730878e-22)
0.0008       	(1.658877e+01 -2.426444e+00 -1.778457e-19)	(1.396740e+01 -2.379829e+00 -1.775702e-19)	(2.621361e+00 -4.661425e-02 -2.754149e-22)
0.0009       	(1.652675e+01 -3.353296e+00 -1.776298e-19)	(1.397138e+01 -3.307882e+00 -1.773521e-19)	(2.555375e+00 -4.541377e-02 -2.777084e-22)
0.001        	(1.769292e+01 -4.698830e+00 -1.818994e-19)	(1.519739e+01 -4.654728e+00 -1.816256e-19)	(2.495536e+00 -4.410198e-02 -2.737445e-22)
0.0011       	(1.702559e+01 -3.892552e+00 -1.803882e-19)	(1.458441e+01 -3.850366e+00 -1.801277e-19)	(2.441183e+00 -4.218566e-02 -2.604960e-22)
0.0012       	(1.722344e+01 -4.904080e+00 -1.825992e-19)	(1.483208e+01 -4.863966e+00 -1.823573e-19)	(2.391358e+00 -4.011492e-02 -2.418829e-22)
0.0013       	(1.667350e+01 -3.751219e+00 -1.826201e-19)	(1.432688e+01 -3.712694e+00 -1.823932e-19)	(2.346623e+00 -3.852544e-02 -2.268949e-22)
0.0014       	(1.684692e+01 -3.361662e+00 -1.852321e-19)	(1.454167e+01 -3.324382e+00 -1.850209e-19)	(2.305244e+00 -3.727971e-02 -2.111915e-22)
0.0015       	(1.686217e+01 -3.815866e+00 -1.838594e-19)	(1.459690e+01 -3.780382e+00 -1.836571e-19)	(2.265266e+00 -3.548351e-02 -2.022896e-22)
0.0016       	(1.745800e+01 -4.114683e+00 -1.865210e-19)	(1.523035e+01 -4.080281e+00 -1.863287e-19)	(2.227652e+00 -3.440242e-02 -1.923703e-22)
0.0017       	(1.762237e+01 -4.564881e+00 -1.888052e-19)	(1.543005e+01 -4.531734e+00 -1.886167e-19)	(2.192315e+00 -3.314662e-02 -1.884972e-22)
0.0018       	(1.737495e+01 -4.553414e+00 -1.887219e-19)	(1.521701e+01 -4.521494e+00 -1.885350e-19)	(2.157948e+00 -3.191980e-02 -1.869013e-22)
0.0019       	(1.741003e+01 -3.132882e+00 -1.874316e-19)	(1.528665e+01 -3.101753e+00 -1.872479e-19)	(2.123374e+00 -3.112892e-02 -1.836798e-22)
0.002        	(1.786435e+01 -3.691228e+00 -1.899590e-19)	(1.577521e+01 -3.660675e+00 -1.897766e-19)	(2.089139e+00 -3.055389e-02 -1.823597e-22)
0.0021       	(1.779478e+01 -4.122722e+00 -1.885600e-19)	(1.573690e+01 -4.092600e+00 -1.883779e-19)	(2.057881e+00 -3.012225e-02 -1.821910e-22)
0.0022       	(1.828468e+01 -3.178413e+00 -1.915009e-19)	(1.625707e+01 -3.148374e+00 -1.913192e-19)	(2.027614e+00 -3.003962e-02 -1.817261e-22)
0.0023       	(1.878987e+01 -3.846147e+00 -1.931668e-19)	(1.679227e+01 -3.815929e+00 -1.929856e-19)	(1.997608e+00 -3.021798e-02 -1.811473e-22)
0.0024       	(1.876247e+01 -3.499089e+00 -1.915196e-19)	(1.679557e+01 -3.468897e+00 -1.913396e-19)	(1.966906e+00 -3.019195e-02 -1.800595e-22)
0.0025       	(1.851054e+01 -4.096522e+00 -1.890672e-19)	(1.657455e+01 -4.066199e+00 -1.888911e-19)	(1.935988e+00 -3.032352e-02 -1.760781e-22)
0.0026       	(1.928994e+01 -6.227530e+00 -1.897304e-19)	(1.738402e+01 -6.197296e+00 -1.895574e-19)	(1.905916e+00 -3.023339e-02 -1.730059e-22)
0.0027       	(2.071608e+01 -6.886083e+00 -1.831537e-19)	(1.883875e+01 -6.856661e+00 -1.829852e-19)	(1.877328e+00 -2.942159e-02 -1.684995e-22)
0.0028       	(2.053462e+01 -4.303345e+00 -1.760395e-19)	(1.868565e+01 -4.274783e+00 -1.758767e-19)	(1.848971e+00 -2.856257e-02 -1.628230e-22)
0.0029       	(2.082975e+01 -2.448642e+00 -1.757255e-19)	(1.900799e+01 -2.420828e+00 -1.755701e-19)	(1.821765e+00 -2.781460e-02 -1.553755e-22)
0.003        	(2.096330e+01 -3.872699e+00 -1.730474e-19)	(1.916468e+01 -3.845672e+00 -1.728980e-19)	(1.798619e+00 -2.702630e-02 -1.493781e-22)
0.0031       	(2.039908e+01 -5.533224e+00 -1.764124e-19)	(1.862040e+01 -5.506566e+00 -1.762703e-19)	(1.778684e+00 -2.665833e-02 -1.420399e-22)
0.0032       	(2.031366e+01 -8.098107e+00 -1.785046e-19)	(1.855344e+01 -8.071210e+00 -1.783713e-19)	(1.760220e+00 -2.689602e-02 -1.333604e-22)
0.0033       	(2.029368e+01 -1.420083e+01 -1.841657e-19)	(1.854919e+01 -1.417307e+01 -1.840428e-19)	(1.744492e+00 -2.775862e-02 -1.229443e-22)
0.0034       	(2.111310e+01 -9.101241e+00 -1.783651e-19)	(1.938310e+01 -9.073018e+00 -1.782523e-19)	(1.729999e+00 -2.822281e-02 -1.127728e-22)
0.0035       	(2.159464e+01 -1.020697e+01 -1.803562e-19)	(1.987777e+01 -1.017788e+01 -1.802513e-19)	(1.716864e+00 -2.909077e-02 -1.048760e-22)
