# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.454195e+03 -1.701418e+03 -1.677196e-18)	(3.450541e+03 -1.701376e+03 -1.676904e-18)	(3.653251e+00 -4.220625e-02 -2.916220e-22)
0.0002       	(1.616058e+01 2.727139e+01 -1.640725e-19)	(1.279667e+01 2.730965e+01 -1.638245e-19)	(3.363910e+00 -3.826512e-02 -2.479971e-22)
0.0003       	(1.689821e+01 -5.318890e+00 -1.668614e-19)	(1.374802e+01 -5.283141e+00 -1.666386e-19)	(3.150189e+00 -3.574899e-02 -2.228216e-22)
0.0004       	(1.711772e+01 -3.727817e+00 -1.683783e-19)	(1.411107e+01 -3.693372e+00 -1.681522e-19)	(3.006643e+00 -3.444530e-02 -2.260558e-22)
0.0005       	(1.745776e+01 -6.658159e+00 -1.745284e-19)	(1.456646e+01 -6.625475e+00 -1.742984e-19)	(2.891296e+00 -3.268364e-02 -2.299869e-22)
0.0006       	(1.737712e+01 -4.428823e+00 -1.777069e-19)	(1.457983e+01 -4.397924e+00 -1.774735e-19)	(2.797295e+00 -3.089989e-02 -2.334705e-22)
0.0007       	(1.730886e+01 -1.091777e+01 -1.760257e-19)	(1.459201e+01 -1.088839e+01 -1.757846e-19)	(2.716856e+00 -2.938454e-02 -2.411009e-22)
0.0008       	(1.722205e+01 -6.874599e+00 -1.779020e-19)	(1.457667e+01 -6.845409e+00 -1.776655e-19)	(2.645380e+00 -2.919032e-02 -2.364576e-22)
0.0009       	(1.782271e+01 -3.861012e+00 -1.827536e-19)	(1.524105e+01 -3.831072e+00 -1.825195e-19)	(2.581660e+00 -2.993949e-02 -2.340488e-22)
0.001        	(1.778345e+01 -2.085762e+00 -1.813944e-19)	(1.525739e+01 -2.057139e+00 -1.811743e-19)	(2.526053e+00 -2.862278e-02 -2.201720e-22)
0.0011       	(1.776226e+01 -6.395147e+00 -1.799587e-19)	(1.528714e+01 -6.367768e+00 -1.797436e-19)	(2.475123e+00 -2.737902e-02 -2.150857e-22)
0.0012       	(1.790098e+01 -1.215101e+01 -1.810636e-19)	(1.547225e+01 -1.212486e+01 -1.808481e-19)	(2.428724e+00 -2.614174e-02 -2.155071e-22)
0.0013       	(1.721306e+01 -1.683957e+01 -1.755638e-19)	(1.482579e+01 -1.681396e+01 -1.753470e-19)	(2.387263e+00 -2.560686e-02 -2.168044e-22)
0.0014       	(1.872331e+01 -7.001675e+00 -1.805798e-19)	(1.637302e+01 -6.976490e+00 -1.803627e-19)	(2.350289e+00 -2.518466e-02 -2.170878e-22)
0.0015       	(1.915050e+01 -7.806193e+00 -1.834743e-19)	(1.683549e+01 -7.781475e+00 -1.832628e-19)	(2.315008e+00 -2.471728e-02 -2.114703e-22)
0.0016       	(1.847260e+01 -1.968822e+01 -1.825615e-19)	(1.618979e+01 -1.966437e+01 -1.823594e-19)	(2.282806e+00 -2.384732e-02 -2.021320e-22)
0.0017       	(2.047863e+01 -3.953398e+00 -1.654289e-19)	(1.822618e+01 -3.929654e+00 -1.652349e-19)	(2.252445e+00 -2.374355e-02 -1.940477e-22)
0.0018       	(2.085933e+01 -3.297652e+00 -1.639742e-19)	(1.863741e+01 -3.273769e+00 -1.637870e-19)	(2.221917e+00 -2.388310e-02 -1.871294e-22)
0.0019       	(2.041516e+01 -1.142722e+01 -1.773851e-19)	(1.822420e+01 -1.140370e+01 -1.772092e-19)	(2.190955e+00 -2.351747e-02 -1.758664e-22)
0.002        	(2.026185e+01 -1.156148e+01 -1.770442e-19)	(1.810101e+01 -1.153818e+01 -1.768759e-19)	(2.160840e+00 -2.329889e-02 -1.683186e-22)
0.0021       	(2.075338e+01 -1.503811e+01 -1.782762e-19)	(1.861990e+01 -1.501467e+01 -1.781121e-19)	(2.133480e+00 -2.343372e-02 -1.640813e-22)
0.0022       	(2.041936e+01 -1.986706e+01 -1.818525e-19)	(1.831293e+01 -1.984384e+01 -1.817050e-19)	(2.106432e+00 -2.321598e-02 -1.475097e-22)
0.0023       	(2.277009e+01 -1.640164e+01 -1.683434e-19)	(2.068963e+01 -1.637842e+01 -1.682112e-19)	(2.080463e+00 -2.321902e-02 -1.321268e-22)
0.0024       	(2.507860e+01 -2.151100e+01 -1.638635e-19)	(2.302289e+01 -2.148912e+01 -1.637386e-19)	(2.055710e+00 -2.188663e-02 -1.248981e-22)
0.0025       	(3.109288e+01 -1.812482e+01 -1.660049e-19)	(2.906068e+01 -1.810421e+01 -1.658737e-19)	(2.032199e+00 -2.061553e-02 -1.311935e-22)
0.0026       	(2.324816e+01 -1.281701e+01 -1.767950e-19)	(2.123920e+01 -1.279662e+01 -1.766702e-19)	(2.008961e+00 -2.039244e-02 -1.248278e-22)
0.0027       	(2.414205e+01 -1.491734e+01 -1.771998e-19)	(2.215385e+01 -1.489717e+01 -1.770772e-19)	(1.988202e+00 -2.016162e-02 -1.226145e-22)
0.0028       	(2.424607e+01 -1.869188e+01 -1.790331e-19)	(2.227516e+01 -1.867182e+01 -1.789130e-19)	(1.970911e+00 -2.005631e-02 -1.201329e-22)
0.0029       	(2.421421e+01 -1.884653e+01 -1.792716e-19)	(2.225734e+01 -1.882623e+01 -1.791592e-19)	(1.956865e+00 -2.030746e-02 -1.123712e-22)
0.003        	(2.626341e+01 -1.559229e+01 -1.803562e-19)	(2.431790e+01 -1.557289e+01 -1.802555e-19)	(1.945511e+00 -1.939944e-02 -1.006529e-22)
0.0031       	(2.602059e+01 -2.002502e+01 -1.809818e-19)	(2.408220e+01 -2.000567e+01 -1.808920e-19)	(1.938386e+00 -1.935518e-02 -8.982749e-23)
0.0032       	(2.582089e+01 -3.441725e+01 -1.837082e-19)	(2.388636e+01 -3.439675e+01 -1.836207e-19)	(1.934533e+00 -2.050627e-02 -8.751066e-23)
0.0033       	(3.043329e+01 -1.823398e+01 -1.827682e-19)	(2.849821e+01 -1.821342e+01 -1.826967e-19)	(1.935085e+00 -2.055621e-02 -7.142096e-23)
0.0034       	(3.026463e+01 -2.111470e+01 -1.986598e-19)	(2.832604e+01 -2.109431e+01 -1.986065e-19)	(1.938591e+00 -2.039538e-02 -5.329851e-23)
0.0035       	(2.861148e+01 -3.959827e+01 -1.999729e-19)	(2.666696e+01 -3.957760e+01 -1.999465e-19)	(1.944523e+00 -2.066968e-02 -2.638782e-23)
0.0036       	(2.830951e+01 -2.832101e+01 -1.823748e-19)	(2.635599e+01 -2.829867e+01 -1.823671e-19)	(1.953521e+00 -2.234250e-02 -7.690329e-24)
0.0037       	(2.688032e+01 -2.069169e+01 -1.811653e-19)	(2.491306e+01 -2.066783e+01 -1.811819e-19)	(1.967257e+00 -2.386147e-02 1.662289e-23)
0.0038       	(2.723743e+01 -2.737578e+01 -1.869513e-19)	(2.525504e+01 -2.735105e+01 -1.869882e-19)	(1.982388e+00 -2.473662e-02 3.690458e-23)
0.0039       	(2.951253e+01 -4.644329e+01 -2.038885e-19)	(2.751671e+01 -4.641753e+01 -2.039469e-19)	(1.995823e+00 -2.575690e-02 5.847530e-23)
0.004        	(2.939902e+01 -4.673425e+01 -2.034545e-19)	(2.738859e+01 -4.670835e+01 -2.035166e-19)	(2.010428e+00 -2.590581e-02 6.212282e-23)
0.0041       	(3.563903e+01 -6.258143e+01 -2.052048e-19)	(3.361418e+01 -6.255642e+01 -2.052516e-19)	(2.024845e+00 -2.500740e-02 4.684603e-23)
0.0042       	(5.030460e+01 -9.862747e+01 -2.574542e-19)	(4.826184e+01 -9.860352e+01 -2.574740e-19)	(2.042757e+00 -2.395138e-02 1.978332e-23)
0.0043       	(2.839300e+01 -4.025630e+01 -2.162246e-19)	(2.632991e+01 -4.023334e+01 -2.162117e-19)	(2.063088e+00 -2.295742e-02 -1.289593e-23)
0.0044       	(2.923343e+01 -1.470302e+01 -2.130717e-19)	(2.714885e+01 -1.468026e+01 -2.130577e-19)	(2.084580e+00 -2.276054e-02 -1.399506e-23)
0.0045       	(2.783748e+01 -4.740225e+01 -2.110253e-19)	(2.573270e+01 -4.737816e+01 -2.110519e-19)	(2.104788e+00 -2.409223e-02 2.669152e-23)
0.0046       	(2.961671e+01 -2.059531e+01 -2.129055e-19)	(2.749030e+01 -2.056895e+01 -2.129939e-19)	(2.126412e+00 -2.636141e-02 8.839128e-23)
0.0047       	(3.302654e+01 -4.031049e+01 -2.111625e-19)	(3.087349e+01 -4.028267e+01 -2.112820e-19)	(2.153043e+00 -2.782349e-02 1.194482e-22)
0.0048       	(3.547324e+01 -1.079174e+01 -2.072046e-19)	(3.329356e+01 -1.076137e+01 -2.073388e-19)	(2.179684e+00 -3.036330e-02 1.341706e-22)
0.0049       	(5.587829e+01 -1.017792e+00 -1.623105e-19)	(5.367084e+01 -9.820304e-01 -1.624429e-19)	(2.207450e+00 -3.576134e-02 1.324222e-22)
0.005        	(6.729696e+01 1.114138e+01 -1.450038e-19)	(6.506424e+01 1.118335e+01 -1.451697e-19)	(2.232721e+00 -4.197178e-02 1.658798e-22)
0.0051       	(8.110326e+01 -1.875582e+01 -2.246581e-19)	(7.884087e+01 -1.871670e+01 -2.247828e-19)	(2.262390e+00 -3.912593e-02 1.246288e-22)
0.0052       	(4.595710e+01 -3.414131e+01 -2.077810e-19)	(4.366784e+01 -3.410381e+01 -2.079055e-19)	(2.289261e+00 -3.749732e-02 1.245237e-22)
0.0053       	(7.818859e+01 1.835650e+01 -1.745595e-19)	(7.587116e+01 1.840028e+01 -1.746814e-19)	(2.317424e+00 -4.377374e-02 1.218808e-22)
0.0054       	(7.165602e+01 -3.214854e+01 -2.218495e-19)	(6.930910e+01 -3.210538e+01 -2.219434e-19)	(2.346921e+00 -4.315960e-02 9.396560e-23)
0.0055       	(1.584650e+02 3.329489e+02 -2.494751e-19)	(1.560864e+02 3.330041e+02 -2.496144e-19)	(2.378600e+00 -5.524434e-02 1.393087e-22)
0.0056       	(1.894229e+02 3.880821e+02 -2.198208e-19)	(1.870156e+02 3.881632e+02 -2.200050e-19)	(2.407242e+00 -8.108925e-02 1.841978e-22)
0.0057       	(1.879323e+02 -8.375511e+02 -4.840597e-19)	(1.854963e+02 -8.374589e+02 -4.840700e-19)	(2.435964e+00 -9.222246e-02 1.032322e-23)
0.0058       	(3.080093e+02 -1.728684e+03 -6.290990e-19)	(3.055548e+02 -1.728616e+03 -6.290595e-19)	(2.454478e+00 -6.766124e-02 -3.957628e-23)
0.0059       	(7.110303e+01 -1.072737e+02 -2.678890e-19)	(6.865153e+01 -1.072094e+02 -2.677813e-19)	(2.451492e+00 -6.425694e-02 -1.077283e-22)
0.006        	(6.241444e+01 -1.312313e+02 -3.281993e-19)	(5.995898e+01 -1.311713e+02 -3.280368e-19)	(2.455458e+00 -5.997255e-02 -1.624708e-22)
0.0061       	(6.667590e+01 -1.877198e+02 -3.629082e-19)	(6.421263e+01 -1.876683e+02 -3.627297e-19)	(2.463263e+00 -5.156658e-02 -1.784969e-22)
0.0062       	(6.824663e+01 -1.266275e+02 -3.023105e-19)	(6.577869e+01 -1.265817e+02 -3.021272e-19)	(2.467938e+00 -4.583111e-02 -1.832418e-22)
0.0063       	(1.005187e+02 -3.015788e+02 -4.555050e-19)	(9.804066e+01 -3.015341e+02 -4.553488e-19)	(2.478020e+00 -4.478298e-02 -1.562657e-22)
0.0064       	(1.017359e+02 -3.534406e+02 -5.712729e-19)	(9.924279e+01 -3.533976e+02 -5.710578e-19)	(2.493105e+00 -4.305505e-02 -2.150770e-22)
0.0065       	(7.943992e+01 7.071255e-01 -3.931515e-19)	(7.692467e+01 7.550911e-01 -3.930052e-19)	(2.515250e+00 -4.796551e-02 -1.463205e-22)
0.0066       	(6.015661e+01 -1.325660e+02 -3.083406e-19)	(5.761898e+01 -1.325143e+02 -3.082734e-19)	(2.537636e+00 -5.168341e-02 -6.716520e-23)
0.0067       	(5.927959e+01 -1.836873e+02 -3.475784e-19)	(5.672210e+01 -1.836318e+02 -3.476269e-19)	(2.557492e+00 -5.546354e-02 4.854977e-23)
0.0068       	(5.750654e+01 -2.859738e+02 -5.192063e-19)	(5.493320e+01 -2.859241e+02 -5.192610e-19)	(2.573336e+00 -4.962908e-02 5.464847e-23)
0.0069       	(5.938975e+01 -4.849382e+02 -7.985083e-19)	(5.680244e+01 -4.849147e+02 -7.984181e-19)	(2.587306e+00 -2.358496e-02 -9.021211e-23)
0.007        	(5.847357e+01 -1.460657e+02 -3.927592e-19)	(5.585971e+01 -1.460412e+02 -3.927044e-19)	(2.613857e+00 -2.450975e-02 -5.476673e-23)
0.0071       	(6.047216e+01 -9.512570e+01 -4.051766e-19)	(5.782030e+01 -9.508597e+01 -4.051735e-19)	(2.651860e+00 -3.972665e-02 -3.147248e-24)
0.0072       	(6.299469e+01 -8.337190e+01 -3.672134e-19)	(6.031453e+01 -8.330771e+01 -3.673346e-19)	(2.680165e+00 -6.419692e-02 1.211670e-22)
0.0073       	(6.302025e+01 -1.712966e+02 -4.018894e-19)	(6.031709e+01 -1.712176e+02 -4.020826e-19)	(2.703156e+00 -7.901751e-02 1.931411e-22)
0.0074       	(5.637016e+01 -3.454576e+02 -4.707798e-19)	(5.364451e+01 -3.453781e+02 -4.710830e-19)	(2.725655e+00 -7.943800e-02 3.032429e-22)
0.0075       	(6.379342e+01 -1.595682e+02 -3.875664e-19)	(6.104715e+01 -1.594690e+02 -3.879346e-19)	(2.746274e+00 -9.913773e-02 3.682631e-22)
0.0076       	(6.109480e+01 5.881045e+01 -3.950174e-19)	(5.831823e+01 5.893194e+01 -3.954848e-19)	(2.776573e+00 -1.214912e-01 4.674036e-22)
0.0077       	(6.375982e+01 -1.374956e+02 -4.219722e-19)	(6.095309e+01 -1.373540e+02 -4.226583e-19)	(2.806729e+00 -1.416043e-01 6.861343e-22)
