# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.328504e+03 -6.191043e+03 -2.488420e-18)	(3.324856e+03 -6.190898e+03 -2.488164e-18)	(3.648061e+00 -1.451350e-01 -2.563666e-22)
0.0002       	(-3.658307e+01 1.973193e+02 -1.903650e-19)	(-3.994530e+01 1.974517e+02 -1.901519e-19)	(3.362229e+00 -1.324573e-01 -2.130385e-22)
0.0003       	(3.399750e+00 -5.056730e+00 -1.210407e-19)	(2.961046e-01 -4.934146e+00 -1.208258e-19)	(3.103646e+00 -1.225841e-01 -2.149506e-22)
0.0004       	(3.573866e+00 -1.323621e+00 -1.233291e-19)	(6.117526e-01 -1.207135e+00 -1.231081e-19)	(2.962113e+00 -1.164856e-01 -2.209111e-22)
0.0005       	(4.060838e+00 -5.006002e-01 -1.262054e-19)	(1.218795e+00 -3.901250e-01 -1.259737e-19)	(2.842043e+00 -1.104752e-01 -2.317741e-22)
0.0006       	(4.128732e+00 -2.023019e+00 -1.298159e-19)	(1.389146e+00 -1.917576e+00 -1.295851e-19)	(2.739587e+00 -1.054431e-01 -2.308168e-22)
0.0007       	(3.931746e+00 -3.196646e+00 -1.291777e-19)	(1.276556e+00 -3.095654e+00 -1.289548e-19)	(2.655190e+00 -1.009920e-01 -2.229333e-22)
0.0008       	(3.898194e+00 -4.014159e+00 -1.279147e-19)	(1.318300e+00 -3.917149e+00 -1.276997e-19)	(2.579894e+00 -9.701004e-02 -2.149510e-22)
0.0009       	(4.253048e+00 -2.088230e+00 -1.339787e-19)	(1.741053e+00 -1.994062e+00 -1.337784e-19)	(2.511995e+00 -9.416733e-02 -2.003880e-22)
0.001        	(6.398312e+00 -1.918749e+00 -1.403399e-19)	(3.947102e+00 -1.828094e+00 -1.401575e-19)	(2.451209e+00 -9.065526e-02 -1.824066e-22)
0.0011       	(9.354440e+00 -2.149341e+00 -1.445037e-19)	(6.960052e+00 -2.062567e+00 -1.443367e-19)	(2.394388e+00 -8.677393e-02 -1.670079e-22)
0.0012       	(1.070185e+01 -2.591280e+00 -1.707377e-19)	(8.359280e+00 -2.508391e+00 -1.705685e-19)	(2.342571e+00 -8.288839e-02 -1.692012e-22)
0.0013       	(7.462629e+00 -2.828057e+00 -1.685475e-19)	(5.167655e+00 -2.748467e+00 -1.683758e-19)	(2.294974e+00 -7.958964e-02 -1.717997e-22)
0.0014       	(7.767730e+00 -2.265725e+00 -1.535033e-19)	(5.517882e+00 -2.189456e+00 -1.533274e-19)	(2.249849e+00 -7.626907e-02 -1.759135e-22)
0.0015       	(7.427877e+00 -3.242535e+00 -1.551061e-19)	(5.220370e+00 -3.170108e+00 -1.549207e-19)	(2.207507e+00 -7.242711e-02 -1.853326e-22)
0.0016       	(9.845151e+00 -6.730954e+00 -1.917093e-19)	(7.679052e+00 -6.662691e+00 -1.915261e-19)	(2.166098e+00 -6.826342e-02 -1.831933e-22)
0.0017       	(1.272104e+01 -4.709265e+00 -1.923595e-19)	(1.059499e+01 -4.644745e+00 -1.921721e-19)	(2.126055e+00 -6.452092e-02 -1.874234e-22)
0.0018       	(9.024090e+00 -2.980011e+00 -1.615610e-19)	(6.938049e+00 -2.918761e+00 -1.613690e-19)	(2.086041e+00 -6.124969e-02 -1.919236e-22)
0.0019       	(7.877302e+00 -2.142242e+00 -1.577047e-19)	(5.830520e+00 -2.083669e+00 -1.575087e-19)	(2.046782e+00 -5.857226e-02 -1.959655e-22)
0.002        	(1.000333e+01 -1.664001e+00 -1.631432e-19)	(7.995496e+00 -1.607621e+00 -1.629455e-19)	(2.007832e+00 -5.637922e-02 -1.977073e-22)
0.0021       	(1.029659e+01 -9.823673e-01 -1.568037e-19)	(8.326354e+00 -9.281152e-01 -1.566026e-19)	(1.970235e+00 -5.425210e-02 -2.010712e-22)
0.0022       	(9.039927e+00 -1.554339e+00 -1.601129e-19)	(7.105311e+00 -1.501789e+00 -1.599099e-19)	(1.934616e+00 -5.255005e-02 -2.030350e-22)
0.0023       	(9.158010e+00 -1.768714e+00 -1.630508e-19)	(7.256931e+00 -1.717902e+00 -1.628510e-19)	(1.901079e+00 -5.081190e-02 -1.998718e-22)
0.0024       	(1.031624e+01 -2.538741e+00 -1.807146e-19)	(8.447796e+00 -2.488594e+00 -1.805182e-19)	(1.868448e+00 -5.014674e-02 -1.964647e-22)
0.0025       	(1.038639e+01 -1.356690e+00 -1.686766e-19)	(8.551747e+00 -1.307382e+00 -1.684784e-19)	(1.834641e+00 -4.930832e-02 -1.982121e-22)
0.0026       	(1.299511e+01 -1.247820e+00 -1.679205e-19)	(1.119428e+01 -1.199883e+00 -1.677253e-19)	(1.800830e+00 -4.793658e-02 -1.951815e-22)
0.0027       	(9.706262e+00 -5.121099e+00 -1.630489e-19)	(7.939066e+00 -5.075161e+00 -1.628633e-19)	(1.767196e+00 -4.593762e-02 -1.856303e-22)
0.0028       	(8.453202e+00 -3.721937e+00 -1.582244e-19)	(6.718840e+00 -3.677455e+00 -1.580433e-19)	(1.734362e+00 -4.448267e-02 -1.811312e-22)
0.0029       	(9.442641e+00 -2.251845e+00 -1.638882e-19)	(7.740270e+00 -2.208238e+00 -1.637121e-19)	(1.702371e+00 -4.360629e-02 -1.761213e-22)
0.003        	(1.075050e+01 -2.628515e+00 -1.655587e-19)	(9.078236e+00 -2.585498e+00 -1.653864e-19)	(1.672264e+00 -4.301665e-02 -1.722197e-22)
0.0031       	(1.132567e+01 -4.188227e+00 -1.693664e-19)	(9.681259e+00 -4.147040e+00 -1.691967e-19)	(1.644408e+00 -4.118757e-02 -1.696430e-22)
0.0032       	(1.100674e+01 -4.259680e+00 -1.761704e-19)	(9.388217e+00 -4.219911e+00 -1.760060e-19)	(1.618526e+00 -3.976919e-02 -1.643972e-22)
0.0033       	(9.876601e+00 -2.988005e+00 -1.599154e-19)	(8.282579e+00 -2.949621e+00 -1.597579e-19)	(1.594022e+00 -3.838437e-02 -1.574730e-22)
0.0034       	(1.078286e+01 -4.089047e+00 -1.666553e-19)	(9.211310e+00 -4.051831e+00 -1.665039e-19)	(1.571546e+00 -3.721629e-02 -1.514811e-22)
0.0035       	(9.993349e+00 -4.334856e+00 -1.687739e-19)	(8.444827e+00 -4.298530e+00 -1.686277e-19)	(1.548522e+00 -3.632507e-02 -1.461855e-22)
0.0036       	(9.422029e+00 -6.669577e+00 -1.759989e-19)	(7.895742e+00 -6.634247e+00 -1.758546e-19)	(1.526288e+00 -3.532969e-02 -1.443369e-22)
0.0037       	(1.074773e+01 -3.392428e+00 -1.675269e-19)	(9.241008e+00 -3.358858e+00 -1.673857e-19)	(1.506721e+00 -3.357000e-02 -1.412769e-22)
0.0038       	(1.220451e+01 -3.803509e+00 -1.670397e-19)	(1.071748e+01 -3.771427e+00 -1.669020e-19)	(1.487030e+00 -3.208201e-02 -1.377079e-22)
0.0039       	(1.562629e+01 -9.152599e+00 -1.755161e-19)	(1.415832e+01 -9.122057e+00 -1.753830e-19)	(1.467961e+00 -3.054185e-02 -1.330913e-22)
0.004        	(1.142217e+01 -4.270023e+00 -1.676482e-19)	(9.974563e+00 -4.240026e+00 -1.675204e-19)	(1.447605e+00 -2.999691e-02 -1.277579e-22)
0.0041       	(1.310284e+01 -4.417744e+00 -1.814650e-19)	(1.167252e+01 -4.387599e+00 -1.813412e-19)	(1.430311e+00 -3.014518e-02 -1.237902e-22)
0.0042       	(1.155920e+01 -3.979860e+00 -1.704104e-19)	(1.014539e+01 -3.949944e+00 -1.702892e-19)	(1.413808e+00 -2.991596e-02 -1.212041e-22)
0.0043       	(1.191830e+01 -4.330487e+00 -1.728536e-19)	(1.052149e+01 -4.299863e+00 -1.727339e-19)	(1.396816e+00 -3.062372e-02 -1.197497e-22)
0.0044       	(1.264097e+01 -4.517232e+00 -1.769716e-19)	(1.126055e+01 -4.485579e+00 -1.768540e-19)	(1.380415e+00 -3.165308e-02 -1.175531e-22)
0.0045       	(1.184543e+01 -3.947027e+00 -1.755643e-19)	(1.047915e+01 -3.914432e+00 -1.754490e-19)	(1.366275e+00 -3.259442e-02 -1.153238e-22)
0.0046       	(1.214506e+01 -4.399709e+00 -1.768016e-19)	(1.078929e+01 -4.366535e+00 -1.766893e-19)	(1.355769e+00 -3.317389e-02 -1.122672e-22)
0.0047       	(1.324562e+01 -4.906116e+00 -1.829509e-19)	(1.189985e+01 -4.872453e+00 -1.828419e-19)	(1.345775e+00 -3.366312e-02 -1.090128e-22)
0.0048       	(1.147153e+01 -4.250044e+00 -1.730270e-19)	(1.013597e+01 -4.216361e+00 -1.729204e-19)	(1.335556e+00 -3.368349e-02 -1.066302e-22)
0.0049       	(1.239436e+01 -5.014379e+00 -1.786336e-19)	(1.107078e+01 -4.980796e+00 -1.785274e-19)	(1.323577e+00 -3.358348e-02 -1.062590e-22)
0.005        	(1.485531e+01 -7.389811e+00 -1.943126e-19)	(1.354459e+01 -7.356446e+00 -1.942023e-19)	(1.310721e+00 -3.336510e-02 -1.102580e-22)
0.0051       	(1.100275e+01 -4.648026e+00 -1.690159e-19)	(9.706518e+00 -4.614574e+00 -1.689070e-19)	(1.296234e+00 -3.345117e-02 -1.088432e-22)
0.0052       	(1.144321e+01 -5.339687e+00 -1.623885e-19)	(1.016065e+01 -5.306058e+00 -1.622855e-19)	(1.282554e+00 -3.362971e-02 -1.029434e-22)
0.0053       	(1.481715e+01 -6.520802e+00 -1.832695e-19)	(1.354405e+01 -6.486699e+00 -1.831758e-19)	(1.273098e+00 -3.410313e-02 -9.366075e-23)
