# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.131737e+03 1.150575e+04 9.400851e-19)	(3.128103e+03 1.150550e+04 9.404444e-19)	(3.634222e+00 2.423165e-01 -3.592561e-22)
0.0002       	(-4.614170e+02 -1.766969e+03 -4.022383e-20)	(-4.647822e+02 -1.767190e+03 -3.991130e-20)	(3.365217e+00 2.203133e-01 -3.125315e-22)
0.0003       	(3.358910e+00 -2.572139e+00 -1.065160e-19)	(3.659400e-01 -2.768827e+00 -1.062241e-19)	(2.992970e+00 1.966878e-01 -2.918995e-22)
0.0004       	(2.840436e+00 4.408131e-01 -1.140315e-19)	(-8.061844e-03 2.534400e-01 -1.137486e-19)	(2.848498e+00 1.873731e-01 -2.828694e-22)
0.0005       	(2.665852e+00 -1.345033e-01 -1.145255e-19)	(-8.080108e-02 -3.155079e-01 -1.142544e-19)	(2.746653e+00 1.810046e-01 -2.711468e-22)
0.0006       	(2.315865e+00 2.610536e+00 -1.168103e-19)	(-3.240887e-01 2.436095e+00 -1.165408e-19)	(2.639954e+00 1.744415e-01 -2.695690e-22)
0.0007       	(2.510297e+00 1.963883e+00 -1.144339e-19)	(-3.762492e-02 1.795991e+00 -1.141653e-19)	(2.547922e+00 1.678914e-01 -2.685556e-22)
0.0008       	(3.405650e+00 -1.991498e+00 -1.124187e-19)	(9.276436e-01 -2.153609e+00 -1.121706e-19)	(2.478006e+00 1.621111e-01 -2.481275e-22)
0.0009       	(3.538160e+00 1.400130e+00 -1.092931e-19)	(1.120078e+00 1.244432e+00 -1.090694e-19)	(2.418082e+00 1.556981e-01 -2.236533e-22)
0.001        	(3.268931e+00 1.997528e+00 -1.116781e-19)	(9.089925e-01 1.848868e+00 -1.114723e-19)	(2.359938e+00 1.486594e-01 -2.057692e-22)
0.0011       	(3.091437e+00 1.755534e+00 -1.161155e-19)	(7.890310e-01 1.613930e+00 -1.159155e-19)	(2.302406e+00 1.416036e-01 -1.999481e-22)
0.0012       	(2.954142e+00 2.461993e+00 -1.202238e-19)	(7.015655e-01 2.327170e+00 -1.200218e-19)	(2.252576e+00 1.348233e-01 -2.019339e-22)
0.0013       	(3.288241e+00 -1.969412e+00 -1.174215e-19)	(1.082149e+00 -2.099238e+00 -1.172247e-19)	(2.206093e+00 1.298258e-01 -1.967902e-22)
0.0014       	(4.293070e+00 -1.005785e+00 -1.172347e-19)	(2.131434e+00 -1.130973e+00 -1.170469e-19)	(2.161636e+00 1.251882e-01 -1.877572e-22)
0.0015       	(5.579092e+00 2.895442e+00 -1.099898e-19)	(3.458943e+00 2.775370e+00 -1.098206e-19)	(2.120150e+00 1.200721e-01 -1.691517e-22)
0.0016       	(6.226087e+00 4.055804e+00 -1.026673e-19)	(4.143763e+00 3.940040e+00 -1.025092e-19)	(2.082323e+00 1.157639e-01 -1.580769e-22)
0.0017       	(8.093570e+00 4.343630e+00 -9.296145e-20)	(6.047296e+00 4.231697e+00 -9.282207e-20)	(2.046274e+00 1.119331e-01 -1.393722e-22)
