# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.277513e+03 8.767066e+03 1.754908e-19)	(3.273872e+03 8.766876e+03 1.758278e-19)	(3.640596e+00 1.898431e-01 -3.370270e-22)
0.0002       	(-2.321375e+01 -2.661269e+02 -7.367420e-20)	(-2.657148e+01 -2.663016e+02 -7.339642e-20)	(3.357730e+00 1.747560e-01 -2.777857e-22)
0.0003       	(3.574106e+00 7.865134e+00 -1.265555e-19)	(4.814308e-01 7.703346e+00 -1.262925e-19)	(3.092675e+00 1.617882e-01 -2.630374e-22)
0.0004       	(3.378486e+00 3.487139e+00 -1.317421e-19)	(4.263923e-01 3.333934e+00 -1.314888e-19)	(2.952094e+00 1.532054e-01 -2.533767e-22)
0.0005       	(3.860335e+00 1.281059e+00 -1.248386e-19)	(1.027052e+00 1.134159e+00 -1.245964e-19)	(2.833283e+00 1.469001e-01 -2.421490e-22)
0.0006       	(4.865052e+00 1.700485e+00 -1.281902e-19)	(2.136610e+00 1.559456e+00 -1.279581e-19)	(2.728442e+00 1.410290e-01 -2.321593e-22)
0.0007       	(5.001844e+00 1.484257e+00 -1.278343e-19)	(2.357474e+00 1.347981e+00 -1.276134e-19)	(2.644370e+00 1.362757e-01 -2.209385e-22)
0.0008       	(5.545558e+00 2.303307e+00 -1.187762e-19)	(2.971841e+00 2.171310e+00 -1.185633e-19)	(2.573717e+00 1.319966e-01 -2.128665e-22)
0.0009       	(7.994350e+00 3.901835e+00 -9.926097e-20)	(5.483290e+00 3.773849e+00 -9.905084e-20)	(2.511059e+00 1.279859e-01 -2.101259e-22)
0.001        	(6.164458e+00 2.887784e+00 -1.092325e-19)	(3.712441e+00 2.764638e+00 -1.090134e-19)	(2.452017e+00 1.231461e-01 -2.191094e-22)
0.0011       	(5.932798e+00 4.181097e+00 -1.124284e-19)	(3.537735e+00 4.063415e+00 -1.122059e-19)	(2.395063e+00 1.176816e-01 -2.225277e-22)
0.0012       	(7.523723e+00 3.465021e+00 -1.114626e-19)	(5.180241e+00 3.351896e+00 -1.112457e-19)	(2.343482e+00 1.131256e-01 -2.169105e-22)
0.0013       	(7.439990e+00 2.789466e+00 -1.094017e-19)	(5.144899e+00 2.680306e+00 -1.091939e-19)	(2.295091e+00 1.091597e-01 -2.077133e-22)
0.0014       	(1.085869e+01 1.772529e+00 -1.392442e-19)	(8.608114e+00 1.667331e+00 -1.390489e-19)	(2.250577e+00 1.051973e-01 -1.952933e-22)
0.0015       	(1.272279e+01 1.344265e+00 -1.458588e-19)	(1.051265e+01 1.243398e+00 -1.456734e-19)	(2.210135e+00 1.008671e-01 -1.853883e-22)
0.0016       	(9.447700e+00 2.112935e+00 -1.194163e-19)	(7.277364e+00 2.016001e+00 -1.192393e-19)	(2.170336e+00 9.693360e-02 -1.769548e-22)
0.0017       	(8.627906e+00 2.527671e+00 -1.139557e-19)	(6.496340e+00 2.434160e+00 -1.137894e-19)	(2.131566e+00 9.351186e-02 -1.663184e-22)
0.0018       	(8.217485e+00 1.596013e+00 -1.241448e-19)	(6.124400e+00 1.506176e+00 -1.239886e-19)	(2.093085e+00 8.983666e-02 -1.562587e-22)
0.0019       	(8.855680e+00 1.704740e+00 -1.350017e-19)	(6.799804e+00 1.618999e+00 -1.348557e-19)	(2.055876e+00 8.574117e-02 -1.459405e-22)
0.002        	(9.333154e+00 8.271769e-01 -1.261918e-19)	(7.313512e+00 7.444477e-01 -1.260531e-19)	(2.019642e+00 8.272923e-02 -1.387545e-22)
0.0021       	(9.460538e+00 2.820071e-01 -1.228188e-19)	(7.476551e+00 2.017130e-01 -1.226849e-19)	(1.983987e+00 8.029405e-02 -1.339278e-22)
0.0022       	(9.532678e+00 2.417966e+00 -1.279282e-19)	(7.583311e+00 2.340666e+00 -1.277983e-19)	(1.949366e+00 7.730027e-02 -1.298844e-22)
0.0023       	(8.345423e+00 3.999455e+00 -1.198441e-19)	(6.430011e+00 3.925119e+00 -1.197184e-19)	(1.915412e+00 7.433649e-02 -1.256603e-22)
0.0024       	(9.797586e+00 3.276288e+00 -1.250096e-19)	(7.915345e+00 3.204453e+00 -1.248872e-19)	(1.882240e+00 7.183473e-02 -1.224312e-22)
0.0025       	(1.027828e+01 3.039628e+00 -1.234337e-19)	(8.429253e+00 2.970050e+00 -1.233112e-19)	(1.849023e+00 6.957787e-02 -1.225177e-22)
0.0026       	(1.141521e+01 4.796759e+00 -1.141451e-19)	(9.598677e+00 4.729268e+00 -1.140217e-19)	(1.816538e+00 6.749120e-02 -1.234409e-22)
0.0027       	(1.108270e+01 5.015775e+00 -1.128674e-19)	(9.297195e+00 4.950171e+00 -1.127472e-19)	(1.785506e+00 6.560355e-02 -1.202171e-22)
0.0028       	(1.025013e+01 7.130682e+00 -1.197826e-19)	(8.495103e+00 7.067197e+00 -1.196641e-19)	(1.755029e+00 6.348547e-02 -1.185627e-22)
0.0029       	(9.656118e+00 6.622015e+00 -1.185687e-19)	(7.931635e+00 6.560339e+00 -1.184486e-19)	(1.724483e+00 6.167631e-02 -1.201326e-22)
0.003        	(1.062126e+01 5.610670e+00 -1.177112e-19)	(8.926641e+00 5.550365e+00 -1.175904e-19)	(1.694618e+00 6.030493e-02 -1.208051e-22)
0.0031       	(1.264105e+01 7.667408e+00 -1.074341e-19)	(1.097474e+01 7.608171e+00 -1.073117e-19)	(1.666314e+00 5.923747e-02 -1.223306e-22)
0.0032       	(1.567625e+01 1.414573e+01 -1.061738e-19)	(1.403758e+01 1.408890e+01 -1.060373e-19)	(1.638670e+00 5.682382e-02 -1.365301e-22)
0.0033       	(1.044400e+01 1.081149e+01 -1.167364e-19)	(8.831137e+00 1.075668e+01 -1.166003e-19)	(1.612864e+00 5.480540e-02 -1.361911e-22)
0.0034       	(8.907900e+00 5.008022e+00 -1.207474e-19)	(7.317738e+00 4.954968e+00 -1.206125e-19)	(1.590162e+00 5.305435e-02 -1.348588e-22)
0.0035       	(1.041156e+01 6.608980e+00 -1.151294e-19)	(8.842792e+00 6.557125e+00 -1.149994e-19)	(1.568763e+00 5.185487e-02 -1.299768e-22)
0.0036       	(1.085095e+01 7.117552e+00 -1.071757e-19)	(9.303387e+00 7.066455e+00 -1.070502e-19)	(1.547565e+00 5.109661e-02 -1.254858e-22)
0.0037       	(1.053269e+01 7.753321e+00 -1.095975e-19)	(9.005506e+00 7.701895e+00 -1.094768e-19)	(1.527180e+00 5.142698e-02 -1.207227e-22)
