# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.152782e+03 1.208762e+04 1.076681e-18)	(3.149145e+03 1.208737e+04 1.077043e-18)	(3.636450e+00 2.479133e-01 -3.612498e-22)
0.0002       	(-4.639798e+02 -1.803276e+03 -2.517175e-20)	(-4.673481e+02 -1.803502e+03 -2.486398e-20)	(3.368285e+00 2.257079e-01 -3.077740e-22)
0.0003       	(3.000396e+00 6.557968e-01 -1.139932e-19)	(7.523134e-03 4.551427e-01 -1.136938e-19)	(2.992873e+00 2.006541e-01 -2.994226e-22)
0.0004       	(2.053125e+00 5.926831e+00 -1.151389e-19)	(-7.943484e-01 5.736606e+00 -1.148583e-19)	(2.847474e+00 1.902246e-01 -2.806164e-22)
0.0005       	(2.681889e+00 5.560231e-01 -1.159674e-19)	(-6.347805e-02 3.715525e-01 -1.157062e-19)	(2.745367e+00 1.844706e-01 -2.612802e-22)
0.0006       	(2.730975e+00 3.047614e-01 -1.190326e-19)	(9.186019e-02 1.259807e-01 -1.187759e-19)	(2.639114e+00 1.787807e-01 -2.566916e-22)
0.0007       	(2.620606e+00 1.205831e+00 -1.233262e-19)	(7.301417e-02 1.032411e+00 -1.230628e-19)	(2.547592e+00 1.734192e-01 -2.634461e-22)
0.0008       	(2.626257e+00 4.633339e+00 -1.219233e-19)	(1.480017e-01 4.465684e+00 -1.216728e-19)	(2.478255e+00 1.676556e-01 -2.504192e-22)
0.0009       	(3.467536e+00 8.240767e-01 -1.111285e-19)	(1.048826e+00 6.626413e-01 -1.109014e-19)	(2.418710e+00 1.614355e-01 -2.271338e-22)
0.001        	(3.218083e+00 2.534501e+00 -1.124482e-19)	(8.569282e-01 2.379942e+00 -1.122384e-19)	(2.361155e+00 1.545594e-01 -2.098725e-22)
0.0011       	(3.014755e+00 1.973976e+00 -1.166019e-19)	(7.096819e-01 1.826078e+00 -1.163999e-19)	(2.305073e+00 1.478976e-01 -2.019290e-22)
0.0012       	(3.009278e+00 2.196014e+00 -1.180892e-19)	(7.527503e-01 2.054511e+00 -1.178911e-19)	(2.256528e+00 1.415027e-01 -1.981731e-22)
0.0013       	(2.955007e+00 1.503190e-01 -1.246952e-19)	(7.440578e-01 1.489059e-02 -1.245081e-19)	(2.210949e+00 1.354284e-01 -1.871029e-22)
0.0014       	(3.971398e+00 -1.619029e+00 -1.221865e-19)	(1.804393e+00 -1.749857e+00 -1.220155e-19)	(2.167004e+00 1.308282e-01 -1.710056e-22)
0.0015       	(5.036331e+00 6.096481e+00 -1.124850e-19)	(2.911402e+00 5.971248e+00 -1.123360e-19)	(2.124929e+00 1.252330e-01 -1.489968e-22)
0.0016       	(6.261095e+00 5.952515e+00 -1.001630e-19)	(4.175202e+00 5.831943e+00 -1.000302e-19)	(2.085893e+00 1.205719e-01 -1.328525e-22)
0.0017       	(7.599288e+00 6.341999e+00 -9.703706e-20)	(5.550341e+00 6.225781e+00 -9.692019e-20)	(2.048947e+00 1.162179e-01 -1.168707e-22)
