# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.033034e+03 3.151079e+04 4.749853e-18)	(2.029500e+03 3.151019e+04 4.750316e-18)	(3.533751e+00 6.030685e-01 -4.624122e-22)
0.0002       	(-1.593090e+02 -4.741603e+03 -4.878443e-19)	(-1.625508e+02 -4.742129e+03 -4.874444e-19)	(3.241769e+00 5.258899e-01 -3.998804e-22)
0.0003       	(1.116343e+00 7.356990e+00 -1.030281e-19)	(-1.657977e+00 6.909293e+00 -1.027013e-19)	(2.774320e+00 4.476978e-01 -3.267825e-22)
0.0004       	(2.779936e+00 4.937320e-01 -1.186236e-19)	(1.752207e-01 8.137303e-02 -1.183556e-19)	(2.604715e+00 4.123590e-01 -2.680188e-22)
0.0005       	(2.511146e+00 1.360995e+00 -1.183361e-19)	(2.469992e-02 9.732682e-01 -1.181005e-19)	(2.486446e+00 3.877264e-01 -2.355583e-22)
0.0006       	(2.310376e+00 2.151685e+00 -1.179823e-19)	(-4.347137e-02 1.790475e+00 -1.177752e-19)	(2.353847e+00 3.612103e-01 -2.070911e-22)
0.0007       	(2.374945e+00 1.452834e+00 -1.168999e-19)	(1.334376e-01 1.115466e+00 -1.167222e-19)	(2.241507e+00 3.373680e-01 -1.776399e-22)
0.0008       	(2.527416e+00 1.399748e+00 -1.150465e-19)	(3.624350e-01 1.082045e+00 -1.149035e-19)	(2.164981e+00 3.177029e-01 -1.429478e-22)
0.0009       	(3.020467e+00 1.419076e+00 -1.113491e-19)	(9.205451e-01 1.119612e+00 -1.112408e-19)	(2.099922e+00 2.994641e-01 -1.082825e-22)
0.001        	(3.504297e+00 1.780528e+00 -1.128644e-19)	(1.467701e+00 1.499534e+00 -1.127868e-19)	(2.036595e+00 2.809943e-01 -7.764052e-23)
0.0011       	(3.799593e+00 -3.867629e-01 -1.307544e-19)	(1.825301e+00 -6.505207e-01 -1.306904e-19)	(1.974292e+00 2.637578e-01 -6.396636e-23)
