# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.361687e+03 -5.501124e+03 -2.290555e-18)	(3.358037e+03 -5.500994e+03 -2.290291e-18)	(3.649581e+00 -1.299902e-01 -2.646450e-22)
0.0002       	(-3.986713e+01 2.135701e+02 -1.892308e-19)	(-4.323117e+01 2.136888e+02 -1.890283e-19)	(3.364037e+00 -1.187003e-01 -2.024708e-22)
0.0003       	(2.859649e+00 -9.069380e+00 -1.227467e-19)	(-2.435262e-01 -8.959141e+00 -1.225356e-19)	(3.103175e+00 -1.102396e-01 -2.111264e-22)
0.0004       	(3.326572e+00 -1.551609e+00 -1.253191e-19)	(3.637079e-01 -1.446726e+00 -1.250885e-19)	(2.962864e+00 -1.048833e-01 -2.306187e-22)
0.0005       	(3.721880e+00 -3.567571e+00 -1.323568e-19)	(8.783862e-01 -3.467917e+00 -1.321051e-19)	(2.843494e+00 -9.965397e-02 -2.517660e-22)
0.0006       	(3.881827e+00 -3.988784e+00 -1.323196e-19)	(1.141417e+00 -3.894382e+00 -1.320644e-19)	(2.740410e+00 -9.440244e-02 -2.551736e-22)
0.0007       	(3.815526e+00 -5.325679e+00 -1.322965e-19)	(1.160256e+00 -5.236171e+00 -1.320461e-19)	(2.655269e+00 -8.950826e-02 -2.503935e-22)
0.0008       	(3.583431e+00 -5.259172e+00 -1.321375e-19)	(1.004144e+00 -5.173728e+00 -1.318974e-19)	(2.579287e+00 -8.544326e-02 -2.401569e-22)
0.0009       	(4.115385e+00 -1.768371e+00 -1.319412e-19)	(1.603735e+00 -1.686132e+00 -1.317077e-19)	(2.511650e+00 -8.223893e-02 -2.334693e-22)
0.001        	(4.589185e+00 -4.071991e+00 -1.327879e-19)	(2.139782e+00 -3.992461e+00 -1.325670e-19)	(2.449403e+00 -7.952974e-02 -2.208816e-22)
0.0011       	(8.008509e+00 -2.065884e+00 -1.396196e-19)	(5.615826e+00 -1.989309e+00 -1.394223e-19)	(2.392683e+00 -7.657534e-02 -1.973694e-22)
0.0012       	(1.181027e+01 -2.421399e+00 -1.471362e-19)	(9.468763e+00 -2.348197e+00 -1.469441e-19)	(2.341504e+00 -7.320213e-02 -1.921054e-22)
0.0013       	(8.920169e+00 -3.390988e+00 -1.826822e-19)	(6.624658e+00 -3.320112e+00 -1.824917e-19)	(2.295511e+00 -7.087606e-02 -1.904079e-22)
0.0014       	(7.436055e+00 -2.794727e+00 -1.606332e-19)	(5.185188e+00 -2.726283e+00 -1.604419e-19)	(2.250868e+00 -6.844338e-02 -1.912473e-22)
0.0015       	(8.443017e+00 -2.251748e+00 -1.501495e-19)	(6.234480e+00 -2.186354e+00 -1.499534e-19)	(2.208537e+00 -6.539392e-02 -1.960723e-22)
0.0016       	(8.483667e+00 -2.432342e+00 -1.559323e-19)	(6.315982e+00 -2.369712e+00 -1.557366e-19)	(2.167685e+00 -6.263002e-02 -1.957458e-22)
0.0017       	(1.127780e+01 -4.137344e+00 -1.921747e-19)	(9.149526e+00 -4.077888e+00 -1.919923e-19)	(2.128272e+00 -5.945654e-02 -1.824864e-22)
0.0018       	(1.188719e+01 -2.328673e+00 -1.723616e-19)	(9.797774e+00 -2.271988e+00 -1.721800e-19)	(2.089420e+00 -5.668519e-02 -1.815701e-22)
