# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.004788e+03 -1.424058e+04 -6.497566e-18)	(3.001153e+03 -1.424029e+04 -6.497359e-18)	(3.634872e+00 -2.902199e-01 -2.075490e-22)
0.0002       	(-4.110722e+02 2.014443e+03 4.250198e-19)	(-4.144378e+02 2.014707e+03 4.252072e-19)	(3.365607e+00 -2.639685e-01 -1.873614e-22)
0.0003       	(3.151404e+00 -6.283696e-01 -1.226215e-19)	(1.658646e-01 -3.948467e-01 -1.224493e-19)	(2.985540e+00 -2.335228e-01 -1.721567e-22)
0.0004       	(2.603180e+00 -1.822927e+00 -1.208771e-19)	(-2.331891e-01 -1.601797e+00 -1.206819e-19)	(2.836369e+00 -2.211298e-01 -1.952470e-22)
0.0005       	(2.689504e+00 -1.108502e-02 -1.260207e-19)	(-3.995304e-02 2.003168e-01 -1.257843e-19)	(2.729457e+00 -2.114018e-01 -2.364063e-22)
0.0006       	(2.438605e+00 -2.646500e+00 -1.222015e-19)	(-1.761832e-01 -2.446409e+00 -1.219245e-19)	(2.614788e+00 -2.000902e-01 -2.769814e-22)
0.0007       	(2.537080e+00 -1.398427e+00 -1.248195e-19)	(1.857347e-02 -1.206131e+00 -1.245168e-19)	(2.518507e+00 -1.922961e-01 -3.026902e-22)
0.0008       	(2.691660e+00 -1.231459e+00 -1.290610e-19)	(2.454563e-01 -1.045415e+00 -1.287421e-19)	(2.446204e+00 -1.860434e-01 -3.188957e-22)
0.0009       	(3.128525e+00 -1.234990e+00 -1.391641e-19)	(7.473524e-01 -1.057288e+00 -1.388417e-19)	(2.381173e+00 -1.777014e-01 -3.223748e-22)
0.001        	(3.736106e+00 -2.605464e+00 -1.362166e-19)	(1.415114e+00 -2.436603e+00 -1.359146e-19)	(2.320992e+00 -1.688608e-01 -3.020501e-22)
