# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.457576e+03 4.124219e+03 -7.750034e-19)	(3.453925e+03 4.124126e+03 -7.746856e-19)	(3.651113e+00 9.310502e-02 -3.178128e-22)
0.0002       	(2.412189e+01 -3.994544e+01 -1.415816e-19)	(2.075808e+01 -4.002947e+01 -1.413201e-19)	(3.363815e+00 8.402964e-02 -2.614935e-22)
0.0003       	(1.999348e+01 4.551182e+00 -1.346627e-19)	(1.684187e+01 4.470991e+00 -1.344102e-19)	(3.151615e+00 8.019144e-02 -2.525031e-22)
0.0004       	(2.055652e+01 1.658353e+00 -1.419173e-19)	(1.754688e+01 1.581091e+00 -1.416485e-19)	(3.009635e+00 7.726257e-02 -2.688006e-22)
0.0005       	(2.029179e+01 2.877214e+00 -1.404697e-19)	(1.739597e+01 2.803476e+00 -1.401834e-19)	(2.895829e+00 7.373755e-02 -2.863259e-22)
0.0006       	(2.048483e+01 3.802545e+00 -1.407336e-19)	(1.768089e+01 3.731873e+00 -1.404341e-19)	(2.803943e+00 7.067229e-02 -2.994999e-22)
0.0007       	(2.007850e+01 4.553209e+00 -1.432107e-19)	(1.735288e+01 4.484425e+00 -1.429123e-19)	(2.725622e+00 6.878380e-02 -2.983844e-22)
0.0008       	(1.978317e+01 5.805921e-01 -1.427153e-19)	(1.712599e+01 5.128354e-01 -1.424249e-19)	(2.657174e+00 6.775663e-02 -2.903533e-22)
0.0009       	(2.050172e+01 -4.541247e-01 -1.398816e-19)	(1.790390e+01 -5.207502e-01 -1.395976e-19)	(2.597822e+00 6.662553e-02 -2.840122e-22)
0.001        	(2.098405e+01 3.814216e+00 -1.393980e-19)	(1.843798e+01 3.748466e+00 -1.391168e-19)	(2.546074e+00 6.574993e-02 -2.812069e-22)
0.0011       	(2.135703e+01 2.811785e+00 -1.432416e-19)	(1.885728e+01 2.746909e+00 -1.429671e-19)	(2.499748e+00 6.487578e-02 -2.745554e-22)
0.0012       	(2.248523e+01 1.940784e-02 -1.529915e-19)	(2.002865e+01 -4.492168e-02 -1.527256e-19)	(2.456582e+00 6.432953e-02 -2.658999e-22)
0.0013       	(2.152690e+01 2.255455e+00 -1.406648e-19)	(1.911089e+01 2.192117e+00 -1.404133e-19)	(2.416016e+00 6.333848e-02 -2.515034e-22)
0.0014       	(2.246242e+01 6.966661e+00 -1.461357e-19)	(2.008321e+01 6.904396e+00 -1.458913e-19)	(2.379212e+00 6.226476e-02 -2.444391e-22)
0.0015       	(2.583383e+01 1.418699e+01 -1.481385e-19)	(2.348910e+01 1.412685e+01 -1.479055e-19)	(2.344730e+00 6.014015e-02 -2.329534e-22)
0.0016       	(2.468502e+01 1.347774e+01 -1.428268e-19)	(2.237180e+01 1.341849e+01 -1.426055e-19)	(2.313221e+00 5.924370e-02 -2.213541e-22)
0.0017       	(2.132675e+01 1.870253e+01 -1.437924e-19)	(1.903966e+01 1.864361e+01 -1.435786e-19)	(2.287093e+00 5.891550e-02 -2.138093e-22)
0.0018       	(2.376019e+01 1.253262e+01 -1.425260e-19)	(2.149712e+01 1.247426e+01 -1.423284e-19)	(2.263071e+00 5.835524e-02 -1.976056e-22)
0.0019       	(2.355380e+01 2.426708e+01 -1.370910e-19)	(2.131342e+01 2.421059e+01 -1.369088e-19)	(2.240380e+00 5.648917e-02 -1.822147e-22)
0.002        	(2.211706e+01 4.614403e+01 -1.316971e-19)	(1.989873e+01 4.609039e+01 -1.315402e-19)	(2.218328e+00 5.364058e-02 -1.568755e-22)
0.0021       	(2.577014e+01 1.159545e+01 -1.385699e-19)	(2.357018e+01 1.154308e+01 -1.384294e-19)	(2.199959e+00 5.236366e-02 -1.404938e-22)
0.0022       	(2.541926e+01 1.311318e+01 -1.415138e-19)	(2.323417e+01 1.306205e+01 -1.413812e-19)	(2.185094e+00 5.112647e-02 -1.326146e-22)
0.0023       	(2.627849e+01 1.269852e+01 -1.406861e-19)	(2.410578e+01 1.264801e+01 -1.405605e-19)	(2.172714e+00 5.050690e-02 -1.256075e-22)
0.0024       	(2.547087e+01 1.351047e+01 -1.412514e-19)	(2.330910e+01 1.345992e+01 -1.411295e-19)	(2.161772e+00 5.054776e-02 -1.218550e-22)
0.0025       	(2.692676e+01 1.585428e+01 -1.432659e-19)	(2.477523e+01 1.580357e+01 -1.431510e-19)	(2.151535e+00 5.070564e-02 -1.149548e-22)
0.0026       	(3.153948e+01 2.193183e+01 -1.455151e-19)	(2.939723e+01 2.188120e+01 -1.454145e-19)	(2.142251e+00 5.062683e-02 -1.005490e-22)
0.0027       	(2.759982e+01 2.277720e+01 -1.422914e-19)	(2.546666e+01 2.272656e+01 -1.422032e-19)	(2.133151e+00 5.064227e-02 -8.823606e-23)
0.0028       	(2.562598e+01 2.833535e+01 -1.417034e-19)	(2.350074e+01 2.828431e+01 -1.416191e-19)	(2.125242e+00 5.103393e-02 -8.424234e-23)
0.0029       	(3.155160e+01 1.971366e+01 -1.521073e-19)	(2.943066e+01 1.966154e+01 -1.520219e-19)	(2.120935e+00 5.212451e-02 -8.536286e-23)
0.003        	(3.330981e+01 2.746121e+01 -1.574091e-19)	(3.119242e+01 2.740885e+01 -1.573190e-19)	(2.117392e+00 5.236067e-02 -9.011504e-23)
0.0031       	(3.287177e+01 1.921611e+01 -1.593291e-19)	(3.075945e+01 1.916282e+01 -1.592239e-19)	(2.112321e+00 5.329109e-02 -1.052111e-22)
0.0032       	(3.790400e+01 4.449590e+01 -1.301173e-19)	(3.579421e+01 4.444073e+01 -1.300166e-19)	(2.109799e+00 5.516854e-02 -1.007351e-22)
0.0033       	(5.454726e+01 4.099978e+01 -1.262723e-19)	(5.243815e+01 4.094724e+01 -1.261371e-19)	(2.109104e+00 5.254923e-02 -1.352400e-22)
0.0034       	(7.265775e+01 4.458595e+00 -6.922898e-20)	(7.054679e+01 4.408123e+00 -6.912893e-20)	(2.110960e+00 5.047185e-02 -1.000532e-22)
0.0035       	(6.967685e+01 -6.496331e+01 -1.554393e-19)	(6.756360e+01 -6.501386e+01 -1.553673e-19)	(2.113249e+00 5.055144e-02 -7.196617e-23)
0.0036       	(9.449768e+01 -3.016875e+02 -1.749270e-19)	(9.237863e+01 -3.017433e+02 -1.748435e-19)	(2.119052e+00 5.580974e-02 -8.346051e-23)
0.0037       	(9.017847e+01 -2.090825e+02 -1.514145e-19)	(8.805468e+01 -2.091452e+02 -1.513485e-19)	(2.123791e+00 6.268330e-02 -6.606936e-23)
