# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.512935e+03 -2.607441e+02 -1.449361e-18)	(3.509279e+03 -2.607369e+02 -1.449062e-18)	(3.655821e+00 -7.246504e-03 -2.983947e-22)
0.0002       	(2.070547e+01 1.416214e+01 -1.758477e-19)	(1.733839e+01 1.416969e+01 -1.756211e-19)	(3.367083e+00 -7.554560e-03 -2.265996e-22)
0.0003       	(2.011658e+01 -1.062083e+01 -1.663836e-19)	(1.695914e+01 -1.061413e+01 -1.661770e-19)	(3.157443e+00 -6.704159e-03 -2.065718e-22)
0.0004       	(2.002947e+01 -1.738376e+01 -1.628956e-19)	(1.701500e+01 -1.737909e+01 -1.626930e-19)	(3.014461e+00 -4.667270e-03 -2.026227e-22)
0.0005       	(2.019908e+01 -7.917575e+00 -1.694987e-19)	(1.729849e+01 -7.913494e+00 -1.693046e-19)	(2.900587e+00 -4.081196e-03 -1.941562e-22)
0.0006       	(2.104284e+01 -7.639351e+00 -1.723536e-19)	(1.823507e+01 -7.634478e+00 -1.721628e-19)	(2.807772e+00 -4.873648e-03 -1.908047e-22)
0.0007       	(2.230193e+01 -9.541223e+00 -1.675397e-19)	(1.957288e+01 -9.535991e+00 -1.673490e-19)	(2.729052e+00 -5.231898e-03 -1.906898e-22)
0.0008       	(2.188361e+01 -1.134048e+01 -1.670407e-19)	(1.922280e+01 -1.133466e+01 -1.668425e-19)	(2.660808e+00 -5.825226e-03 -1.982433e-22)
0.0009       	(2.207149e+01 -1.274437e+01 -1.660660e-19)	(1.947060e+01 -1.273812e+01 -1.658593e-19)	(2.600889e+00 -6.248206e-03 -2.066367e-22)
0.001        	(2.219378e+01 -2.502272e+01 -1.584583e-19)	(1.964607e+01 -2.501761e+01 -1.582449e-19)	(2.547717e+00 -5.108207e-03 -2.133741e-22)
0.0011       	(2.397034e+01 -1.027427e+01 -1.612474e-19)	(2.147205e+01 -1.026923e+01 -1.610348e-19)	(2.498288e+00 -5.044194e-03 -2.125509e-22)
0.0012       	(2.266544e+01 -1.486551e+01 -1.606093e-19)	(2.021375e+01 -1.485977e+01 -1.604028e-19)	(2.451687e+00 -5.741542e-03 -2.064923e-22)
0.0013       	(2.354288e+01 -2.761360e+01 -1.516627e-19)	(2.113277e+01 -2.760870e+01 -1.514701e-19)	(2.410117e+00 -4.903440e-03 -1.926399e-22)
0.0014       	(2.498979e+01 -8.739523e+00 -1.642139e-19)	(2.261563e+01 -8.734994e+00 -1.640294e-19)	(2.374167e+00 -4.528775e-03 -1.844706e-22)
0.0015       	(2.384934e+01 -2.393997e+00 -1.659778e-19)	(2.150868e+01 -2.389531e+00 -1.657963e-19)	(2.340664e+00 -4.465754e-03 -1.815463e-22)
0.0016       	(2.615264e+01 -3.486202e+00 -1.651158e-19)	(2.384254e+01 -3.481655e+00 -1.649417e-19)	(2.310101e+00 -4.547206e-03 -1.741669e-22)
0.0017       	(2.620452e+01 -9.929214e+00 -1.693941e-19)	(2.391892e+01 -9.923329e+00 -1.692325e-19)	(2.285596e+00 -5.885393e-03 -1.615652e-22)
0.0018       	(2.647044e+01 -9.995363e+00 -1.781594e-19)	(2.420466e+01 -9.988878e+00 -1.780074e-19)	(2.265783e+00 -6.484349e-03 -1.519364e-22)
