# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.886090e+03 1.652395e+04 2.151714e-18)	(2.882471e+03 1.652362e+04 2.152096e-18)	(3.618490e+00 3.293396e-01 -3.822991e-22)
0.0002       	(-3.987150e+02 -2.434255e+03 -2.240164e-19)	(-4.020629e+02 -2.434550e+03 -2.237084e-19)	(3.347888e+00 2.952038e-01 -3.079409e-22)
0.0003       	(2.804958e+00 3.469718e+00 -1.186615e-19)	(-1.477528e-01 3.210495e+00 -1.183720e-19)	(2.952710e+00 2.592225e-01 -2.895810e-22)
0.0004       	(2.808555e+00 8.439710e-01 -1.195647e-19)	(7.199640e-03 5.978381e-01 -1.192881e-19)	(2.801356e+00 2.461330e-01 -2.766045e-22)
0.0005       	(2.655814e+00 1.234846e+00 -1.232900e-19)	(-3.965883e-02 9.966615e-01 -1.230306e-19)	(2.695473e+00 2.381846e-01 -2.594594e-22)
0.0006       	(2.430027e+00 1.940408e+00 -1.324076e-19)	(-1.555194e-01 1.711759e+00 -1.321601e-19)	(2.585547e+00 2.286490e-01 -2.475147e-22)
0.0007       	(2.544536e+00 1.906684e+00 -1.239674e-19)	(5.391980e-02 1.687114e+00 -1.237327e-19)	(2.490617e+00 2.195699e-01 -2.346773e-22)
0.0008       	(2.947818e+00 1.050115e+00 -1.156313e-19)	(5.288879e-01 8.383207e-01 -1.154156e-19)	(2.418930e+00 2.117942e-01 -2.157019e-22)
0.0009       	(3.619871e+00 1.841872e-01 -1.126826e-19)	(1.263077e+00 -1.961405e-02 -1.124926e-19)	(2.356794e+00 2.038013e-01 -1.899325e-22)
0.001        	(3.727667e+00 1.824645e-02 -1.088666e-19)	(1.432572e+00 -1.763593e-01 -1.086964e-19)	(2.295094e+00 1.946057e-01 -1.702059e-22)
0.0011       	(3.548286e+00 1.460811e+00 -1.125706e-19)	(1.313931e+00 1.276362e+00 -1.124135e-19)	(2.234355e+00 1.844486e-01 -1.571073e-22)
0.0012       	(3.686803e+00 2.267019e+00 -1.137294e-19)	(1.506447e+00 2.092730e+00 -1.135773e-19)	(2.180356e+00 1.742897e-01 -1.520337e-22)
0.0013       	(3.725319e+00 1.473554e+00 -1.149824e-19)	(1.593850e+00 1.308641e+00 -1.148331e-19)	(2.131468e+00 1.649122e-01 -1.492479e-22)
0.0014       	(4.208667e+00 1.232673e+00 -1.184417e-19)	(2.123368e+00 1.076276e+00 -1.182983e-19)	(2.085299e+00 1.563962e-01 -1.434412e-22)
0.0015       	(5.365747e+00 1.436753e+00 -1.112793e-19)	(3.326039e+00 1.288362e+00 -1.111462e-19)	(2.039707e+00 1.483906e-01 -1.331251e-22)
0.0016       	(9.219717e+00 5.113996e+00 -9.077507e-20)	(7.222202e+00 4.973124e+00 -9.065028e-20)	(1.997515e+00 1.408720e-01 -1.247937e-22)
0.0017       	(6.493408e+00 4.095103e+00 -1.027292e-19)	(4.534984e+00 3.961480e+00 -1.026092e-19)	(1.958424e+00 1.336230e-01 -1.199761e-22)
0.0018       	(5.370799e+00 2.611894e+00 -1.065534e-19)	(3.449571e+00 2.484864e+00 -1.064467e-19)	(1.921228e+00 1.270299e-01 -1.067786e-22)
0.0019       	(6.080942e+00 2.921724e+00 -1.043428e-19)	(4.194386e+00 2.800140e+00 -1.042493e-19)	(1.886556e+00 1.215839e-01 -9.352605e-23)
0.002        	(6.190626e+00 3.102896e+00 -1.050150e-19)	(4.336742e+00 2.986165e+00 -1.049364e-19)	(1.853884e+00 1.167308e-01 -7.857167e-23)
0.0021       	(5.987233e+00 3.067365e+00 -1.044249e-19)	(4.165493e+00 2.955224e+00 -1.043517e-19)	(1.821740e+00 1.121411e-01 -7.320393e-23)
0.0022       	(6.928616e+00 3.081061e+00 -9.767702e-20)	(5.138575e+00 2.973961e+00 -9.761461e-20)	(1.790041e+00 1.070998e-01 -6.240688e-23)
0.0023       	(8.319995e+00 4.375657e+00 -9.463249e-20)	(6.559894e+00 4.273247e+00 -9.457999e-20)	(1.760101e+00 1.024102e-01 -5.250179e-23)
0.0024       	(6.705838e+00 4.032653e+00 -1.021736e-19)	(4.972414e+00 3.932862e+00 -1.021315e-19)	(1.733424e+00 9.979121e-02 -4.204747e-23)
0.0025       	(6.968420e+00 4.001308e+00 -9.976375e-20)	(5.258354e+00 3.902921e+00 -9.972381e-20)	(1.710066e+00 9.838700e-02 -3.994671e-23)
0.0026       	(8.643626e+00 5.088752e+00 -9.443602e-20)	(6.956100e+00 4.990905e+00 -9.438947e-20)	(1.687526e+00 9.784659e-02 -4.654325e-23)
0.0027       	(6.624593e+00 4.444523e+00 -1.037285e-19)	(4.960417e+00 4.347727e+00 -1.036746e-19)	(1.664176e+00 9.679596e-02 -5.391641e-23)
0.0028       	(7.633098e+00 5.087531e+00 -1.008885e-19)	(5.992194e+00 4.991918e+00 -1.008297e-19)	(1.640904e+00 9.561327e-02 -5.877340e-23)
0.0029       	(9.328857e+00 6.162185e+00 -9.862814e-20)	(7.709274e+00 6.067295e+00 -9.856088e-20)	(1.619583e+00 9.488985e-02 -6.726442e-23)
0.003        	(8.920157e+00 4.231342e+00 -1.223558e-19)	(7.322666e+00 4.137348e+00 -1.222742e-19)	(1.597491e+00 9.399386e-02 -8.165264e-23)
0.0031       	(1.106267e+01 3.243497e+00 -1.529896e-19)	(9.486169e+00 3.150266e+00 -1.528888e-19)	(1.576505e+00 9.323086e-02 -1.008085e-22)
0.0032       	(1.089342e+01 5.910263e+00 -9.778799e-20)	(9.336553e+00 5.817863e+00 -9.767284e-20)	(1.556870e+00 9.239949e-02 -1.151549e-22)
0.0033       	(1.392304e+01 8.626402e+00 -8.209169e-20)	(1.238323e+01 8.535003e+00 -8.196657e-20)	(1.539803e+00 9.139878e-02 -1.251215e-22)
0.0034       	(1.203511e+01 8.340882e+00 -8.790128e-20)	(1.051252e+01 8.250285e+00 -8.776827e-20)	(1.522595e+00 9.059709e-02 -1.330043e-22)
0.0035       	(8.258757e+00 7.759077e+00 -7.598403e-20)	(6.755013e+00 7.670120e+00 -7.586473e-20)	(1.503745e+00 8.895694e-02 -1.193047e-22)
0.0036       	(6.797326e+00 4.364102e+00 -9.879556e-20)	(5.311983e+00 4.276893e+00 -9.868380e-20)	(1.485344e+00 8.720955e-02 -1.117569e-22)
0.0037       	(7.437763e+00 4.861784e+00 -9.786242e-20)	(5.968849e+00 4.776292e+00 -9.775634e-20)	(1.468913e+00 8.549263e-02 -1.060816e-22)
0.0038       	(8.305354e+00 5.546796e+00 -9.382621e-20)	(6.851286e+00 5.462761e+00 -9.372487e-20)	(1.454068e+00 8.403432e-02 -1.013408e-22)
0.0039       	(8.698594e+00 5.008346e+00 -9.980576e-20)	(7.258586e+00 4.925539e+00 -9.970714e-20)	(1.440008e+00 8.280678e-02 -9.861950e-23)
0.004        	(1.025679e+01 5.125237e+00 -1.028952e-19)	(8.829801e+00 5.043323e+00 -1.027928e-19)	(1.426989e+00 8.191454e-02 -1.023658e-22)
0.0041       	(1.111820e+01 6.836823e+00 -9.426788e-20)	(9.701966e+00 6.754619e+00 -9.416257e-20)	(1.416232e+00 8.220375e-02 -1.053094e-22)
0.0042       	(1.096182e+01 5.249878e+00 -1.047472e-19)	(9.557530e+00 5.167862e+00 -1.046409e-19)	(1.404288e+00 8.201511e-02 -1.063603e-22)
0.0043       	(1.113052e+01 6.864783e+00 -9.653463e-20)	(9.740079e+00 6.783117e+00 -9.642945e-20)	(1.390445e+00 8.166596e-02 -1.051830e-22)
0.0044       	(1.092893e+01 5.570682e+00 -1.081554e-19)	(9.552358e+00 5.489320e+00 -1.080540e-19)	(1.376575e+00 8.136165e-02 -1.014320e-22)
0.0045       	(1.134243e+01 6.584783e+00 -1.047717e-19)	(9.979108e+00 6.503334e+00 -1.046759e-19)	(1.363318e+00 8.144873e-02 -9.580360e-23)
0.0046       	(1.049373e+01 8.570233e+00 -8.897084e-20)	(9.140499e+00 8.488437e+00 -8.887650e-20)	(1.353227e+00 8.179626e-02 -9.434173e-23)
0.0047       	(9.995032e+00 6.571530e+00 -9.478145e-20)	(8.649786e+00 6.490152e+00 -9.469032e-20)	(1.345246e+00 8.137829e-02 -9.113090e-23)
0.0048       	(9.776517e+00 5.604430e+00 -9.920978e-20)	(8.439456e+00 5.523557e+00 -9.912328e-20)	(1.337061e+00 8.087368e-02 -8.649294e-23)
0.0049       	(1.003848e+01 5.102487e+00 -1.070247e-19)	(8.710553e+00 5.022171e+00 -1.069410e-19)	(1.327926e+00 8.031580e-02 -8.378107e-23)
0.005        	(1.244565e+01 6.807580e+00 -1.006537e-19)	(1.112685e+01 6.727603e+00 -1.005711e-19)	(1.318799e+00 7.997743e-02 -8.262048e-23)
0.0051       	(1.438129e+01 6.828710e+00 -1.040504e-19)	(1.307292e+01 6.748766e+00 -1.039672e-19)	(1.308370e+00 7.994354e-02 -8.318882e-23)
0.0052       	(1.315617e+01 6.774717e+00 -1.003378e-19)	(1.186075e+01 6.694208e+00 -1.002453e-19)	(1.295420e+00 8.050885e-02 -9.251472e-23)
0.0053       	(9.656911e+00 4.908997e+00 -1.042285e-19)	(8.369110e+00 4.827946e+00 -1.041314e-19)	(1.287801e+00 8.105104e-02 -9.706558e-23)
0.0054       	(1.043217e+01 6.195985e+00 -9.779436e-20)	(9.152972e+00 6.114962e+00 -9.769822e-20)	(1.279195e+00 8.102362e-02 -9.613696e-23)
0.0055       	(1.049887e+01 5.405627e+00 -1.030995e-19)	(9.230012e+00 5.324626e+00 -1.030060e-19)	(1.268854e+00 8.100094e-02 -9.348966e-23)
0.0056       	(1.189802e+01 7.290173e+00 -9.625199e-20)	(1.063867e+01 7.209078e+00 -9.616111e-20)	(1.259348e+00 8.109557e-02 -9.087542e-23)
0.0057       	(1.105181e+01 6.414000e+00 -1.040595e-19)	(9.799163e+00 6.333100e+00 -1.039732e-19)	(1.252647e+00 8.089978e-02 -8.635652e-23)
0.0058       	(1.187462e+01 7.926123e+00 -1.070474e-19)	(1.062931e+01 7.845981e+00 -1.069677e-19)	(1.245303e+00 8.014237e-02 -7.979553e-23)
0.0059       	(1.347435e+01 8.545688e+00 -9.825276e-20)	(1.223664e+01 8.465863e+00 -9.817889e-20)	(1.237713e+00 7.982548e-02 -7.387245e-23)
0.006        	(1.322231e+01 8.705417e+00 -9.789552e-20)	(1.199082e+01 8.626082e+00 -9.782864e-20)	(1.231499e+00 7.933532e-02 -6.687866e-23)
0.0061       	(1.240106e+01 7.027765e+00 -1.036541e-19)	(1.117749e+01 6.948748e+00 -1.035900e-19)	(1.223575e+00 7.901634e-02 -6.409450e-23)
0.0062       	(1.264094e+01 8.404856e+00 -9.385102e-20)	(1.142589e+01 8.325652e+00 -9.378830e-20)	(1.215049e+00 7.920393e-02 -6.272269e-23)
0.0063       	(1.102123e+01 7.085484e+00 -9.763484e-20)	(9.814186e+00 7.006049e+00 -9.757076e-20)	(1.207041e+00 7.943505e-02 -6.407871e-23)
0.0064       	(1.031303e+01 6.971767e+00 -1.022935e-19)	(9.112528e+00 6.892347e+00 -1.022293e-19)	(1.200506e+00 7.942057e-02 -6.422902e-23)
