# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.470504e+03 2.378092e+04 3.574953e-18)	(2.466917e+03 2.378045e+04 3.575371e-18)	(3.587012e+00 4.620037e-01 -4.182950e-22)
0.0002       	(-2.685803e+02 -3.654993e+03 -5.080272e-19)	(-2.718884e+02 -3.655399e+03 -5.076651e-19)	(3.308108e+00 4.060440e-01 -3.620417e-22)
0.0003       	(2.768498e+00 1.614111e+00 -1.053809e-19)	(-1.054898e-01 1.263060e+00 -1.050646e-19)	(2.873988e+00 3.510512e-01 -3.163007e-22)
0.0004       	(3.030242e+00 -7.863700e-01 -1.146771e-19)	(3.144905e-01 -1.112740e+00 -1.144040e-19)	(2.715751e+00 3.263700e-01 -2.730970e-22)
0.0005       	(3.155186e+00 -2.321176e+00 -1.059932e-19)	(5.518362e-01 -2.632940e+00 -1.057420e-19)	(2.603350e+00 3.117636e-01 -2.511377e-22)
0.0006       	(2.728390e+00 6.296015e-01 -1.187956e-19)	(2.498526e-01 3.359034e-01 -1.185507e-19)	(2.478537e+00 2.936981e-01 -2.448162e-22)
0.0007       	(2.681890e+00 -7.895782e-02 -1.194493e-19)	(3.062902e-01 -3.587152e-01 -1.192115e-19)	(2.375600e+00 2.797574e-01 -2.378034e-22)
0.0008       	(2.768595e+00 -4.805472e-01 -1.190169e-19)	(4.657715e-01 -7.478212e-01 -1.187874e-19)	(2.302823e+00 2.672740e-01 -2.295113e-22)
0.0009       	(3.079946e+00 1.556957e-01 -1.206669e-19)	(8.403468e-01 -9.922350e-02 -1.204540e-19)	(2.239600e+00 2.549192e-01 -2.129214e-22)
0.001        	(3.885078e+00 1.260745e-01 -1.210635e-19)	(1.708809e+00 -1.156002e-01 -1.208825e-19)	(2.176269e+00 2.416747e-01 -1.809507e-22)
0.0011       	(3.971990e+00 7.871801e-01 -1.173232e-19)	(1.856404e+00 5.589404e-01 -1.171632e-19)	(2.115586e+00 2.282397e-01 -1.599371e-22)
0.0012       	(4.263685e+00 -2.407980e-01 -1.155576e-19)	(2.203693e+00 -4.557541e-01 -1.154110e-19)	(2.059992e+00 2.149562e-01 -1.465990e-22)
0.0013       	(3.879859e+00 1.693630e+00 -1.174554e-19)	(1.869486e+00 1.490761e+00 -1.173258e-19)	(2.010373e+00 2.028687e-01 -1.295888e-22)
0.0014       	(4.060801e+00 1.377096e+00 -1.246319e-19)	(2.094582e+00 1.185280e+00 -1.245143e-19)	(1.966219e+00 1.918161e-01 -1.176154e-22)
0.0015       	(5.386449e+00 2.215406e+00 -1.135534e-19)	(3.461100e+00 2.034144e+00 -1.134446e-19)	(1.925349e+00 1.812616e-01 -1.087803e-22)
0.0016       	(9.344956e+00 5.936685e+00 -9.673236e-20)	(7.458705e+00 5.765608e+00 -9.662825e-20)	(1.886251e+00 1.710770e-01 -1.041044e-22)
0.0017       	(5.733858e+00 2.945202e+00 -1.073969e-19)	(3.885507e+00 2.783372e+00 -1.073040e-19)	(1.848350e+00 1.618307e-01 -9.291360e-23)
