# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.151245e+03 -2.894771e+04 -1.324186e-17)	(2.147681e+03 -2.894715e+04 -1.324169e-17)	(3.564785e+00 -5.628985e-01 -1.693638e-22)
0.0002       	(-1.927511e+02 4.058508e+03 1.538041e-18)	(-1.960235e+02 4.059003e+03 1.538189e-18)	(3.272428e+00 -4.947563e-01 -1.475688e-22)
0.0003       	(4.604678e+00 4.884671e+00 -1.453903e-19)	(1.774424e+00 5.311978e+00 -1.452493e-19)	(2.830254e+00 -4.273069e-01 -1.410063e-22)
0.0004       	(2.868323e+00 -4.504328e-01 -1.199099e-19)	(2.102657e-01 -5.591624e-02 -1.197759e-19)	(2.658058e+00 -3.945166e-01 -1.340115e-22)
0.0005       	(2.848407e+00 2.697633e-01 -1.108542e-19)	(3.143598e-01 6.389946e-01 -1.107333e-19)	(2.534048e+00 -3.692313e-01 -1.209427e-22)
0.0006       	(2.465955e+00 -1.550950e+00 -1.186496e-19)	(5.926236e-02 -1.207343e+00 -1.185413e-19)	(2.406693e+00 -3.436071e-01 -1.082283e-22)
0.0007       	(2.442193e+00 -1.576885e+00 -1.236710e-19)	(1.513306e-01 -1.257452e+00 -1.235794e-19)	(2.290863e+00 -3.194333e-01 -9.152969e-23)
0.0008       	(2.760787e+00 -8.797900e-01 -1.289730e-19)	(5.578572e-01 -5.821921e-01 -1.289023e-19)	(2.202930e+00 -2.975980e-01 -7.069010e-23)
0.0009       	(3.275311e+00 1.417185e+00 -1.368910e-19)	(1.146961e+00 1.695284e+00 -1.368136e-19)	(2.128350e+00 -2.780996e-01 -7.738021e-23)
0.001        	(3.783437e+00 1.450980e+00 -1.539348e-19)	(1.728615e+00 1.709593e+00 -1.538437e-19)	(2.054822e+00 -2.586127e-01 -9.110046e-23)
