# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.676584e+03 2.046256e+04 2.841673e-18)	(2.672979e+03 2.046216e+04 2.842081e-18)	(3.604813e+00 3.983895e-01 -4.085639e-22)
0.0002       	(-3.269564e+02 -3.086925e+03 -3.766634e-19)	(-3.302880e+02 -3.087278e+03 -3.762966e-19)	(3.331634e+00 3.531281e-01 -3.668133e-22)
0.0003       	(2.914192e+00 1.588729e+00 -1.144627e-19)	(6.289395e-04 1.281345e+00 -1.141398e-19)	(2.913563e+00 3.073833e-01 -3.229147e-22)
0.0004       	(3.273581e+00 -3.439812e+00 -1.236651e-19)	(5.166219e-01 -3.730495e+00 -1.233756e-19)	(2.756959e+00 2.906834e-01 -2.895356e-22)
0.0005       	(2.949574e+00 -1.097710e+00 -1.215634e-19)	(3.040561e-01 -1.376714e+00 -1.213009e-19)	(2.645518e+00 2.790040e-01 -2.624445e-22)
0.0006       	(2.785701e+00 -3.941627e-01 -1.210181e-19)	(2.606202e-01 -6.591722e-01 -1.207781e-19)	(2.525081e+00 2.650095e-01 -2.399585e-22)
0.0007       	(2.688090e+00 -1.067042e-01 -1.193052e-19)	(2.630261e-01 -3.594767e-01 -1.190857e-19)	(2.425064e+00 2.527725e-01 -2.194915e-22)
0.0008       	(2.738746e+00 -1.265833e-01 -1.177743e-19)	(3.853786e-01 -3.684908e-01 -1.175662e-19)	(2.353368e+00 2.419075e-01 -2.081543e-22)
0.0009       	(2.940233e+00 1.297452e+00 -1.161486e-19)	(6.509036e-01 1.066611e+00 -1.159476e-19)	(2.289329e+00 2.308407e-01 -2.010573e-22)
0.001        	(3.708164e+00 2.409226e+00 -1.146987e-19)	(1.484536e+00 2.190829e+00 -1.145154e-19)	(2.223628e+00 2.183972e-01 -1.833261e-22)
0.0011       	(3.978224e+00 1.307557e+00 -1.160026e-19)	(1.818901e+00 1.101135e+00 -1.158363e-19)	(2.159324e+00 2.064217e-01 -1.662383e-22)
0.0012       	(3.752475e+00 1.599392e+00 -1.172526e-19)	(1.648284e+00 1.403868e+00 -1.170975e-19)	(2.104191e+00 1.955236e-01 -1.551869e-22)
0.0013       	(4.231227e+00 2.210719e+00 -1.195995e-19)	(2.177396e+00 2.025993e+00 -1.194575e-19)	(2.053830e+00 1.847259e-01 -1.419713e-22)
0.0014       	(4.460326e+00 1.487204e+00 -1.189528e-19)	(2.451109e+00 1.313155e+00 -1.188285e-19)	(2.009217e+00 1.740482e-01 -1.242965e-22)
0.0015       	(5.340859e+00 2.472921e+00 -1.113658e-19)	(3.372987e+00 2.309574e+00 -1.112590e-19)	(1.967872e+00 1.633471e-01 -1.067528e-22)
0.0016       	(7.338478e+00 3.492057e+00 -9.802986e-20)	(5.408776e+00 3.337904e+00 -9.793647e-20)	(1.929703e+00 1.541530e-01 -9.339456e-23)
0.0017       	(7.269831e+00 3.220434e+00 -1.019274e-19)	(5.376527e+00 3.074624e+00 -1.018373e-19)	(1.893303e+00 1.458094e-01 -9.008404e-23)
0.0018       	(5.749705e+00 3.200922e+00 -1.083138e-19)	(3.891650e+00 3.063169e+00 -1.082258e-19)	(1.858055e+00 1.377524e-01 -8.800838e-23)
0.0019       	(6.455254e+00 2.078522e+00 -1.057779e-19)	(4.630113e+00 1.946914e+00 -1.056975e-19)	(1.825141e+00 1.316073e-01 -8.035976e-23)
0.002        	(6.272396e+00 1.893473e+00 -1.087591e-19)	(4.479007e+00 1.766974e+00 -1.086864e-19)	(1.793389e+00 1.264990e-01 -7.274387e-23)
0.0021       	(6.442781e+00 2.232148e+00 -1.038928e-19)	(4.678460e+00 2.110584e+00 -1.038237e-19)	(1.764322e+00 1.215645e-01 -6.912339e-23)
