# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.461969e+03 2.346913e+04 3.554125e-18)	(2.458383e+03 2.346867e+04 3.554543e-18)	(3.585078e+00 4.600463e-01 -4.184154e-22)
0.0002       	(-2.630201e+02 -3.608292e+03 -5.016092e-19)	(-2.663264e+02 -3.608697e+03 -5.012483e-19)	(3.306292e+00 4.043721e-01 -3.608770e-22)
0.0003       	(3.136286e+00 -6.720476e-01 -1.123972e-19)	(2.618746e-01 -1.021777e+00 -1.120808e-19)	(2.874411e+00 3.497295e-01 -3.164802e-22)
0.0004       	(2.998318e+00 -5.988037e-01 -1.127225e-19)	(2.813022e-01 -9.245212e-01 -1.124454e-19)	(2.717016e+00 3.257175e-01 -2.770621e-22)
0.0005       	(3.029599e+00 -1.378503e+00 -1.102242e-19)	(4.247639e-01 -1.689470e+00 -1.099692e-19)	(2.604836e+00 3.109675e-01 -2.549371e-22)
0.0006       	(2.692279e+00 9.299072e-01 -1.194643e-19)	(2.115562e-01 6.368931e-01 -1.192153e-19)	(2.480722e+00 2.930140e-01 -2.490680e-22)
0.0007       	(2.696765e+00 -1.632845e-01 -1.194102e-19)	(3.192757e-01 -4.424827e-01 -1.191684e-19)	(2.377490e+00 2.791982e-01 -2.418032e-22)
0.0008       	(2.755040e+00 -2.789835e-01 -1.198595e-19)	(4.501222e-01 -5.458003e-01 -1.196276e-19)	(2.304918e+00 2.668167e-01 -2.319127e-22)
0.0009       	(3.123917e+00 7.035816e-02 -1.208961e-19)	(8.821289e-01 -1.841893e-01 -1.206820e-19)	(2.241788e+00 2.545475e-01 -2.140934e-22)
0.001        	(3.880183e+00 1.436370e-01 -1.209350e-19)	(1.701987e+00 -9.774807e-02 -1.207522e-19)	(2.178196e+00 2.413850e-01 -1.827449e-22)
0.0011       	(3.946283e+00 9.267465e-01 -1.180147e-19)	(1.828342e+00 6.988738e-01 -1.178510e-19)	(2.117941e+00 2.278727e-01 -1.637049e-22)
0.0012       	(4.227730e+00 6.886103e-02 -1.160535e-19)	(2.165869e+00 -1.456794e-01 -1.159043e-19)	(2.061861e+00 2.145405e-01 -1.492101e-22)
0.0013       	(3.863824e+00 2.012978e+00 -1.184232e-19)	(1.851894e+00 1.810406e+00 -1.182925e-19)	(2.011930e+00 2.025723e-01 -1.307093e-22)
0.0014       	(4.066331e+00 1.587046e+00 -1.256617e-19)	(2.099066e+00 1.395415e+00 -1.255440e-19)	(1.967265e+00 1.916315e-01 -1.176681e-22)
0.0015       	(5.349554e+00 2.926098e+00 -1.149106e-19)	(3.423431e+00 2.744975e+00 -1.148014e-19)	(1.926123e+00 1.811233e-01 -1.091471e-22)
0.0016       	(9.300323e+00 6.165508e+00 -9.753153e-20)	(7.413783e+00 5.994620e+00 -9.742772e-20)	(1.886539e+00 1.708881e-01 -1.038088e-22)
0.0017       	(5.624084e+00 3.532631e+00 -1.081368e-19)	(3.775749e+00 3.370950e+00 -1.080435e-19)	(1.848335e+00 1.616812e-01 -9.328409e-23)
0.0018       	(5.441625e+00 3.069210e+00 -1.107417e-19)	(3.628917e+00 2.915929e+00 -1.106574e-19)	(1.812708e+00 1.532802e-01 -8.434483e-23)
