# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.422780e+03 6.267255e+03 -5.305618e-19)	(3.419131e+03 6.267117e+03 -5.302343e-19)	(3.649098e+00 1.380360e-01 -3.275545e-22)
0.0002       	(2.706681e+01 -3.529295e+00 -1.114645e-19)	(2.370365e+01 -3.655125e+00 -1.111886e-19)	(3.363154e+00 1.258305e-01 -2.758883e-22)
0.0003       	(2.269624e+01 1.506868e+01 -1.188397e-19)	(1.953941e+01 1.495025e+01 -1.185873e-19)	(3.156832e+00 1.184348e-01 -2.524302e-22)
0.0004       	(2.367231e+01 1.824725e+01 -1.234097e-19)	(2.065462e+01 1.813407e+01 -1.231594e-19)	(3.017688e+00 1.131787e-01 -2.502911e-22)
0.0005       	(2.334718e+01 1.575195e+01 -1.236363e-19)	(2.043989e+01 1.564289e+01 -1.233902e-19)	(2.907295e+00 1.090672e-01 -2.461071e-22)
0.0006       	(2.271927e+01 2.670963e+01 -1.224649e-19)	(1.990031e+01 2.660487e+01 -1.222193e-19)	(2.818959e+00 1.047668e-01 -2.456008e-22)
0.0007       	(2.330143e+01 2.683728e+01 -1.247922e-19)	(2.055734e+01 2.673484e+01 -1.245476e-19)	(2.744081e+00 1.024450e-01 -2.446108e-22)
0.0008       	(2.279552e+01 2.479849e+01 -1.233564e-19)	(2.011599e+01 2.469831e+01 -1.231173e-19)	(2.679530e+00 1.001765e-01 -2.391602e-22)
0.0009       	(2.350088e+01 1.786178e+01 -1.211161e-19)	(2.087682e+01 1.776457e+01 -1.208825e-19)	(2.624061e+00 9.721164e-02 -2.335290e-22)
0.001        	(2.323625e+01 2.852700e+01 -1.103866e-19)	(2.066011e+01 2.843271e+01 -1.101596e-19)	(2.576142e+00 9.428772e-02 -2.270537e-22)
0.0011       	(2.352221e+01 3.156658e+01 -1.034811e-19)	(2.098860e+01 3.147439e+01 -1.032652e-19)	(2.533612e+00 9.218205e-02 -2.158861e-22)
0.0012       	(2.779743e+01 3.532399e+01 -1.108463e-19)	(2.530133e+01 3.523348e+01 -1.106437e-19)	(2.496096e+00 9.051140e-02 -2.025518e-22)
0.0013       	(3.019557e+01 3.040125e+01 -1.276010e-19)	(2.773297e+01 3.031112e+01 -1.274061e-19)	(2.462594e+00 9.012149e-02 -1.948850e-22)
0.0014       	(2.754096e+01 1.428828e+01 -1.273417e-19)	(2.510797e+01 1.419876e+01 -1.271547e-19)	(2.432995e+00 8.952080e-02 -1.869528e-22)
0.0015       	(2.638446e+01 3.061752e+01 -1.134317e-19)	(2.397689e+01 3.052766e+01 -1.132610e-19)	(2.407571e+00 8.986761e-02 -1.707969e-22)
0.0016       	(2.787019e+01 3.448720e+01 -1.134465e-19)	(2.548579e+01 3.439627e+01 -1.132904e-19)	(2.384402e+00 9.092990e-02 -1.561482e-22)
0.0017       	(2.741954e+01 4.826317e+01 -1.012228e-19)	(2.505452e+01 4.817268e+01 -1.010706e-19)	(2.365017e+00 9.049339e-02 -1.521183e-22)
0.0018       	(2.766429e+01 6.128439e+01 -8.063751e-20)	(2.531567e+01 6.119471e+01 -8.048821e-20)	(2.348614e+00 8.967632e-02 -1.493023e-22)
0.0019       	(3.467666e+01 5.658950e+01 -7.651491e-20)	(3.234325e+01 5.649928e+01 -7.637480e-20)	(2.333406e+00 9.022074e-02 -1.401167e-22)
0.002        	(2.963345e+01 3.485238e+01 -1.023565e-19)	(2.731497e+01 3.476167e+01 -1.022400e-19)	(2.318476e+00 9.070621e-02 -1.164582e-22)
0.0021       	(2.860640e+01 6.612045e+01 -7.873047e-20)	(2.630223e+01 6.602935e+01 -7.862886e-20)	(2.304172e+00 9.109870e-02 -1.016074e-22)
0.0022       	(3.897746e+01 8.002307e+01 -7.853153e-20)	(3.668343e+01 7.992924e+01 -7.844103e-20)	(2.294031e+00 9.382763e-02 -9.050332e-23)
0.0023       	(4.643133e+01 1.084749e+02 -6.986782e-20)	(4.414449e+01 1.083797e+02 -6.978442e-20)	(2.286844e+00 9.511334e-02 -8.339386e-23)
0.0024       	(5.490132e+01 1.734713e+02 -6.483055e-20)	(5.262161e+01 1.733755e+02 -6.473985e-20)	(2.279708e+00 9.573056e-02 -9.069627e-23)
0.0025       	(5.555347e+01 7.037330e+01 -8.873916e-20)	(5.327967e+01 7.027795e+01 -8.863326e-20)	(2.273802e+00 9.535262e-02 -1.058958e-22)
0.0026       	(6.465738e+01 1.192047e+02 -8.665404e-20)	(6.238850e+01 1.191087e+02 -8.654504e-20)	(2.268880e+00 9.600243e-02 -1.089972e-22)
0.0027       	(4.115641e+01 8.758629e+01 -9.504583e-20)	(3.889181e+01 8.748545e+01 -9.495902e-20)	(2.264601e+00 1.008385e-01 -8.681205e-23)
0.0028       	(7.236799e+01 4.059712e+01 -1.173587e-19)	(7.010327e+01 4.048922e+01 -1.172997e-19)	(2.264715e+00 1.078993e-01 -5.899984e-23)
0.0029       	(7.754551e+01 4.380629e+01 -1.236206e-19)	(7.527838e+01 4.369139e+01 -1.235899e-19)	(2.267137e+00 1.148990e-01 -3.073446e-23)
