# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.946471e+03 -1.547153e+04 -7.109700e-18)	(2.942839e+03 -1.547122e+04 -7.109500e-18)	(3.632024e+00 -3.115946e-01 -2.003664e-22)
0.0002       	(-4.000634e+02 2.207454e+03 5.236735e-19)	(-4.034248e+02 2.207737e+03 5.238519e-19)	(3.361465e+00 -2.830863e-01 -1.784133e-22)
0.0003       	(2.754081e+00 -3.238238e+00 -1.189072e-19)	(-2.187641e-01 -2.988468e+00 -1.187148e-19)	(2.972845e+00 -2.497700e-01 -1.923772e-22)
0.0004       	(2.322376e+00 -3.693572e+00 -1.162338e-19)	(-5.019893e-01 -3.459896e+00 -1.160079e-19)	(2.824365e+00 -2.336767e-01 -2.258973e-22)
0.0005       	(2.625183e+00 -9.027334e-01 -1.187236e-19)	(-9.237232e-02 -6.794546e-01 -1.184872e-19)	(2.717556e+00 -2.232788e-01 -2.363854e-22)
0.0006       	(2.216137e+00 -3.173831e+00 -1.221916e-19)	(-3.847410e-01 -2.962270e+00 -1.219432e-19)	(2.600878e+00 -2.115613e-01 -2.483719e-22)
0.0007       	(2.411402e+00 -1.389680e+00 -1.302914e-19)	(-9.082783e-02 -1.188591e+00 -1.300143e-19)	(2.502230e+00 -2.010885e-01 -2.770927e-22)
0.0008       	(2.863252e+00 -1.612360e+00 -1.321825e-19)	(4.337495e-01 -1.419096e+00 -1.318856e-19)	(2.429502e+00 -1.932640e-01 -2.969481e-22)
0.0009       	(2.934615e+00 -3.534113e+00 -1.348915e-19)	(5.696883e-01 -3.349598e+00 -1.345784e-19)	(2.364927e+00 -1.845153e-01 -3.130648e-22)
0.001        	(3.312222e+00 -3.798024e+00 -1.326459e-19)	(1.008263e+00 -3.621472e+00 -1.323430e-19)	(2.303958e+00 -1.765524e-01 -3.029403e-22)
0.0011       	(3.584104e+00 -3.220288e+00 -1.318398e-19)	(1.342370e+00 -3.052333e+00 -1.315625e-19)	(2.241733e+00 -1.679547e-01 -2.773128e-22)
0.0012       	(3.800131e+00 -2.064410e+00 -1.248297e-19)	(1.613578e+00 -1.905673e+00 -1.245729e-19)	(2.186554e+00 -1.587371e-01 -2.568488e-22)
0.0013       	(4.177552e+00 -2.091446e+00 -1.271697e-19)	(2.039065e+00 -1.940056e+00 -1.269307e-19)	(2.138486e+00 -1.513907e-01 -2.389821e-22)
0.0014       	(4.522069e+00 -2.120551e+00 -1.372124e-19)	(2.427653e+00 -1.976145e+00 -1.369833e-19)	(2.094417e+00 -1.444055e-01 -2.290931e-22)
0.0015       	(5.449642e+00 -3.024403e+00 -1.558074e-19)	(3.397565e+00 -2.886511e+00 -1.555829e-19)	(2.052077e+00 -1.378921e-01 -2.244783e-22)
0.0016       	(5.409200e+00 -3.203945e+00 -1.682947e-19)	(3.397585e+00 -3.072028e+00 -1.680646e-19)	(2.011614e+00 -1.319165e-01 -2.300443e-22)
0.0017       	(6.697614e+00 -3.766370e+00 -1.819325e-19)	(4.723120e+00 -3.640133e+00 -1.816989e-19)	(1.974495e+00 -1.262370e-01 -2.336084e-22)
0.0018       	(8.962562e+00 -4.071576e+00 -2.010750e-19)	(7.021396e+00 -3.950526e+00 -2.008514e-19)	(1.941166e+00 -1.210501e-01 -2.236622e-22)
0.0019       	(5.126439e+00 8.931217e-02 -1.562079e-19)	(3.218950e+00 2.057354e-01 -1.559899e-19)	(1.907489e+00 -1.164233e-01 -2.180388e-22)
0.002        	(5.718359e+00 -1.467756e+00 -1.628724e-19)	(3.843398e+00 -1.356475e+00 -1.626584e-19)	(1.874961e+00 -1.112804e-01 -2.139885e-22)
0.0021       	(8.761930e+00 -4.140446e+00 -1.911714e-19)	(6.918492e+00 -4.034097e+00 -1.909551e-19)	(1.843438e+00 -1.063484e-01 -2.163720e-22)
0.0022       	(7.111692e+00 -3.577076e+00 -1.709256e-19)	(5.299608e+00 -3.474595e+00 -1.707140e-19)	(1.812084e+00 -1.024807e-01 -2.116562e-22)
0.0023       	(7.858158e+00 -3.125617e+00 -1.718423e-19)	(6.074665e+00 -3.025397e+00 -1.716464e-19)	(1.783494e+00 -1.002204e-01 -1.959317e-22)
0.0024       	(8.189049e+00 -2.592755e+00 -1.543124e-19)	(6.434927e+00 -2.495003e+00 -1.541336e-19)	(1.754122e+00 -9.775277e-02 -1.787031e-22)
0.0025       	(8.247862e+00 -3.398685e+00 -1.716465e-19)	(6.522302e+00 -3.303543e+00 -1.714729e-19)	(1.725560e+00 -9.514255e-02 -1.735966e-22)
0.0026       	(9.854987e+00 -4.489758e+00 -1.981135e-19)	(8.155890e+00 -4.396294e+00 -1.979504e-19)	(1.699097e+00 -9.346421e-02 -1.630987e-22)
0.0027       	(7.356105e+00 -3.788640e+00 -1.750158e-19)	(5.680600e+00 -3.696146e+00 -1.748615e-19)	(1.675504e+00 -9.249489e-02 -1.542217e-22)
0.0028       	(7.239628e+00 -3.240211e+00 -1.522986e-19)	(5.586305e+00 -3.148748e+00 -1.521462e-19)	(1.653323e+00 -9.146304e-02 -1.523767e-22)
0.0029       	(6.451064e+00 -4.027629e+00 -1.503733e-19)	(4.819094e+00 -3.937414e+00 -1.502215e-19)	(1.631970e+00 -9.021497e-02 -1.518759e-22)
0.003        	(7.339017e+00 -4.513206e+00 -1.550775e-19)	(5.727820e+00 -4.423839e+00 -1.549300e-19)	(1.611197e+00 -8.936668e-02 -1.475429e-22)
0.0031       	(8.872221e+00 -5.554547e+00 -1.717745e-19)	(7.280815e+00 -5.466260e+00 -1.716443e-19)	(1.591406e+00 -8.828673e-02 -1.302764e-22)
0.0032       	(7.928389e+00 -5.328689e+00 -1.630060e-19)	(6.356455e+00 -5.241539e+00 -1.628936e-19)	(1.571933e+00 -8.715046e-02 -1.123744e-22)
0.0033       	(9.166411e+00 -5.115729e+00 -1.716520e-19)	(7.613236e+00 -5.030209e+00 -1.715532e-19)	(1.553176e+00 -8.552047e-02 -9.881486e-23)
0.0034       	(1.177851e+01 -6.700237e+00 -1.909420e-19)	(1.024271e+01 -6.616603e+00 -1.908484e-19)	(1.535804e+00 -8.363461e-02 -9.360137e-23)
0.0035       	(1.554390e+01 -1.199521e+01 -2.411008e-19)	(1.402486e+01 -1.191292e+01 -2.409927e-19)	(1.519041e+00 -8.229253e-02 -1.080961e-22)
