# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.753387e+03 -1.831355e+04 -8.527542e-18)	(2.749767e+03 -1.831318e+04 -8.527349e-18)	(3.620092e+00 -3.664883e-01 -1.932913e-22)
0.0002       	(-3.582370e+02 2.623862e+03 7.538506e-19)	(-3.615812e+02 2.624191e+03 7.540277e-19)	(3.344264e+00 -3.289872e-01 -1.770282e-22)
0.0003       	(3.118279e+00 -8.138780e-01 -1.275708e-19)	(1.784809e-01 -5.254934e-01 -1.274056e-19)	(2.939799e+00 -2.883847e-01 -1.652296e-22)
0.0004       	(2.830351e+00 -8.719897e-01 -1.185822e-19)	(4.516668e-02 -6.001715e-01 -1.183972e-19)	(2.785185e+00 -2.718182e-01 -1.850361e-22)
0.0005       	(2.741335e+00 -8.356416e-01 -1.196387e-19)	(6.470898e-02 -5.773084e-01 -1.194196e-19)	(2.676626e+00 -2.583331e-01 -2.191327e-22)
0.0006       	(2.578138e+00 -1.453699e+00 -1.238354e-19)	(1.942634e-02 -1.210358e+00 -1.235751e-19)	(2.558712e+00 -2.433417e-01 -2.602902e-22)
0.0007       	(2.719253e+00 -9.729597e-01 -1.272267e-19)	(2.634962e-01 -7.419583e-01 -1.269444e-19)	(2.455757e+00 -2.310014e-01 -2.823410e-22)
0.0008       	(3.173716e+00 8.270932e-01 -1.368314e-19)	(7.926506e-01 1.047666e+00 -1.365399e-19)	(2.381065e+00 -2.205725e-01 -2.914824e-22)
0.0009       	(3.520503e+00 9.582107e-01 -1.385764e-19)	(1.204381e+00 1.167686e+00 -1.382848e-19)	(2.316121e+00 -2.094754e-01 -2.915629e-22)
0.001        	(3.852636e+00 -1.562134e+00 -1.382465e-19)	(1.599828e+00 -1.364454e+00 -1.379754e-19)	(2.252808e+00 -1.976800e-01 -2.710522e-22)
0.0011       	(3.824250e+00 -2.331842e+00 -1.400346e-19)	(1.636151e+00 -2.146129e+00 -1.397875e-19)	(2.188099e+00 -1.857130e-01 -2.470311e-22)
0.0012       	(3.299112e+00 -2.111341e+00 -1.367248e-19)	(1.165138e+00 -1.936569e+00 -1.364798e-19)	(2.133974e+00 -1.747721e-01 -2.449647e-22)
0.0013       	(4.333420e+00 -1.477111e+00 -1.386669e-19)	(2.247909e+00 -1.312290e+00 -1.384269e-19)	(2.085511e+00 -1.648212e-01 -2.399616e-22)
0.0014       	(5.107678e+00 -7.310760e-01 -1.367607e-19)	(3.067460e+00 -5.753018e-01 -1.365372e-19)	(2.040218e+00 -1.557742e-01 -2.235126e-22)
0.0015       	(6.977087e+00 -6.614254e-01 -1.728076e-19)	(4.980040e+00 -5.132819e-01 -1.725846e-19)	(1.997048e+00 -1.481435e-01 -2.229751e-22)
0.0016       	(5.286522e+00 -3.787710e+00 -1.661810e-19)	(3.328817e+00 -3.646978e+00 -1.659480e-19)	(1.957705e+00 -1.407318e-01 -2.330286e-22)
0.0017       	(7.186945e+00 -3.958588e+00 -1.931471e-19)	(5.264456e+00 -3.823942e+00 -1.929124e-19)	(1.922490e+00 -1.346462e-01 -2.347429e-22)
0.0018       	(7.501406e+00 -3.609049e+00 -1.853560e-19)	(5.612012e+00 -3.479711e+00 -1.851247e-19)	(1.889394e+00 -1.293387e-01 -2.313329e-22)
0.0019       	(5.368347e+00 -2.764315e+00 -1.582224e-19)	(3.509505e+00 -2.639912e+00 -1.579900e-19)	(1.858842e+00 -1.244033e-01 -2.324498e-22)
0.002        	(5.984151e+00 -3.158039e+00 -1.704206e-19)	(4.154991e+00 -3.038211e+00 -1.701950e-19)	(1.829160e+00 -1.198280e-01 -2.255264e-22)
0.0021       	(6.925699e+00 -3.972718e+00 -1.852679e-19)	(5.125181e+00 -3.857269e+00 -1.850539e-19)	(1.800518e+00 -1.154483e-01 -2.140658e-22)
0.0022       	(7.808767e+00 -4.672493e+00 -1.929309e-19)	(6.036201e+00 -4.560790e+00 -1.927289e-19)	(1.772567e+00 -1.117036e-01 -2.020169e-22)
0.0023       	(6.778028e+00 -3.955540e+00 -1.749684e-19)	(5.032009e+00 -3.846027e+00 -1.747715e-19)	(1.746019e+00 -1.095128e-01 -1.968691e-22)
0.0024       	(5.447237e+00 -3.307154e+00 -1.612121e-19)	(3.727680e+00 -3.200422e+00 -1.610216e-19)	(1.719557e+00 -1.067312e-01 -1.904730e-22)
0.0025       	(6.877280e+00 -3.973273e+00 -1.730845e-19)	(5.182011e+00 -3.869324e+00 -1.729000e-19)	(1.695269e+00 -1.039491e-01 -1.844926e-22)
0.0026       	(8.765167e+00 -5.243585e+00 -1.935368e-19)	(7.092261e+00 -5.141280e+00 -1.933681e-19)	(1.672906e+00 -1.023055e-01 -1.686403e-22)
0.0027       	(9.104127e+00 -4.592259e+00 -1.707060e-19)	(7.453334e+00 -4.491013e+00 -1.705606e-19)	(1.650793e+00 -1.012457e-01 -1.453969e-22)
0.0028       	(7.454393e+00 -3.050785e+00 -1.506423e-19)	(5.824531e+00 -2.950727e+00 -1.505089e-19)	(1.629862e+00 -1.000582e-01 -1.333742e-22)
0.0029       	(7.215815e+00 -4.240423e+00 -1.572695e-19)	(5.604482e+00 -4.140803e+00 -1.571478e-19)	(1.611333e+00 -9.961946e-02 -1.217379e-22)
0.003        	(7.558641e+00 -4.304840e+00 -1.665726e-19)	(5.965485e+00 -4.205257e+00 -1.664621e-19)	(1.593157e+00 -9.958281e-02 -1.104526e-22)
0.0031       	(9.296722e+00 -4.578732e+00 -1.794549e-19)	(7.721558e+00 -4.478895e+00 -1.793482e-19)	(1.575164e+00 -9.983676e-02 -1.067741e-22)
0.0032       	(1.135375e+01 -7.286098e+00 -2.046971e-19)	(9.794195e+00 -7.186716e+00 -2.045745e-19)	(1.559557e+00 -9.938258e-02 -1.226947e-22)
0.0033       	(1.088725e+01 -9.563106e+00 -2.122389e-19)	(9.343473e+00 -9.464621e+00 -2.121064e-19)	(1.543777e+00 -9.848414e-02 -1.325358e-22)
0.0034       	(1.354212e+01 -9.048340e+00 -2.143013e-19)	(1.201299e+01 -8.951270e+00 -2.141762e-19)	(1.529133e+00 -9.707029e-02 -1.251092e-22)
0.0035       	(1.030982e+01 -6.514049e+00 -1.852990e-19)	(8.794264e+00 -6.418812e+00 -1.851777e-19)	(1.515560e+00 -9.523701e-02 -1.212672e-22)
0.0036       	(8.377594e+00 -6.415792e+00 -1.759410e-19)	(6.876470e+00 -6.322081e+00 -1.758218e-19)	(1.501124e+00 -9.371153e-02 -1.191897e-22)
0.0037       	(1.109953e+01 -7.944796e+00 -1.919896e-19)	(9.612794e+00 -7.852021e+00 -1.918759e-19)	(1.486733e+00 -9.277414e-02 -1.137483e-22)
0.0038       	(1.015259e+01 -5.682452e+00 -1.798636e-19)	(8.679569e+00 -5.590430e+00 -1.797508e-19)	(1.473023e+00 -9.202229e-02 -1.127986e-22)
0.0039       	(1.011261e+01 -6.453274e+00 -1.889655e-19)	(8.652227e+00 -6.361379e+00 -1.888487e-19)	(1.460387e+00 -9.189511e-02 -1.167780e-22)
0.004        	(9.777505e+00 -5.419317e+00 -1.905153e-19)	(8.330131e+00 -5.326935e+00 -1.903941e-19)	(1.447374e+00 -9.238216e-02 -1.212009e-22)
0.0041       	(1.035425e+01 -5.980569e+00 -1.959654e-19)	(8.916903e+00 -5.887974e+00 -1.958428e-19)	(1.437351e+00 -9.259571e-02 -1.226447e-22)
0.0042       	(1.085147e+01 -5.476065e+00 -1.879669e-19)	(9.424713e+00 -5.383758e+00 -1.878421e-19)	(1.426753e+00 -9.230663e-02 -1.247854e-22)
0.0043       	(1.284270e+01 -5.429379e+00 -1.895822e-19)	(1.142551e+01 -5.337415e+00 -1.894538e-19)	(1.417186e+00 -9.196348e-02 -1.283831e-22)
0.0044       	(1.160690e+01 -6.880410e+00 -1.871176e-19)	(1.020067e+01 -6.788993e+00 -1.869877e-19)	(1.406228e+00 -9.141705e-02 -1.299482e-22)
0.0045       	(1.092373e+01 -8.553975e+00 -1.663312e-19)	(9.528638e+00 -8.463696e+00 -1.662045e-19)	(1.395089e+00 -9.027931e-02 -1.266294e-22)
0.0046       	(9.114944e+00 -5.468253e+00 -1.728952e-19)	(7.731957e+00 -5.378876e+00 -1.727721e-19)	(1.382987e+00 -8.937676e-02 -1.231454e-22)
0.0047       	(1.015237e+01 -7.507092e+00 -1.758643e-19)	(8.778991e+00 -7.418600e+00 -1.757448e-19)	(1.373374e+00 -8.849197e-02 -1.194615e-22)
0.0048       	(1.173866e+01 -8.837315e+00 -1.874882e-19)	(1.037454e+01 -8.749555e+00 -1.873727e-19)	(1.364123e+00 -8.775921e-02 -1.154462e-22)
0.0049       	(1.198615e+01 -8.431992e+00 -1.862305e-19)	(1.063196e+01 -8.344987e+00 -1.861184e-19)	(1.354188e+00 -8.700551e-02 -1.121406e-22)
0.005        	(1.052843e+01 -6.585876e+00 -1.806353e-19)	(9.184830e+00 -6.499553e+00 -1.805270e-19)	(1.343604e+00 -8.632286e-02 -1.082520e-22)
0.0051       	(1.150828e+01 -5.797318e+00 -1.871265e-19)	(1.017297e+01 -5.711304e+00 -1.870189e-19)	(1.335311e+00 -8.601369e-02 -1.076545e-22)
0.0052       	(1.265835e+01 -6.929262e+00 -1.916523e-19)	(1.133041e+01 -6.843129e+00 -1.915433e-19)	(1.327945e+00 -8.613304e-02 -1.090266e-22)
0.0053       	(1.313171e+01 -7.540040e+00 -1.962345e-19)	(1.181207e+01 -7.454225e+00 -1.961251e-19)	(1.319646e+00 -8.581514e-02 -1.093345e-22)
0.0054       	(1.078989e+01 -5.861853e+00 -1.862108e-19)	(9.480092e+00 -5.776615e+00 -1.861024e-19)	(1.309794e+00 -8.523861e-02 -1.084238e-22)
0.0055       	(9.848006e+00 -5.694635e+00 -1.841062e-19)	(8.549878e+00 -5.609751e+00 -1.839970e-19)	(1.298127e+00 -8.488418e-02 -1.092394e-22)
0.0056       	(1.082932e+01 -6.850965e+00 -1.864763e-19)	(9.544180e+00 -6.766187e+00 -1.863647e-19)	(1.285136e+00 -8.477727e-02 -1.116798e-22)
0.0057       	(1.001753e+01 -6.752800e+00 -1.815815e-19)	(8.745209e+00 -6.668135e+00 -1.814716e-19)	(1.272320e+00 -8.466552e-02 -1.098729e-22)
0.0058       	(1.135143e+01 -9.562350e+00 -1.799081e-19)	(1.009084e+01 -9.478390e+00 -1.798000e-19)	(1.260586e+00 -8.396020e-02 -1.080283e-22)
0.0059       	(1.225305e+01 -8.777693e+00 -1.873849e-19)	(1.100081e+01 -8.694797e+00 -1.872733e-19)	(1.252247e+00 -8.289526e-02 -1.116112e-22)
0.006        	(1.666078e+01 -1.164998e+01 -2.119382e-19)	(1.541363e+01 -1.156751e+01 -2.118217e-19)	(1.247153e+00 -8.246792e-02 -1.164497e-22)
0.0061       	(1.509866e+01 -1.198627e+01 -2.046083e-19)	(1.385379e+01 -1.190406e+01 -2.044822e-19)	(1.244864e+00 -8.221445e-02 -1.260415e-22)
0.0062       	(1.595919e+01 -1.144334e+01 -2.118462e-19)	(1.471803e+01 -1.136142e+01 -2.117144e-19)	(1.241161e+00 -8.192204e-02 -1.317867e-22)
0.0063       	(1.311510e+01 -8.509171e+00 -1.886609e-19)	(1.187935e+01 -8.427359e+00 -1.885249e-19)	(1.235751e+00 -8.181175e-02 -1.360814e-22)
0.0064       	(1.064688e+01 -7.281697e+00 -1.774404e-19)	(9.416162e+00 -7.199900e+00 -1.772997e-19)	(1.230714e+00 -8.179732e-02 -1.406930e-22)
0.0065       	(1.090422e+01 -7.867721e+00 -1.792552e-19)	(9.674467e+00 -7.786310e+00 -1.791089e-19)	(1.229752e+00 -8.141087e-02 -1.462487e-22)
0.0066       	(1.279641e+01 -8.706195e+00 -1.929201e-19)	(1.156717e+01 -8.625342e+00 -1.927690e-19)	(1.229242e+00 -8.085317e-02 -1.510881e-22)
