# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.415053e+03 -6.645965e+02 -1.509813e-18)	(3.411402e+03 -6.645789e+02 -1.509513e-18)	(3.651116e+00 -1.752472e-02 -2.999363e-22)
0.0002       	(1.480000e+01 2.945368e+01 -1.706707e-19)	(1.143950e+01 2.946946e+01 -1.704346e-19)	(3.360499e+00 -1.578576e-02 -2.360694e-22)
0.0003       	(1.622314e+01 -1.424977e+01 -1.619169e-19)	(1.307776e+01 -1.423542e+01 -1.617066e-19)	(3.145379e+00 -1.435585e-02 -2.103505e-22)
0.0004       	(1.582966e+01 -7.959004e+00 -1.572673e-19)	(1.282984e+01 -7.946260e+00 -1.570623e-19)	(2.999822e+00 -1.274416e-02 -2.050188e-22)
0.0005       	(1.601125e+01 -4.452562e+00 -1.640457e-19)	(1.312695e+01 -4.440944e+00 -1.638396e-19)	(2.884298e+00 -1.161814e-02 -2.060650e-22)
0.0006       	(1.570162e+01 -4.255160e+00 -1.673391e-19)	(1.291197e+01 -4.243199e+00 -1.671306e-19)	(2.789647e+00 -1.196046e-02 -2.084465e-22)
0.0007       	(1.572344e+01 -5.538520e+00 -1.678026e-19)	(1.301551e+01 -5.526141e+00 -1.675923e-19)	(2.707936e+00 -1.237845e-02 -2.102837e-22)
0.0008       	(1.567568e+01 -6.914391e+00 -1.655438e-19)	(1.304004e+01 -6.901954e+00 -1.653347e-19)	(2.635645e+00 -1.243703e-02 -2.090720e-22)
0.0009       	(1.541171e+01 -9.982142e+00 -1.640647e-19)	(1.283996e+01 -9.969494e+00 -1.638531e-19)	(2.571755e+00 -1.264844e-02 -2.116404e-22)
0.001        	(1.578572e+01 -2.009967e+01 -1.614674e-19)	(1.327009e+01 -2.008785e+01 -1.612574e-19)	(2.515634e+00 -1.181127e-02 -2.099944e-22)
0.0011       	(1.926134e+01 -7.007050e+00 -1.846219e-19)	(1.679848e+01 -6.996040e+00 -1.844170e-19)	(2.462864e+00 -1.100997e-02 -2.049179e-22)
0.0012       	(1.748283e+01 -5.630417e+00 -1.768212e-19)	(1.507048e+01 -5.620252e+00 -1.766183e-19)	(2.412348e+00 -1.016557e-02 -2.028868e-22)
0.0013       	(1.677171e+01 -6.460714e+00 -1.695764e-19)	(1.440476e+01 -6.451312e+00 -1.693748e-19)	(2.366954e+00 -9.401874e-03 -2.015785e-22)
0.0014       	(1.670839e+01 -7.161075e+00 -1.686023e-19)	(1.438291e+01 -7.151503e+00 -1.684043e-19)	(2.325481e+00 -9.571503e-03 -1.979402e-22)
0.0015       	(1.719306e+01 -6.583721e+00 -1.681424e-19)	(1.490586e+01 -6.574553e+00 -1.679485e-19)	(2.287200e+00 -9.167749e-03 -1.939549e-22)
0.0016       	(1.759672e+01 -5.546342e+00 -1.700587e-19)	(1.534648e+01 -5.537264e+00 -1.698673e-19)	(2.250242e+00 -9.078003e-03 -1.913990e-22)
0.0017       	(1.795595e+01 -5.245042e+00 -1.726314e-19)	(1.573948e+01 -5.235395e+00 -1.724432e-19)	(2.216468e+00 -9.647567e-03 -1.882014e-22)
0.0018       	(1.807074e+01 -4.865797e+00 -1.692519e-19)	(1.588603e+01 -4.855729e+00 -1.690706e-19)	(2.184712e+00 -1.006864e-02 -1.813323e-22)
0.0019       	(1.944538e+01 -3.103608e+00 -1.494772e-19)	(1.729182e+01 -3.092904e+00 -1.493029e-19)	(2.153557e+00 -1.070357e-02 -1.742449e-22)
0.002        	(1.886666e+01 -6.721598e+00 -1.623156e-19)	(1.674621e+01 -6.710377e+00 -1.621459e-19)	(2.120449e+00 -1.122069e-02 -1.696741e-22)
0.0021       	(1.846889e+01 -5.258276e+00 -1.681629e-19)	(1.637969e+01 -5.246694e+00 -1.679951e-19)	(2.089196e+00 -1.158231e-02 -1.677316e-22)
0.0022       	(1.950754e+01 -9.640787e+00 -1.722007e-19)	(1.744619e+01 -9.629082e+00 -1.720292e-19)	(2.061356e+00 -1.170477e-02 -1.715246e-22)
0.0023       	(1.943547e+01 -1.014502e+01 -1.666164e-19)	(1.740113e+01 -1.013323e+01 -1.664396e-19)	(2.034343e+00 -1.179212e-02 -1.768457e-22)
0.0024       	(1.956848e+01 -9.536605e+00 -1.664823e-19)	(1.756205e+01 -9.523528e+00 -1.663061e-19)	(2.006436e+00 -1.307706e-02 -1.762034e-22)
0.0025       	(2.031120e+01 -4.919795e+00 -1.668599e-19)	(1.833200e+01 -4.905099e+00 -1.666869e-19)	(1.979198e+00 -1.469641e-02 -1.729560e-22)
0.0026       	(2.824113e+01 -1.622969e+00 -1.565263e-19)	(2.628821e+01 -1.607407e+00 -1.563528e-19)	(1.952918e+00 -1.556123e-02 -1.735177e-22)
0.0027       	(2.224232e+01 -1.077859e+01 -1.640238e-19)	(2.031609e+01 -1.076274e+01 -1.638539e-19)	(1.926234e+00 -1.584653e-02 -1.698570e-22)
0.0028       	(2.234783e+01 -2.152887e+01 -1.629325e-19)	(2.044871e+01 -2.151283e+01 -1.627675e-19)	(1.899117e+00 -1.604001e-02 -1.649971e-22)
