# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.930973e+03 1.585632e+04 2.035892e-18)	(2.927351e+03 1.585601e+04 2.036278e-18)	(3.622052e+00 3.174197e-01 -3.858439e-22)
0.0002       	(-4.085855e+02 -2.390236e+03 -1.972117e-19)	(-4.119375e+02 -2.390520e+03 -1.969001e-19)	(3.352019e+00 2.836499e-01 -3.116546e-22)
0.0003       	(3.015002e+00 2.270740e-01 -1.203840e-19)	(5.785986e-02 -2.253296e-02 -1.201154e-19)	(2.957142e+00 2.496069e-01 -2.686441e-22)
0.0004       	(2.058668e+00 5.016953e+00 -1.262908e-19)	(-7.494702e-01 4.781005e+00 -1.260363e-19)	(2.808138e+00 2.359479e-01 -2.544568e-22)
0.0005       	(2.528749e+00 1.143752e+00 -1.279876e-19)	(-1.741019e-01 9.157357e-01 -1.277399e-19)	(2.702851e+00 2.280168e-01 -2.476759e-22)
0.0006       	(2.467727e+00 2.231933e+00 -1.242021e-19)	(-1.267089e-01 2.012565e+00 -1.239609e-19)	(2.594436e+00 2.193682e-01 -2.412434e-22)
0.0007       	(2.614555e+00 8.191791e-01 -1.229095e-19)	(1.139769e-01 6.070064e-01 -1.226842e-19)	(2.500578e+00 2.121726e-01 -2.253424e-22)
0.0008       	(3.016301e+00 -1.674476e-01 -1.185545e-19)	(5.861036e-01 -3.733453e-01 -1.183463e-19)	(2.430198e+00 2.058977e-01 -2.082074e-22)
0.0009       	(3.585206e+00 -6.187971e-01 -1.152400e-19)	(1.214465e+00 -8.171790e-01 -1.150550e-19)	(2.370741e+00 1.983818e-01 -1.849379e-22)
0.001        	(3.206970e+00 4.030603e+00 -1.192837e-19)	(8.953873e-01 3.841078e+00 -1.191147e-19)	(2.311583e+00 1.895258e-01 -1.689515e-22)
