# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.265275e+03 8.505610e+03 8.486981e-20)	(3.261636e+03 8.505423e+03 8.521239e-20)	(3.639571e+00 1.866137e-01 -3.425832e-22)
0.0002       	(-2.611513e+01 -2.722862e+02 -7.926928e-20)	(-2.947113e+01 -2.724571e+02 -7.898843e-20)	(3.355994e+00 1.709498e-01 -2.808549e-22)
0.0003       	(3.765453e+00 5.788993e+00 -1.201575e-19)	(6.749105e-01 5.630126e+00 -1.198966e-19)	(3.090543e+00 1.588668e-01 -2.608764e-22)
0.0004       	(3.717983e+00 9.570168e-01 -1.157829e-19)	(7.678363e-01 8.059442e-01 -1.155373e-19)	(2.950147e+00 1.510727e-01 -2.455978e-22)
0.0005       	(3.670067e+00 2.000207e+00 -1.277045e-19)	(8.388761e-01 1.855845e+00 -1.274637e-19)	(2.831191e+00 1.443619e-01 -2.407737e-22)
0.0006       	(4.233061e+00 3.404273e+00 -1.370733e-19)	(1.507135e+00 3.266266e+00 -1.368371e-19)	(2.725926e+00 1.380069e-01 -2.361720e-22)
0.0007       	(5.107417e+00 1.977652e+00 -1.288285e-19)	(2.466765e+00 1.844758e+00 -1.286031e-19)	(2.640652e+00 1.328947e-01 -2.253556e-22)
0.0008       	(4.937524e+00 1.870129e+00 -1.230026e-19)	(2.368643e+00 1.741584e+00 -1.227865e-19)	(2.568881e+00 1.285442e-01 -2.160808e-22)
0.0009       	(7.516491e+00 2.985717e+00 -1.068273e-19)	(5.010383e+00 2.860751e+00 -1.066136e-19)	(2.506108e+00 1.249663e-01 -2.137586e-22)
0.001        	(7.167061e+00 2.343096e+00 -1.080476e-19)	(4.719523e+00 2.222355e+00 -1.078257e-19)	(2.447539e+00 1.207418e-01 -2.218550e-22)
0.0011       	(5.934460e+00 2.029668e+00 -1.142155e-19)	(3.543504e+00 1.913674e+00 -1.139941e-19)	(2.390957e+00 1.159942e-01 -2.213436e-22)
0.0012       	(7.163445e+00 2.197171e+00 -1.144497e-19)	(4.823817e+00 2.085639e+00 -1.142354e-19)	(2.339628e+00 1.115316e-01 -2.142592e-22)
0.0013       	(7.350676e+00 3.238030e+00 -1.068670e-19)	(5.059947e+00 3.130621e+00 -1.066623e-19)	(2.290728e+00 1.074084e-01 -2.047719e-22)
0.0014       	(9.327841e+00 3.156596e+00 -1.240743e-19)	(7.082156e+00 3.052965e+00 -1.238822e-19)	(2.245685e+00 1.036303e-01 -1.920832e-22)
0.0015       	(1.217685e+01 1.283884e+00 -1.576364e-19)	(9.971860e+00 1.184691e+00 -1.574548e-19)	(2.204991e+00 9.919274e-02 -1.815989e-22)
0.0016       	(1.044759e+01 2.658689e+00 -1.201558e-19)	(8.282765e+00 2.563578e+00 -1.199815e-19)	(2.164828e+00 9.511074e-02 -1.743358e-22)
0.0017       	(9.530306e+00 2.566103e+00 -1.166041e-19)	(7.404979e+00 2.474382e+00 -1.164376e-19)	(2.125327e+00 9.172136e-02 -1.664688e-22)
0.0018       	(8.356522e+00 2.151882e+00 -1.173462e-19)	(6.269973e+00 2.063729e+00 -1.171889e-19)	(2.086550e+00 8.815314e-02 -1.572339e-22)
0.0019       	(8.806024e+00 1.479983e+00 -1.324504e-19)	(6.757030e+00 1.395790e+00 -1.323021e-19)	(2.048994e+00 8.419253e-02 -1.482924e-22)
0.002        	(8.719236e+00 -6.208174e-01 -1.283339e-19)	(6.707404e+00 -7.020840e-01 -1.281908e-19)	(2.011833e+00 8.126657e-02 -1.431063e-22)
