# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.008189e+03 1.343616e+04 1.543490e-18)	(3.004562e+03 1.343588e+04 1.543859e-18)	(3.626875e+00 2.778752e-01 -3.684598e-22)
0.0002       	(-4.259366e+02 -1.988186e+03 -8.002445e-20)	(-4.292943e+02 -1.988437e+03 -7.971383e-20)	(3.357760e+00 2.509254e-01 -3.106182e-22)
0.0003       	(3.838109e+00 -3.238069e+00 -1.207544e-19)	(8.553986e-01 -3.460963e+00 -1.204679e-19)	(2.982711e+00 2.228949e-01 -2.865287e-22)
0.0004       	(2.937392e+00 -2.256653e-01 -1.184580e-19)	(1.055008e-01 -4.385595e-01 -1.181794e-19)	(2.831891e+00 2.128942e-01 -2.785854e-22)
0.0005       	(2.757149e+00 -7.339681e-02 -1.222423e-19)	(3.009999e-02 -2.791731e-01 -1.219733e-19)	(2.727049e+00 2.057763e-01 -2.689752e-22)
0.0006       	(2.658902e+00 1.499650e+00 -1.239726e-19)	(4.059070e-02 1.301319e+00 -1.237157e-19)	(2.618311e+00 1.983318e-01 -2.569330e-22)
0.0007       	(2.663472e+00 2.097894e+00 -1.192756e-19)	(1.385973e-01 1.906933e+00 -1.190400e-19)	(2.524875e+00 1.909614e-01 -2.355926e-22)
0.0008       	(3.178484e+00 9.740871e-01 -1.156251e-19)	(7.259887e-01 7.890483e-01 -1.154122e-19)	(2.452496e+00 1.850387e-01 -2.128895e-22)
0.0009       	(3.581104e+00 1.036889e+00 -1.116525e-19)	(1.191941e+00 8.579990e-01 -1.114679e-19)	(2.389162e+00 1.788904e-01 -1.846744e-22)
0.001        	(3.056935e+00 4.229408e+00 -1.203528e-19)	(7.303098e-01 4.058530e+00 -1.201866e-19)	(2.326626e+00 1.708776e-01 -1.661135e-22)
0.0011       	(2.855538e+00 5.130928e+00 -1.234613e-19)	(5.875412e-01 4.968391e+00 -1.233060e-19)	(2.267996e+00 1.625376e-01 -1.552634e-22)
0.0012       	(3.038360e+00 3.503504e+00 -1.176204e-19)	(8.233580e-01 3.348973e+00 -1.174738e-19)	(2.215002e+00 1.545303e-01 -1.466169e-22)
0.0013       	(3.308348e+00 3.194434e+00 -1.176656e-19)	(1.138539e+00 3.047238e+00 -1.175222e-19)	(2.169809e+00 1.471964e-01 -1.433947e-22)
0.0014       	(4.090097e+00 3.441632e+00 -1.193971e-19)	(1.962383e+00 3.301585e+00 -1.192639e-19)	(2.127713e+00 1.400477e-01 -1.331805e-22)
0.0015       	(4.995752e+00 6.516443e+00 -1.140306e-19)	(2.909349e+00 6.383909e+00 -1.139111e-19)	(2.086403e+00 1.325334e-01 -1.195233e-22)
0.0016       	(8.083558e+00 6.568625e+00 -9.611275e-20)	(6.036880e+00 6.441965e+00 -9.600055e-20)	(2.046678e+00 1.266607e-01 -1.122007e-22)
0.0017       	(6.665469e+00 4.739648e+00 -1.033833e-19)	(4.655800e+00 4.618344e+00 -1.032680e-19)	(2.009670e+00 1.213038e-01 -1.152875e-22)
0.0018       	(6.478405e+00 3.266239e+00 -1.005112e-19)	(4.503627e+00 3.149943e+00 -1.004045e-19)	(1.974778e+00 1.162959e-01 -1.066325e-22)
0.0019       	(6.116960e+00 3.396272e+00 -1.046369e-19)	(4.176444e+00 3.284434e+00 -1.045408e-19)	(1.940516e+00 1.118381e-01 -9.608610e-23)
0.002        	(5.495576e+00 2.654134e+00 -1.090424e-19)	(3.588521e+00 2.546204e+00 -1.089592e-19)	(1.907054e+00 1.079299e-01 -8.316757e-23)
0.0021       	(5.909227e+00 1.563160e+00 -1.056747e-19)	(4.034003e+00 1.459556e+00 -1.055998e-19)	(1.875224e+00 1.036033e-01 -7.489032e-23)
0.0022       	(6.381278e+00 2.294419e+00 -1.026478e-19)	(4.538101e+00 2.195012e+00 -1.025789e-19)	(1.843177e+00 9.940683e-02 -6.889243e-23)
0.0023       	(7.818140e+00 3.721291e+00 -9.706602e-20)	(6.004829e+00 3.625149e+00 -9.700730e-20)	(1.813311e+00 9.614183e-02 -5.871662e-23)
0.0024       	(6.524955e+00 1.106081e+00 -1.043503e-19)	(4.737707e+00 1.011516e+00 -1.043015e-19)	(1.787248e+00 9.456471e-02 -4.879230e-23)
0.0025       	(6.132916e+00 1.579289e-01 -1.057852e-19)	(4.371879e+00 6.467131e-02 -1.057394e-19)	(1.761036e+00 9.325756e-02 -4.581309e-23)
0.0026       	(8.474097e+00 3.735674e+00 -1.063572e-19)	(6.738161e+00 3.644133e+00 -1.063052e-19)	(1.735936e+00 9.154121e-02 -5.196578e-23)
0.0027       	(8.717370e+00 2.479125e+00 -1.490904e-19)	(7.007137e+00 2.389184e+00 -1.490218e-19)	(1.710233e+00 8.994109e-02 -6.859876e-23)
0.0028       	(9.671539e+00 2.147373e+00 -1.595025e-19)	(7.988069e+00 2.057925e+00 -1.594281e-19)	(1.683470e+00 8.944786e-02 -7.444985e-23)
0.0029       	(1.089087e+01 2.516085e+00 -1.565626e-19)	(9.234889e+00 2.427294e+00 -1.564780e-19)	(1.655981e+00 8.879023e-02 -8.465138e-23)
