# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.482268e+03 3.467200e+03 -8.828043e-19)	(3.478615e+03 3.467122e+03 -8.824897e-19)	(3.652835e+00 7.834541e-02 -3.145825e-22)
0.0002       	(2.420310e+01 -2.262522e+01 -1.544201e-19)	(2.083730e+01 -2.269701e+01 -1.541324e-19)	(3.365800e+00 7.178328e-02 -2.876652e-22)
0.0003       	(2.172014e+01 4.214301e-01 -1.416748e-19)	(1.856072e+01 3.529267e-01 -1.414114e-19)	(3.159414e+00 6.850335e-02 -2.634192e-22)
0.0004       	(2.156582e+01 5.172477e+00 -1.455820e-19)	(1.854542e+01 5.106858e+00 -1.453338e-19)	(3.020406e+00 6.561881e-02 -2.481281e-22)
0.0005       	(2.182759e+01 2.820572e+00 -1.426706e-19)	(1.891781e+01 2.757066e+00 -1.424377e-19)	(2.909774e+00 6.350654e-02 -2.328432e-22)
0.0006       	(2.204203e+01 8.989699e+00 -1.456921e-19)	(1.922140e+01 8.928783e+00 -1.454649e-19)	(2.820632e+00 6.091623e-02 -2.272291e-22)
0.0007       	(2.233614e+01 7.714985e+00 -1.519794e-19)	(1.959127e+01 7.656104e+00 -1.517489e-19)	(2.744868e+00 5.888102e-02 -2.305097e-22)
0.0008       	(2.246285e+01 6.328549e+00 -1.533490e-19)	(1.978405e+01 6.271229e+00 -1.531110e-19)	(2.678797e+00 5.732054e-02 -2.379591e-22)
0.0009       	(2.268645e+01 9.108326e+00 -1.538859e-19)	(2.006464e+01 9.051964e+00 -1.536463e-19)	(2.621803e+00 5.636213e-02 -2.395919e-22)
0.001        	(2.246227e+01 8.818300e+00 -1.533500e-19)	(1.988947e+01 8.762927e+00 -1.531059e-19)	(2.572798e+00 5.537367e-02 -2.440260e-22)
0.0011       	(2.751404e+01 1.912747e+01 -1.583742e-19)	(2.498400e+01 1.907289e+01 -1.581317e-19)	(2.530034e+00 5.457726e-02 -2.425729e-22)
0.0012       	(2.459884e+01 1.833168e+01 -1.575732e-19)	(2.210728e+01 1.827849e+01 -1.573377e-19)	(2.491562e+00 5.318663e-02 -2.354710e-22)
0.0013       	(2.337914e+01 3.481044e+01 -1.596432e-19)	(2.092081e+01 3.475882e+01 -1.594150e-19)	(2.458323e+00 5.161432e-02 -2.281516e-22)
0.0014       	(2.596929e+01 8.539104e+00 -1.524668e-19)	(2.353999e+01 8.487649e+00 -1.522411e-19)	(2.429304e+00 5.145506e-02 -2.257502e-22)
0.0015       	(2.665599e+01 1.587343e+01 -1.553227e-19)	(2.425401e+01 1.582069e+01 -1.551053e-19)	(2.401974e+00 5.274270e-02 -2.173959e-22)
0.0016       	(3.372266e+01 -2.941584e+01 -1.575297e-19)	(3.134275e+01 -2.947086e+01 -1.573294e-19)	(2.379915e+00 5.502515e-02 -2.002529e-22)
0.0017       	(3.584280e+01 -2.015230e+01 -1.586311e-19)	(3.348103e+01 -2.020860e+01 -1.584509e-19)	(2.361773e+00 5.629638e-02 -1.801280e-22)
0.0018       	(5.122057e+01 -4.716905e+01 -1.902955e-19)	(4.887498e+01 -4.722542e+01 -1.901245e-19)	(2.345587e+00 5.637069e-02 -1.710722e-22)
0.0019       	(4.090615e+01 5.077975e-01 -1.718009e-19)	(3.857623e+01 4.518971e-01 -1.716460e-19)	(2.329918e+00 5.590032e-02 -1.549261e-22)
0.002        	(3.135087e+01 2.099876e+01 -1.628017e-19)	(2.903734e+01 2.094322e+01 -1.626503e-19)	(2.313528e+00 5.553775e-02 -1.514310e-22)
0.0021       	(3.286574e+01 2.146106e+01 -1.655907e-19)	(3.056529e+01 2.140167e+01 -1.654359e-19)	(2.300451e+00 5.939282e-02 -1.548563e-22)
0.0022       	(4.016125e+01 5.551803e+01 -1.740978e-19)	(3.787063e+01 5.545554e+01 -1.739578e-19)	(2.290615e+00 6.249558e-02 -1.400428e-22)
0.0023       	(4.288261e+01 1.122022e+02 -1.773953e-19)	(4.059950e+01 1.121399e+02 -1.772744e-19)	(2.283111e+00 6.229054e-02 -1.208718e-22)
0.0024       	(3.540630e+01 1.534609e+02 -1.628123e-19)	(3.312998e+01 1.534003e+02 -1.627186e-19)	(2.276319e+00 6.059233e-02 -9.377603e-23)
0.0025       	(4.368673e+01 2.907550e+01 -1.865969e-19)	(4.141641e+01 2.901330e+01 -1.865124e-19)	(2.270316e+00 6.220505e-02 -8.448733e-23)
0.0026       	(5.748528e+01 4.114522e+01 -2.200207e-19)	(5.521933e+01 4.107867e+01 -2.199573e-19)	(2.265948e+00 6.655675e-02 -6.338142e-23)
0.0027       	(5.331139e+01 7.877611e+01 -1.919627e-19)	(5.104544e+01 7.870500e+01 -1.918972e-19)	(2.265949e+00 7.111359e-02 -6.545722e-23)
0.0028       	(8.862205e+01 1.617078e+02 -1.526063e-19)	(8.635097e+01 1.616351e+02 -1.525410e-19)	(2.271082e+00 7.262810e-02 -6.521797e-23)
0.0029       	(6.895385e+01 1.413348e+02 -1.268141e-19)	(6.667891e+01 1.412613e+02 -1.266875e-19)	(2.274947e+00 7.355808e-02 -1.265361e-22)
0.003        	(6.511996e+01 1.409421e+02 -1.434030e-19)	(6.284391e+01 1.408703e+02 -1.432401e-19)	(2.276054e+00 7.179816e-02 -1.628569e-22)
0.0031       	(9.550640e+01 3.864186e+02 -1.532004e-19)	(9.322622e+01 3.863427e+02 -1.530357e-19)	(2.280175e+00 7.590077e-02 -1.646568e-22)
