# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.388188e+03 2.536321e+04 3.787882e-18)	(2.384610e+03 2.536272e+04 3.788312e-18)	(3.578802e+00 4.896012e-01 -4.296693e-22)
0.0002       	(-2.544097e+02 -3.858933e+03 -4.641051e-19)	(-2.577064e+02 -3.859362e+03 -4.637508e-19)	(3.296666e+00 4.291149e-01 -3.542820e-22)
0.0003       	(2.883759e+00 8.613253e-01 -1.259915e-19)	(2.915647e-02 4.917608e-01 -1.256692e-19)	(2.854603e+00 3.695644e-01 -3.222495e-22)
0.0004       	(3.177682e+00 -1.772414e+00 -1.263438e-19)	(4.845926e-01 -2.116745e+00 -1.260619e-19)	(2.693090e+00 3.443315e-01 -2.818917e-22)
0.0005       	(3.029349e+00 -1.387272e+00 -1.228331e-19)	(4.488237e-01 -1.712888e+00 -1.225845e-19)	(2.580525e+00 3.256156e-01 -2.486216e-22)
0.0006       	(2.711011e+00 2.432386e-01 -1.162508e-19)	(2.559091e-01 -6.363444e-02 -1.160198e-19)	(2.455102e+00 3.068730e-01 -2.310274e-22)
0.0007       	(2.837937e+00 -1.295432e+00 -1.122684e-19)	(4.886972e-01 -1.586802e+00 -1.120479e-19)	(2.349239e+00 2.913698e-01 -2.205696e-22)
0.0008       	(2.814745e+00 -7.844163e-01 -1.204623e-19)	(5.383396e-01 -1.061867e+00 -1.202558e-19)	(2.276406e+00 2.774507e-01 -2.065314e-22)
0.0009       	(3.309190e+00 -1.559690e-01 -1.221037e-19)	(1.096680e+00 -4.192722e-01 -1.219215e-19)	(2.212510e+00 2.633032e-01 -1.821670e-22)
0.001        	(3.531959e+00 1.090677e+00 -1.189786e-19)	(1.382708e+00 8.415470e-01 -1.188142e-19)	(2.149251e+00 2.491301e-01 -1.643288e-22)
0.0011       	(3.866120e+00 2.522008e+00 -1.179888e-19)	(1.777923e+00 2.286873e+00 -1.178436e-19)	(2.088197e+00 2.351354e-01 -1.452933e-22)
0.0012       	(4.072929e+00 1.672059e+00 -1.198624e-19)	(2.041590e+00 1.450741e+00 -1.197354e-19)	(2.031339e+00 2.213176e-01 -1.270440e-22)
0.0013       	(3.369479e+00 9.653492e-01 -1.289628e-19)	(1.388145e+00 7.567119e-01 -1.288492e-19)	(1.981334e+00 2.086374e-01 -1.136288e-22)
0.0014       	(3.782150e+00 1.061729e+00 -1.280000e-19)	(1.846683e+00 8.649297e-01 -1.279005e-19)	(1.935468e+00 1.967989e-01 -9.958338e-23)
0.0015       	(5.897375e+00 1.580671e+00 -1.192403e-19)	(4.004132e+00 1.394334e+00 -1.191529e-19)	(1.893242e+00 1.863370e-01 -8.737482e-23)
0.0016       	(8.879675e+00 3.702304e+00 -1.039440e-19)	(7.025455e+00 3.526174e+00 -1.038630e-19)	(1.854220e+00 1.761302e-01 -8.094563e-23)
0.0017       	(6.974311e+00 1.892217e+00 -1.030397e-19)	(5.157660e+00 1.725748e+00 -1.029744e-19)	(1.816651e+00 1.664693e-01 -6.526631e-23)
0.0018       	(5.392236e+00 2.130056e+00 -1.106644e-19)	(3.609938e+00 1.971694e+00 -1.106074e-19)	(1.782298e+00 1.583626e-01 -5.696917e-23)
0.0019       	(7.488035e+00 4.394310e+00 -1.042004e-19)	(5.736093e+00 4.242607e+00 -1.041452e-19)	(1.751942e+00 1.517033e-01 -5.520342e-23)
0.002        	(6.669027e+00 4.070228e+00 -1.109748e-19)	(4.945237e+00 3.923762e+00 -1.109189e-19)	(1.723790e+00 1.464657e-01 -5.592502e-23)
0.0021       	(6.895732e+00 4.769881e+00 -1.137225e-19)	(5.197953e+00 4.627734e+00 -1.136562e-19)	(1.697779e+00 1.421467e-01 -6.630049e-23)
0.0022       	(7.360799e+00 4.921028e+00 -1.051692e-19)	(5.687672e+00 4.783105e+00 -1.050986e-19)	(1.673127e+00 1.379232e-01 -7.054377e-23)
0.0023       	(6.775331e+00 4.884643e+00 -1.045244e-19)	(5.125629e+00 4.750529e+00 -1.044550e-19)	(1.649702e+00 1.341138e-01 -6.942489e-23)
0.0024       	(7.529031e+00 5.636417e+00 -9.911066e-20)	(5.900611e+00 5.505234e+00 -9.904637e-20)	(1.628420e+00 1.311833e-01 -6.428733e-23)
0.0025       	(8.871459e+00 5.868242e+00 -8.999217e-20)	(7.261742e+00 5.739059e+00 -8.992854e-20)	(1.609716e+00 1.291832e-01 -6.363057e-23)
0.0026       	(8.593641e+00 6.624851e+00 -9.473398e-20)	(7.000898e+00 6.496303e+00 -9.467287e-20)	(1.592743e+00 1.285483e-01 -6.110810e-23)
0.0027       	(7.727277e+00 7.178653e+00 -9.179837e-20)	(6.150812e+00 7.050273e+00 -9.173049e-20)	(1.576464e+00 1.283795e-01 -6.788349e-23)
