# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.392893e+03 2.483892e+04 3.729732e-18)	(2.389314e+03 2.483844e+04 3.730161e-18)	(3.579313e+00 4.824133e-01 -4.286893e-22)
0.0002       	(-2.588378e+02 -3.777342e+03 -4.613729e-19)	(-2.621351e+02 -3.777765e+03 -4.610207e-19)	(3.297267e+00 4.227956e-01 -3.522775e-22)
0.0003       	(3.154518e+00 -6.795863e-01 -1.259650e-19)	(2.964904e-01 -1.044742e+00 -1.256441e-19)	(2.858027e+00 3.651556e-01 -3.209226e-22)
0.0004       	(3.311725e+00 -2.595170e+00 -1.269808e-19)	(6.142742e-01 -2.935424e+00 -1.267020e-19)	(2.697451e+00 3.402540e-01 -2.787734e-22)
0.0005       	(3.068869e+00 -1.545285e+00 -1.221759e-19)	(4.842661e-01 -1.867294e+00 -1.219294e-19)	(2.584603e+00 3.220092e-01 -2.465002e-22)
0.0006       	(2.790779e+00 -2.080981e-01 -1.138982e-19)	(3.325185e-01 -5.115358e-01 -1.136673e-19)	(2.458261e+00 3.034378e-01 -2.309391e-22)
0.0007       	(3.023679e+00 -2.437858e+00 -1.128101e-19)	(6.717298e-01 -2.725716e+00 -1.125874e-19)	(2.351949e+00 2.878586e-01 -2.226967e-22)
0.0008       	(2.745644e+00 -1.262417e-01 -1.199207e-19)	(4.668893e-01 -4.002244e-01 -1.197119e-19)	(2.278754e+00 2.739827e-01 -2.087981e-22)
0.0009       	(3.307161e+00 -5.761373e-02 -1.199216e-19)	(1.092014e+00 -3.179475e-01 -1.197358e-19)	(2.215147e+00 2.603338e-01 -1.858510e-22)
0.001        	(3.528701e+00 1.146534e+00 -1.175932e-19)	(1.375890e+00 8.999160e-01 -1.174249e-19)	(2.152811e+00 2.466184e-01 -1.682711e-22)
0.0011       	(3.885181e+00 2.164788e+00 -1.174097e-19)	(1.792424e+00 1.932002e+00 -1.172602e-19)	(2.092756e+00 2.327863e-01 -1.494593e-22)
0.0012       	(4.131335e+00 1.358630e+00 -1.188734e-19)	(2.094027e+00 1.139289e+00 -1.187433e-19)	(2.037308e+00 2.193412e-01 -1.300774e-22)
0.0013       	(3.384366e+00 8.398907e-01 -1.286099e-19)	(1.397089e+00 6.330814e-01 -1.284936e-19)	(1.987277e+00 2.068093e-01 -1.163316e-22)
0.0014       	(3.833825e+00 9.755172e-01 -1.283676e-19)	(1.891786e+00 7.805253e-01 -1.282647e-19)	(1.942039e+00 1.949919e-01 -1.028976e-22)
0.0015       	(5.961008e+00 8.289083e-01 -1.183985e-19)	(4.059958e+00 6.442368e-01 -1.183074e-19)	(1.901050e+00 1.846716e-01 -9.110048e-23)
0.0016       	(9.191189e+00 3.934059e+00 -1.017616e-19)	(7.327661e+00 3.759734e+00 -1.016775e-19)	(1.863528e+00 1.743243e-01 -8.412352e-23)
0.0017       	(6.678921e+00 1.525879e+00 -1.047010e-19)	(4.851165e+00 1.360665e+00 -1.046311e-19)	(1.827756e+00 1.652139e-01 -6.996752e-23)
0.0018       	(5.403640e+00 2.440949e+00 -1.117843e-19)	(3.609064e+00 2.283454e+00 -1.117227e-19)	(1.794577e+00 1.574953e-01 -6.167094e-23)
0.0019       	(7.541609e+00 4.091150e+00 -1.051759e-19)	(5.777422e+00 3.940118e+00 -1.051156e-19)	(1.764187e+00 1.510313e-01 -6.022443e-23)
0.002        	(6.693912e+00 3.586037e+00 -1.122998e-19)	(4.958613e+00 3.440131e+00 -1.122381e-19)	(1.735300e+00 1.459064e-01 -6.170707e-23)
0.0021       	(6.840076e+00 4.602272e+00 -1.139019e-19)	(5.131203e+00 4.460713e+00 -1.138301e-19)	(1.708873e+00 1.415586e-01 -7.180387e-23)
0.0022       	(7.408197e+00 5.011934e+00 -1.064485e-19)	(5.724578e+00 4.874641e+00 -1.063716e-19)	(1.683619e+00 1.372925e-01 -7.689972e-23)
0.0023       	(6.935140e+00 5.024976e+00 -1.055875e-19)	(5.275639e+00 4.891662e+00 -1.055106e-19)	(1.659501e+00 1.333148e-01 -7.688725e-23)
0.0024       	(7.601583e+00 5.718125e+00 -9.982561e-20)	(5.964461e+00 5.588023e+00 -9.975395e-20)	(1.637122e+00 1.301013e-01 -7.166034e-23)
0.0025       	(8.902335e+00 5.974161e+00 -9.014434e-20)	(7.284556e+00 5.846141e+00 -9.007552e-20)	(1.617778e+00 1.280197e-01 -6.881808e-23)
0.0026       	(8.587649e+00 6.686013e+00 -9.531162e-20)	(6.987056e+00 6.558492e+00 -9.524562e-20)	(1.600593e+00 1.275206e-01 -6.599950e-23)
0.0027       	(7.741053e+00 6.930496e+00 -9.277700e-20)	(6.157022e+00 6.803002e+00 -9.270545e-20)	(1.584031e+00 1.274949e-01 -7.154753e-23)
0.0028       	(9.418839e+00 8.574722e+00 -8.256944e-20)	(7.852017e+00 8.447755e+00 -8.249518e-20)	(1.566821e+00 1.269671e-01 -7.425222e-23)
0.0029       	(8.912662e+00 8.187052e+00 -6.806486e-20)	(7.363522e+00 8.061315e+00 -6.800129e-20)	(1.549140e+00 1.257368e-01 -6.356271e-23)
0.003        	(7.908886e+00 6.316993e+00 -8.197719e-20)	(6.377952e+00 6.193791e+00 -8.191340e-20)	(1.530934e+00 1.232015e-01 -6.379112e-23)
0.0031       	(1.003397e+01 7.848715e+00 -7.385289e-20)	(8.518694e+00 7.727288e+00 -7.378982e-20)	(1.515275e+00 1.214262e-01 -6.306446e-23)
0.0032       	(1.085218e+01 9.245728e+00 -7.338890e-20)	(9.350892e+00 9.125737e+00 -7.333570e-20)	(1.501292e+00 1.199915e-01 -5.319854e-23)
0.0033       	(1.049250e+01 9.503157e+00 -7.881073e-20)	(9.005600e+00 9.384577e+00 -7.876649e-20)	(1.486904e+00 1.185799e-01 -4.424903e-23)
0.0034       	(7.832728e+00 7.132921e+00 -8.879987e-20)	(6.361215e+00 7.015719e+00 -8.876019e-20)	(1.471514e+00 1.172026e-01 -3.967421e-23)
0.0035       	(7.823228e+00 7.262702e+00 -8.244032e-20)	(6.366440e+00 7.145551e+00 -8.240447e-20)	(1.456788e+00 1.171508e-01 -3.584352e-23)
0.0036       	(7.178928e+00 5.857159e+00 -9.122993e-20)	(5.736279e+00 5.740643e+00 -9.119683e-20)	(1.442649e+00 1.165157e-01 -3.309302e-23)
0.0037       	(1.046053e+01 8.581221e+00 -7.686924e-20)	(9.028983e+00 8.464906e+00 -7.683784e-20)	(1.431543e+00 1.163149e-01 -3.140194e-23)
0.0038       	(1.376151e+01 1.296709e+01 -5.181085e-20)	(1.233962e+01 1.285045e+01 -5.177520e-20)	(1.421886e+00 1.166361e-01 -3.565684e-23)
0.0039       	(9.299417e+00 8.603103e+00 -7.810262e-20)	(7.886094e+00 8.486455e+00 -7.805816e-20)	(1.413323e+00 1.166485e-01 -4.446365e-23)
0.004        	(7.298011e+00 5.640770e+00 -9.354363e-20)	(5.893146e+00 5.524351e+00 -9.349158e-20)	(1.404865e+00 1.164193e-01 -5.204678e-23)
0.0041       	(9.348114e+00 8.577259e+00 -7.845885e-20)	(7.951589e+00 8.461007e+00 -7.840021e-20)	(1.396525e+00 1.162519e-01 -5.864437e-23)
0.0042       	(1.226665e+01 1.249706e+01 -5.938909e-20)	(1.087784e+01 1.238022e+01 -5.931979e-20)	(1.388810e+00 1.168449e-01 -6.930780e-23)
0.0043       	(1.001244e+01 8.622300e+00 -8.493148e-20)	(8.631423e+00 8.505000e+00 -8.484870e-20)	(1.381018e+00 1.172996e-01 -8.278356e-23)
0.0044       	(8.627618e+00 6.601930e+00 -9.137317e-20)	(7.253612e+00 6.484535e+00 -9.128015e-20)	(1.374006e+00 1.173947e-01 -9.302161e-23)
0.0045       	(9.314575e+00 6.430066e+00 -9.416314e-20)	(7.948603e+00 6.312728e+00 -9.406016e-20)	(1.365972e+00 1.173378e-01 -1.029818e-22)
0.0046       	(1.130416e+01 7.216664e+00 -1.096003e-19)	(9.948428e+00 7.099446e+00 -1.094866e-19)	(1.355728e+00 1.172182e-01 -1.136745e-22)
0.0047       	(1.497815e+01 9.708119e+00 -1.188580e-19)	(1.363259e+01 9.590493e+00 -1.187312e-19)	(1.345562e+00 1.176263e-01 -1.267785e-22)
0.0048       	(1.244930e+01 1.145132e+01 -7.579725e-20)	(1.111010e+01 1.133419e+01 -7.568043e-20)	(1.339196e+00 1.171303e-01 -1.168153e-22)
0.0049       	(9.303836e+00 8.328353e+00 -9.466004e-20)	(7.972844e+00 8.212473e+00 -9.454109e-20)	(1.330992e+00 1.158806e-01 -1.189516e-22)
0.005        	(8.718059e+00 7.211572e+00 -9.541798e-20)	(7.396312e+00 7.097081e+00 -9.530009e-20)	(1.321747e+00 1.144915e-01 -1.178899e-22)
0.0051       	(1.146296e+01 1.087978e+01 -8.335579e-20)	(1.015109e+01 1.076636e+01 -8.324201e-20)	(1.311877e+00 1.134230e-01 -1.137721e-22)
0.0052       	(1.273351e+01 1.469262e+01 -8.160543e-20)	(1.143197e+01 1.458042e+01 -8.150282e-20)	(1.301542e+00 1.122029e-01 -1.026087e-22)
0.0053       	(9.678231e+00 7.407992e+00 -9.425561e-20)	(8.387894e+00 7.296808e+00 -9.415583e-20)	(1.290337e+00 1.111841e-01 -9.978526e-23)
0.0054       	(1.191880e+01 1.065289e+01 -8.688280e-20)	(1.064023e+01 1.054263e+01 -8.678494e-20)	(1.278570e+00 1.102634e-01 -9.785350e-23)
0.0055       	(1.435667e+01 1.359469e+01 -7.162258e-20)	(1.308823e+01 1.348416e+01 -7.152830e-20)	(1.268435e+00 1.105219e-01 -9.428562e-23)
0.0056       	(1.312417e+01 1.030559e+01 -8.257989e-20)	(1.186494e+01 1.019465e+01 -8.249176e-20)	(1.259239e+00 1.109426e-01 -8.812559e-23)
0.0057       	(1.403810e+01 1.101072e+01 -8.066276e-20)	(1.278727e+01 1.089957e+01 -8.058187e-20)	(1.250831e+00 1.111488e-01 -8.088181e-23)
0.0058       	(1.137559e+01 1.014164e+01 -8.782035e-20)	(1.013253e+01 1.003046e+01 -8.774530e-20)	(1.243059e+00 1.111766e-01 -7.505377e-23)
0.0059       	(1.176210e+01 1.352393e+01 -7.997837e-20)	(1.052592e+01 1.341277e+01 -7.990514e-20)	(1.236184e+00 1.111621e-01 -7.323290e-23)
0.006        	(1.510285e+01 2.123640e+01 -7.607368e-20)	(1.387251e+01 2.112478e+01 -7.600706e-20)	(1.230342e+00 1.116197e-01 -6.661961e-23)
0.0061       	(1.159307e+01 1.362455e+01 -8.665437e-20)	(1.036967e+01 1.351306e+01 -8.659123e-20)	(1.223396e+00 1.114901e-01 -6.313096e-23)
0.0062       	(1.049241e+01 1.059036e+01 -8.995137e-20)	(9.276442e+00 1.047933e+01 -8.989101e-20)	(1.215965e+00 1.110293e-01 -6.035470e-23)
0.0063       	(1.072834e+01 9.759684e+00 -8.720805e-20)	(9.520865e+00 9.649128e+00 -8.714987e-20)	(1.207478e+00 1.105556e-01 -5.818074e-23)
0.0064       	(1.176309e+01 1.100178e+01 -8.664147e-20)	(1.056332e+01 1.089158e+01 -8.658430e-20)	(1.199769e+00 1.101915e-01 -5.717111e-23)
0.0065       	(1.298589e+01 1.137406e+01 -8.645837e-20)	(1.179212e+01 1.126431e+01 -8.640172e-20)	(1.193767e+00 1.097504e-01 -5.664406e-23)
0.0066       	(1.505046e+01 1.270821e+01 -8.804831e-20)	(1.386156e+01 1.259880e+01 -8.799103e-20)	(1.188900e+00 1.094042e-01 -5.728027e-23)
0.0067       	(1.332794e+01 1.376381e+01 -8.719191e-20)	(1.214344e+01 1.365448e+01 -8.713292e-20)	(1.184506e+00 1.093324e-01 -5.898871e-23)
0.0068       	(1.299858e+01 1.625168e+01 -8.424485e-20)	(1.181709e+01 1.614192e+01 -8.418478e-20)	(1.181486e+00 1.097651e-01 -6.006924e-23)
0.0069       	(1.102994e+01 1.132744e+01 -8.482070e-20)	(9.849905e+00 1.121803e+01 -8.476157e-20)	(1.180033e+00 1.094155e-01 -5.913872e-23)
0.007        	(1.028362e+01 1.038630e+01 -8.842544e-20)	(9.104896e+00 1.027724e+01 -8.836737e-20)	(1.178720e+00 1.090647e-01 -5.806605e-23)
0.0071       	(9.254298e+00 8.324052e+00 -9.604640e-20)	(8.078432e+00 8.216158e+00 -9.598425e-20)	(1.175866e+00 1.078931e-01 -6.215158e-23)
0.0072       	(1.026282e+01 9.367991e+00 -9.164099e-20)	(9.091082e+00 9.260838e+00 -9.157678e-20)	(1.171739e+00 1.071531e-01 -6.420285e-23)
0.0073       	(1.129245e+01 1.042213e+01 -9.053018e-20)	(1.012549e+01 1.031550e+01 -9.046337e-20)	(1.166954e+00 1.066296e-01 -6.680285e-23)
0.0074       	(1.338330e+01 1.217086e+01 -9.256507e-20)	(1.222145e+01 1.206458e+01 -9.249503e-20)	(1.161851e+00 1.062849e-01 -7.004150e-23)
0.0075       	(1.513861e+01 1.328335e+01 -9.457149e-20)	(1.398062e+01 1.317750e+01 -9.449607e-20)	(1.157992e+00 1.058594e-01 -7.542069e-23)
0.0076       	(1.428645e+01 1.275596e+01 -8.858473e-20)	(1.313199e+01 1.265029e+01 -8.850261e-20)	(1.154465e+00 1.056743e-01 -8.212517e-23)
0.0077       	(1.412727e+01 1.427271e+01 -8.373624e-20)	(1.297585e+01 1.416721e+01 -8.364666e-20)	(1.151418e+00 1.055078e-01 -8.957798e-23)
0.0078       	(1.325567e+01 1.391503e+01 -8.329343e-20)	(1.210607e+01 1.380993e+01 -8.319723e-20)	(1.149602e+00 1.051032e-01 -9.619714e-23)
0.0079       	(1.265500e+01 1.382793e+01 -8.557336e-20)	(1.150794e+01 1.372312e+01 -8.547269e-20)	(1.147059e+00 1.048081e-01 -1.006698e-22)
0.008        	(1.220080e+01 1.359718e+01 -9.208328e-20)	(1.105556e+01 1.349287e+01 -9.197633e-20)	(1.145245e+00 1.043140e-01 -1.069493e-22)
0.0081       	(1.128279e+01 1.205295e+01 -9.464809e-20)	(1.013872e+01 1.194952e+01 -9.453850e-20)	(1.144072e+00 1.034239e-01 -1.095865e-22)
0.0082       	(1.207870e+01 1.479421e+01 -9.300413e-20)	(1.093696e+01 1.469200e+01 -9.289304e-20)	(1.141745e+00 1.022082e-01 -1.110888e-22)
0.0083       	(1.084810e+01 1.240450e+01 -9.594653e-20)	(9.708726e+00 1.230280e+01 -9.583737e-20)	(1.139374e+00 1.016968e-01 -1.091594e-22)
0.0084       	(1.210186e+01 1.656185e+01 -9.462654e-20)	(1.096465e+01 1.646015e+01 -9.452296e-20)	(1.137212e+00 1.016976e-01 -1.035749e-22)
0.0085       	(1.279108e+01 1.454831e+01 -8.974541e-20)	(1.165595e+01 1.444667e+01 -8.964674e-20)	(1.135129e+00 1.016421e-01 -9.866859e-23)
0.0086       	(1.302648e+01 1.403176e+01 -9.363454e-20)	(1.189251e+01 1.393027e+01 -9.354008e-20)	(1.133970e+00 1.014873e-01 -9.446028e-23)
0.0087       	(1.440120e+01 1.387276e+01 -9.075612e-20)	(1.326679e+01 1.377136e+01 -9.066291e-20)	(1.134415e+00 1.014066e-01 -9.320839e-23)
0.0088       	(1.675356e+01 1.689629e+01 -8.829202e-20)	(1.561855e+01 1.679472e+01 -8.819654e-20)	(1.135011e+00 1.015656e-01 -9.548108e-23)
0.0089       	(1.663978e+01 1.699574e+01 -8.182744e-20)	(1.550193e+01 1.689397e+01 -8.173082e-20)	(1.137852e+00 1.017661e-01 -9.661631e-23)
0.009        	(1.432715e+01 1.646697e+01 -8.659263e-20)	(1.318640e+01 1.636523e+01 -8.649560e-20)	(1.140748e+00 1.017426e-01 -9.703446e-23)
0.0091       	(1.357412e+01 1.493421e+01 -9.155865e-20)	(1.243242e+01 1.483294e+01 -9.146335e-20)	(1.141695e+00 1.012674e-01 -9.529986e-23)
0.0092       	(1.341475e+01 1.385257e+01 -9.118529e-20)	(1.227458e+01 1.375133e+01 -9.109096e-20)	(1.140169e+00 1.012415e-01 -9.432586e-23)
0.0093       	(1.569131e+01 1.723137e+01 -8.887453e-20)	(1.455357e+01 1.712995e+01 -8.878006e-20)	(1.137737e+00 1.014191e-01 -9.447302e-23)
0.0094       	(1.369509e+01 1.305141e+01 -9.003602e-20)	(1.255965e+01 1.294986e+01 -8.994175e-20)	(1.135437e+00 1.015494e-01 -9.427295e-23)
0.0095       	(1.518279e+01 1.811417e+01 -8.390453e-20)	(1.404973e+01 1.801212e+01 -8.381404e-20)	(1.133059e+00 1.020497e-01 -9.048949e-23)
0.0096       	(1.324514e+01 1.467672e+01 -8.953086e-20)	(1.211498e+01 1.457461e+01 -8.944468e-20)	(1.130160e+00 1.021115e-01 -8.618304e-23)
0.0097       	(1.207649e+01 1.246885e+01 -9.220523e-20)	(1.094961e+01 1.236697e+01 -9.212357e-20)	(1.126881e+00 1.018725e-01 -8.166666e-23)
0.0098       	(1.272662e+01 1.451799e+01 -8.931221e-20)	(1.160096e+01 1.441637e+01 -8.923558e-20)	(1.125664e+00 1.016225e-01 -7.662958e-23)
