# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.404583e+03 -4.306989e+03 -2.031911e-18)	(3.400931e+03 -4.306887e+03 -2.031636e-18)	(3.651763e+00 -1.021940e-01 -2.754380e-22)
0.0002       	(2.099065e+01 1.612594e+01 -1.978822e-19)	(1.762740e+01 1.621933e+01 -1.976726e-19)	(3.363254e+00 -9.339561e-02 -2.096580e-22)
0.0003       	(1.954659e+01 -9.220970e+00 -1.829149e-19)	(1.639642e+01 -9.133799e+00 -1.827174e-19)	(3.150163e+00 -8.717109e-02 -1.975156e-22)
0.0004       	(1.958274e+01 -6.390687e+00 -1.857562e-19)	(1.657906e+01 -6.308894e+00 -1.855494e-19)	(3.003684e+00 -8.179346e-02 -2.067432e-22)
0.0005       	(1.968817e+01 -4.436208e+00 -1.873781e-19)	(1.680061e+01 -4.358204e+00 -1.871527e-19)	(2.887565e+00 -7.800333e-02 -2.253668e-22)
0.0006       	(2.002572e+01 -7.578156e+00 -1.851031e-19)	(1.723245e+01 -7.503067e+00 -1.848636e-19)	(2.793271e+00 -7.508867e-02 -2.395174e-22)
0.0007       	(1.946774e+01 -7.370705e+00 -1.860473e-19)	(1.675450e+01 -7.298364e+00 -1.857977e-19)	(2.713236e+00 -7.234125e-02 -2.496171e-22)
0.0008       	(1.956634e+01 -7.063555e+00 -1.876583e-19)	(1.692349e+01 -6.993262e+00 -1.874053e-19)	(2.642844e+00 -7.029346e-02 -2.529888e-22)
0.0009       	(1.852888e+01 -9.795075e+00 -1.916702e-19)	(1.594910e+01 -9.726417e+00 -1.914233e-19)	(2.579777e+00 -6.865799e-02 -2.468669e-22)
0.001        	(1.925329e+01 -7.468648e+00 -1.895761e-19)	(1.673108e+01 -7.401988e+00 -1.893372e-19)	(2.522208e+00 -6.666034e-02 -2.389253e-22)
0.0011       	(1.985510e+01 -6.058845e+00 -1.886657e-19)	(1.738544e+01 -5.993804e+00 -1.884321e-19)	(2.469668e+00 -6.504155e-02 -2.336079e-22)
0.0012       	(1.905879e+01 -6.793398e+00 -1.868801e-19)	(1.663616e+01 -6.729485e+00 -1.866508e-19)	(2.422638e+00 -6.391269e-02 -2.293021e-22)
0.0013       	(1.937369e+01 -5.389599e+00 -1.877505e-19)	(1.699369e+01 -5.326429e+00 -1.875221e-19)	(2.380001e+00 -6.316967e-02 -2.284106e-22)
0.0014       	(1.876224e+01 -3.152912e+00 -1.881879e-19)	(1.642156e+01 -3.090817e+00 -1.879638e-19)	(2.340680e+00 -6.209475e-02 -2.241541e-22)
0.0015       	(1.906144e+01 -1.020468e+01 -1.966731e-19)	(1.675712e+01 -1.014391e+01 -1.964581e-19)	(2.304319e+00 -6.076884e-02 -2.149267e-22)
0.0016       	(1.917290e+01 -5.199186e+00 -1.898077e-19)	(1.690286e+01 -5.138831e+00 -1.896025e-19)	(2.270044e+00 -6.035483e-02 -2.051714e-22)
0.0017       	(2.016800e+01 -8.053642e+00 -1.923408e-19)	(1.792992e+01 -7.994206e+00 -1.921378e-19)	(2.238089e+00 -5.943560e-02 -2.030609e-22)
0.0018       	(2.033393e+01 -8.232625e+00 -1.913765e-19)	(1.812635e+01 -8.174117e+00 -1.911736e-19)	(2.207571e+00 -5.850796e-02 -2.028989e-22)
0.0019       	(2.004439e+01 -1.010271e+01 -1.941506e-19)	(1.786574e+01 -1.004543e+01 -1.939508e-19)	(2.178641e+00 -5.727490e-02 -1.997534e-22)
0.002        	(1.998036e+01 -1.228826e+01 -1.965634e-19)	(1.783069e+01 -1.223190e+01 -1.963690e-19)	(2.149670e+00 -5.636229e-02 -1.943754e-22)
0.0021       	(1.945236e+01 -1.718963e+01 -2.014281e-19)	(1.733030e+01 -1.713449e+01 -2.012429e-19)	(2.122067e+00 -5.514050e-02 -1.852538e-22)
0.0022       	(2.094560e+01 -2.445156e+01 -2.115319e-19)	(1.884796e+01 -2.439758e+01 -2.113566e-19)	(2.097642e+00 -5.397849e-02 -1.752390e-22)
0.0023       	(2.213270e+01 -1.606944e+01 -2.027698e-19)	(2.005658e+01 -1.601538e+01 -2.026043e-19)	(2.076112e+00 -5.406753e-02 -1.655103e-22)
0.0024       	(2.116558e+01 -1.295604e+01 -1.976871e-19)	(1.910975e+01 -1.290163e+01 -1.975266e-19)	(2.055826e+00 -5.440886e-02 -1.604930e-22)
0.0025       	(2.150209e+01 -1.391426e+01 -1.985073e-19)	(1.946535e+01 -1.385946e+01 -1.983536e-19)	(2.036741e+00 -5.480443e-02 -1.536773e-22)
0.0026       	(2.634831e+01 -2.755777e+01 -2.160029e-19)	(2.433173e+01 -2.750341e+01 -2.158631e-19)	(2.016579e+00 -5.435397e-02 -1.397289e-22)
0.0027       	(2.403679e+01 -2.651799e+01 -2.147406e-19)	(2.204069e+01 -2.646319e+01 -2.146152e-19)	(1.996099e+00 -5.479689e-02 -1.253113e-22)
0.0028       	(2.286802e+01 -1.776904e+01 -2.043426e-19)	(2.089159e+01 -1.771323e+01 -2.042285e-19)	(1.976433e+00 -5.580898e-02 -1.140451e-22)
0.0029       	(2.237819e+01 -1.994654e+01 -2.053615e-19)	(2.041972e+01 -1.988932e+01 -2.052560e-19)	(1.958473e+00 -5.722667e-02 -1.055081e-22)
0.003        	(2.373639e+01 -2.892826e+01 -2.117593e-19)	(2.179436e+01 -2.886868e+01 -2.116599e-19)	(1.942026e+00 -5.957702e-02 -9.932802e-23)
0.0031       	(2.530921e+01 -4.304648e+01 -2.245839e-19)	(2.337850e+01 -4.298456e+01 -2.244902e-19)	(1.930713e+00 -6.192280e-02 -9.370053e-23)
0.0032       	(2.334624e+01 -3.265682e+01 -2.209607e-19)	(2.142478e+01 -3.259302e+01 -2.208720e-19)	(1.921467e+00 -6.379864e-02 -8.863957e-23)
0.0033       	(2.331018e+01 -4.057046e+01 -2.358082e-19)	(2.139536e+01 -4.050608e+01 -2.357257e-19)	(1.914815e+00 -6.438204e-02 -8.250301e-23)
0.0034       	(2.933681e+01 -8.596477e+01 -2.707367e-19)	(2.742636e+01 -8.590001e+01 -2.706559e-19)	(1.910457e+00 -6.475719e-02 -8.082569e-23)
0.0035       	(2.844509e+01 -7.678802e+01 -2.596925e-19)	(2.653592e+01 -7.672154e+01 -2.595967e-19)	(1.909168e+00 -6.647994e-02 -9.583663e-23)
0.0036       	(2.285113e+01 -7.916414e+01 -2.754434e-19)	(2.093991e+01 -7.909754e+01 -2.753286e-19)	(1.911213e+00 -6.659581e-02 -1.147961e-22)
0.0037       	(2.489280e+01 -5.385757e+01 -2.351220e-19)	(2.297747e+01 -5.379222e+01 -2.350276e-19)	(1.915332e+00 -6.535194e-02 -9.438538e-23)
0.0038       	(2.449916e+01 -5.592351e+01 -2.305413e-19)	(2.257871e+01 -5.585750e+01 -2.304633e-19)	(1.920453e+00 -6.601357e-02 -7.793571e-23)
0.0039       	(2.570556e+01 -5.072470e+01 -2.179525e-19)	(2.377895e+01 -5.065798e+01 -2.178776e-19)	(1.926612e+00 -6.672775e-02 -7.481794e-23)
0.004        	(2.517952e+01 -6.142035e+01 -2.364358e-19)	(2.324589e+01 -6.135105e+01 -2.363648e-19)	(1.933626e+00 -6.929983e-02 -7.107295e-23)
0.0041       	(3.034980e+01 -8.382515e+01 -2.419817e-19)	(2.840953e+01 -8.375458e+01 -2.419237e-19)	(1.940275e+00 -7.056940e-02 -5.800495e-23)
0.0042       	(2.564137e+01 -1.143050e+02 -2.383677e-19)	(2.369206e+01 -1.142347e+02 -2.383589e-19)	(1.949308e+00 -7.037693e-02 -8.857584e-24)
0.0043       	(2.853105e+01 -7.446987e+01 -2.421284e-19)	(2.657016e+01 -7.439663e+01 -2.421622e-19)	(1.960885e+00 -7.324344e-02 3.376063e-23)
0.0044       	(2.764514e+01 -7.067481e+01 -2.510181e-19)	(2.567119e+01 -7.059888e+01 -2.510439e-19)	(1.973952e+00 -7.593234e-02 2.577367e-23)
0.0045       	(2.459092e+01 -1.441259e+02 -3.079511e-19)	(2.260159e+01 -1.440472e+02 -3.079571e-19)	(1.989334e+00 -7.868553e-02 5.990255e-24)
0.0046       	(4.200797e+01 -1.994395e+02 -3.278145e-19)	(4.000093e+01 -1.993647e+02 -3.278119e-19)	(2.007036e+00 -7.473684e-02 -2.593186e-24)
0.0047       	(2.948507e+01 -1.236651e+02 -2.820677e-19)	(2.746459e+01 -1.235894e+02 -2.820639e-19)	(2.020482e+00 -7.563606e-02 -3.812723e-24)
0.0048       	(3.132744e+01 -1.627118e+02 -2.699301e-19)	(2.928798e+01 -1.626363e+02 -2.699233e-19)	(2.039461e+00 -7.547317e-02 -6.789283e-24)
0.0049       	(3.818976e+01 -1.396397e+02 -2.604345e-19)	(3.612832e+01 -1.395640e+02 -2.604369e-19)	(2.061441e+00 -7.571205e-02 2.435958e-24)
0.005        	(2.854236e+01 -1.425000e+02 -2.637767e-19)	(2.645916e+01 -1.424237e+02 -2.637785e-19)	(2.083204e+00 -7.627830e-02 1.815619e-24)
0.0051       	(3.725985e+01 -1.342742e+02 -2.771894e-19)	(3.515307e+01 -1.341917e+02 -2.771727e-19)	(2.106785e+00 -8.245579e-02 -1.670486e-23)
0.0052       	(3.885252e+01 -1.288214e+02 -2.582667e-19)	(3.672078e+01 -1.287319e+02 -2.582336e-19)	(2.131736e+00 -8.956602e-02 -3.314232e-23)
0.0053       	(3.299654e+01 -7.534221e+01 -2.356267e-19)	(3.084177e+01 -7.524407e+01 -2.355672e-19)	(2.154773e+00 -9.814500e-02 -5.950788e-23)
0.0054       	(4.307162e+01 -1.533083e+02 -2.608067e-19)	(4.089557e+01 -1.532043e+02 -2.607304e-19)	(2.176054e+00 -1.040049e-01 -7.625811e-23)
0.0055       	(7.404612e+01 -2.234711e+02 -3.035538e-19)	(7.184277e+01 -2.233649e+02 -3.034920e-19)	(2.203349e+00 -1.061584e-01 -6.185378e-23)
0.0056       	(4.525483e+01 -1.364215e+02 -2.851546e-19)	(4.302170e+01 -1.363036e+02 -2.851245e-19)	(2.233126e+00 -1.179410e-01 -3.018052e-23)
0.0057       	(4.405643e+01 -2.141140e+02 -2.889029e-19)	(4.179375e+01 -2.139863e+02 -2.889098e-19)	(2.262679e+00 -1.277035e-01 6.812438e-24)
0.0058       	(5.569370e+01 -2.407739e+02 -3.189245e-19)	(5.339534e+01 -2.406382e+02 -3.189906e-19)	(2.298367e+00 -1.357212e-01 6.611864e-23)
0.0059       	(4.267237e+01 -2.494931e+02 -3.538548e-19)	(4.033736e+01 -2.493547e+02 -3.540067e-19)	(2.335004e+00 -1.384073e-01 1.518554e-22)
0.006        	(5.499879e+01 -3.236117e+02 -3.738576e-19)	(5.262301e+01 -3.234658e+02 -3.740700e-19)	(2.375785e+00 -1.458895e-01 2.123860e-22)
0.0061       	(8.703530e+01 -4.450103e+02 -4.261009e-19)	(8.462036e+01 -4.448439e+02 -4.262444e-19)	(2.414937e+00 -1.663722e-01 1.434952e-22)
0.0062       	(1.572848e+02 -1.356500e+03 -7.759844e-19)	(1.548228e+02 -1.356330e+03 -7.762126e-19)	(2.462005e+00 -1.697493e-01 2.281263e-22)
0.0063       	(2.436671e+02 -2.503315e+03 -1.235538e-18)	(2.411789e+02 -2.503175e+03 -1.235676e-18)	(2.488159e+00 -1.401268e-01 1.379869e-22)
0.0064       	(2.525396e+02 3.741889e+02 -4.973761e-19)	(2.500333e+02 3.743356e+02 -4.976781e-19)	(2.506325e+00 -1.466780e-01 3.020657e-22)
0.0065       	(7.953633e+01 -1.941675e+02 -4.348318e-19)	(7.702250e+01 -1.940112e+02 -4.352269e-19)	(2.513836e+00 -1.562966e-01 3.951623e-22)
0.0066       	(3.490294e+01 -6.356195e+02 -5.470746e-19)	(3.238010e+01 -6.354616e+02 -5.473117e-19)	(2.522842e+00 -1.579484e-01 2.370229e-22)
0.0067       	(5.255799e+01 -6.366197e+02 -5.575323e-19)	(5.002261e+01 -6.364663e+02 -5.577337e-19)	(2.535377e+00 -1.533905e-01 2.014448e-22)
0.0068       	(8.510163e+01 -4.844367e+02 -5.428682e-19)	(8.255254e+01 -4.842858e+02 -5.431894e-19)	(2.549086e+00 -1.508234e-01 3.211135e-22)
0.0069       	(4.568161e+01 -3.416040e+02 -4.189372e-19)	(4.312370e+01 -3.414715e+02 -4.193092e-19)	(2.557915e+00 -1.324944e-01 3.719726e-22)
0.007        	(4.561219e+01 -3.508410e+02 -4.241808e-19)	(4.303686e+01 -3.507040e+02 -4.247162e-19)	(2.575332e+00 -1.369973e-01 5.353957e-22)
0.0071       	(2.916238e+01 -6.710296e+02 -5.848520e-19)	(2.656963e+01 -6.708986e+02 -5.850074e-19)	(2.592755e+00 -1.309740e-01 1.553983e-22)
0.0072       	(4.221072e+01 -4.353835e+02 -5.004384e-19)	(3.960047e+01 -4.352459e+02 -5.004443e-19)	(2.610244e+00 -1.375896e-01 5.915343e-24)
0.0073       	(4.982297e+01 -3.187737e+02 -4.327949e-19)	(4.719402e+01 -3.186270e+02 -4.329584e-19)	(2.628953e+00 -1.466397e-01 1.634901e-22)
0.0074       	(4.335877e+01 -3.030061e+02 -4.038214e-19)	(4.070952e+01 -3.028485e+02 -4.040655e-19)	(2.649247e+00 -1.576717e-01 2.440969e-22)
0.0075       	(4.341779e+01 -4.542299e+02 -5.016467e-19)	(4.073911e+01 -4.540514e+02 -5.019203e-19)	(2.678683e+00 -1.784734e-01 2.736788e-22)
