# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.463745e+03 2.420574e+04 3.541329e-18)	(2.460159e+03 2.420527e+04 3.541751e-18)	(3.586071e+00 4.664955e-01 -4.217681e-22)
0.0002       	(-2.663433e+02 -3.704721e+03 -4.792889e-19)	(-2.696486e+02 -3.705132e+03 -4.789239e-19)	(3.305389e+00 4.109430e-01 -3.649623e-22)
0.0003       	(2.824780e+00 1.185777e+00 -1.087420e-19)	(-4.424796e-02 8.311235e-01 -1.084234e-19)	(2.869028e+00 3.546539e-01 -3.185314e-22)
0.0004       	(3.044108e+00 -9.128238e-01 -1.149630e-19)	(3.333145e-01 -1.242235e+00 -1.146890e-19)	(2.710794e+00 3.294111e-01 -2.739579e-22)
0.0005       	(3.156986e+00 -2.364997e+00 -1.068654e-19)	(5.584165e-01 -2.679359e+00 -1.066146e-19)	(2.598569e+00 3.143622e-01 -2.507389e-22)
0.0006       	(2.688111e+00 6.415875e-01 -1.190998e-19)	(2.149647e-01 3.457445e-01 -1.188587e-19)	(2.473147e+00 2.958430e-01 -2.410508e-22)
0.0007       	(2.691851e+00 -1.955541e-01 -1.195888e-19)	(3.228109e-01 -4.769226e-01 -1.193552e-19)	(2.369040e+00 2.813685e-01 -2.335786e-22)
0.0008       	(2.778219e+00 -5.579895e-01 -1.196277e-19)	(4.821565e-01 -8.265592e-01 -1.194031e-19)	(2.296062e+00 2.685696e-01 -2.245559e-22)
0.0009       	(3.304156e+00 -2.236653e-02 -1.226212e-19)	(1.071730e+00 -2.783253e-01 -1.224220e-19)	(2.232426e+00 2.559588e-01 -1.991906e-22)
0.001        	(3.721713e+00 -1.857397e-01 -1.201170e-19)	(1.552903e+00 -4.282855e-01 -1.199460e-19)	(2.168810e+00 2.425457e-01 -1.710220e-22)
0.0011       	(4.002688e+00 6.715879e-01 -1.174088e-19)	(1.893491e+00 4.425145e-01 -1.172593e-19)	(2.109197e+00 2.290734e-01 -1.495184e-22)
0.0012       	(4.297444e+00 -3.498128e-01 -1.156726e-19)	(2.243607e+00 -5.653143e-01 -1.155380e-19)	(2.053837e+00 2.155015e-01 -1.346674e-22)
0.0013       	(3.865472e+00 1.658149e+00 -1.180054e-19)	(1.861770e+00 1.455081e+00 -1.178877e-19)	(2.003702e+00 2.030678e-01 -1.176596e-22)
0.0014       	(3.969852e+00 1.002587e+00 -1.247389e-19)	(2.010603e+00 8.108109e-01 -1.246321e-19)	(1.959249e+00 1.917762e-01 -1.068202e-22)
0.0015       	(5.357031e+00 2.544311e+00 -1.156100e-19)	(3.438588e+00 2.363059e+00 -1.155116e-19)	(1.918442e+00 1.812520e-01 -9.835247e-23)
0.0016       	(9.321381e+00 5.859336e+00 -9.823880e-20)	(7.441932e+00 5.688242e+00 -9.814371e-20)	(1.879449e+00 1.710935e-01 -9.509807e-23)
0.0017       	(5.858468e+00 3.333160e+00 -1.072195e-19)	(4.016704e+00 3.171195e+00 -1.071353e-19)	(1.841764e+00 1.619649e-01 -8.413665e-23)
0.0018       	(5.306910e+00 2.801509e+00 -1.114946e-19)	(3.500057e+00 2.647819e+00 -1.114188e-19)	(1.806853e+00 1.536903e-01 -7.580819e-23)
0.0019       	(7.152081e+00 4.156730e+00 -1.041678e-19)	(5.375974e+00 4.009411e+00 -1.040968e-19)	(1.776107e+00 1.473188e-01 -7.097967e-23)
0.002        	(6.648371e+00 4.232975e+00 -1.074141e-19)	(4.901010e+00 4.091237e+00 -1.073435e-19)	(1.747361e+00 1.417378e-01 -7.061800e-23)
0.0021       	(6.433652e+00 4.301149e+00 -1.103322e-19)	(4.712305e+00 4.164079e+00 -1.102596e-19)	(1.721348e+00 1.370692e-01 -7.257612e-23)
0.0022       	(7.347320e+00 5.475338e+00 -1.063742e-19)	(5.650855e+00 5.342420e+00 -1.062969e-19)	(1.696465e+00 1.329185e-01 -7.730148e-23)
0.0023       	(8.010213e+00 5.517861e+00 -1.002016e-19)	(6.336762e+00 5.388585e+00 -1.001285e-19)	(1.673451e+00 1.292766e-01 -7.310387e-23)
0.0024       	(7.749198e+00 5.394274e+00 -9.702155e-20)	(6.097460e+00 5.267960e+00 -9.695620e-20)	(1.651738e+00 1.263133e-01 -6.534657e-23)
0.0025       	(8.427919e+00 4.991299e+00 -9.143590e-20)	(6.795648e+00 4.866506e+00 -9.137010e-20)	(1.632271e+00 1.247930e-01 -6.580406e-23)
0.0026       	(8.406881e+00 5.871614e+00 -9.556347e-20)	(6.792760e+00 5.746954e+00 -9.549997e-20)	(1.614121e+00 1.246599e-01 -6.350103e-23)
0.0027       	(7.361339e+00 6.105339e+00 -9.692002e-20)	(5.765215e+00 5.980569e+00 -9.685538e-20)	(1.596124e+00 1.247693e-01 -6.464330e-23)
0.0028       	(9.192494e+00 8.103834e+00 -8.379713e-20)	(7.615486e+00 7.979712e+00 -8.373025e-20)	(1.577008e+00 1.241220e-01 -6.688053e-23)
0.0029       	(9.926658e+00 8.909058e+00 -6.704432e-20)	(8.369168e+00 8.786658e+00 -6.698415e-20)	(1.557490e+00 1.223999e-01 -6.017601e-23)
0.003        	(7.714823e+00 5.239086e+00 -8.690909e-20)	(6.176912e+00 5.119425e+00 -8.685128e-20)	(1.537911e+00 1.196613e-01 -5.781200e-23)
0.0031       	(1.097759e+01 7.535242e+00 -7.128338e-20)	(9.456327e+00 7.417624e+00 -7.122926e-20)	(1.521263e+00 1.176181e-01 -5.412311e-23)
0.0032       	(9.842422e+00 8.281904e+00 -7.532525e-20)	(8.335933e+00 8.165760e+00 -7.527517e-20)	(1.506489e+00 1.161444e-01 -5.007871e-23)
0.0033       	(9.424002e+00 8.078705e+00 -8.405243e-20)	(7.932072e+00 7.963457e+00 -8.400629e-20)	(1.491931e+00 1.152480e-01 -4.613693e-23)
0.0034       	(8.804812e+00 7.868809e+00 -8.523528e-20)	(7.327335e+00 7.753277e+00 -8.519073e-20)	(1.477477e+00 1.155320e-01 -4.455340e-23)
