# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.064384e+03 -1.343750e+04 -6.086350e-18)	(3.060746e+03 -1.343723e+04 -6.086135e-18)	(3.638091e+00 -2.749840e-01 -2.145733e-22)
0.0002       	(-4.371132e+02 1.906985e+03 3.591573e-19)	(-4.404819e+02 1.907236e+03 3.593255e-19)	(3.368690e+00 -2.511200e-01 -1.681507e-22)
0.0003       	(3.512016e+00 1.771873e+00 -1.266190e-19)	(5.227618e-01 1.993298e+00 -1.264440e-19)	(2.989255e+00 -2.214251e-01 -1.750106e-22)
0.0004       	(2.879877e+00 -2.719652e-01 -1.219384e-19)	(3.868509e-02 -6.303882e-02 -1.217221e-19)	(2.841192e+00 -2.089264e-01 -2.162888e-22)
0.0005       	(2.893179e+00 1.067447e+00 -1.215124e-19)	(1.572255e-01 1.269152e+00 -1.212651e-19)	(2.735953e+00 -2.017042e-01 -2.473674e-22)
0.0006       	(2.532516e+00 -1.643304e+00 -1.227956e-19)	(-9.002420e-02 -1.450811e+00 -1.225180e-19)	(2.622540e+00 -1.924929e-01 -2.775912e-22)
0.0007       	(2.216923e+00 -1.792384e+00 -1.276295e-19)	(-3.096145e-01 -1.608281e+00 -1.273206e-19)	(2.526538e+00 -1.841035e-01 -3.089230e-22)
0.0008       	(2.435985e+00 -2.844032e+00 -1.261706e-19)	(-2.020760e-02 -2.667280e+00 -1.258366e-19)	(2.456192e+00 -1.767520e-01 -3.339720e-22)
0.0009       	(3.259977e+00 -1.190660e+00 -1.326527e-19)	(8.666988e-01 -1.020204e+00 -1.323185e-19)	(2.393279e+00 -1.704563e-01 -3.342291e-22)
0.001        	(3.887232e+00 -1.146146e+00 -1.343483e-19)	(1.553026e+00 -9.822123e-01 -1.340389e-19)	(2.334206e+00 -1.639342e-01 -3.094435e-22)
0.0011       	(4.268790e+00 1.408497e+00 -1.274044e-19)	(1.994719e+00 1.565780e+00 -1.271367e-19)	(2.274071e+00 -1.572833e-01 -2.676212e-22)
0.0012       	(3.633972e+00 -1.719457e+00 -1.266393e-19)	(1.414155e+00 -1.570063e+00 -1.263973e-19)	(2.219817e+00 -1.493947e-01 -2.419610e-22)
0.0013       	(3.752781e+00 -3.693917e+00 -1.328582e-19)	(1.580407e+00 -3.552592e+00 -1.326297e-19)	(2.172374e+00 -1.413250e-01 -2.285455e-22)
0.0014       	(4.245335e+00 -4.218564e+00 -1.355201e-19)	(2.116083e+00 -4.084747e+00 -1.353022e-19)	(2.129252e+00 -1.338170e-01 -2.179049e-22)
0.0015       	(5.635658e+00 -4.861562e+00 -1.621044e-19)	(3.547014e+00 -4.734166e+00 -1.618921e-19)	(2.088644e+00 -1.273960e-01 -2.122256e-22)
0.0016       	(4.706234e+00 -3.375570e+00 -1.566362e-19)	(2.656694e+00 -3.253922e+00 -1.564202e-19)	(2.049540e+00 -1.216487e-01 -2.159981e-22)
0.0017       	(6.302343e+00 -2.059963e+00 -1.704409e-19)	(4.289717e+00 -1.943456e+00 -1.702276e-19)	(2.012626e+00 -1.165078e-01 -2.132956e-22)
0.0018       	(9.084550e+00 -2.982745e+00 -2.079579e-19)	(7.104456e+00 -2.870506e+00 -2.077537e-19)	(1.980094e+00 -1.122390e-01 -2.042139e-22)
0.0019       	(4.906343e+00 -3.771850e+00 -1.568662e-19)	(2.958806e+00 -3.663963e+00 -1.566652e-19)	(1.947537e+00 -1.078878e-01 -2.010091e-22)
0.002        	(5.063338e+00 -3.438374e+00 -1.540836e-19)	(3.148021e+00 -3.334822e+00 -1.538894e-19)	(1.915317e+00 -1.035528e-01 -1.941842e-22)
0.0021       	(8.060594e+00 -3.758318e+00 -1.775893e-19)	(6.176632e+00 -3.659206e+00 -1.773969e-19)	(1.883962e+00 -9.911171e-02 -1.923572e-22)
0.0022       	(1.022625e+01 -2.465479e+00 -1.604101e-19)	(8.372791e+00 -2.369740e+00 -1.602316e-19)	(1.853460e+00 -9.573897e-02 -1.784084e-22)
0.0023       	(8.379119e+00 -3.065837e+00 -1.570873e-19)	(6.554896e+00 -2.971871e+00 -1.569210e-19)	(1.824222e+00 -9.396578e-02 -1.662191e-22)
0.0024       	(7.118158e+00 -3.963074e+00 -1.746626e-19)	(5.321299e+00 -3.870540e+00 -1.745060e-19)	(1.796859e+00 -9.253382e-02 -1.566104e-22)
0.0025       	(7.065603e+00 -3.735096e+00 -1.637413e-19)	(5.293741e+00 -3.643891e+00 -1.635899e-19)	(1.771862e+00 -9.120502e-02 -1.514833e-22)
0.0026       	(8.625155e+00 -3.987900e+00 -1.674343e-19)	(6.876852e+00 -3.898041e+00 -1.672828e-19)	(1.748303e+00 -8.985895e-02 -1.514556e-22)
0.0027       	(8.711561e+00 -4.891448e+00 -1.903548e-19)	(6.987094e+00 -4.802403e+00 -1.902091e-19)	(1.724467e+00 -8.904524e-02 -1.456714e-22)
0.0028       	(7.663311e+00 -4.245181e+00 -1.650327e-19)	(5.962714e+00 -4.157336e+00 -1.648910e-19)	(1.700597e+00 -8.784456e-02 -1.417066e-22)
0.0029       	(6.905757e+00 -5.573885e+00 -1.532008e-19)	(5.230083e+00 -5.487951e+00 -1.530588e-19)	(1.675674e+00 -8.593443e-02 -1.419165e-22)
0.003        	(6.773768e+00 -5.485135e+00 -1.603017e-19)	(5.122672e+00 -5.401289e+00 -1.601652e-19)	(1.651097e+00 -8.384619e-02 -1.364769e-22)
0.0031       	(7.329396e+00 -5.645810e+00 -1.563600e-19)	(5.699875e+00 -5.564218e+00 -1.562309e-19)	(1.629521e+00 -8.159125e-02 -1.290386e-22)
0.0032       	(9.165288e+00 -5.781799e+00 -1.690463e-19)	(7.555531e+00 -5.702189e+00 -1.689285e-19)	(1.609757e+00 -7.960922e-02 -1.177843e-22)
0.0033       	(8.942294e+00 -5.105060e+00 -1.668758e-19)	(7.351907e+00 -5.026491e+00 -1.667705e-19)	(1.590387e+00 -7.856897e-02 -1.053472e-22)
0.0034       	(9.269245e+00 -4.877632e+00 -1.634546e-19)	(7.696028e+00 -4.800100e+00 -1.633618e-19)	(1.573217e+00 -7.753214e-02 -9.285453e-23)
0.0035       	(1.026915e+01 -4.951070e+00 -1.697589e-19)	(8.712458e+00 -4.874164e+00 -1.696725e-19)	(1.556690e+00 -7.690587e-02 -8.638609e-23)
0.0036       	(1.233701e+01 -8.895178e+00 -2.056388e-19)	(1.079642e+01 -8.818968e+00 -2.055526e-19)	(1.540587e+00 -7.620985e-02 -8.622018e-23)
0.0037       	(1.167159e+01 -9.726680e+00 -2.008291e-19)	(1.014775e+01 -9.651448e+00 -2.007281e-19)	(1.523835e+00 -7.523126e-02 -1.009892e-22)
0.0038       	(1.126138e+01 -6.304095e+00 -1.613979e-19)	(9.753713e+00 -6.230110e+00 -1.612950e-19)	(1.507666e+00 -7.398467e-02 -1.028529e-22)
0.0039       	(9.739581e+00 -4.726525e+00 -1.588505e-19)	(8.248616e+00 -4.653552e+00 -1.587406e-19)	(1.490965e+00 -7.297297e-02 -1.098725e-22)
0.004        	(9.461687e+00 -5.089682e+00 -1.631244e-19)	(7.988829e+00 -5.017242e+00 -1.630086e-19)	(1.472858e+00 -7.243963e-02 -1.157912e-22)
0.0041       	(1.121359e+01 -7.066104e+00 -1.796191e-19)	(9.756838e+00 -6.994310e+00 -1.794983e-19)	(1.456755e+00 -7.179429e-02 -1.207925e-22)
0.0042       	(1.127617e+01 -6.649077e+00 -1.887672e-19)	(9.831819e+00 -6.577533e+00 -1.886433e-19)	(1.444352e+00 -7.154429e-02 -1.239309e-22)
0.0043       	(1.153977e+01 -6.367969e+00 -1.854422e-19)	(1.010818e+01 -6.296492e+00 -1.853166e-19)	(1.431586e+00 -7.147680e-02 -1.256682e-22)
0.0044       	(1.212464e+01 -5.407720e+00 -1.765765e-19)	(1.070482e+01 -5.336677e+00 -1.764490e-19)	(1.419821e+00 -7.104328e-02 -1.274087e-22)
0.0045       	(9.400198e+00 -5.157967e+00 -1.679984e-19)	(7.992163e+00 -5.087298e+00 -1.678701e-19)	(1.408035e+00 -7.066878e-02 -1.282804e-22)
0.0046       	(8.873606e+00 -5.236285e+00 -1.692291e-19)	(7.475839e+00 -5.165732e+00 -1.691012e-19)	(1.397767e+00 -7.055316e-02 -1.279391e-22)
0.0047       	(9.530264e+00 -5.843687e+00 -1.727279e-19)	(8.141367e+00 -5.772882e+00 -1.726024e-19)	(1.388897e+00 -7.080465e-02 -1.254062e-22)
0.0048       	(1.160947e+01 -7.397729e+00 -1.942014e-19)	(1.022797e+01 -7.327113e+00 -1.940785e-19)	(1.381498e+00 -7.061582e-02 -1.229379e-22)
0.0049       	(1.226944e+01 -7.961149e+00 -1.920344e-19)	(1.089599e+01 -7.890802e+00 -1.919163e-19)	(1.373443e+00 -7.034701e-02 -1.180918e-22)
0.005        	(1.200519e+01 -6.919454e+00 -1.845574e-19)	(1.064078e+01 -6.848904e+00 -1.844431e-19)	(1.364409e+00 -7.055047e-02 -1.142796e-22)
0.0051       	(1.003848e+01 -4.896695e+00 -1.720099e-19)	(8.684763e+00 -4.826538e+00 -1.718949e-19)	(1.353714e+00 -7.015682e-02 -1.149738e-22)
0.0052       	(1.197990e+01 -6.767706e+00 -1.668749e-19)	(1.063641e+01 -6.697659e+00 -1.667558e-19)	(1.343494e+00 -7.004625e-02 -1.190745e-22)
0.0053       	(1.067100e+01 -4.893317e+00 -1.721969e-19)	(9.335993e+00 -4.823401e+00 -1.720717e-19)	(1.335009e+00 -6.991627e-02 -1.251272e-22)
0.0054       	(1.025458e+01 -5.712757e+00 -1.752936e-19)	(8.930132e+00 -5.643017e+00 -1.751639e-19)	(1.324452e+00 -6.973998e-02 -1.296895e-22)
0.0055       	(1.220404e+01 -6.634458e+00 -1.854298e-19)	(1.089037e+01 -6.565007e+00 -1.852972e-19)	(1.313674e+00 -6.945144e-02 -1.325660e-22)
0.0056       	(1.219723e+01 -6.070449e+00 -1.863457e-19)	(1.089413e+01 -6.001414e+00 -1.862125e-19)	(1.303097e+00 -6.903498e-02 -1.332526e-22)
0.0057       	(1.045649e+01 -5.937528e+00 -1.782669e-19)	(9.161628e+00 -5.869271e+00 -1.781336e-19)	(1.294861e+00 -6.825677e-02 -1.332234e-22)
0.0058       	(1.136184e+01 -6.894607e+00 -1.775607e-19)	(1.007648e+01 -6.826896e+00 -1.774286e-19)	(1.285361e+00 -6.771039e-02 -1.320821e-22)
0.0059       	(1.087323e+01 -6.332129e+00 -1.736066e-19)	(9.598525e+00 -6.264354e+00 -1.734761e-19)	(1.274705e+00 -6.777574e-02 -1.305800e-22)
0.006        	(1.088457e+01 -6.546111e+00 -1.783257e-19)	(9.619991e+00 -6.477933e+00 -1.781964e-19)	(1.264579e+00 -6.817766e-02 -1.292997e-22)
0.0061       	(1.247889e+01 -7.779770e+00 -1.927357e-19)	(1.121944e+01 -7.711599e+00 -1.926069e-19)	(1.259453e+00 -6.817169e-02 -1.287549e-22)
0.0062       	(1.338316e+01 -8.478020e+00 -1.966590e-19)	(1.212683e+01 -8.409977e+00 -1.965301e-19)	(1.256335e+00 -6.804321e-02 -1.288442e-22)
0.0063       	(1.317622e+01 -9.631767e+00 -1.892961e-19)	(1.192422e+01 -9.563891e+00 -1.891686e-19)	(1.251999e+00 -6.787506e-02 -1.274691e-22)
0.0064       	(1.330952e+01 -7.624690e+00 -1.863328e-19)	(1.206073e+01 -7.556820e+00 -1.862079e-19)	(1.248791e+00 -6.787043e-02 -1.249347e-22)
0.0065       	(1.031818e+01 -6.424342e+00 -1.730134e-19)	(9.071978e+00 -6.356232e+00 -1.728888e-19)	(1.246201e+00 -6.810937e-02 -1.245519e-22)
0.0066       	(9.827624e+00 -6.817312e+00 -1.705499e-19)	(8.584829e+00 -6.748726e+00 -1.704249e-19)	(1.242795e+00 -6.858576e-02 -1.249749e-22)
0.0067       	(9.785118e+00 -7.351245e+00 -1.739295e-19)	(8.544547e+00 -7.282621e+00 -1.738047e-19)	(1.240571e+00 -6.862408e-02 -1.248912e-22)
0.0068       	(1.015884e+01 -8.190842e+00 -1.755356e-19)	(8.920327e+00 -8.122242e+00 -1.754135e-19)	(1.238510e+00 -6.859982e-02 -1.221335e-22)
0.0069       	(1.077084e+01 -8.208162e+00 -1.774209e-19)	(9.536038e+00 -8.140224e+00 -1.773025e-19)	(1.234798e+00 -6.793755e-02 -1.183176e-22)
0.007        	(1.198203e+01 -9.391937e+00 -1.833705e-19)	(1.075153e+01 -9.324852e+00 -1.832551e-19)	(1.230496e+00 -6.708503e-02 -1.153927e-22)
0.0071       	(1.267758e+01 -9.980848e+00 -1.886182e-19)	(1.145020e+01 -9.914621e+00 -1.885062e-19)	(1.227377e+00 -6.622633e-02 -1.119982e-22)
0.0072       	(1.228805e+01 -9.979437e+00 -1.818797e-19)	(1.106399e+01 -9.913870e+00 -1.817714e-19)	(1.224058e+00 -6.556718e-02 -1.082353e-22)
0.0073       	(1.167650e+01 -8.632079e+00 -1.804912e-19)	(1.045442e+01 -8.567172e+00 -1.803848e-19)	(1.222079e+00 -6.490707e-02 -1.063948e-22)
0.0074       	(1.283753e+01 -1.129864e+01 -1.835160e-19)	(1.161651e+01 -1.123407e+01 -1.834092e-19)	(1.221015e+00 -6.457095e-02 -1.067555e-22)
0.0075       	(1.277315e+01 -1.266437e+01 -1.807898e-19)	(1.155538e+01 -1.259998e+01 -1.806855e-19)	(1.217768e+00 -6.438955e-02 -1.043417e-22)
0.0076       	(1.120122e+01 -9.052817e+00 -1.766823e-19)	(9.984930e+00 -8.988513e+00 -1.765775e-19)	(1.216294e+00 -6.430478e-02 -1.047355e-22)
0.0077       	(9.986521e+00 -8.033325e+00 -1.731762e-19)	(8.772935e+00 -7.968808e+00 -1.730703e-19)	(1.213586e+00 -6.451726e-02 -1.058628e-22)
0.0078       	(1.059317e+01 -9.977600e+00 -1.744845e-19)	(9.382870e+00 -9.912664e+00 -1.743784e-19)	(1.210300e+00 -6.493547e-02 -1.060917e-22)
0.0079       	(1.238549e+01 -1.140591e+01 -1.848653e-19)	(1.117898e+01 -1.134032e+01 -1.847579e-19)	(1.206512e+00 -6.559066e-02 -1.074584e-22)
0.008        	(1.504623e+01 -1.396666e+01 -1.990063e-19)	(1.384188e+01 -1.389986e+01 -1.988977e-19)	(1.204355e+00 -6.679461e-02 -1.086285e-22)
0.0081       	(1.277599e+01 -1.114954e+01 -1.914040e-19)	(1.157021e+01 -1.108177e+01 -1.912983e-19)	(1.205773e+00 -6.776810e-02 -1.057697e-22)
0.0082       	(1.008951e+01 -1.042761e+01 -1.756185e-19)	(8.880355e+00 -1.035914e+01 -1.755197e-19)	(1.209159e+00 -6.847297e-02 -9.881861e-23)
0.0083       	(1.014202e+01 -9.231012e+00 -1.750258e-19)	(8.930024e+00 -9.162092e+00 -1.749318e-19)	(1.212000e+00 -6.892040e-02 -9.394408e-23)
0.0084       	(1.048528e+01 -8.972446e+00 -1.758607e-19)	(9.273879e+00 -8.903357e+00 -1.757699e-19)	(1.211401e+00 -6.908878e-02 -9.081852e-23)
0.0085       	(1.075363e+01 -9.666624e+00 -1.744276e-19)	(9.543984e+00 -9.597488e+00 -1.743400e-19)	(1.209650e+00 -6.913627e-02 -8.757665e-23)
0.0086       	(9.837440e+00 -9.957947e+00 -1.737520e-19)	(8.627466e+00 -9.889029e+00 -1.736669e-19)	(1.209973e+00 -6.891837e-02 -8.511305e-23)
0.0087       	(9.837907e+00 -1.092858e+01 -1.746266e-19)	(8.628494e+00 -1.085953e+01 -1.745443e-19)	(1.209413e+00 -6.905801e-02 -8.231218e-23)
0.0088       	(9.877461e+00 -1.109517e+01 -1.753510e-19)	(8.670475e+00 -1.102637e+01 -1.752693e-19)	(1.206986e+00 -6.880204e-02 -8.170570e-23)
0.0089       	(1.009047e+01 -1.100490e+01 -1.761000e-19)	(8.884292e+00 -1.093674e+01 -1.760162e-19)	(1.206178e+00 -6.815468e-02 -8.378621e-23)
0.009        	(1.058609e+01 -1.255213e+01 -1.813264e-19)	(9.380373e+00 -1.248528e+01 -1.812305e-19)	(1.205721e+00 -6.684844e-02 -9.595276e-23)
0.0091       	(1.180697e+01 -1.285524e+01 -1.846502e-19)	(1.060132e+01 -1.278953e+01 -1.845424e-19)	(1.205649e+00 -6.570812e-02 -1.078259e-22)
0.0092       	(1.319385e+01 -1.241199e+01 -1.887843e-19)	(1.198695e+01 -1.234653e+01 -1.886716e-19)	(1.206898e+00 -6.545761e-02 -1.126534e-22)
0.0093       	(1.166383e+01 -1.148596e+01 -1.826348e-19)	(1.045590e+01 -1.142054e+01 -1.825186e-19)	(1.207927e+00 -6.541722e-02 -1.161949e-22)
0.0094       	(1.258041e+01 -1.266578e+01 -1.840497e-19)	(1.137415e+01 -1.260051e+01 -1.839286e-19)	(1.206261e+00 -6.526263e-02 -1.211534e-22)
0.0095       	(1.328728e+01 -1.297471e+01 -1.892139e-19)	(1.208606e+01 -1.290996e+01 -1.890878e-19)	(1.201227e+00 -6.474808e-02 -1.260758e-22)
0.0096       	(1.139529e+01 -1.395268e+01 -1.797459e-19)	(1.019961e+01 -1.388851e+01 -1.796109e-19)	(1.195676e+00 -6.417203e-02 -1.349618e-22)
0.0097       	(1.056364e+01 -1.408287e+01 -1.782726e-19)	(9.373902e+00 -1.401927e+01 -1.781285e-19)	(1.189741e+00 -6.359944e-02 -1.441294e-22)
0.0098       	(1.122045e+01 -1.526874e+01 -1.806373e-19)	(1.003760e+01 -1.520583e+01 -1.804846e-19)	(1.182852e+00 -6.291212e-02 -1.526889e-22)
0.0099       	(1.074164e+01 -1.419336e+01 -1.794153e-19)	(9.562134e+00 -1.413172e+01 -1.792569e-19)	(1.179504e+00 -6.164206e-02 -1.584176e-22)
0.01         	(1.131535e+01 -1.548943e+01 -1.805559e-19)	(1.013631e+01 -1.542951e+01 -1.803969e-19)	(1.179042e+00 -5.991785e-02 -1.590030e-22)
0.0101       	(1.031971e+01 -1.315960e+01 -1.763206e-19)	(9.143095e+00 -1.310114e+01 -1.761642e-19)	(1.176616e+00 -5.845432e-02 -1.564707e-22)
0.0102       	(1.115295e+01 -1.430421e+01 -1.805807e-19)	(9.978043e+00 -1.424669e+01 -1.804336e-19)	(1.174907e+00 -5.751916e-02 -1.471024e-22)
0.0103       	(1.292244e+01 -1.641520e+01 -1.892412e-19)	(1.174775e+01 -1.635777e+01 -1.891130e-19)	(1.174691e+00 -5.742521e-02 -1.282293e-22)
0.0104       	(1.205478e+01 -1.522218e+01 -1.881071e-19)	(1.087705e+01 -1.516425e+01 -1.880115e-19)	(1.177730e+00 -5.792907e-02 -9.558119e-23)
0.0105       	(1.222274e+01 -1.656707e+01 -1.905940e-19)	(1.104583e+01 -1.650839e+01 -1.905471e-19)	(1.176907e+00 -5.867689e-02 -4.687804e-23)
0.0106       	(1.150326e+01 -1.685117e+01 -1.860666e-19)	(1.032822e+01 -1.679249e+01 -1.860166e-19)	(1.175047e+00 -5.867869e-02 -5.007339e-23)
0.0107       	(1.015392e+01 -1.490146e+01 -1.823511e-19)	(8.981666e+00 -1.484367e+01 -1.822849e-19)	(1.172257e+00 -5.779194e-02 -6.622868e-23)
0.0108       	(1.033097e+01 -1.497111e+01 -1.799709e-19)	(9.163165e+00 -1.491471e+01 -1.798889e-19)	(1.167802e+00 -5.639810e-02 -8.206539e-23)
0.0109       	(1.260506e+01 -1.906060e+01 -1.855995e-19)	(1.144159e+01 -1.900451e+01 -1.855068e-19)	(1.163467e+00 -5.608972e-02 -9.271911e-23)
0.011        	(1.006764e+01 -1.624919e+01 -1.805972e-19)	(8.904459e+00 -1.619356e+01 -1.804963e-19)	(1.163185e+00 -5.563480e-02 -1.008808e-22)
0.0111       	(1.085307e+01 -1.722108e+01 -1.811792e-19)	(9.689109e+00 -1.716554e+01 -1.810724e-19)	(1.163966e+00 -5.554043e-02 -1.068636e-22)
0.0112       	(1.221672e+01 -2.157786e+01 -1.897920e-19)	(1.105139e+01 -2.152249e+01 -1.896769e-19)	(1.165335e+00 -5.536812e-02 -1.150077e-22)
