# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.959346e+03 -1.451567e+04 -6.634557e-18)	(2.955713e+03 -1.451537e+04 -6.634351e-18)	(3.632122e+00 -2.978262e-01 -2.061166e-22)
0.0002       	(-4.061816e+02 2.088961e+03 4.652765e-19)	(-4.095430e+02 2.089233e+03 4.654669e-19)	(3.361469e+00 -2.712052e-01 -1.903628e-22)
0.0003       	(3.229375e+00 -7.357334e-01 -1.229178e-19)	(2.511940e-01 -4.969473e-01 -1.227340e-19)	(2.978181e+00 -2.387861e-01 -1.837820e-22)
0.0004       	(2.855861e+00 -2.043196e-01 -1.196764e-19)	(2.796644e-02 2.098017e-02 -1.194752e-19)	(2.827894e+00 -2.252998e-01 -2.012821e-22)
0.0005       	(2.709256e+00 -1.066370e+00 -1.210593e-19)	(-1.103315e-02 -8.502221e-01 -1.208287e-19)	(2.720289e+00 -2.161481e-01 -2.305588e-22)
0.0006       	(2.526403e+00 -1.121158e+00 -1.267711e-19)	(-7.837956e-02 -9.160184e-01 -1.264995e-19)	(2.604783e+00 -2.051400e-01 -2.716034e-22)
0.0007       	(2.290372e+00 -3.208744e+00 -1.260418e-19)	(-2.176505e-01 -3.012862e+00 -1.257423e-19)	(2.508023e+00 -1.958823e-01 -2.995271e-22)
0.0008       	(2.681076e+00 -2.617011e+00 -1.295678e-19)	(2.452008e-01 -2.428906e+00 -1.292513e-19)	(2.435875e+00 -1.881058e-01 -3.165938e-22)
0.0009       	(3.247754e+00 -1.549209e+00 -1.376209e-19)	(8.772892e-01 -1.368772e+00 -1.373050e-19)	(2.370465e+00 -1.804370e-01 -3.159030e-22)
0.001        	(3.381739e+00 -3.033087e+00 -1.392030e-19)	(1.072756e+00 -2.861623e+00 -1.389007e-19)	(2.308983e+00 -1.714638e-01 -3.022732e-22)
0.0011       	(3.687013e+00 -3.884991e+00 -1.288578e-19)	(1.439241e+00 -3.722764e+00 -1.285789e-19)	(2.247771e+00 -1.622267e-01 -2.788461e-22)
0.0012       	(3.646043e+00 -3.482966e+00 -1.253465e-19)	(1.453914e+00 -3.329461e+00 -1.250858e-19)	(2.192129e+00 -1.535048e-01 -2.607125e-22)
0.0013       	(4.095177e+00 -2.737483e+00 -1.299264e-19)	(1.950597e+00 -2.591247e+00 -1.296817e-19)	(2.144580e+00 -1.462356e-01 -2.447070e-22)
0.0014       	(4.452454e+00 -3.352198e+00 -1.374493e-19)	(2.351214e+00 -3.212430e+00 -1.372162e-19)	(2.101240e+00 -1.397683e-01 -2.331322e-22)
0.0015       	(5.664897e+00 -5.142550e+00 -1.660729e-19)	(3.605117e+00 -5.008375e+00 -1.658445e-19)	(2.059779e+00 -1.341753e-01 -2.284350e-22)
0.0016       	(4.686901e+00 -3.555601e+00 -1.554625e-19)	(2.666484e+00 -3.426763e+00 -1.552327e-19)	(2.020416e+00 -1.288378e-01 -2.297753e-22)
0.0017       	(7.236484e+00 -3.844134e+00 -1.864259e-19)	(5.252128e+00 -3.720486e+00 -1.861991e-19)	(1.984356e+00 -1.236481e-01 -2.267444e-22)
0.0018       	(8.429853e+00 -3.763690e+00 -1.934641e-19)	(6.478780e+00 -3.644808e+00 -1.932472e-19)	(1.951073e+00 -1.188824e-01 -2.169493e-22)
0.0019       	(4.886339e+00 -1.482224e+00 -1.554750e-19)	(2.968623e+00 -1.367940e+00 -1.552615e-19)	(1.917716e+00 -1.142844e-01 -2.135277e-22)
