# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.495923e+03 3.081294e+03 -9.388582e-19)	(3.492270e+03 3.081224e+03 -9.385369e-19)	(3.653898e+00 6.983615e-02 -3.212752e-22)
0.0002       	(2.138213e+01 -2.646137e+01 -1.567592e-19)	(1.801637e+01 -2.652499e+01 -1.564851e-19)	(3.365763e+00 6.361922e-02 -2.741011e-22)
0.0003       	(1.961922e+01 2.728815e+00 -1.445602e-19)	(1.646321e+01 2.667240e+00 -1.443052e-19)	(3.156003e+00 6.157565e-02 -2.549895e-22)
0.0004       	(1.944206e+01 8.888458e-01 -1.475098e-19)	(1.642812e+01 8.297082e-01 -1.472493e-19)	(3.013943e+00 5.913753e-02 -2.604905e-22)
0.0005       	(2.029865e+01 2.349468e+00 -1.481854e-19)	(1.739717e+01 2.292373e+00 -1.479177e-19)	(2.901479e+00 5.709507e-02 -2.677075e-22)
0.0006       	(2.063350e+01 3.056446e-01 -1.450154e-19)	(1.782295e+01 2.497852e-01 -1.447552e-19)	(2.810554e+00 5.585935e-02 -2.601476e-22)
0.0007       	(2.082831e+01 2.240947e+00 -1.478713e-19)	(1.809520e+01 2.187079e+00 -1.476271e-19)	(2.733110e+00 5.386831e-02 -2.441711e-22)
0.0008       	(2.255085e+01 3.492756e+00 -1.589069e-19)	(1.988588e+01 3.441084e+00 -1.586756e-19)	(2.664976e+00 5.167191e-02 -2.312627e-22)
0.0009       	(2.204884e+01 9.750648e+00 -1.489979e-19)	(1.944372e+01 9.701344e+00 -1.487800e-19)	(2.605122e+00 4.930399e-02 -2.178766e-22)
0.001        	(2.135696e+01 8.324318e+00 -1.479222e-19)	(1.880448e+01 8.277320e+00 -1.477133e-19)	(2.552478e+00 4.699877e-02 -2.088990e-22)
0.0011       	(2.262625e+01 3.584525e+00 -1.472353e-19)	(2.012045e+01 3.538561e+00 -1.470288e-19)	(2.505794e+00 4.596424e-02 -2.065015e-22)
0.0012       	(2.203622e+01 -4.347505e-01 -1.494024e-19)	(1.957315e+01 -4.802185e-01 -1.491916e-19)	(2.463065e+00 4.546801e-02 -2.107423e-22)
0.0013       	(2.282983e+01 -5.735041e+00 -1.513615e-19)	(2.040500e+01 -5.780436e+00 -1.511532e-19)	(2.424826e+00 4.539442e-02 -2.082838e-22)
0.0014       	(2.358852e+01 5.663348e+00 -1.529329e-19)	(2.119872e+01 5.618620e+00 -1.527160e-19)	(2.389801e+00 4.472833e-02 -2.168762e-22)
0.0015       	(2.446026e+01 5.109631e+00 -1.559544e-19)	(2.210089e+01 5.065093e+00 -1.557361e-19)	(2.359376e+00 4.453842e-02 -2.183518e-22)
0.0016       	(2.577397e+01 8.711985e+00 -1.602744e-19)	(2.343982e+01 8.668029e+00 -1.600506e-19)	(2.334152e+00 4.395605e-02 -2.237418e-22)
0.0017       	(2.622186e+01 9.789141e+00 -1.637361e-19)	(2.390904e+01 9.744990e+00 -1.635063e-19)	(2.312816e+00 4.415026e-02 -2.297537e-22)
0.0018       	(2.507582e+01 1.635799e+01 -1.655502e-19)	(2.278267e+01 1.631400e+01 -1.653188e-19)	(2.293148e+00 4.399352e-02 -2.314262e-22)
0.0019       	(2.750691e+01 5.690879e+01 -1.740075e-19)	(2.523116e+01 5.686597e+01 -1.737765e-19)	(2.275753e+00 4.282170e-02 -2.310118e-22)
0.002        	(2.802124e+01 1.938420e+01 -1.625623e-19)	(2.576054e+01 1.934175e+01 -1.623434e-19)	(2.260706e+00 4.244814e-02 -2.189063e-22)
