# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.634684e+03 -1.990206e+04 -9.235656e-18)	(2.631073e+03 -1.990166e+04 -9.235470e-18)	(3.610985e+00 -3.986717e-01 -1.856910e-22)
0.0002       	(-3.221871e+02 2.854319e+03 8.442712e-19)	(-3.255202e+02 2.854675e+03 8.444429e-19)	(3.333088e+00 -3.561701e-01 -1.717213e-22)
0.0003       	(3.480688e+00 1.947334e+00 -1.201158e-19)	(5.580422e-01 2.259067e+00 -1.199528e-19)	(2.922646e+00 -3.117328e-01 -1.630452e-22)
0.0004       	(2.978580e+00 1.311918e-01 -1.197220e-19)	(2.142146e-01 4.242671e-01 -1.195378e-19)	(2.764365e+00 -2.930754e-01 -1.841149e-22)
0.0005       	(2.803765e+00 -5.552749e-01 -1.214929e-19)	(1.509269e-01 -2.757461e-01 -1.212883e-19)	(2.652838e+00 -2.795288e-01 -2.045371e-22)
0.0006       	(2.684285e+00 -1.374666e+00 -1.217944e-19)	(1.507038e-01 -1.111269e+00 -1.215663e-19)	(2.533582e+00 -2.633969e-01 -2.281423e-22)
0.0007       	(2.791935e+00 -4.432301e-01 -1.230353e-19)	(3.649085e-01 -1.946065e-01 -1.227927e-19)	(2.427027e+00 -2.486236e-01 -2.425638e-22)
0.0008       	(3.072458e+00 -1.100427e-01 -1.302820e-19)	(7.234907e-01 1.249188e-01 -1.300252e-19)	(2.348968e+00 -2.349615e-01 -2.568043e-22)
0.0009       	(3.416753e+00 5.403569e-01 -1.357184e-19)	(1.133866e+00 7.618861e-01 -1.354559e-19)	(2.282887e+00 -2.215292e-01 -2.625148e-22)
0.001        	(3.438844e+00 -1.955807e+00 -1.367563e-19)	(1.221215e+00 -1.748825e+00 -1.365003e-19)	(2.217629e+00 -2.069820e-01 -2.560053e-22)
0.0011       	(3.758533e+00 -2.354786e+00 -1.360405e-19)	(1.606735e+00 -2.162127e+00 -1.358036e-19)	(2.151798e+00 -1.926582e-01 -2.368877e-22)
0.0012       	(3.766245e+00 -1.981314e+00 -1.420500e-19)	(1.670812e+00 -1.800671e+00 -1.418188e-19)	(2.095433e+00 -1.806428e-01 -2.311389e-22)
0.0013       	(3.678536e+00 -3.639317e-01 -1.371792e-19)	(1.632423e+00 -1.932526e-01 -1.369444e-19)	(2.046112e+00 -1.706791e-01 -2.347378e-22)
0.0014       	(4.660536e+00 -2.979009e-01 -1.380708e-19)	(2.659339e+00 -1.360830e-01 -1.378455e-19)	(2.001197e+00 -1.618179e-01 -2.252955e-22)
0.0015       	(7.917838e+00 -3.555857e+00 -1.747252e-19)	(5.957557e+00 -3.401844e+00 -1.745181e-19)	(1.960282e+00 -1.540126e-01 -2.070924e-22)
0.0016       	(6.047809e+00 -3.640393e+00 -1.806372e-19)	(4.124986e+00 -3.493418e+00 -1.804226e-19)	(1.922823e+00 -1.469752e-01 -2.145828e-22)
