# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.219619e+03 -2.783822e+04 -1.276282e-17)	(2.216046e+03 -2.783767e+04 -1.276265e-17)	(3.572264e+00 -5.452738e-01 -1.737330e-22)
0.0002       	(-2.086895e+02 3.987272e+03 1.482744e-18)	(-2.119720e+02 3.987752e+03 1.482902e-18)	(3.282441e+00 -4.800856e-01 -1.588864e-22)
0.0003       	(4.979088e+00 6.035956e+00 -1.505275e-19)	(2.138461e+00 6.450341e+00 -1.503884e-19)	(2.840627e+00 -4.143847e-01 -1.391568e-22)
0.0004       	(3.049301e+00 5.519361e-01 -1.118665e-19)	(3.782714e-01 9.357438e-01 -1.117418e-19)	(2.671030e+00 -3.838078e-01 -1.246621e-22)
0.0005       	(2.628684e+00 -1.054910e+00 -1.214992e-19)	(8.173636e-02 -6.956494e-01 -1.213847e-19)	(2.546948e+00 -3.592606e-01 -1.144833e-22)
0.0006       	(2.550800e+00 -1.111586e+00 -1.246532e-19)	(1.321416e-01 -7.773932e-01 -1.245520e-19)	(2.418659e+00 -3.341930e-01 -1.012069e-22)
0.0007       	(2.683760e+00 -3.382083e-01 -1.262248e-19)	(3.814044e-01 -2.757690e-02 -1.261396e-19)	(2.302355e+00 -3.106314e-01 -8.523140e-23)
0.0008       	(3.441185e+00 3.249910e+00 -1.321258e-19)	(1.227155e+00 3.539487e+00 -1.320370e-19)	(2.214030e+00 -2.895769e-01 -8.884440e-23)
0.0009       	(3.252375e+00 1.066343e+00 -1.373833e-19)	(1.111362e+00 1.337976e+00 -1.372830e-19)	(2.141013e+00 -2.716327e-01 -1.003776e-22)
0.001        	(3.552708e+00 -1.612183e-01 -1.496735e-19)	(1.482572e+00 9.173897e-02 -1.495621e-19)	(2.070136e+00 -2.529573e-01 -1.113999e-22)
0.0011       	(3.859093e+00 -3.358357e-01 -1.564006e-19)	(1.854794e+00 -1.020503e-01 -1.562823e-19)	(2.004299e+00 -2.337854e-01 -1.182752e-22)
0.0012       	(3.411165e+00 -2.342904e+00 -1.464309e-19)	(1.462669e+00 -2.125859e+00 -1.463052e-19)	(1.948495e+00 -2.170449e-01 -1.257282e-22)
0.0013       	(3.207721e+00 -2.904592e+00 -1.437827e-19)	(1.305176e+00 -2.701850e+00 -1.436522e-19)	(1.902545e+00 -2.027429e-01 -1.305778e-22)
0.0014       	(3.411024e+00 -2.942936e+00 -1.521673e-19)	(1.550493e+00 -2.751125e+00 -1.520280e-19)	(1.860531e+00 -1.918108e-01 -1.393407e-22)
0.0015       	(4.326246e+00 -2.075076e+00 -1.745989e-19)	(2.501476e+00 -1.892102e+00 -1.744369e-19)	(1.824770e+00 -1.829738e-01 -1.619991e-22)
0.0016       	(4.313278e+00 -3.148244e+00 -1.741080e-19)	(2.521771e+00 -2.972533e+00 -1.739377e-19)	(1.791507e+00 -1.757114e-01 -1.703526e-22)
0.0017       	(6.935420e+00 -4.579636e+00 -1.974975e-19)	(5.175307e+00 -4.409907e+00 -1.973373e-19)	(1.760114e+00 -1.697287e-01 -1.602004e-22)
0.0018       	(7.242823e+00 -4.343874e+00 -1.846916e-19)	(5.512233e+00 -4.178805e+00 -1.845473e-19)	(1.730590e+00 -1.650683e-01 -1.442665e-22)
0.0019       	(8.731512e+00 -4.426097e+00 -2.025299e-19)	(7.029295e+00 -4.265666e+00 -2.024190e-19)	(1.702218e+00 -1.604317e-01 -1.109621e-22)
0.002        	(8.969439e+00 -4.435872e+00 -1.944673e-19)	(7.293628e+00 -4.280847e+00 -1.943784e-19)	(1.675810e+00 -1.550256e-01 -8.887906e-23)
0.0021       	(6.611849e+00 -4.929209e+00 -1.818974e-19)	(4.961152e+00 -4.778339e+00 -1.818086e-19)	(1.650697e+00 -1.508701e-01 -8.874728e-23)
