# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.397746e+03 4.366905e+03 -6.996389e-19)	(3.394098e+03 4.366805e+03 -6.993206e-19)	(3.647861e+00 1.009176e-01 -3.183328e-22)
0.0002       	(2.079094e+01 -4.556233e+01 -1.385461e-19)	(1.743114e+01 -4.565387e+01 -1.382890e-19)	(3.359802e+00 9.153511e-02 -2.571159e-22)
0.0003       	(1.884706e+01 3.610304e-01 -1.393917e-19)	(1.570418e+01 2.738062e-01 -1.391410e-19)	(3.142880e+00 8.722417e-02 -2.507030e-22)
0.0004       	(1.849001e+01 -5.401971e-01 -1.404626e-19)	(1.548934e+01 -6.237070e-01 -1.401997e-19)	(3.000671e+00 8.350995e-02 -2.628782e-22)
0.0005       	(1.801291e+01 8.615043e-01 -1.434572e-19)	(1.512737e+01 7.829053e-01 -1.431793e-19)	(2.885549e+00 7.859897e-02 -2.778420e-22)
0.0006       	(1.808477e+01 1.023050e+00 -1.452140e-19)	(1.529213e+01 9.479144e-01 -1.449270e-19)	(2.792635e+00 7.513590e-02 -2.870408e-22)
0.0007       	(1.807104e+01 1.634546e+00 -1.450308e-19)	(1.535754e+01 1.562102e+00 -1.447389e-19)	(2.713503e+00 7.244433e-02 -2.919258e-22)
0.0008       	(1.849133e+01 4.898756e-01 -1.422509e-19)	(1.584706e+01 4.196036e-01 -1.419571e-19)	(2.644272e+00 7.027194e-02 -2.937373e-22)
0.0009       	(1.793276e+01 -6.014698e-01 -1.439892e-19)	(1.534918e+01 -6.693414e-01 -1.436954e-19)	(2.583575e+00 6.787162e-02 -2.937306e-22)
0.001        	(1.850031e+01 2.149227e+00 -1.422380e-19)	(1.597033e+01 2.083381e+00 -1.419475e-19)	(2.529980e+00 6.584644e-02 -2.904816e-22)
0.0011       	(1.818771e+01 2.529088e+00 -1.399977e-19)	(1.570632e+01 2.465160e+00 -1.397145e-19)	(2.481391e+00 6.392820e-02 -2.832451e-22)
0.0012       	(1.836212e+01 1.832508e+00 -1.376187e-19)	(1.592685e+01 1.770311e+00 -1.373493e-19)	(2.435263e+00 6.219699e-02 -2.694328e-22)
0.0013       	(1.819708e+01 1.590368e+00 -1.359711e-19)	(1.580519e+01 1.529245e+00 -1.357203e-19)	(2.391888e+00 6.112293e-02 -2.507443e-22)
0.0014       	(1.824403e+01 1.598503e+00 -1.366183e-19)	(1.589366e+01 1.538869e+00 -1.363828e-19)	(2.350371e+00 5.963382e-02 -2.354326e-22)
0.0015       	(1.821874e+01 1.828992e+00 -1.362214e-19)	(1.590770e+01 1.770771e+00 -1.359990e-19)	(2.311037e+00 5.822117e-02 -2.223560e-22)
0.0016       	(1.820710e+01 1.443995e+00 -1.356365e-19)	(1.593315e+01 1.387136e+00 -1.354246e-19)	(2.273946e+00 5.685900e-02 -2.118822e-22)
0.0017       	(1.932965e+01 -4.423577e+00 -1.374180e-19)	(1.708902e+01 -4.480342e+00 -1.372162e-19)	(2.240632e+00 5.676461e-02 -2.017998e-22)
0.0018       	(2.072390e+01 -2.893791e+00 -1.356296e-19)	(1.851347e+01 -2.950572e+00 -1.354346e-19)	(2.210429e+00 5.678136e-02 -1.949488e-22)
0.0019       	(1.984997e+01 1.997000e-01 -1.352129e-19)	(1.766706e+01 1.430783e-01 -1.350233e-19)	(2.182916e+00 5.662162e-02 -1.896673e-22)
0.002        	(1.937653e+01 3.348820e+00 -1.311173e-19)	(1.721956e+01 3.293183e+00 -1.309393e-19)	(2.156972e+00 5.563688e-02 -1.779778e-22)
0.0021       	(1.942464e+01 1.028162e+01 -1.226391e-19)	(1.729150e+01 1.022788e+01 -1.224726e-19)	(2.133136e+00 5.373340e-02 -1.665530e-22)
0.0022       	(1.896483e+01 1.607618e+01 -1.303387e-19)	(1.685311e+01 1.602353e+01 -1.301838e-19)	(2.111722e+00 5.264740e-02 -1.549741e-22)
0.0023       	(1.951330e+01 1.290897e+01 -1.337457e-19)	(1.742095e+01 1.285671e+01 -1.336005e-19)	(2.092352e+00 5.225206e-02 -1.452120e-22)
0.0024       	(2.271337e+01 9.965511e+00 -1.398397e-19)	(2.063950e+01 9.913866e+00 -1.397090e-19)	(2.073871e+00 5.164515e-02 -1.306891e-22)
0.0025       	(2.305584e+01 1.029719e+01 -1.400322e-19)	(2.100026e+01 1.024503e+01 -1.399168e-19)	(2.055587e+00 5.216093e-02 -1.153323e-22)
0.0026       	(2.143918e+01 6.575159e+00 -1.313980e-19)	(1.940095e+01 6.522834e+00 -1.312842e-19)	(2.038236e+00 5.232463e-02 -1.137579e-22)
0.0027       	(2.133954e+01 7.633371e+00 -1.304765e-19)	(1.931774e+01 7.581223e+00 -1.303614e-19)	(2.021799e+00 5.214733e-02 -1.151345e-22)
