# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.269739e+03 -7.845929e+03 -3.114608e-18)	(3.266093e+03 -7.845752e+03 -3.114370e-18)	(3.646052e+00 -1.775993e-01 -2.382375e-22)
0.0002       	(-3.326936e+01 2.100087e+02 -2.258498e-19)	(-3.663021e+01 2.101719e+02 -2.256372e-19)	(3.360854e+00 -1.631843e-01 -2.126100e-22)
0.0003       	(3.859677e+00 -2.466154e-01 -1.091760e-19)	(7.581643e-01 -9.455519e-02 -1.089517e-19)	(3.101512e+00 -1.520602e-01 -2.243704e-22)
0.0004       	(3.787399e+00 -5.139039e-01 -1.208755e-19)	(8.270119e-01 -3.706333e-01 -1.206378e-19)	(2.960387e+00 -1.432706e-01 -2.376605e-22)
0.0005       	(4.286095e+00 -4.695075e-01 -1.318269e-19)	(1.446637e+00 -3.336293e-01 -1.315861e-19)	(2.839458e+00 -1.358782e-01 -2.407402e-22)
0.0006       	(3.958601e+00 -3.699180e+00 -1.225081e-19)	(1.223563e+00 -3.569914e+00 -1.222782e-19)	(2.735038e+00 -1.292655e-01 -2.298775e-22)
0.0007       	(3.905001e+00 -3.252350e+00 -1.252516e-19)	(1.255111e+00 -3.129399e+00 -1.250384e-19)	(2.649890e+00 -1.229515e-01 -2.131864e-22)
0.0008       	(4.016825e+00 -3.762161e+00 -1.334581e-19)	(1.441658e+00 -3.644840e+00 -1.332585e-19)	(2.575167e+00 -1.173214e-01 -1.995772e-22)
0.0009       	(5.297189e+00 -2.333531e+00 -1.348376e-19)	(2.787787e+00 -2.220586e+00 -1.346475e-19)	(2.509402e+00 -1.129449e-01 -1.901704e-22)
0.001        	(6.208365e+00 -3.349328e+00 -1.492427e-19)	(3.759577e+00 -3.240501e+00 -1.490564e-19)	(2.448787e+00 -1.088271e-01 -1.863096e-22)
0.0011       	(8.858456e+00 -2.601328e+00 -1.659962e-19)	(6.467669e+00 -2.496789e+00 -1.658201e-19)	(2.390786e+00 -1.045388e-01 -1.761752e-22)
0.0012       	(1.053668e+01 -2.357606e+00 -1.705355e-19)	(8.197627e+00 -2.257933e+00 -1.703535e-19)	(2.339052e+00 -9.967311e-02 -1.819383e-22)
0.0013       	(7.372580e+00 -1.156391e+00 -1.531936e-19)	(5.082967e+00 -1.060388e+00 -1.530014e-19)	(2.289613e+00 -9.600378e-02 -1.922076e-22)
0.0014       	(6.911814e+00 -1.801073e+00 -1.503214e-19)	(4.666962e+00 -1.708779e+00 -1.501244e-19)	(2.244852e+00 -9.229415e-02 -1.969609e-22)
