# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.440964e+03 -5.356824e+03 -2.241746e-18)	(3.437310e+03 -5.356702e+03 -2.241482e-18)	(3.653988e+00 -1.222559e-01 -2.639975e-22)
0.0002       	(2.979830e+01 7.693200e+00 -2.180098e-19)	(2.643096e+01 7.806029e+00 -2.178073e-19)	(3.367340e+00 -1.128297e-01 -2.025074e-22)
0.0003       	(2.279514e+01 -1.749740e+01 -1.983817e-19)	(1.963375e+01 -1.739189e+01 -1.982007e-19)	(3.161394e+00 -1.055076e-01 -1.809364e-22)
0.0004       	(2.395892e+01 -2.125988e+01 -2.042309e-19)	(2.093821e+01 -2.116077e+01 -2.040549e-19)	(3.020706e+00 -9.911064e-02 -1.760225e-22)
0.0005       	(2.508044e+01 -2.880682e+01 -2.125521e-19)	(2.217069e+01 -2.871291e+01 -2.123531e-19)	(2.909757e+00 -9.391073e-02 -1.989425e-22)
0.0006       	(2.484203e+01 -2.698529e+01 -2.122637e-19)	(2.202231e+01 -2.689503e+01 -2.120385e-19)	(2.819720e+00 -9.025908e-02 -2.251896e-22)
0.0007       	(2.377393e+01 -3.273360e+01 -2.170857e-19)	(2.103066e+01 -3.264683e+01 -2.168567e-19)	(2.743273e+00 -8.677135e-02 -2.289123e-22)
0.0008       	(2.556832e+01 -1.805012e+01 -2.080167e-19)	(2.288958e+01 -1.796635e+01 -2.077916e-19)	(2.678736e+00 -8.376282e-02 -2.250094e-22)
0.0009       	(2.630785e+01 -2.671348e+01 -2.108242e-19)	(2.368430e+01 -2.663204e+01 -2.106058e-19)	(2.623556e+00 -8.144287e-02 -2.184430e-22)
0.001        	(2.629135e+01 -3.501539e+01 -2.151334e-19)	(2.371563e+01 -3.493559e+01 -2.149285e-19)	(2.575718e+00 -7.980338e-02 -2.049221e-22)
0.0011       	(2.537823e+01 -2.969989e+01 -2.134379e-19)	(2.284514e+01 -2.962115e+01 -2.132463e-19)	(2.533088e+00 -7.873809e-02 -1.915768e-22)
0.0012       	(2.616765e+01 -3.079245e+01 -2.186932e-19)	(2.367128e+01 -3.071376e+01 -2.185156e-19)	(2.496366e+00 -7.869388e-02 -1.775983e-22)
0.0013       	(2.574257e+01 -5.066561e+01 -2.320558e-19)	(2.327763e+01 -5.058758e+01 -2.318877e-19)	(2.464941e+00 -7.802359e-02 -1.681695e-22)
0.0014       	(2.675900e+01 -3.826509e+01 -2.222303e-19)	(2.432165e+01 -3.818751e+01 -2.220713e-19)	(2.437341e+00 -7.758453e-02 -1.590119e-22)
0.0015       	(2.865860e+01 -2.277150e+01 -2.178930e-19)	(2.624565e+01 -2.269354e+01 -2.177418e-19)	(2.412951e+00 -7.795720e-02 -1.512348e-22)
0.0016       	(3.112735e+01 -4.519238e+01 -2.292693e-19)	(2.873598e+01 -4.511458e+01 -2.291264e-19)	(2.391368e+00 -7.780613e-02 -1.428517e-22)
0.0017       	(2.750688e+01 -5.330917e+01 -2.452460e-19)	(2.513398e+01 -5.323110e+01 -2.451117e-19)	(2.372896e+00 -7.807476e-02 -1.343792e-22)
0.0018       	(3.049505e+01 -4.243864e+01 -2.366431e-19)	(2.813873e+01 -4.235956e+01 -2.365202e-19)	(2.356316e+00 -7.908112e-02 -1.229417e-22)
