# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.760068e+03 1.843027e+04 2.522023e-18)	(2.756457e+03 1.842991e+04 2.522413e-18)	(3.611598e+00 3.641698e-01 -3.896469e-22)
0.0002       	(-3.544440e+02 -2.732718e+03 -2.902956e-19)	(-3.577819e+02 -2.733043e+03 -2.899631e-19)	(3.337869e+00 3.252188e-01 -3.325521e-22)
0.0003       	(2.498903e+00 4.283107e+00 -1.365983e-19)	(-4.343355e-01 3.998320e+00 -1.362950e-19)	(2.933238e+00 2.847870e-01 -3.033155e-22)
0.0004       	(2.933177e+00 -3.032221e-01 -1.246584e-19)	(1.518654e-01 -5.724554e-01 -1.243780e-19)	(2.781311e+00 2.692333e-01 -2.804624e-22)
0.0005       	(2.928575e+00 -9.095405e-01 -1.228797e-19)	(2.558253e-01 -1.168587e+00 -1.226179e-19)	(2.672750e+00 2.590467e-01 -2.617570e-22)
0.0006       	(2.868112e+00 -1.082790e+00 -1.208273e-19)	(3.099136e-01 -1.329688e+00 -1.205835e-19)	(2.558198e+00 2.468983e-01 -2.438111e-22)
0.0007       	(2.719340e+00 3.356523e-02 -1.222940e-19)	(2.582524e-01 -2.027017e-01 -1.220656e-19)	(2.461088e+00 2.362670e-01 -2.283674e-22)
0.0008       	(2.872197e+00 -4.241041e-01 -1.201163e-19)	(4.843491e-01 -6.519776e-01 -1.199002e-19)	(2.387847e+00 2.278735e-01 -2.160713e-22)
0.0009       	(3.381281e+00 -1.082061e+00 -1.173204e-19)	(1.056735e+00 -1.301427e+00 -1.171170e-19)	(2.324545e+00 2.193668e-01 -2.033426e-22)
0.001        	(4.050560e+00 6.984512e-01 -1.156722e-19)	(1.790438e+00 4.895781e-01 -1.154940e-19)	(2.260122e+00 2.088730e-01 -1.782457e-22)
0.0011       	(3.699271e+00 2.124067e+00 -1.133459e-19)	(1.502310e+00 1.926464e+00 -1.131797e-19)	(2.196961e+00 1.976032e-01 -1.661500e-22)
0.0012       	(3.797244e+00 2.058006e+00 -1.158836e-19)	(1.653871e+00 1.872084e+00 -1.157301e-19)	(2.143373e+00 1.859218e-01 -1.534912e-22)
0.0013       	(4.050919e+00 2.351972e+00 -1.181427e-19)	(1.955020e+00 2.176842e+00 -1.180006e-19)	(2.095899e+00 1.751297e-01 -1.420626e-22)
0.0014       	(4.398333e+00 2.204629e+00 -1.181255e-19)	(2.346864e+00 2.038858e+00 -1.179956e-19)	(2.051469e+00 1.657714e-01 -1.299164e-22)
0.0015       	(5.500533e+00 2.007755e+00 -1.084015e-19)	(3.492083e+00 1.851073e+00 -1.082802e-19)	(2.008451e+00 1.566823e-01 -1.212187e-22)
0.0016       	(8.952942e+00 4.033041e+00 -9.201094e-20)	(6.984367e+00 3.884788e+00 -9.189834e-20)	(1.968575e+00 1.482529e-01 -1.125910e-22)
0.0017       	(6.203639e+00 1.660010e+00 -1.077876e-19)	(4.273312e+00 1.519064e+00 -1.076792e-19)	(1.930327e+00 1.409458e-01 -1.083799e-22)
0.0018       	(5.094493e+00 2.540740e+00 -1.095588e-19)	(3.201327e+00 2.407285e+00 -1.094625e-19)	(1.893166e+00 1.334549e-01 -9.631057e-23)
0.0019       	(6.376343e+00 2.723874e+00 -1.031370e-19)	(4.516208e+00 2.595977e+00 -1.030583e-19)	(1.860135e+00 1.278971e-01 -7.872063e-23)
0.002        	(5.947278e+00 2.937247e+00 -1.074623e-19)	(4.118286e+00 2.813444e+00 -1.073974e-19)	(1.828992e+00 1.238035e-01 -6.493497e-23)
0.0021       	(6.647915e+00 2.980451e+00 -1.044084e-19)	(4.848214e+00 2.860733e+00 -1.043430e-19)	(1.799701e+00 1.197185e-01 -6.543812e-23)
0.0022       	(7.140623e+00 2.946174e+00 -9.910817e-20)	(5.368091e+00 2.830326e+00 -9.904883e-20)	(1.772532e+00 1.158472e-01 -5.933734e-23)
0.0023       	(8.025301e+00 4.603761e+00 -9.739871e-20)	(6.278904e+00 4.490629e+00 -9.734621e-20)	(1.746398e+00 1.131323e-01 -5.249349e-23)
0.0024       	(7.051827e+00 4.701268e+00 -1.020999e-19)	(5.331450e+00 4.590594e+00 -1.020499e-19)	(1.720377e+00 1.106733e-01 -4.997365e-23)
0.0025       	(8.380220e+00 5.674394e+00 -9.544000e-20)	(6.685517e+00 5.566232e+00 -9.538461e-20)	(1.694703e+00 1.081621e-01 -5.539482e-23)
0.0026       	(7.605318e+00 4.704849e+00 -9.691252e-20)	(5.935940e+00 4.599114e+00 -9.685346e-20)	(1.669379e+00 1.057351e-01 -5.905693e-23)
0.0027       	(6.570985e+00 4.445224e+00 -1.027680e-19)	(4.925821e+00 4.341911e+00 -1.027053e-19)	(1.645164e+00 1.033136e-01 -6.261178e-23)
0.0028       	(8.997959e+00 6.983696e+00 -8.892569e-20)	(7.375609e+00 6.881931e+00 -8.886361e-20)	(1.622350e+00 1.017653e-01 -6.207958e-23)
0.0029       	(1.119451e+01 9.517253e+00 -7.620287e-20)	(9.593924e+00 9.416231e+00 -7.613835e-20)	(1.600582e+00 1.010224e-01 -6.452046e-23)
0.003        	(8.287478e+00 5.591070e+00 -9.460121e-20)	(6.706911e+00 5.490414e+00 -9.453107e-20)	(1.580567e+00 1.006560e-01 -7.014000e-23)
0.0031       	(9.523768e+00 6.160777e+00 -8.798647e-20)	(7.962196e+00 6.060432e+00 -8.790965e-20)	(1.561572e+00 1.003457e-01 -7.682549e-23)
0.0032       	(1.151020e+01 7.010667e+00 -8.360220e-20)	(9.966603e+00 6.910433e+00 -8.351289e-20)	(1.543599e+00 1.002338e-01 -8.930804e-23)
