# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.791173e+03 -1.758527e+04 -8.181207e-18)	(2.787550e+03 -1.758491e+04 -8.181016e-18)	(3.622859e+00 -3.523929e-01 -1.906769e-22)
0.0002       	(-3.701235e+02 2.549475e+03 7.124595e-19)	(-3.734718e+02 2.549793e+03 7.126335e-19)	(3.348247e+00 -3.182452e-01 -1.740188e-22)
0.0003       	(3.560524e+00 2.792451e+00 -1.156487e-19)	(6.154211e-01 3.070910e+00 -1.154783e-19)	(2.945103e+00 -2.784593e-01 -1.704539e-22)
0.0004       	(3.170467e+00 2.654643e+00 -1.086938e-19)	(3.786551e-01 2.915975e+00 -1.085032e-19)	(2.791812e+00 -2.613319e-01 -1.905861e-22)
0.0005       	(3.228420e+00 3.881087e+00 -1.072051e-19)	(5.430014e-01 4.129672e+00 -1.069862e-19)	(2.685418e+00 -2.485857e-01 -2.189509e-22)
0.0006       	(2.482732e+00 -2.272996e+00 -1.252279e-19)	(-8.585268e-02 -2.039036e+00 -1.249742e-19)	(2.568584e+00 -2.339603e-01 -2.537535e-22)
0.0007       	(2.678628e+00 -4.036589e-01 -1.300274e-19)	(2.112362e-01 -1.814988e-01 -1.297492e-19)	(2.467392e+00 -2.221601e-01 -2.781765e-22)
0.0008       	(3.427364e+00 3.771271e+00 -1.272015e-19)	(1.031740e+00 3.983429e+00 -1.269071e-19)	(2.395624e+00 -2.121579e-01 -2.943505e-22)
0.0009       	(3.392568e+00 -7.316055e-01 -1.377155e-19)	(1.059313e+00 -5.298064e-01 -1.374237e-19)	(2.333255e+00 -2.017991e-01 -2.918617e-22)
0.001        	(3.864280e+00 -2.418193e+00 -1.390378e-19)	(1.593116e+00 -2.227452e+00 -1.387705e-19)	(2.271164e+00 -1.907415e-01 -2.673399e-22)
0.0011       	(3.783454e+00 -1.190428e+00 -1.386487e-19)	(1.576341e+00 -1.010359e+00 -1.384024e-19)	(2.207113e+00 -1.800686e-01 -2.463498e-22)
0.0012       	(3.692503e+00 4.208410e-01 -1.357009e-19)	(1.538199e+00 5.919411e-01 -1.354578e-19)	(2.154304e+00 -1.711001e-01 -2.431226e-22)
0.0013       	(4.685168e+00 -2.034266e+00 -1.286647e-19)	(2.578925e+00 -1.872875e+00 -1.284400e-19)	(2.106242e+00 -1.613905e-01 -2.247781e-22)
0.0014       	(4.673454e+00 -1.247189e+00 -1.360890e-19)	(2.612474e+00 -1.094601e+00 -1.358724e-19)	(2.060979e+00 -1.525881e-01 -2.166277e-22)
0.0015       	(6.409283e+00 -3.305456e+00 -1.680073e-19)	(4.391275e+00 -3.160528e+00 -1.677864e-19)	(2.018009e+00 -1.449283e-01 -2.209838e-22)
