# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.051675e+03 3.032519e+04 4.790329e-18)	(2.048136e+03 3.032460e+04 4.790796e-18)	(3.538655e+00 5.926224e-01 -4.668275e-22)
0.0002       	(-1.591804e+02 -4.520146e+03 -5.496720e-19)	(-1.624289e+02 -4.520661e+03 -5.492760e-19)	(3.248493e+00 5.152599e-01 -3.959497e-22)
0.0003       	(1.276950e+00 6.140409e+00 -9.644557e-20)	(-1.513573e+00 5.698657e+00 -9.611493e-20)	(2.790523e+00 4.417524e-01 -3.306391e-22)
0.0004       	(2.732750e+00 8.188530e-01 -1.185404e-19)	(1.114619e-01 4.115905e-01 -1.182704e-19)	(2.621288e+00 4.072625e-01 -2.700200e-22)
0.0005       	(2.532849e+00 1.315934e+00 -1.182232e-19)	(3.199566e-02 9.332317e-01 -1.179885e-19)	(2.500853e+00 3.827022e-01 -2.347749e-22)
0.0006       	(2.354185e+00 1.992194e+00 -1.174010e-19)	(-1.410825e-02 1.635455e+00 -1.171973e-19)	(2.368293e+00 3.567394e-01 -2.037003e-22)
0.0007       	(2.415265e+00 1.348727e+00 -1.170242e-19)	(1.609288e-01 1.015624e+00 -1.168501e-19)	(2.254336e+00 3.331026e-01 -1.740875e-22)
0.0008       	(2.605983e+00 1.098989e+00 -1.153907e-19)	(4.287763e-01 7.851089e-01 -1.152493e-19)	(2.177206e+00 3.138799e-01 -1.413837e-22)
0.0009       	(3.036322e+00 1.544785e+00 -1.123477e-19)	(9.268931e-01 1.249195e+00 -1.122334e-19)	(2.109429e+00 2.955899e-01 -1.142206e-22)
0.001        	(3.678150e+00 1.042847e+00 -1.178579e-19)	(1.635156e+00 7.656391e-01 -1.177647e-19)	(2.042994e+00 2.772075e-01 -9.326422e-23)
0.0011       	(3.836993e+00 -1.631529e-01 -1.285555e-19)	(1.857996e+00 -4.235741e-01 -1.284735e-19)	(1.978997e+00 2.604212e-01 -8.202209e-23)
0.0012       	(3.641944e+00 1.909318e+00 -1.206315e-19)	(1.718592e+00 1.664695e+00 -1.205647e-19)	(1.923352e+00 2.446235e-01 -6.681315e-23)
0.0013       	(3.958143e+00 4.042789e+00 -1.174237e-19)	(2.082509e+00 3.812123e+00 -1.173692e-19)	(1.875634e+00 2.306654e-01 -5.449818e-23)
0.0014       	(3.919780e+00 4.264359e+00 -1.189259e-19)	(2.087649e+00 4.046381e+00 -1.188766e-19)	(1.832131e+00 2.179779e-01 -4.933827e-23)
0.0015       	(4.524253e+00 4.425011e+00 -1.183640e-19)	(2.732662e+00 4.218514e+00 -1.183105e-19)	(1.791591e+00 2.064965e-01 -5.344343e-23)
0.0016       	(6.288018e+00 4.853553e+00 -1.158055e-19)	(4.532812e+00 4.656495e+00 -1.157472e-19)	(1.755206e+00 1.970582e-01 -5.828440e-23)
0.0017       	(7.963513e+00 5.614760e+00 -1.048755e-19)	(6.241258e+00 5.426340e+00 -1.048230e-19)	(1.722255e+00 1.884204e-01 -5.255329e-23)
0.0018       	(8.600606e+00 6.212757e+00 -1.007426e-19)	(6.910170e+00 6.032518e+00 -1.006945e-19)	(1.690436e+00 1.802390e-01 -4.809259e-23)
0.0019       	(7.789959e+00 6.342113e+00 -1.070710e-19)	(6.131214e+00 6.169751e+00 -1.070207e-19)	(1.658745e+00 1.723620e-01 -5.025544e-23)
0.002        	(7.447837e+00 6.251813e+00 -1.052352e-19)	(5.819543e+00 6.085869e+00 -1.051841e-19)	(1.628294e+00 1.659447e-01 -5.108944e-23)
0.0021       	(5.873244e+00 4.715651e+00 -1.081129e-19)	(4.273803e+00 4.555257e+00 -1.080698e-19)	(1.599441e+00 1.603946e-01 -4.309917e-23)
0.0022       	(5.522604e+00 4.487678e+00 -1.093215e-19)	(3.947366e+00 4.332760e+00 -1.092840e-19)	(1.575238e+00 1.549183e-01 -3.750047e-23)
0.0023       	(6.796344e+00 5.720936e+00 -1.015192e-19)	(5.243724e+00 5.571079e+00 -1.014853e-19)	(1.552620e+00 1.498572e-01 -3.396250e-23)
0.0024       	(8.805623e+00 7.981462e+00 -8.676498e-20)	(7.274329e+00 7.836319e+00 -8.674065e-20)	(1.531294e+00 1.451423e-01 -2.433032e-23)
0.0025       	(8.583567e+00 8.096560e+00 -9.047678e-20)	(7.072500e+00 7.955721e+00 -9.045836e-20)	(1.511067e+00 1.408388e-01 -1.841225e-23)
0.0026       	(7.994861e+00 8.888744e+00 -8.445638e-20)	(6.501890e+00 8.751490e+00 -8.444113e-20)	(1.492971e+00 1.372533e-01 -1.524974e-23)
0.0027       	(7.441000e+00 7.778790e+00 -8.997834e-20)	(5.964853e+00 7.644269e+00 -8.996220e-20)	(1.476147e+00 1.345209e-01 -1.614405e-23)
0.0028       	(9.036079e+00 9.363925e+00 -7.471378e-20)	(7.575379e+00 9.231735e+00 -7.469419e-20)	(1.460700e+00 1.321905e-01 -1.959203e-23)
0.0029       	(8.426091e+00 7.758070e+00 -9.093064e-20)	(6.978649e+00 7.627517e+00 -9.090644e-20)	(1.447442e+00 1.305525e-01 -2.419479e-23)
0.003        	(9.956267e+00 9.341744e+00 -8.001446e-20)	(8.520833e+00 9.212288e+00 -7.998969e-20)	(1.435434e+00 1.294558e-01 -2.477127e-23)
0.0031       	(9.687801e+00 9.021027e+00 -7.970097e-20)	(8.262899e+00 8.892156e+00 -7.967459e-20)	(1.424902e+00 1.288714e-01 -2.637740e-23)
0.0032       	(7.568758e+00 7.397702e+00 -9.089056e-20)	(6.154270e+00 7.269352e+00 -9.086792e-20)	(1.414488e+00 1.283498e-01 -2.264219e-23)
0.0033       	(1.055558e+01 1.142479e+01 -6.667426e-20)	(9.151230e+00 1.129660e+01 -6.665743e-20)	(1.404354e+00 1.281899e-01 -1.682986e-23)
0.0034       	(9.811531e+00 1.024738e+01 -7.355536e-20)	(8.417164e+00 1.011894e+01 -7.354582e-20)	(1.394367e+00 1.284400e-01 -9.540808e-24)
0.0035       	(7.246652e+00 7.663465e+00 -8.636205e-20)	(5.862112e+00 7.535323e+00 -8.636041e-20)	(1.384539e+00 1.281423e-01 -1.637286e-24)
0.0036       	(8.529429e+00 9.382902e+00 -6.560750e-20)	(7.153182e+00 9.256137e+00 -6.561405e-20)	(1.376246e+00 1.267652e-01 6.553634e-24)
0.0037       	(1.195128e+01 1.172700e+01 -5.689956e-20)	(1.058116e+01 1.160134e+01 -5.690807e-20)	(1.370125e+00 1.256528e-01 8.517002e-24)
0.0038       	(1.018523e+01 1.044290e+01 -7.164536e-20)	(8.820482e+00 1.031783e+01 -7.165736e-20)	(1.364745e+00 1.250691e-01 1.199829e-23)
0.0039       	(7.764995e+00 7.898986e+00 -8.645161e-20)	(6.406165e+00 7.774635e+00 -8.646476e-20)	(1.358831e+00 1.243507e-01 1.315189e-23)
0.004        	(1.023564e+01 1.138502e+01 -6.938099e-20)	(8.883189e+00 1.126115e+01 -6.938981e-20)	(1.352450e+00 1.238670e-01 8.821411e-24)
0.0041       	(1.273853e+01 1.491214e+01 -4.655397e-20)	(1.139212e+01 1.478860e+01 -4.655933e-20)	(1.346414e+00 1.235427e-01 5.361316e-24)
0.0042       	(9.329446e+00 9.791316e+00 -8.027324e-20)	(7.990244e+00 9.667438e+00 -8.026698e-20)	(1.339203e+00 1.238783e-01 -6.261809e-24)
0.0043       	(1.036737e+01 8.748189e+00 -8.118944e-20)	(9.036106e+00 8.624169e+00 -8.117172e-20)	(1.331265e+00 1.240200e-01 -1.771428e-23)
0.0044       	(1.078186e+01 9.782574e+00 -8.313319e-20)	(9.458785e+00 9.658043e+00 -8.310139e-20)	(1.323072e+00 1.245304e-01 -3.179796e-23)
0.0045       	(1.109018e+01 1.175053e+01 -8.059669e-20)	(9.770154e+00 1.162528e+01 -8.055255e-20)	(1.320027e+00 1.252432e-01 -4.413524e-23)
0.0046       	(1.318353e+01 1.833211e+01 -7.419443e-20)	(1.186750e+01 1.820678e+01 -7.416041e-20)	(1.316034e+00 1.253283e-01 -3.401952e-23)
0.0047       	(1.117291e+01 1.420813e+01 -8.047859e-20)	(9.861946e+00 1.408298e+01 -8.044725e-20)	(1.310969e+00 1.251552e-01 -3.133077e-23)
0.0048       	(9.019505e+00 8.413814e+00 -8.580383e-20)	(7.714269e+00 8.288389e+00 -8.576364e-20)	(1.305236e+00 1.254250e-01 -4.019222e-23)
0.0049       	(9.907661e+00 9.663740e+00 -8.608662e-20)	(8.607417e+00 9.538270e+00 -8.603238e-20)	(1.300243e+00 1.254701e-01 -5.424053e-23)
0.005        	(1.264668e+01 1.459603e+01 -6.865625e-20)	(1.135063e+01 1.447052e+01 -6.859012e-20)	(1.296051e+00 1.255088e-01 -6.612779e-23)
0.0051       	(1.284068e+01 1.407974e+01 -6.363608e-20)	(1.155089e+01 1.395399e+01 -6.356427e-20)	(1.289786e+00 1.257577e-01 -7.181319e-23)
0.0052       	(1.238284e+01 1.458829e+01 -6.948748e-20)	(1.110064e+01 1.446224e+01 -6.941041e-20)	(1.282200e+00 1.260516e-01 -7.706092e-23)
0.0053       	(1.233921e+01 1.358608e+01 -7.140080e-20)	(1.106504e+01 1.345978e+01 -7.131916e-20)	(1.274171e+00 1.263043e-01 -8.163908e-23)
0.0054       	(1.251013e+01 1.433757e+01 -7.227411e-20)	(1.124159e+01 1.421089e+01 -7.218875e-20)	(1.268541e+00 1.266796e-01 -8.536508e-23)
0.0055       	(1.087907e+01 1.258703e+01 -8.476901e-20)	(9.616055e+00 1.246002e+01 -8.468473e-20)	(1.263011e+00 1.270010e-01 -8.427864e-23)
0.0056       	(1.039862e+01 1.184256e+01 -8.256924e-20)	(9.140094e+00 1.171480e+01 -8.248173e-20)	(1.258529e+00 1.277565e-01 -8.750916e-23)
0.0057       	(1.448383e+01 2.008757e+01 -5.576735e-20)	(1.323055e+01 1.995914e+01 -5.570150e-20)	(1.253274e+00 1.284299e-01 -6.584288e-23)
0.0058       	(1.424154e+01 1.599582e+01 -7.453662e-20)	(1.299492e+01 1.586762e+01 -7.447910e-20)	(1.246621e+00 1.282017e-01 -5.751824e-23)
0.0059       	(1.243534e+01 1.290215e+01 -9.204107e-20)	(1.119538e+01 1.277448e+01 -9.198634e-20)	(1.239961e+00 1.276706e-01 -5.472571e-23)
0.006        	(1.173982e+01 1.280934e+01 -7.772313e-20)	(1.050502e+01 1.268216e+01 -7.767031e-20)	(1.234803e+00 1.271868e-01 -5.282246e-23)
0.0061       	(1.370220e+01 1.547817e+01 -7.154106e-20)	(1.247053e+01 1.535136e+01 -7.148850e-20)	(1.231673e+00 1.268087e-01 -5.256368e-23)
0.0062       	(1.247919e+01 1.347609e+01 -8.071921e-20)	(1.125226e+01 1.335023e+01 -8.066640e-20)	(1.226932e+00 1.258598e-01 -5.281736e-23)
0.0063       	(1.004175e+01 1.046667e+01 -8.624312e-20)	(8.824059e+00 1.034199e+01 -8.619095e-20)	(1.217689e+00 1.246788e-01 -5.216562e-23)
0.0064       	(9.864073e+00 1.146729e+01 -8.316633e-20)	(8.655615e+00 1.134275e+01 -8.311108e-20)	(1.208457e+00 1.245473e-01 -5.524621e-23)
0.0065       	(1.443809e+01 2.231340e+01 -7.220012e-20)	(1.323458e+01 2.218742e+01 -7.214491e-20)	(1.203507e+00 1.259827e-01 -5.521570e-23)
0.0066       	(1.637271e+01 2.124986e+01 -6.382436e-20)	(1.517241e+01 2.112334e+01 -6.377125e-20)	(1.200301e+00 1.265180e-01 -5.311169e-23)
0.0067       	(1.342161e+01 1.487646e+01 -7.892643e-20)	(1.222567e+01 1.475053e+01 -7.887478e-20)	(1.195940e+00 1.259332e-01 -5.165684e-23)
0.0068       	(1.165526e+01 1.434164e+01 -8.356676e-20)	(1.046434e+01 1.421619e+01 -8.351915e-20)	(1.190924e+00 1.254447e-01 -4.761009e-23)
0.0069       	(1.050128e+01 1.188772e+01 -8.384619e-20)	(9.315288e+00 1.176291e+01 -8.380076e-20)	(1.185990e+00 1.248147e-01 -4.542734e-23)
0.007        	(1.186334e+01 1.373191e+01 -8.184382e-20)	(1.068246e+01 1.360767e+01 -8.179942e-20)	(1.180879e+00 1.242465e-01 -4.440368e-23)
0.0071       	(1.333002e+01 1.611357e+01 -7.695160e-20)	(1.215402e+01 1.598965e+01 -7.690760e-20)	(1.175995e+00 1.239235e-01 -4.399556e-23)
