# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.321792e+03 6.738305e+03 -3.960174e-19)	(3.318150e+03 6.738152e+03 -3.956874e-19)	(3.642741e+00 1.532418e-01 -3.299684e-22)
0.0002       	(-3.537745e+01 -2.240037e+02 -1.005137e-19)	(-3.873623e+01 -2.241421e+02 -1.002461e-19)	(3.358789e+00 1.384101e-01 -2.675986e-22)
0.0003       	(3.621287e+00 4.516533e+00 -1.126452e-19)	(5.215751e-01 4.387590e+00 -1.123878e-19)	(3.099712e+00 1.289428e-01 -2.573929e-22)
0.0004       	(3.475428e+00 1.587564e+00 -1.160969e-19)	(5.141843e-01 1.464041e+00 -1.158351e-19)	(2.961243e+00 1.235234e-01 -2.618284e-22)
0.0005       	(3.759363e+00 1.544294e+00 -1.217153e-19)	(9.171459e-01 1.425305e+00 -1.214455e-19)	(2.842217e+00 1.189888e-01 -2.698141e-22)
0.0006       	(4.056710e+00 1.787319e+00 -1.281990e-19)	(1.319053e+00 1.672201e+00 -1.279280e-19)	(2.737657e+00 1.151183e-01 -2.710531e-22)
0.0007       	(4.626332e+00 2.038901e+00 -1.284307e-19)	(1.974160e+00 1.927837e+00 -1.281600e-19)	(2.652172e+00 1.110634e-01 -2.706347e-22)
0.0008       	(4.813750e+00 2.432107e+00 -1.168355e-19)	(2.234866e+00 2.324964e+00 -1.165759e-19)	(2.578884e+00 1.071428e-01 -2.595859e-22)
0.0009       	(5.556376e+00 2.438421e+00 -1.101250e-19)	(3.043069e+00 2.334682e+00 -1.098758e-19)	(2.513307e+00 1.037387e-01 -2.492143e-22)
0.001        	(7.880458e+00 4.192422e+00 -1.009890e-19)	(5.427125e+00 4.091792e+00 -1.007463e-19)	(2.453333e+00 1.006296e-01 -2.426733e-22)
0.0011       	(7.226804e+00 2.476630e+00 -1.094396e-19)	(4.830242e+00 2.379260e+00 -1.092002e-19)	(2.396562e+00 9.736991e-02 -2.394229e-22)
0.0012       	(7.133651e+00 9.684555e-01 -1.168349e-19)	(4.791172e+00 8.749318e-01 -1.166095e-19)	(2.342479e+00 9.352370e-02 -2.253987e-22)
0.0013       	(6.792937e+00 -4.266064e-01 -1.111055e-19)	(4.500954e+00 -5.174632e-01 -1.108924e-19)	(2.291983e+00 9.085676e-02 -2.130945e-22)
0.0014       	(9.744656e+00 -1.180621e-01 -1.224107e-19)	(7.499837e+00 -2.063408e-01 -1.222179e-19)	(2.244819e+00 8.827877e-02 -1.928614e-22)
0.0015       	(1.143881e+01 6.547601e-01 -1.576455e-19)	(9.235748e+00 5.696069e-01 -1.574711e-19)	(2.203064e+00 8.515319e-02 -1.744530e-22)
0.0016       	(9.637682e+00 1.684274e+00 -1.234569e-19)	(7.476989e+00 1.602646e+00 -1.232915e-19)	(2.160693e+00 8.162812e-02 -1.654023e-22)
0.0017       	(1.059743e+01 2.316476e+00 -1.215837e-19)	(8.478845e+00 2.238241e+00 -1.214251e-19)	(2.118584e+00 7.823556e-02 -1.585559e-22)
0.0018       	(9.173774e+00 3.008974e+00 -1.243418e-19)	(7.096055e+00 2.934526e+00 -1.241887e-19)	(2.077720e+00 7.444757e-02 -1.530708e-22)
0.0019       	(9.742625e+00 2.163198e+00 -1.363007e-19)	(7.703313e+00 2.092367e+00 -1.361573e-19)	(2.039311e+00 7.083027e-02 -1.434799e-22)
0.002        	(8.598045e+00 2.050135e+00 -1.273079e-19)	(6.597549e+00 1.982024e+00 -1.271707e-19)	(2.000495e+00 6.811151e-02 -1.371316e-22)
0.0021       	(8.339208e+00 2.026242e+00 -1.248375e-19)	(6.376157e+00 1.960727e+00 -1.247071e-19)	(1.963051e+00 6.551480e-02 -1.303516e-22)
0.0022       	(7.932656e+00 2.075810e+00 -1.231173e-19)	(6.006853e+00 2.013108e+00 -1.229907e-19)	(1.925803e+00 6.270197e-02 -1.266438e-22)
0.0023       	(9.523573e+00 2.405570e+00 -1.309018e-19)	(7.632404e+00 2.345624e+00 -1.307776e-19)	(1.891169e+00 5.994587e-02 -1.242384e-22)
0.0024       	(1.145445e+01 3.065757e+00 -1.350081e-19)	(9.596324e+00 3.008185e+00 -1.348865e-19)	(1.858122e+00 5.757187e-02 -1.216023e-22)
0.0025       	(8.875089e+00 5.340942e+00 -1.228837e-19)	(7.050697e+00 5.285074e+00 -1.227636e-19)	(1.824392e+00 5.586769e-02 -1.201398e-22)
0.0026       	(8.019452e+00 7.588879e+00 -1.178601e-19)	(6.228792e+00 7.534567e+00 -1.177407e-19)	(1.790660e+00 5.431178e-02 -1.194304e-22)
