# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.155492e+03 1.086075e+04 7.720054e-19)	(3.151857e+03 1.086052e+04 7.723599e-19)	(3.635018e+00 2.315943e-01 -3.544482e-22)
0.0002       	(-4.665801e+02 -1.669732e+03 -2.462444e-20)	(-4.699460e+02 -1.669943e+03 -2.432837e-20)	(3.365984e+00 2.111474e-01 -2.960721e-22)
0.0003       	(2.723540e+00 3.306144e+00 -1.142792e-19)	(-2.724661e-01 3.118376e+00 -1.139999e-19)	(2.996006e+00 1.877681e-01 -2.792916e-22)
0.0004       	(2.459691e+00 3.209070e+00 -1.162751e-19)	(-3.929945e-01 3.030427e+00 -1.159909e-19)	(2.852686e+00 1.786433e-01 -2.841677e-22)
0.0005       	(2.380110e+00 2.366785e+00 -1.172212e-19)	(-3.706000e-01 2.193541e+00 -1.169254e-19)	(2.750710e+00 1.732441e-01 -2.958198e-22)
0.0006       	(2.742635e+00 1.037092e-01 -1.190096e-19)	(9.738044e-02 -6.455384e-02 -1.187034e-19)	(2.645254e+00 1.682631e-01 -3.061844e-22)
0.0007       	(2.766763e+00 3.544971e-01 -1.170385e-19)	(2.124556e-01 1.908259e-01 -1.167411e-19)	(2.554308e+00 1.636712e-01 -2.973240e-22)
0.0008       	(2.932206e+00 2.530727e+00 -1.083420e-19)	(4.463673e-01 2.373741e+00 -1.080687e-19)	(2.485838e+00 1.569857e-01 -2.733087e-22)
0.0009       	(3.008470e+00 4.206813e+00 -1.017235e-19)	(5.809655e-01 4.056438e+00 -1.014860e-19)	(2.427504e+00 1.503754e-01 -2.375246e-22)
0.001        	(2.831617e+00 3.140213e+00 -1.073337e-19)	(4.614978e-01 2.995813e+00 -1.071143e-19)	(2.370119e+00 1.444008e-01 -2.194690e-22)
0.0011       	(3.127823e+00 -8.299522e-01 -1.112430e-19)	(8.148721e-01 -9.690414e-01 -1.110331e-19)	(2.312951e+00 1.390892e-01 -2.099396e-22)
