# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.959203e+03 1.443399e+04 1.779625e-18)	(2.955579e+03 1.443370e+04 1.779996e-18)	(3.623877e+00 2.949530e-01 -3.717010e-22)
0.0002       	(-4.239109e+02 -2.195784e+03 -1.240053e-19)	(-4.272635e+02 -2.196051e+03 -1.236839e-19)	(3.352655e+00 2.668931e-01 -3.213730e-22)
0.0003       	(3.255458e+00 -4.227683e-01 -1.200415e-19)	(2.912349e-01 -6.585225e-01 -1.197538e-19)	(2.964223e+00 2.357542e-01 -2.876638e-22)
0.0004       	(2.828669e+00 3.684011e-01 -1.240216e-19)	(1.194852e-02 1.438535e-01 -1.237591e-19)	(2.816720e+00 2.245476e-01 -2.624977e-22)
0.0005       	(2.672573e+00 8.344516e-01 -1.289852e-19)	(-4.039827e-02 6.188814e-01 -1.287420e-19)	(2.712971e+00 2.155702e-01 -2.432694e-22)
0.0006       	(2.548296e+00 3.159599e-01 -1.354470e-19)	(-5.702855e-02 1.095597e-01 -1.352178e-19)	(2.605325e+00 2.064002e-01 -2.292623e-22)
0.0007       	(2.696606e+00 -5.381566e-01 -1.274617e-19)	(1.855121e-01 -7.376257e-01 -1.272542e-19)	(2.511093e+00 1.994691e-01 -2.074512e-22)
0.0008       	(3.126992e+00 -1.055983e+00 -1.206354e-19)	(6.877937e-01 -1.249591e+00 -1.204511e-19)	(2.439198e+00 1.936081e-01 -1.843248e-22)
0.0009       	(3.156384e+00 3.575782e+00 -1.184146e-19)	(7.777446e-01 3.390137e+00 -1.182536e-19)	(2.378640e+00 1.856450e-01 -1.609319e-22)
0.001        	(2.193361e+00 9.571062e+00 -1.247641e-19)	(-1.264723e-01 9.393388e+00 -1.246018e-19)	(2.319834e+00 1.776740e-01 -1.623222e-22)
0.0011       	(3.160802e+00 2.102532e+00 -1.198194e-19)	(8.987077e-01 1.931632e+00 -1.196606e-19)	(2.262094e+00 1.708999e-01 -1.588553e-22)
0.0012       	(3.204787e+00 2.661933e+00 -1.206049e-19)	(9.965947e-01 2.498809e+00 -1.204502e-19)	(2.208192e+00 1.631242e-01 -1.546934e-22)
0.0013       	(3.437525e+00 2.118109e+00 -1.207757e-19)	(1.274568e+00 1.962590e+00 -1.206221e-19)	(2.162956e+00 1.555190e-01 -1.536221e-22)
