# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.660010e+03 2.000180e+04 2.861990e-18)	(2.656407e+03 2.000140e+04 2.862388e-18)	(3.602931e+00 3.947140e-01 -3.983556e-22)
0.0002       	(-3.244162e+02 -2.982815e+03 -3.922971e-19)	(-3.277456e+02 -2.983164e+03 -3.919550e-19)	(3.329361e+00 3.486737e-01 -3.421572e-22)
0.0003       	(3.032122e+00 7.612089e-01 -1.180189e-19)	(1.153683e-01 4.568239e-01 -1.177023e-19)	(2.916753e+00 3.043850e-01 -3.166168e-22)
0.0004       	(3.146986e+00 -1.829837e+00 -1.211715e-19)	(3.832720e-01 -2.116758e+00 -1.208690e-19)	(2.763714e+00 2.869211e-01 -3.024710e-22)
0.0005       	(3.290487e+00 -4.149362e+00 -1.193964e-19)	(6.367123e-01 -4.425445e+00 -1.191144e-19)	(2.653775e+00 2.760827e-01 -2.819788e-22)
0.0006       	(3.289051e+00 -4.844386e+00 -1.154188e-19)	(7.547702e-01 -5.108245e+00 -1.151694e-19)	(2.534281e+00 2.638593e-01 -2.494135e-22)
0.0007       	(2.831791e+00 -1.154034e+00 -1.192876e-19)	(3.970925e-01 -1.406595e+00 -1.190575e-19)	(2.434699e+00 2.525607e-01 -2.301516e-22)
0.0008       	(2.765096e+00 1.051676e-01 -1.185628e-19)	(4.038176e-01 -1.370101e-01 -1.183457e-19)	(2.361278e+00 2.421777e-01 -2.170994e-22)
0.0009       	(3.064681e+00 5.794449e-01 -1.157764e-19)	(7.675255e-01 3.491621e-01 -1.155707e-19)	(2.297155e+00 2.302828e-01 -2.057636e-22)
0.001        	(3.898790e+00 2.078395e+00 -1.144325e-19)	(1.666334e+00 1.861051e+00 -1.142481e-19)	(2.232456e+00 2.173444e-01 -1.843603e-22)
0.0011       	(3.824745e+00 2.522374e+00 -1.131336e-19)	(1.655620e+00 2.317631e+00 -1.129656e-19)	(2.169125e+00 2.047431e-01 -1.680219e-22)
0.0012       	(3.729615e+00 1.888407e+00 -1.165974e-19)	(1.615725e+00 1.694701e+00 -1.164410e-19)	(2.113890e+00 1.937067e-01 -1.563983e-22)
0.0013       	(4.413062e+00 5.179971e-01 -1.224300e-19)	(2.349655e+00 3.347562e-01 -1.222838e-19)	(2.063407e+00 1.832409e-01 -1.461676e-22)
0.0014       	(4.556883e+00 8.189570e-01 -1.189176e-19)	(2.539758e+00 6.462649e-01 -1.187874e-19)	(2.017125e+00 1.726921e-01 -1.302067e-22)
0.0015       	(5.620818e+00 2.015093e+00 -1.093747e-19)	(3.645564e+00 1.853192e+00 -1.092628e-19)	(1.975254e+00 1.619011e-01 -1.119690e-22)
0.0016       	(7.432863e+00 2.918886e+00 -9.674957e-20)	(5.495202e+00 2.766090e+00 -9.665146e-20)	(1.937661e+00 1.527963e-01 -9.810810e-23)
0.0017       	(7.094783e+00 3.794915e+00 -1.031696e-19)	(5.192553e+00 3.650450e+00 -1.030802e-19)	(1.902230e+00 1.444641e-01 -8.937133e-23)
0.0018       	(5.429167e+00 1.777740e+00 -1.060522e-19)	(3.561317e+00 1.641108e+00 -1.059725e-19)	(1.867850e+00 1.366322e-01 -7.965179e-23)
0.0019       	(6.825204e+00 3.709243e+00 -1.042626e-19)	(4.989555e+00 3.579261e+00 -1.041860e-19)	(1.835648e+00 1.299818e-01 -7.661834e-23)
0.002        	(6.252186e+00 2.789536e+00 -1.072001e-19)	(4.447829e+00 2.664483e+00 -1.071302e-19)	(1.804357e+00 1.250538e-01 -6.984368e-23)
0.0021       	(6.584064e+00 1.265922e+00 -1.040953e-19)	(4.808534e+00 1.145259e+00 -1.040251e-19)	(1.775530e+00 1.206622e-01 -7.020254e-23)
0.0022       	(7.254033e+00 2.338162e+00 -1.026185e-19)	(5.505043e+00 2.221019e+00 -1.025543e-19)	(1.748990e+00 1.171428e-01 -6.426005e-23)
0.0023       	(8.165093e+00 4.336711e+00 -9.827590e-20)	(6.441361e+00 4.222327e+00 -9.821848e-20)	(1.723731e+00 1.143843e-01 -5.742708e-23)
0.0024       	(7.573243e+00 5.129019e+00 -1.025341e-19)	(5.873842e+00 5.016627e+00 -1.024718e-19)	(1.699400e+00 1.123916e-01 -6.227955e-23)
0.0025       	(8.115623e+00 4.473722e+00 -9.681494e-20)	(6.439964e+00 4.362423e+00 -9.674826e-20)	(1.675658e+00 1.112991e-01 -6.668126e-23)
