# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.295482e+03 2.696125e+04 4.042943e-18)	(2.291914e+03 2.696073e+04 4.043385e-18)	(3.567645e+00 5.202592e-01 -4.421692e-22)
0.0002       	(-2.487087e+02 -3.992939e+03 -4.677091e-19)	(-2.519887e+02 -3.993395e+03 -4.673239e-19)	(3.279995e+00 4.558406e-01 -3.851809e-22)
0.0003       	(3.153338e+00 -2.037452e-01 -1.032517e-19)	(3.207055e-01 -5.947928e-01 -1.029246e-19)	(2.832632e+00 3.910476e-01 -3.270807e-22)
0.0004       	(3.094009e+00 -1.153002e+00 -1.193317e-19)	(4.250171e-01 -1.514211e+00 -1.190709e-19)	(2.668992e+00 3.612096e-01 -2.608109e-22)
0.0005       	(3.154227e+00 -2.112914e+00 -1.262044e-19)	(5.997918e-01 -2.454297e+00 -1.259760e-19)	(2.554435e+00 3.413826e-01 -2.284057e-22)
0.0006       	(3.150493e+00 -2.509774e+00 -1.340694e-19)	(7.243249e-01 -2.830680e+00 -1.338524e-19)	(2.426168e+00 3.209056e-01 -2.169794e-22)
0.0007       	(2.941892e+00 -1.802310e+00 -1.232851e-19)	(6.246601e-01 -2.103808e+00 -1.230896e-19)	(2.317232e+00 3.014984e-01 -1.955546e-22)
0.0008       	(3.196383e+00 -3.182448e+00 -1.245349e-19)	(9.538773e-01 -3.467521e+00 -1.243560e-19)	(2.242506e+00 2.850738e-01 -1.789445e-22)
0.0009       	(3.178393e+00 -9.530742e-01 -1.180559e-19)	(9.989547e-01 -1.223499e+00 -1.178960e-19)	(2.179438e+00 2.704244e-01 -1.599791e-22)
0.001        	(3.884222e+00 3.329946e-01 -1.130998e-19)	(1.765962e+00 7.707013e-02 -1.129657e-19)	(2.118260e+00 2.559244e-01 -1.341087e-22)
0.0011       	(4.223829e+00 5.612533e-01 -1.083267e-19)	(2.164159e+00 3.205070e-01 -1.082095e-19)	(2.059670e+00 2.407463e-01 -1.171684e-22)
0.0012       	(4.513175e+00 -1.160044e+00 -1.138859e-19)	(2.506734e+00 -1.386140e+00 -1.137807e-19)	(2.006441e+00 2.260963e-01 -1.052112e-22)
0.0013       	(3.423140e+00 1.723437e+00 -1.244181e-19)	(1.462373e+00 1.510185e+00 -1.243205e-19)	(1.960767e+00 2.132520e-01 -9.758911e-23)
0.0014       	(3.772381e+00 2.464816e+00 -1.198297e-19)	(1.855885e+00 2.263440e+00 -1.197441e-19)	(1.916496e+00 2.013765e-01 -8.559131e-23)
0.0015       	(6.139003e+00 1.967791e+00 -1.183593e-19)	(4.263988e+00 1.775511e+00 -1.182793e-19)	(1.875015e+00 1.922800e-01 -8.006290e-23)
0.0016       	(7.278450e+00 3.306136e+00 -1.133060e-19)	(5.441985e+00 3.122563e+00 -1.132244e-19)	(1.836465e+00 1.835732e-01 -8.160508e-23)
0.0017       	(8.002153e+00 3.444633e+00 -1.022192e-19)	(6.201479e+00 3.269392e+00 -1.021538e-19)	(1.800674e+00 1.752410e-01 -6.540425e-23)
0.0018       	(5.432423e+00 2.000721e+00 -1.141406e-19)	(3.664714e+00 1.833017e+00 -1.140821e-19)	(1.767709e+00 1.677034e-01 -5.849714e-23)
0.0019       	(7.730193e+00 3.390936e+00 -1.068250e-19)	(5.992266e+00 3.230118e+00 -1.067676e-19)	(1.737927e+00 1.608189e-01 -5.742261e-23)
0.002        	(7.397449e+00 4.624312e+00 -1.133628e-19)	(5.687497e+00 4.468938e+00 -1.133003e-19)	(1.709952e+00 1.553741e-01 -6.248432e-23)
0.0021       	(6.945993e+00 4.611815e+00 -1.132419e-19)	(5.261739e+00 4.461193e+00 -1.131720e-19)	(1.684254e+00 1.506221e-01 -6.995582e-23)
0.0022       	(6.839206e+00 4.273328e+00 -1.090818e-19)	(5.179595e+00 4.126838e+00 -1.090067e-19)	(1.659611e+00 1.464902e-01 -7.515654e-23)
0.0023       	(6.268306e+00 4.314359e+00 -1.088904e-19)	(4.632412e+00 4.171562e+00 -1.088144e-19)	(1.635894e+00 1.427967e-01 -7.601520e-23)
0.0024       	(8.250389e+00 5.301748e+00 -9.846155e-20)	(6.637221e+00 5.162203e+00 -9.838465e-20)	(1.613169e+00 1.395455e-01 -7.689153e-23)
0.0025       	(9.239668e+00 6.265707e+00 -8.992845e-20)	(7.647123e+00 6.129091e+00 -8.985381e-20)	(1.592545e+00 1.366159e-01 -7.464053e-23)
0.0026       	(7.022357e+00 5.906196e+00 -1.000467e-19)	(5.449497e+00 5.771826e+00 -9.997420e-20)	(1.572861e+00 1.343699e-01 -7.249534e-23)
0.0027       	(8.424873e+00 8.451108e+00 -8.752899e-20)	(6.870478e+00 8.318266e+00 -8.745928e-20)	(1.554395e+00 1.328418e-01 -6.970823e-23)
0.0028       	(1.025571e+01 9.441626e+00 -7.453908e-20)	(8.718233e+00 9.309906e+00 -7.447319e-20)	(1.537477e+00 1.317196e-01 -6.588676e-23)
0.0029       	(1.007008e+01 8.981690e+00 -7.702233e-20)	(8.549189e+00 8.850906e+00 -7.696043e-20)	(1.520888e+00 1.307834e-01 -6.189820e-23)
0.003        	(8.347117e+00 6.016843e+00 -9.067802e-20)	(6.841550e+00 5.886703e+00 -9.061369e-20)	(1.505567e+00 1.301407e-01 -6.433085e-23)
0.0031       	(1.090782e+01 8.738052e+00 -6.958138e-20)	(9.416126e+00 8.608382e+00 -6.951894e-20)	(1.491696e+00 1.296705e-01 -6.243515e-23)
0.0032       	(7.182466e+00 6.494608e+00 -8.132358e-20)	(5.705105e+00 6.366748e+00 -8.127424e-20)	(1.477361e+00 1.278601e-01 -4.934132e-23)
0.0033       	(9.512555e+00 8.889535e+00 -7.740677e-20)	(8.050356e+00 8.763577e+00 -7.736751e-20)	(1.462200e+00 1.259584e-01 -3.925805e-23)
0.0034       	(1.026759e+01 1.099377e+01 -6.063642e-20)	(8.818879e+00 1.086942e+01 -6.060587e-20)	(1.448710e+00 1.243544e-01 -3.055599e-23)
0.0035       	(6.590265e+00 5.980702e+00 -9.343035e-20)	(5.155111e+00 5.858359e+00 -9.340625e-20)	(1.435154e+00 1.223433e-01 -2.409998e-23)
0.0036       	(7.707127e+00 6.736037e+00 -8.926514e-20)	(6.284378e+00 6.615409e+00 -8.924497e-20)	(1.422749e+00 1.206282e-01 -2.017051e-23)
0.0037       	(9.867269e+00 9.327972e+00 -7.207265e-20)	(8.454740e+00 9.207949e+00 -7.205175e-20)	(1.412529e+00 1.200226e-01 -2.090828e-23)
0.0038       	(1.254672e+01 1.172994e+01 -5.596554e-20)	(1.114359e+01 1.160951e+01 -5.594058e-20)	(1.403130e+00 1.204268e-01 -2.495739e-23)
0.0039       	(8.892359e+00 7.630673e+00 -8.218067e-20)	(7.499145e+00 7.510259e+00 -8.215535e-20)	(1.393214e+00 1.204137e-01 -2.531570e-23)
0.004        	(7.175316e+00 5.743485e+00 -9.205788e-20)	(5.789778e+00 5.623073e+00 -9.203222e-20)	(1.385538e+00 1.204118e-01 -2.566059e-23)
0.0041       	(9.603951e+00 9.025552e+00 -7.373815e-20)	(8.226100e+00 8.904842e+00 -7.370961e-20)	(1.377851e+00 1.207097e-01 -2.853936e-23)
0.0042       	(1.361745e+01 1.456409e+01 -4.455698e-20)	(1.224729e+01 1.444240e+01 -4.452348e-20)	(1.370162e+00 1.216863e-01 -3.349793e-23)
0.0043       	(1.041604e+01 9.767954e+00 -6.979935e-20)	(9.052878e+00 9.646022e+00 -6.975726e-20)	(1.363158e+00 1.219320e-01 -4.208297e-23)
0.0044       	(8.447252e+00 7.143526e+00 -9.159073e-20)	(7.091101e+00 7.021373e+00 -9.153041e-20)	(1.356152e+00 1.221520e-01 -6.032002e-23)
