# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.507069e+03 2.364651e+04 3.510177e-18)	(2.503481e+03 2.364605e+04 3.510592e-18)	(3.588699e+00 4.574775e-01 -4.152659e-22)
0.0002       	(-2.742351e+02 -3.574456e+03 -5.228433e-19)	(-2.775477e+02 -3.574860e+03 -5.224782e-19)	(3.312643e+00 4.037516e-01 -3.651568e-22)
0.0003       	(2.619608e+00 2.773862e+00 -9.490433e-20)	(-2.607252e-01 2.424466e+00 -9.458633e-20)	(2.880333e+00 3.493961e-01 -3.179984e-22)
0.0004       	(2.937277e+00 -2.141972e-01 -1.103062e-19)	(2.166942e-01 -5.402749e-01 -1.100259e-19)	(2.720583e+00 3.260777e-01 -2.802974e-22)
0.0005       	(2.687851e+00 8.752217e-01 -1.175394e-19)	(7.988715e-02 5.651897e-01 -1.172790e-19)	(2.607963e+00 3.100321e-01 -2.604504e-22)
0.0006       	(2.657609e+00 8.723330e-01 -1.181430e-19)	(1.749327e-01 5.794444e-01 -1.178863e-19)	(2.482676e+00 2.928886e-01 -2.566768e-22)
0.0007       	(2.644302e+00 2.975593e-02 -1.192224e-19)	(2.654297e-01 -2.494545e-01 -1.189766e-19)	(2.378872e+00 2.792105e-01 -2.458562e-22)
0.0008       	(2.744672e+00 -5.082711e-01 -1.201484e-19)	(4.389179e-01 -7.751017e-01 -1.199211e-19)	(2.305754e+00 2.668306e-01 -2.272723e-22)
0.0009       	(3.110378e+00 -4.424362e-01 -1.199231e-19)	(8.689980e-01 -6.969502e-01 -1.197175e-19)	(2.241380e+00 2.545140e-01 -2.056494e-22)
0.001        	(3.938601e+00 -2.383776e-01 -1.193711e-19)	(1.760335e+00 -4.790177e-01 -1.191947e-19)	(2.178266e+00 2.406400e-01 -1.763921e-22)
0.0011       	(3.881174e+00 1.356170e+00 -1.146874e-19)	(1.762462e+00 1.129011e+00 -1.145302e-19)	(2.118712e+00 2.271589e-01 -1.571147e-22)
0.0012       	(3.998109e+00 2.074537e+00 -1.151907e-19)	(1.934316e+00 1.860636e+00 -1.150475e-19)	(2.063793e+00 2.139011e-01 -1.431155e-22)
